,date,value,name_B08KFQVN8T
0,2020-10-01,15248.0,Sprinklers
1,2020-10-02,15248.0,Sprinklers
2,2020-10-03,8415.0,Sprinklers
3,2020-10-04,8415.0,Sprinklers
4,2020-10-05,5555.0,Sprinklers
5,2020-10-06,4586.0,Sprinklers
6,2020-10-07,4435.0,Sprinklers
7,2020-10-08,3688.0,Sprinklers
8,2020-10-09,3688.0,Sprinklers
9,2020-10-10,3688.0,Sprinklers
10,2020-10-11,3547.0,Sprinklers
11,2020-10-12,5100.0,Sprinklers
12,2020-10-13,6010.0,Sprinklers
13,2020-10-14,6010.0,Sprinklers
14,2020-10-15,6010.0,Sprinklers
15,2020-10-16,7997.0,Sprinklers
16,2020-10-17,7997.0,Sprinklers
17,2020-10-18,7997.0,Sprinklers
18,2020-10-19,7997.0,Sprinklers
19,2020-10-20,4035.0,Sprinklers
20,2020-10-21,4035.0,Sprinklers
21,2020-10-22,4035.0,Sprinklers
22,2020-10-23,7186.0,Sprinklers
23,2020-10-24,7186.0,Sprinklers
24,2020-10-25,7186.0,Sprinklers
25,2020-10-26,14682.0,Sprinklers
26,2020-10-27,14682.0,Sprinklers
27,2020-10-28,14682.0,Sprinklers
28,2020-10-29,12862.0,Sprinklers
29,2020-10-30,12862.0,Sprinklers
30,2020-10-31,12862.0,Sprinklers
31,2020-11-01,12862.0,Sprinklers
32,2020-11-02,10759.0,Sprinklers
33,2020-11-03,10759.0,Sprinklers
34,2020-11-04,10759.0,Sprinklers
35,2020-11-05,8275.0,Sprinklers
36,2020-11-06,8275.0,Sprinklers
37,2020-11-07,8275.0,Sprinklers
38,2020-11-08,8858.0,Sprinklers
39,2020-11-09,8858.0,Sprinklers
40,2020-11-10,8858.0,Sprinklers
41,2020-11-11,14209.0,Sprinklers
42,2020-11-12,12001.0,Sprinklers
43,2020-11-13,12001.0,Sprinklers
44,2020-11-14,12001.0,Sprinklers
45,2020-11-15,19859.0,Sprinklers
46,2020-11-16,19859.0,Sprinklers
47,2020-11-17,19859.0,Sprinklers
48,2020-11-18,22967.0,Sprinklers
49,2020-11-19,22967.0,Sprinklers
50,2020-11-20,22967.0,Sprinklers
51,2020-11-21,16514.0,Sprinklers
52,2020-11-22,16514.0,Sprinklers
53,2020-11-23,16514.0,Sprinklers
54,2020-11-24,15197.0,Sprinklers
55,2020-11-25,15197.0,Sprinklers
56,2020-11-26,15032.0,Sprinklers
57,2020-11-27,15032.0,Sprinklers
58,2020-11-28,13569.0,Sprinklers
59,2020-11-29,13569.0,Sprinklers
60,2020-11-30,13569.0,Sprinklers
61,2020-12-01,13569.0,Sprinklers
62,2020-12-02,12703.0,Sprinklers
63,2020-12-03,12703.0,Sprinklers
64,2020-12-04,12703.0,Sprinklers
65,2020-12-05,26147.0,Sprinklers
66,2020-12-06,26147.0,Sprinklers
67,2020-12-07,23481.0,Sprinklers
68,2020-12-08,23481.0,Sprinklers
69,2020-12-09,23481.0,Sprinklers
70,2020-12-10,23481.0,Sprinklers
71,2020-12-11,28679.0,Sprinklers
72,2020-12-12,28679.0,Sprinklers
73,2020-12-13,29136.0,Sprinklers
74,2020-12-14,29136.0,Sprinklers
75,2020-12-15,29136.0,Sprinklers
76,2020-12-16,29136.0,Sprinklers
77,2020-12-17,44041.0,Sprinklers
78,2020-12-18,44041.0,Sprinklers
79,2020-12-19,44041.0,Sprinklers
