,date,value,name_B08CY89X7F
0,2020-09-22,102671.0,Bread Proofing Baskets
1,2020-09-23,103945.0,Bread Proofing Baskets
2,2020-09-24,126257.0,Bread Proofing Baskets
3,2020-09-25,161838.0,Bread Proofing Baskets
4,2020-09-26,136840.0,Bread Proofing Baskets
5,2020-09-27,53707.0,Bread Proofing Baskets
6,2020-09-28,57142.0,Bread Proofing Baskets
7,2020-09-29,34296.0,Bread Proofing Baskets
8,2020-09-30,41580.0,Bread Proofing Baskets
9,2020-10-01,45510.0,Bread Proofing Baskets
10,2020-10-02,45298.0,Bread Proofing Baskets
11,2020-10-03,40462.0,Bread Proofing Baskets
12,2020-10-04,45821.0,Bread Proofing Baskets
13,2020-10-05,44383.0,Bread Proofing Baskets
14,2020-10-06,66770.0,Bread Proofing Baskets
15,2020-10-07,49389.0,Bread Proofing Baskets
16,2020-10-08,39659.0,Bread Proofing Baskets
17,2020-10-09,49223.0,Bread Proofing Baskets
18,2020-10-10,28327.0,Bread Proofing Baskets
19,2020-10-11,20253.0,Bread Proofing Baskets
20,2020-10-12,28098.0,Bread Proofing Baskets
21,2020-10-13,30322.0,Bread Proofing Baskets
22,2020-10-14,25741.0,Bread Proofing Baskets
23,2020-10-15,29648.0,Bread Proofing Baskets
24,2020-10-16,37972.0,Bread Proofing Baskets
25,2020-10-17,59883.0,Bread Proofing Baskets
26,2020-10-18,76848.0,Bread Proofing Baskets
27,2020-10-19,101039.0,Bread Proofing Baskets
28,2020-10-20,101039.0,Bread Proofing Baskets
29,2020-10-21,134239.0,Bread Proofing Baskets
30,2020-10-22,143842.0,Bread Proofing Baskets
31,2020-10-23,149496.0,Bread Proofing Baskets
32,2020-10-24,152527.0,Bread Proofing Baskets
33,2020-10-25,157515.0,Bread Proofing Baskets
34,2020-10-26,161163.0,Bread Proofing Baskets
35,2020-10-27,68944.0,Bread Proofing Baskets
36,2020-10-28,68778.0,Bread Proofing Baskets
37,2020-10-29,35346.0,Bread Proofing Baskets
38,2020-10-30,19906.0,Bread Proofing Baskets
39,2020-10-31,14966.0,Bread Proofing Baskets
40,2020-11-01,24258.0,Bread Proofing Baskets
41,2020-11-02,25967.0,Bread Proofing Baskets
42,2020-11-03,27130.0,Bread Proofing Baskets
43,2020-11-04,24059.0,Bread Proofing Baskets
44,2020-11-05,31066.0,Bread Proofing Baskets
45,2020-11-06,22402.0,Bread Proofing Baskets
46,2020-11-07,27024.0,Bread Proofing Baskets
47,2020-11-08,36634.0,Bread Proofing Baskets
48,2020-11-09,39308.0,Bread Proofing Baskets
49,2020-11-10,37790.0,Bread Proofing Baskets
50,2020-11-11,30849.0,Bread Proofing Baskets
51,2020-11-12,39706.0,Bread Proofing Baskets
52,2020-11-13,33500.0,Bread Proofing Baskets
53,2020-11-14,21892.0,Bread Proofing Baskets
54,2020-11-15,32110.0,Bread Proofing Baskets
55,2020-11-16,32606.0,Bread Proofing Baskets
56,2020-11-17,36151.0,Bread Proofing Baskets
57,2020-11-18,27116.0,Bread Proofing Baskets
58,2020-11-19,24244.0,Bread Proofing Baskets
59,2020-11-20,26304.0,Bread Proofing Baskets
60,2020-11-21,23081.0,Bread Proofing Baskets
61,2020-11-22,21343.0,Bread Proofing Baskets
62,2020-11-23,23761.0,Bread Proofing Baskets
63,2020-11-24,35353.0,Bread Proofing Baskets
64,2020-11-25,25270.0,Bread Proofing Baskets
65,2020-11-26,21996.0,Bread Proofing Baskets
66,2020-11-27,23812.0,Bread Proofing Baskets
67,2020-11-28,25551.0,Bread Proofing Baskets
68,2020-11-29,28689.0,Bread Proofing Baskets
69,2020-11-30,24590.0,Bread Proofing Baskets
70,2020-12-01,26880.0,Bread Proofing Baskets
71,2020-12-02,25373.0,Bread Proofing Baskets
72,2020-12-03,16384.0,Bread Proofing Baskets
73,2020-12-04,18793.0,Bread Proofing Baskets
74,2020-12-05,22912.0,Bread Proofing Baskets
75,2020-12-06,23108.0,Bread Proofing Baskets
76,2020-12-07,18472.0,Bread Proofing Baskets
77,2020-12-08,16702.0,Bread Proofing Baskets
78,2020-12-09,15005.0,Bread Proofing Baskets
79,2020-12-10,15931.0,Bread Proofing Baskets
80,2020-12-11,15550.0,Bread Proofing Baskets
81,2020-12-12,14852.0,Bread Proofing Baskets
82,2020-12-13,16349.0,Bread Proofing Baskets
83,2020-12-14,21475.0,Bread Proofing Baskets
84,2020-12-15,34985.0,Bread Proofing Baskets
85,2020-12-16,53133.0,Bread Proofing Baskets
86,2020-12-17,66147.0,Bread Proofing Baskets
87,2020-12-18,82410.0,Bread Proofing Baskets
88,2020-12-19,81243.0,Bread Proofing Baskets
89,2020-12-20,98697.0,Bread Proofing Baskets
90,2020-12-21,98697.0,Bread Proofing Baskets
91,2020-12-22,108095.0,Bread Proofing Baskets
92,2020-12-23,104442.0,Bread Proofing Baskets
93,2020-12-24,111619.0,Bread Proofing Baskets
94,2020-12-25,94895.0,Bread Proofing Baskets
95,2020-12-26,112108.0,Bread Proofing Baskets
96,2020-12-27,112108.0,Bread Proofing Baskets
97,2020-12-28,140511.0,Bread Proofing Baskets
98,2020-12-29,141724.0,Bread Proofing Baskets
99,2020-12-30,141724.0,Bread Proofing Baskets
100,2020-12-31,141240.0,Bread Proofing Baskets
101,2021-01-01,150293.0,Bread Proofing Baskets
102,2021-01-02,162846.0,Bread Proofing Baskets
103,2021-01-03,170408.0,Bread Proofing Baskets
104,2021-01-04,172900.0,Bread Proofing Baskets
105,2021-01-05,172003.0,Bread Proofing Baskets
106,2021-01-06,178682.0,Bread Proofing Baskets
107,2021-01-07,174454.0,Bread Proofing Baskets
108,2021-01-08,174454.0,Bread Proofing Baskets
109,2021-01-09,179974.0,Bread Proofing Baskets
110,2021-01-10,189935.0,Bread Proofing Baskets
111,2021-01-11,195268.0,Bread Proofing Baskets
112,2021-01-12,193504.0,Bread Proofing Baskets
113,2021-01-13,194253.0,Bread Proofing Baskets
114,2021-01-14,196284.0,Bread Proofing Baskets
115,2021-01-15,198291.0,Bread Proofing Baskets
116,2021-01-16,203798.0,Bread Proofing Baskets
117,2021-01-17,212783.0,Bread Proofing Baskets
118,2021-01-18,214609.0,Bread Proofing Baskets
119,2021-01-19,214609.0,Bread Proofing Baskets
120,2021-01-20,170677.0,Bread Proofing Baskets
121,2021-01-21,186423.0,Bread Proofing Baskets
122,2021-01-22,201157.0,Bread Proofing Baskets
123,2021-01-23,208433.0,Bread Proofing Baskets
124,2021-01-24,219547.0,Bread Proofing Baskets
125,2021-01-25,219547.0,Bread Proofing Baskets
126,2021-01-26,228117.0,Bread Proofing Baskets
127,2021-01-27,231408.0,Bread Proofing Baskets
128,2021-01-28,230504.0,Bread Proofing Baskets
129,2021-01-29,231029.0,Bread Proofing Baskets
