,date,value,name_B00D41T3R8
0,2020-02-28,-1.0,Feeding Supplies
1,2020-02-29,-1.0,Feeding Supplies
2,2020-03-01,-1.0,Feeding Supplies
3,2020-03-02,-1.0,Feeding Supplies
4,2020-03-03,-1.0,Feeding Supplies
5,2020-03-04,-1.0,Feeding Supplies
6,2020-03-05,-1.0,Feeding Supplies
7,2020-03-06,-1.0,Feeding Supplies
8,2020-03-07,-1.0,Feeding Supplies
9,2020-03-08,-1.0,Feeding Supplies
10,2020-03-09,-1.0,Feeding Supplies
11,2020-03-10,-1.0,Feeding Supplies
12,2020-03-11,-1.0,Feeding Supplies
13,2020-03-12,-1.0,Feeding Supplies
14,2020-03-13,-1.0,Feeding Supplies
15,2020-03-14,-1.0,Feeding Supplies
16,2020-03-15,-1.0,Feeding Supplies
17,2020-03-16,-1.0,Feeding Supplies
18,2020-03-17,-1.0,Feeding Supplies
19,2020-03-18,-1.0,Feeding Supplies
20,2020-03-19,-1.0,Feeding Supplies
21,2020-03-20,-1.0,Feeding Supplies
22,2020-03-21,-1.0,Feeding Supplies
23,2020-03-22,-1.0,Feeding Supplies
24,2020-03-23,-1.0,Feeding Supplies
25,2020-03-24,-1.0,Feeding Supplies
26,2020-03-25,-1.0,Feeding Supplies
27,2020-03-26,-1.0,Feeding Supplies
28,2020-03-27,-1.0,Feeding Supplies
29,2020-03-28,-1.0,Feeding Supplies
30,2020-03-29,-1.0,Feeding Supplies
31,2020-03-30,-1.0,Feeding Supplies
32,2020-03-31,-1.0,Feeding Supplies
33,2020-04-01,-1.0,Feeding Supplies
34,2020-04-02,-1.0,Feeding Supplies
35,2020-04-03,-1.0,Feeding Supplies
36,2020-04-04,-1.0,Feeding Supplies
37,2020-04-05,-1.0,Feeding Supplies
38,2020-04-06,-1.0,Feeding Supplies
39,2020-04-07,-1.0,Feeding Supplies
40,2020-04-08,-1.0,Feeding Supplies
41,2020-04-09,-1.0,Feeding Supplies
42,2020-04-10,-1.0,Feeding Supplies
43,2020-04-11,-1.0,Feeding Supplies
44,2020-04-12,-1.0,Feeding Supplies
45,2020-04-13,-1.0,Feeding Supplies
46,2020-04-14,-1.0,Feeding Supplies
47,2020-04-15,10014.0,Feeding Supplies
48,2020-04-16,10014.0,Feeding Supplies
49,2020-04-17,10014.0,Feeding Supplies
50,2020-04-18,10014.0,Feeding Supplies
51,2020-04-19,10014.0,Feeding Supplies
52,2020-04-20,11102.0,Feeding Supplies
53,2020-04-21,11102.0,Feeding Supplies
54,2020-04-22,11102.0,Feeding Supplies
55,2020-04-23,11102.0,Feeding Supplies
56,2020-04-24,11102.0,Feeding Supplies
57,2020-04-25,11102.0,Feeding Supplies
58,2020-04-26,10307.0,Feeding Supplies
59,2020-04-27,10307.0,Feeding Supplies
60,2020-04-28,10307.0,Feeding Supplies
61,2020-04-29,8180.0,Feeding Supplies
62,2020-04-30,8180.0,Feeding Supplies
63,2020-05-01,8002.0,Feeding Supplies
64,2020-05-02,8002.0,Feeding Supplies
65,2020-05-03,8002.0,Feeding Supplies
66,2020-05-04,5702.0,Feeding Supplies
67,2020-05-05,5702.0,Feeding Supplies
68,2020-05-06,5702.0,Feeding Supplies
69,2020-05-07,5702.0,Feeding Supplies
70,2020-05-08,5394.0,Feeding Supplies
71,2020-05-09,5394.0,Feeding Supplies
72,2020-05-10,4983.0,Feeding Supplies
73,2020-05-11,4983.0,Feeding Supplies
74,2020-05-12,4983.0,Feeding Supplies
75,2020-05-13,4570.0,Feeding Supplies
76,2020-05-14,6025.0,Feeding Supplies
77,2020-05-15,6025.0,Feeding Supplies
78,2020-05-16,6633.0,Feeding Supplies
79,2020-05-17,6633.0,Feeding Supplies
80,2020-05-18,5061.0,Feeding Supplies
81,2020-05-19,5157.0,Feeding Supplies
82,2020-05-20,5157.0,Feeding Supplies
83,2020-05-21,4530.0,Feeding Supplies
84,2020-05-22,4550.0,Feeding Supplies
85,2020-05-23,4550.0,Feeding Supplies
86,2020-05-24,4911.0,Feeding Supplies
87,2020-05-25,4911.0,Feeding Supplies
88,2020-05-26,3854.0,Feeding Supplies
89,2020-05-27,4611.0,Feeding Supplies
90,2020-05-28,4611.0,Feeding Supplies
91,2020-05-29,4611.0,Feeding Supplies
92,2020-05-30,4004.0,Feeding Supplies
93,2020-05-31,3771.0,Feeding Supplies
94,2020-06-01,3771.0,Feeding Supplies
95,2020-06-02,3771.0,Feeding Supplies
96,2020-06-03,3771.0,Feeding Supplies
97,2020-06-04,4918.0,Feeding Supplies
98,2020-06-05,4918.0,Feeding Supplies
99,2020-06-06,4613.0,Feeding Supplies
100,2020-06-07,4688.0,Feeding Supplies
101,2020-06-08,4688.0,Feeding Supplies
102,2020-06-09,4935.0,Feeding Supplies
103,2020-06-10,4262.0,Feeding Supplies
104,2020-06-11,4262.0,Feeding Supplies
105,2020-06-12,4262.0,Feeding Supplies
106,2020-06-13,4425.0,Feeding Supplies
107,2020-06-14,4425.0,Feeding Supplies
108,2020-06-15,4988.0,Feeding Supplies
109,2020-06-16,4988.0,Feeding Supplies
110,2020-06-17,5373.0,Feeding Supplies
111,2020-06-18,5373.0,Feeding Supplies
112,2020-06-19,4429.0,Feeding Supplies
113,2020-06-20,4062.0,Feeding Supplies
114,2020-06-21,4062.0,Feeding Supplies
115,2020-06-22,3603.0,Feeding Supplies
116,2020-06-23,3603.0,Feeding Supplies
117,2020-06-24,3603.0,Feeding Supplies
118,2020-06-25,3836.0,Feeding Supplies
119,2020-06-26,3836.0,Feeding Supplies
120,2020-06-27,4950.0,Feeding Supplies
121,2020-06-28,4950.0,Feeding Supplies
122,2020-06-29,4575.0,Feeding Supplies
123,2020-06-30,3926.0,Feeding Supplies
124,2020-07-01,3926.0,Feeding Supplies
125,2020-07-02,3926.0,Feeding Supplies
126,2020-07-03,4380.0,Feeding Supplies
127,2020-07-04,4903.0,Feeding Supplies
128,2020-07-05,4903.0,Feeding Supplies
129,2020-07-06,4903.0,Feeding Supplies
130,2020-07-07,4947.0,Feeding Supplies
131,2020-07-08,4741.0,Feeding Supplies
132,2020-07-09,4741.0,Feeding Supplies
133,2020-07-10,5203.0,Feeding Supplies
134,2020-07-11,5862.0,Feeding Supplies
135,2020-07-12,5694.0,Feeding Supplies
136,2020-07-13,5237.0,Feeding Supplies
137,2020-07-14,5237.0,Feeding Supplies
138,2020-07-15,7418.0,Feeding Supplies
139,2020-07-16,7418.0,Feeding Supplies
140,2020-07-17,7418.0,Feeding Supplies
141,2020-07-18,7418.0,Feeding Supplies
142,2020-07-19,5121.0,Feeding Supplies
143,2020-07-20,5230.0,Feeding Supplies
144,2020-07-21,5230.0,Feeding Supplies
145,2020-07-22,5230.0,Feeding Supplies
146,2020-07-23,6581.0,Feeding Supplies
147,2020-07-24,6581.0,Feeding Supplies
148,2020-07-25,6623.0,Feeding Supplies
149,2020-07-26,6623.0,Feeding Supplies
150,2020-07-27,6623.0,Feeding Supplies
151,2020-07-28,5917.0,Feeding Supplies
152,2020-07-29,6087.0,Feeding Supplies
153,2020-07-30,6077.0,Feeding Supplies
154,2020-07-31,6833.0,Feeding Supplies
155,2020-08-01,6833.0,Feeding Supplies
156,2020-08-02,6833.0,Feeding Supplies
157,2020-08-03,8044.0,Feeding Supplies
158,2020-08-04,8044.0,Feeding Supplies
159,2020-08-05,8918.0,Feeding Supplies
160,2020-08-06,8918.0,Feeding Supplies
161,2020-08-07,8918.0,Feeding Supplies
162,2020-08-08,8918.0,Feeding Supplies
163,2020-08-09,7298.0,Feeding Supplies
164,2020-08-10,7298.0,Feeding Supplies
165,2020-08-11,7298.0,Feeding Supplies
166,2020-08-12,7298.0,Feeding Supplies
167,2020-08-13,7298.0,Feeding Supplies
168,2020-08-14,9077.0,Feeding Supplies
169,2020-08-15,9077.0,Feeding Supplies
170,2020-08-16,6021.0,Feeding Supplies
171,2020-08-17,6021.0,Feeding Supplies
172,2020-08-18,7951.0,Feeding Supplies
173,2020-08-19,7951.0,Feeding Supplies
174,2020-08-20,7951.0,Feeding Supplies
175,2020-08-21,7027.0,Feeding Supplies
176,2020-08-22,7027.0,Feeding Supplies
177,2020-08-23,7027.0,Feeding Supplies
178,2020-08-24,7015.0,Feeding Supplies
179,2020-08-25,7015.0,Feeding Supplies
180,2020-08-26,7015.0,Feeding Supplies
181,2020-08-27,7015.0,Feeding Supplies
182,2020-08-28,7132.0,Feeding Supplies
183,2020-08-29,6623.0,Feeding Supplies
184,2020-08-30,5686.0,Feeding Supplies
185,2020-08-31,6119.0,Feeding Supplies
186,2020-09-01,6119.0,Feeding Supplies
187,2020-09-02,6119.0,Feeding Supplies
188,2020-09-03,6322.0,Feeding Supplies
189,2020-09-04,6322.0,Feeding Supplies
190,2020-09-05,6322.0,Feeding Supplies
191,2020-09-06,6322.0,Feeding Supplies
192,2020-09-07,6395.0,Feeding Supplies
193,2020-09-08,7749.0,Feeding Supplies
194,2020-09-09,7276.0,Feeding Supplies
195,2020-09-10,7276.0,Feeding Supplies
196,2020-09-11,7276.0,Feeding Supplies
197,2020-09-12,7276.0,Feeding Supplies
198,2020-09-13,5862.0,Feeding Supplies
199,2020-09-14,5239.0,Feeding Supplies
200,2020-09-15,5396.0,Feeding Supplies
201,2020-09-16,5396.0,Feeding Supplies
202,2020-09-17,5598.0,Feeding Supplies
203,2020-09-18,5902.0,Feeding Supplies
204,2020-09-19,5902.0,Feeding Supplies
205,2020-09-20,4909.0,Feeding Supplies
206,2020-09-21,4909.0,Feeding Supplies
207,2020-09-22,4909.0,Feeding Supplies
208,2020-09-23,5134.0,Feeding Supplies
209,2020-09-24,4110.0,Feeding Supplies
210,2020-09-25,4110.0,Feeding Supplies
211,2020-09-26,3889.0,Feeding Supplies
212,2020-09-27,4020.0,Feeding Supplies
213,2020-09-28,4337.0,Feeding Supplies
214,2020-09-29,3628.0,Feeding Supplies
215,2020-09-30,4433.0,Feeding Supplies
216,2020-10-01,5296.0,Feeding Supplies
217,2020-10-02,5296.0,Feeding Supplies
218,2020-10-03,5296.0,Feeding Supplies
219,2020-10-04,6374.0,Feeding Supplies
220,2020-10-05,6374.0,Feeding Supplies
221,2020-10-06,6374.0,Feeding Supplies
222,2020-10-07,4587.0,Feeding Supplies
223,2020-10-08,5093.0,Feeding Supplies
224,2020-10-09,4940.0,Feeding Supplies
225,2020-10-10,4940.0,Feeding Supplies
226,2020-10-11,4940.0,Feeding Supplies
227,2020-10-12,5429.0,Feeding Supplies
228,2020-10-13,4394.0,Feeding Supplies
229,2020-10-14,4041.0,Feeding Supplies
230,2020-10-15,4263.0,Feeding Supplies
231,2020-10-16,4974.0,Feeding Supplies
232,2020-10-17,4524.0,Feeding Supplies
233,2020-10-18,4524.0,Feeding Supplies
234,2020-10-19,4524.0,Feeding Supplies
235,2020-10-20,4880.0,Feeding Supplies
236,2020-10-21,4880.0,Feeding Supplies
237,2020-10-22,4620.0,Feeding Supplies
238,2020-10-23,4620.0,Feeding Supplies
239,2020-10-24,4620.0,Feeding Supplies
240,2020-10-25,4904.0,Feeding Supplies
241,2020-10-26,4904.0,Feeding Supplies
242,2020-10-27,5414.0,Feeding Supplies
243,2020-10-28,5414.0,Feeding Supplies
244,2020-10-29,5414.0,Feeding Supplies
245,2020-10-30,5418.0,Feeding Supplies
246,2020-10-31,5418.0,Feeding Supplies
247,2020-11-01,5418.0,Feeding Supplies
248,2020-11-02,6084.0,Feeding Supplies
249,2020-11-03,4905.0,Feeding Supplies
250,2020-11-04,4905.0,Feeding Supplies
251,2020-11-05,4905.0,Feeding Supplies
252,2020-11-06,5372.0,Feeding Supplies
253,2020-11-07,5372.0,Feeding Supplies
254,2020-11-08,5372.0,Feeding Supplies
255,2020-11-09,5818.0,Feeding Supplies
256,2020-11-10,6245.0,Feeding Supplies
257,2020-11-11,5531.0,Feeding Supplies
258,2020-11-12,5531.0,Feeding Supplies
259,2020-11-13,5531.0,Feeding Supplies
260,2020-11-14,6575.0,Feeding Supplies
261,2020-11-15,6575.0,Feeding Supplies
262,2020-11-16,6261.0,Feeding Supplies
263,2020-11-17,6261.0,Feeding Supplies
264,2020-11-18,6261.0,Feeding Supplies
265,2020-11-19,5983.0,Feeding Supplies
266,2020-11-20,5983.0,Feeding Supplies
267,2020-11-21,7236.0,Feeding Supplies
268,2020-11-22,6983.0,Feeding Supplies
269,2020-11-23,6606.0,Feeding Supplies
270,2020-11-24,6606.0,Feeding Supplies
271,2020-11-25,6892.0,Feeding Supplies
272,2020-11-26,6892.0,Feeding Supplies
273,2020-11-27,8647.0,Feeding Supplies
274,2020-11-28,8647.0,Feeding Supplies
275,2020-11-29,8647.0,Feeding Supplies
276,2020-11-30,8726.0,Feeding Supplies
277,2020-12-01,8261.0,Feeding Supplies
278,2020-12-02,7431.0,Feeding Supplies
279,2020-12-03,7431.0,Feeding Supplies
280,2020-12-04,7431.0,Feeding Supplies
281,2020-12-05,7431.0,Feeding Supplies
282,2020-12-06,9135.0,Feeding Supplies
283,2020-12-07,8838.0,Feeding Supplies
284,2020-12-08,8838.0,Feeding Supplies
285,2020-12-09,7467.0,Feeding Supplies
286,2020-12-10,9571.0,Feeding Supplies
287,2020-12-11,8478.0,Feeding Supplies
288,2020-12-12,9004.0,Feeding Supplies
289,2020-12-13,10801.0,Feeding Supplies
290,2020-12-14,11473.0,Feeding Supplies
291,2020-12-15,9414.0,Feeding Supplies
292,2020-12-16,12870.0,Feeding Supplies
293,2020-12-17,9430.0,Feeding Supplies
294,2020-12-18,9556.0,Feeding Supplies
295,2020-12-19,9556.0,Feeding Supplies
296,2020-12-20,9433.0,Feeding Supplies
297,2020-12-21,8329.0,Feeding Supplies
298,2020-12-22,7879.0,Feeding Supplies
299,2020-12-23,8125.0,Feeding Supplies
300,2020-12-24,9249.0,Feeding Supplies
301,2020-12-25,6512.0,Feeding Supplies
302,2020-12-26,7904.0,Feeding Supplies
303,2020-12-27,8968.0,Feeding Supplies
304,2020-12-28,6398.0,Feeding Supplies
305,2020-12-29,6882.0,Feeding Supplies
306,2020-12-30,5941.0,Feeding Supplies
307,2020-12-31,7170.0,Feeding Supplies
308,2021-01-01,7170.0,Feeding Supplies
309,2021-01-02,7170.0,Feeding Supplies
310,2021-01-03,6623.0,Feeding Supplies
311,2021-01-04,6623.0,Feeding Supplies
312,2021-01-05,6623.0,Feeding Supplies
313,2021-01-06,5320.0,Feeding Supplies
314,2021-01-07,6037.0,Feeding Supplies
315,2021-01-08,6037.0,Feeding Supplies
316,2021-01-09,6348.0,Feeding Supplies
317,2021-01-10,6210.0,Feeding Supplies
318,2021-01-11,6210.0,Feeding Supplies
319,2021-01-12,6210.0,Feeding Supplies
320,2021-01-13,6098.0,Feeding Supplies
321,2021-01-14,6098.0,Feeding Supplies
322,2021-01-15,6098.0,Feeding Supplies
323,2021-01-16,5464.0,Feeding Supplies
324,2021-01-17,5464.0,Feeding Supplies
325,2021-01-18,5464.0,Feeding Supplies
326,2021-01-19,4803.0,Feeding Supplies
327,2021-01-20,4803.0,Feeding Supplies
328,2021-01-21,6242.0,Feeding Supplies
329,2021-01-22,6242.0,Feeding Supplies
330,2021-01-23,6242.0,Feeding Supplies
331,2021-01-24,5950.0,Feeding Supplies
332,2021-01-25,5950.0,Feeding Supplies
333,2021-01-26,7463.0,Feeding Supplies
334,2021-01-27,5756.0,Feeding Supplies
335,2021-01-28,5756.0,Feeding Supplies
336,2021-01-29,6235.0,Feeding Supplies
337,2021-01-30,7747.0,Feeding Supplies
338,2021-01-31,7747.0,Feeding Supplies
339,2021-02-01,7747.0,Feeding Supplies
340,2021-02-02,7726.0,Feeding Supplies
341,2021-02-03,5903.0,Feeding Supplies
342,2021-02-04,5903.0,Feeding Supplies
343,2021-02-05,5903.0,Feeding Supplies
344,2021-02-06,5903.0,Feeding Supplies
345,2021-02-07,6033.0,Feeding Supplies
346,2021-02-08,6033.0,Feeding Supplies
347,2021-02-09,5487.0,Feeding Supplies
348,2021-02-10,5741.0,Feeding Supplies
349,2021-02-11,5741.0,Feeding Supplies
350,2021-02-12,5741.0,Feeding Supplies
351,2021-02-13,8282.0,Feeding Supplies
352,2021-02-14,8282.0,Feeding Supplies
353,2021-02-15,8170.0,Feeding Supplies
354,2021-02-16,8170.0,Feeding Supplies
355,2021-02-17,8170.0,Feeding Supplies
356,2021-02-18,5898.0,Feeding Supplies
357,2021-02-19,5898.0,Feeding Supplies
358,2021-02-20,5898.0,Feeding Supplies
359,2021-02-21,5898.0,Feeding Supplies
360,2021-02-22,4507.0,Feeding Supplies
361,2021-02-23,4507.0,Feeding Supplies
362,2021-02-24,4549.0,Feeding Supplies
363,2021-02-25,4549.0,Feeding Supplies
364,2021-02-26,4549.0,Feeding Supplies
365,2021-02-27,4389.0,Feeding Supplies
366,2021-02-28,4389.0,Feeding Supplies
367,2021-03-01,4389.0,Feeding Supplies
368,2021-03-02,4460.0,Feeding Supplies
369,2021-03-03,4754.0,Feeding Supplies
370,2021-03-04,4754.0,Feeding Supplies
371,2021-03-05,4754.0,Feeding Supplies
372,2021-03-06,4754.0,Feeding Supplies
373,2021-03-07,3308.0,Feeding Supplies
374,2021-03-08,3308.0,Feeding Supplies
375,2021-03-09,3503.0,Feeding Supplies
376,2021-03-10,3289.0,Feeding Supplies
377,2021-03-11,3289.0,Feeding Supplies
378,2021-03-12,3289.0,Feeding Supplies
379,2021-03-13,3289.0,Feeding Supplies
380,2021-03-14,3427.0,Feeding Supplies
381,2021-03-15,3427.0,Feeding Supplies
382,2021-03-16,3427.0,Feeding Supplies
383,2021-03-17,2979.0,Feeding Supplies
384,2021-03-18,3454.0,Feeding Supplies
385,2021-03-19,3454.0,Feeding Supplies
386,2021-03-20,3538.0,Feeding Supplies
387,2021-03-21,3538.0,Feeding Supplies
388,2021-03-22,3372.0,Feeding Supplies
389,2021-03-23,3372.0,Feeding Supplies
390,2021-03-24,3372.0,Feeding Supplies
391,2021-03-25,3552.0,Feeding Supplies
392,2021-03-26,3552.0,Feeding Supplies
