,date,value,name_B087LY2KT6
0,2020-05-04,2295.0,Bath Rugs
1,2020-05-05,2496.0,Bath Rugs
2,2020-05-06,3772.0,Bath Rugs
3,2020-05-07,3772.0,Bath Rugs
4,2020-05-08,3772.0,Bath Rugs
5,2020-05-09,8874.0,Bath Rugs
6,2020-05-10,8874.0,Bath Rugs
7,2020-05-11,11073.0,Bath Rugs
8,2020-05-12,11073.0,Bath Rugs
9,2020-05-13,12806.0,Bath Rugs
10,2020-05-14,12806.0,Bath Rugs
11,2020-05-15,12806.0,Bath Rugs
12,2020-05-16,12806.0,Bath Rugs
13,2020-05-17,12806.0,Bath Rugs
14,2020-05-18,10775.0,Bath Rugs
15,2020-05-19,12214.0,Bath Rugs
16,2020-05-20,4673.0,Bath Rugs
17,2020-05-21,4268.0,Bath Rugs
18,2020-05-22,3687.0,Bath Rugs
19,2020-05-23,3687.0,Bath Rugs
20,2020-05-24,4366.0,Bath Rugs
21,2020-05-25,2963.0,Bath Rugs
22,2020-05-26,4376.0,Bath Rugs
23,2020-05-27,3683.0,Bath Rugs
24,2020-05-28,3760.0,Bath Rugs
25,2020-05-29,3760.0,Bath Rugs
26,2020-05-30,2697.0,Bath Rugs
27,2020-05-31,2697.0,Bath Rugs
28,2020-06-01,2697.0,Bath Rugs
29,2020-06-02,2455.0,Bath Rugs
30,2020-06-03,2765.0,Bath Rugs
31,2020-06-04,2765.0,Bath Rugs
32,2020-06-05,2765.0,Bath Rugs
33,2020-06-06,2895.0,Bath Rugs
34,2020-06-07,2895.0,Bath Rugs
35,2020-06-08,1312.0,Bath Rugs
36,2020-06-09,1312.0,Bath Rugs
37,2020-06-10,1312.0,Bath Rugs
38,2020-06-11,1151.0,Bath Rugs
39,2020-06-12,1181.0,Bath Rugs
40,2020-06-13,998.0,Bath Rugs
41,2020-06-14,974.0,Bath Rugs
42,2020-06-15,974.0,Bath Rugs
43,2020-06-16,1013.0,Bath Rugs
44,2020-06-17,1043.0,Bath Rugs
45,2020-06-18,1253.0,Bath Rugs
46,2020-06-19,1126.0,Bath Rugs
47,2020-06-20,999.0,Bath Rugs
48,2020-06-21,1119.0,Bath Rugs
49,2020-06-22,1119.0,Bath Rugs
50,2020-06-23,1834.0,Bath Rugs
51,2020-06-24,2332.0,Bath Rugs
52,2020-06-25,2332.0,Bath Rugs
53,2020-06-26,2748.0,Bath Rugs
54,2020-06-27,2613.0,Bath Rugs
55,2020-06-28,3650.0,Bath Rugs
56,2020-06-29,3650.0,Bath Rugs
57,2020-06-30,3650.0,Bath Rugs
58,2020-07-01,10141.0,Bath Rugs
59,2020-07-02,14445.0,Bath Rugs
60,2020-07-03,16070.0,Bath Rugs
61,2020-07-04,20423.0,Bath Rugs
62,2020-07-05,20423.0,Bath Rugs
63,2020-07-06,19765.0,Bath Rugs
64,2020-07-07,27947.0,Bath Rugs
65,2020-07-08,26440.0,Bath Rugs
66,2020-07-09,31963.0,Bath Rugs
67,2020-07-10,31963.0,Bath Rugs
68,2020-07-11,31963.0,Bath Rugs
69,2020-07-12,28575.0,Bath Rugs
70,2020-07-13,28575.0,Bath Rugs
71,2020-07-14,28575.0,Bath Rugs
72,2020-07-15,9475.0,Bath Rugs
73,2020-07-16,9475.0,Bath Rugs
74,2020-07-17,9475.0,Bath Rugs
75,2020-07-18,9475.0,Bath Rugs
76,2020-07-19,6867.0,Bath Rugs
77,2020-07-20,6867.0,Bath Rugs
78,2020-07-21,4948.0,Bath Rugs
79,2020-07-22,4948.0,Bath Rugs
80,2020-07-23,4948.0,Bath Rugs
81,2020-07-24,2805.0,Bath Rugs
82,2020-07-25,2805.0,Bath Rugs
83,2020-07-26,3146.0,Bath Rugs
84,2020-07-27,2441.0,Bath Rugs
85,2020-07-28,2743.0,Bath Rugs
86,2020-07-29,2394.0,Bath Rugs
87,2020-07-30,2394.0,Bath Rugs
88,2020-07-31,1917.0,Bath Rugs
89,2020-08-01,1999.0,Bath Rugs
90,2020-08-02,1999.0,Bath Rugs
91,2020-08-03,1999.0,Bath Rugs
92,2020-08-04,1277.0,Bath Rugs
93,2020-08-05,1335.0,Bath Rugs
94,2020-08-06,1335.0,Bath Rugs
95,2020-08-07,1348.0,Bath Rugs
96,2020-08-08,1348.0,Bath Rugs
97,2020-08-09,1359.0,Bath Rugs
98,2020-08-10,1359.0,Bath Rugs
99,2020-08-11,1359.0,Bath Rugs
100,2020-08-12,1574.0,Bath Rugs
101,2020-08-13,1666.0,Bath Rugs
102,2020-08-14,1043.0,Bath Rugs
103,2020-08-15,1043.0,Bath Rugs
104,2020-08-16,1043.0,Bath Rugs
105,2020-08-17,593.0,Bath Rugs
106,2020-08-18,593.0,Bath Rugs
107,2020-08-19,499.0,Bath Rugs
108,2020-08-20,482.0,Bath Rugs
109,2020-08-21,482.0,Bath Rugs
110,2020-08-22,380.0,Bath Rugs
111,2020-08-23,380.0,Bath Rugs
112,2020-08-24,227.0,Bath Rugs
113,2020-08-25,196.0,Bath Rugs
114,2020-08-26,123.0,Bath Rugs
115,2020-08-27,100.0,Bath Rugs
116,2020-08-28,106.0,Bath Rugs
117,2020-08-29,106.0,Bath Rugs
118,2020-08-30,136.0,Bath Rugs
119,2020-08-31,143.0,Bath Rugs
120,2020-09-01,269.0,Bath Rugs
121,2020-09-02,312.0,Bath Rugs
122,2020-09-03,312.0,Bath Rugs
123,2020-09-04,210.0,Bath Rugs
124,2020-09-05,210.0,Bath Rugs
125,2020-09-06,635.0,Bath Rugs
126,2020-09-07,724.0,Bath Rugs
127,2020-09-08,746.0,Bath Rugs
128,2020-09-09,972.0,Bath Rugs
129,2020-09-10,1033.0,Bath Rugs
130,2020-09-11,1033.0,Bath Rugs
131,2020-09-12,1031.0,Bath Rugs
132,2020-09-13,1031.0,Bath Rugs
133,2020-09-14,1235.0,Bath Rugs
134,2020-09-15,1235.0,Bath Rugs
135,2020-09-16,1235.0,Bath Rugs
136,2020-09-17,1323.0,Bath Rugs
137,2020-09-18,1634.0,Bath Rugs
138,2020-09-19,1634.0,Bath Rugs
139,2020-09-20,1634.0,Bath Rugs
140,2020-09-21,1660.0,Bath Rugs
141,2020-09-22,1912.0,Bath Rugs
142,2020-09-23,2031.0,Bath Rugs
143,2020-09-24,1875.0,Bath Rugs
144,2020-09-25,1925.0,Bath Rugs
145,2020-09-26,1925.0,Bath Rugs
146,2020-09-27,1760.0,Bath Rugs
147,2020-09-28,1560.0,Bath Rugs
148,2020-09-29,1560.0,Bath Rugs
149,2020-09-30,1560.0,Bath Rugs
150,2020-10-01,2993.0,Bath Rugs
151,2020-10-02,2993.0,Bath Rugs
152,2020-10-03,2993.0,Bath Rugs
153,2020-10-04,2767.0,Bath Rugs
154,2020-10-05,2767.0,Bath Rugs
155,2020-10-06,3348.0,Bath Rugs
156,2020-10-07,3838.0,Bath Rugs
157,2020-10-08,2981.0,Bath Rugs
158,2020-10-09,3491.0,Bath Rugs
159,2020-10-10,3687.0,Bath Rugs
160,2020-10-11,2142.0,Bath Rugs
161,2020-10-12,2142.0,Bath Rugs
162,2020-10-13,1302.0,Bath Rugs
163,2020-10-14,1302.0,Bath Rugs
164,2020-10-15,1470.0,Bath Rugs
165,2020-10-16,1446.0,Bath Rugs
166,2020-10-17,1108.0,Bath Rugs
167,2020-10-18,1108.0,Bath Rugs
168,2020-10-19,1108.0,Bath Rugs
169,2020-10-20,956.0,Bath Rugs
170,2020-10-21,956.0,Bath Rugs
171,2020-10-22,556.0,Bath Rugs
172,2020-10-23,556.0,Bath Rugs
173,2020-10-24,644.0,Bath Rugs
174,2020-10-25,648.0,Bath Rugs
175,2020-10-26,691.0,Bath Rugs
176,2020-10-27,691.0,Bath Rugs
177,2020-10-28,819.0,Bath Rugs
178,2020-10-29,890.0,Bath Rugs
179,2020-10-30,890.0,Bath Rugs
180,2020-10-31,976.0,Bath Rugs
181,2020-11-01,976.0,Bath Rugs
182,2020-11-02,984.0,Bath Rugs
183,2020-11-03,1080.0,Bath Rugs
184,2020-11-04,1011.0,Bath Rugs
185,2020-11-05,1011.0,Bath Rugs
186,2020-11-06,1059.0,Bath Rugs
187,2020-11-07,1172.0,Bath Rugs
188,2020-11-08,1172.0,Bath Rugs
189,2020-11-09,1244.0,Bath Rugs
190,2020-11-10,1244.0,Bath Rugs
191,2020-11-11,1244.0,Bath Rugs
192,2020-11-12,1630.0,Bath Rugs
193,2020-11-13,1630.0,Bath Rugs
194,2020-11-14,1630.0,Bath Rugs
195,2020-11-15,2381.0,Bath Rugs
196,2020-11-16,2786.0,Bath Rugs
197,2020-11-17,2800.0,Bath Rugs
198,2020-11-18,2800.0,Bath Rugs
199,2020-11-19,3755.0,Bath Rugs
200,2020-11-20,3858.0,Bath Rugs
201,2020-11-21,3028.0,Bath Rugs
202,2020-11-22,3028.0,Bath Rugs
203,2020-11-23,2729.0,Bath Rugs
204,2020-11-24,2785.0,Bath Rugs
205,2020-11-25,2785.0,Bath Rugs
206,2020-11-26,4107.0,Bath Rugs
207,2020-11-27,4463.0,Bath Rugs
208,2020-11-28,4325.0,Bath Rugs
209,2020-11-29,3627.0,Bath Rugs
210,2020-11-30,3934.0,Bath Rugs
211,2020-12-01,4574.0,Bath Rugs
212,2020-12-02,5186.0,Bath Rugs
213,2020-12-03,6188.0,Bath Rugs
214,2020-12-04,6188.0,Bath Rugs
215,2020-12-05,7749.0,Bath Rugs
216,2020-12-06,10237.0,Bath Rugs
217,2020-12-07,11191.0,Bath Rugs
218,2020-12-08,12056.0,Bath Rugs
219,2020-12-09,13799.0,Bath Rugs
220,2020-12-10,13799.0,Bath Rugs
221,2020-12-11,11462.0,Bath Rugs
222,2020-12-12,12463.0,Bath Rugs
223,2020-12-13,12463.0,Bath Rugs
224,2020-12-14,10126.0,Bath Rugs
225,2020-12-15,8542.0,Bath Rugs
226,2020-12-16,8542.0,Bath Rugs
227,2020-12-17,8542.0,Bath Rugs
228,2020-12-18,3600.0,Bath Rugs
229,2020-12-19,2803.0,Bath Rugs
230,2020-12-20,2803.0,Bath Rugs
231,2020-12-21,1943.0,Bath Rugs
232,2020-12-22,1812.0,Bath Rugs
