,date,value,name_B07ZJW9XRG
0,2020-05-25,53991.0,Bromelain
1,2020-05-26,53991.0,Bromelain
2,2020-05-27,43352.0,Bromelain
3,2020-05-28,43352.0,Bromelain
4,2020-05-29,43352.0,Bromelain
5,2020-05-30,38820.0,Bromelain
6,2020-05-31,38820.0,Bromelain
7,2020-06-01,38820.0,Bromelain
8,2020-06-02,41358.0,Bromelain
9,2020-06-03,41358.0,Bromelain
10,2020-06-04,41358.0,Bromelain
11,2020-06-05,41358.0,Bromelain
12,2020-06-06,48736.0,Bromelain
13,2020-06-07,48736.0,Bromelain
14,2020-06-08,48736.0,Bromelain
15,2020-06-09,35625.0,Bromelain
16,2020-06-10,35625.0,Bromelain
17,2020-06-11,57956.0,Bromelain
18,2020-06-12,57956.0,Bromelain
19,2020-06-13,57956.0,Bromelain
20,2020-06-14,57956.0,Bromelain
21,2020-06-15,25751.0,Bromelain
22,2020-06-16,25751.0,Bromelain
23,2020-06-17,25751.0,Bromelain
24,2020-06-18,28809.0,Bromelain
25,2020-06-19,28809.0,Bromelain
26,2020-06-20,28809.0,Bromelain
27,2020-06-21,25127.0,Bromelain
28,2020-06-22,25127.0,Bromelain
29,2020-06-23,25127.0,Bromelain
30,2020-06-24,23441.0,Bromelain
31,2020-06-25,27084.0,Bromelain
32,2020-06-26,27084.0,Bromelain
33,2020-06-27,27084.0,Bromelain
34,2020-06-28,27084.0,Bromelain
35,2020-06-29,23549.0,Bromelain
36,2020-06-30,23549.0,Bromelain
37,2020-07-01,24731.0,Bromelain
38,2020-07-02,24731.0,Bromelain
39,2020-07-03,24731.0,Bromelain
40,2020-07-04,25586.0,Bromelain
41,2020-07-05,25586.0,Bromelain
42,2020-07-06,25586.0,Bromelain
43,2020-07-07,28597.0,Bromelain
44,2020-07-08,28597.0,Bromelain
45,2020-07-09,27991.0,Bromelain
46,2020-07-10,37971.0,Bromelain
47,2020-07-11,37971.0,Bromelain
48,2020-07-12,37971.0,Bromelain
49,2020-07-13,40178.0,Bromelain
50,2020-07-14,40178.0,Bromelain
51,2020-07-15,40178.0,Bromelain
52,2020-07-16,34726.0,Bromelain
53,2020-07-17,34726.0,Bromelain
54,2020-07-18,34726.0,Bromelain
55,2020-07-19,42660.0,Bromelain
56,2020-07-20,42660.0,Bromelain
57,2020-07-21,39201.0,Bromelain
58,2020-07-22,39201.0,Bromelain
59,2020-07-23,39201.0,Bromelain
60,2020-07-24,35220.0,Bromelain
61,2020-07-25,35220.0,Bromelain
62,2020-07-26,35220.0,Bromelain
63,2020-07-27,52975.0,Bromelain
64,2020-07-28,52975.0,Bromelain
65,2020-07-29,32608.0,Bromelain
66,2020-07-30,24591.0,Bromelain
67,2020-07-31,24591.0,Bromelain
68,2020-08-01,24591.0,Bromelain
69,2020-08-02,24591.0,Bromelain
70,2020-08-03,23714.0,Bromelain
71,2020-08-04,23714.0,Bromelain
72,2020-08-05,34357.0,Bromelain
73,2020-08-06,34357.0,Bromelain
74,2020-08-07,34357.0,Bromelain
75,2020-08-08,37733.0,Bromelain
76,2020-08-09,37733.0,Bromelain
77,2020-08-10,37733.0,Bromelain
78,2020-08-11,23905.0,Bromelain
79,2020-08-12,23905.0,Bromelain
80,2020-08-13,23905.0,Bromelain
81,2020-08-14,31737.0,Bromelain
82,2020-08-15,31737.0,Bromelain
83,2020-08-16,31737.0,Bromelain
84,2020-08-17,34995.0,Bromelain
85,2020-08-18,34995.0,Bromelain
86,2020-08-19,34995.0,Bromelain
87,2020-08-20,40476.0,Bromelain
88,2020-08-21,40476.0,Bromelain
89,2020-08-22,52762.0,Bromelain
90,2020-08-23,52762.0,Bromelain
91,2020-08-24,52762.0,Bromelain
92,2020-08-25,52762.0,Bromelain
93,2020-08-26,48666.0,Bromelain
94,2020-08-27,48666.0,Bromelain
95,2020-08-28,40887.0,Bromelain
96,2020-08-29,38172.0,Bromelain
97,2020-08-30,38172.0,Bromelain
98,2020-08-31,39692.0,Bromelain
99,2020-09-01,39692.0,Bromelain
100,2020-09-02,39692.0,Bromelain
101,2020-09-03,36170.0,Bromelain
102,2020-09-04,36170.0,Bromelain
103,2020-09-05,36170.0,Bromelain
104,2020-09-06,43287.0,Bromelain
105,2020-09-07,48221.0,Bromelain
106,2020-09-08,36107.0,Bromelain
107,2020-09-09,36107.0,Bromelain
108,2020-09-10,36107.0,Bromelain
109,2020-09-11,32067.0,Bromelain
110,2020-09-12,32067.0,Bromelain
111,2020-09-13,32067.0,Bromelain
112,2020-09-14,37711.0,Bromelain
113,2020-09-15,37711.0,Bromelain
114,2020-09-16,50640.0,Bromelain
115,2020-09-17,57324.0,Bromelain
116,2020-09-18,57324.0,Bromelain
117,2020-09-19,57324.0,Bromelain
118,2020-09-20,51771.0,Bromelain
119,2020-09-21,51771.0,Bromelain
120,2020-09-22,58190.0,Bromelain
121,2020-09-23,58190.0,Bromelain
122,2020-09-24,58190.0,Bromelain
123,2020-09-25,58190.0,Bromelain
124,2020-09-26,45568.0,Bromelain
125,2020-09-27,42948.0,Bromelain
126,2020-09-28,42948.0,Bromelain
127,2020-09-29,42948.0,Bromelain
128,2020-09-30,62384.0,Bromelain
129,2020-10-01,62384.0,Bromelain
130,2020-10-02,62384.0,Bromelain
131,2020-10-03,58714.0,Bromelain
132,2020-10-04,58714.0,Bromelain
133,2020-10-05,47870.0,Bromelain
134,2020-10-06,47870.0,Bromelain
135,2020-10-07,47870.0,Bromelain
136,2020-10-08,51543.0,Bromelain
137,2020-10-09,51543.0,Bromelain
138,2020-10-10,51543.0,Bromelain
139,2020-10-11,54298.0,Bromelain
140,2020-10-12,54298.0,Bromelain
141,2020-10-13,39282.0,Bromelain
142,2020-10-14,39282.0,Bromelain
143,2020-10-15,39282.0,Bromelain
144,2020-10-16,39282.0,Bromelain
145,2020-10-17,64158.0,Bromelain
146,2020-10-18,64158.0,Bromelain
147,2020-10-19,48625.0,Bromelain
148,2020-10-20,48625.0,Bromelain
149,2020-10-21,48625.0,Bromelain
150,2020-10-22,48625.0,Bromelain
151,2020-10-23,48625.0,Bromelain
152,2020-10-24,48625.0,Bromelain
153,2020-10-25,48625.0,Bromelain
154,2020-10-26,48625.0,Bromelain
155,2020-10-27,48625.0,Bromelain
156,2020-10-28,48625.0,Bromelain
157,2020-10-29,48625.0,Bromelain
