,date,value,name_B085TLM98S
0,2020-03-26,22300.0,Pillowcases
1,2020-03-27,16972.0,Pillowcases
2,2020-03-28,16604.0,Pillowcases
3,2020-03-29,18869.0,Pillowcases
4,2020-03-30,25867.0,Pillowcases
5,2020-03-31,17460.0,Pillowcases
6,2020-04-01,17460.0,Pillowcases
7,2020-04-02,10705.0,Pillowcases
8,2020-04-03,8643.0,Pillowcases
9,2020-04-04,8462.0,Pillowcases
10,2020-04-05,8462.0,Pillowcases
11,2020-04-06,8462.0,Pillowcases
12,2020-04-07,8666.0,Pillowcases
13,2020-04-08,9137.0,Pillowcases
14,2020-04-09,9137.0,Pillowcases
15,2020-04-10,7219.0,Pillowcases
16,2020-04-11,10425.0,Pillowcases
17,2020-04-12,10425.0,Pillowcases
18,2020-04-13,10584.0,Pillowcases
19,2020-04-14,9375.0,Pillowcases
20,2020-04-15,9786.0,Pillowcases
21,2020-04-16,10771.0,Pillowcases
22,2020-04-17,9064.0,Pillowcases
23,2020-04-18,9064.0,Pillowcases
24,2020-04-19,9064.0,Pillowcases
25,2020-04-20,12999.0,Pillowcases
26,2020-04-21,11079.0,Pillowcases
27,2020-04-22,9736.0,Pillowcases
28,2020-04-23,14101.0,Pillowcases
29,2020-04-24,13084.0,Pillowcases
30,2020-04-25,11469.0,Pillowcases
31,2020-04-26,9968.0,Pillowcases
32,2020-04-27,12415.0,Pillowcases
33,2020-04-28,13824.0,Pillowcases
34,2020-04-29,12238.0,Pillowcases
35,2020-04-30,13349.0,Pillowcases
36,2020-05-01,13349.0,Pillowcases
37,2020-05-02,9879.0,Pillowcases
38,2020-05-03,9879.0,Pillowcases
39,2020-05-04,9879.0,Pillowcases
40,2020-05-05,6181.0,Pillowcases
41,2020-05-06,5609.0,Pillowcases
42,2020-05-07,5624.0,Pillowcases
43,2020-05-08,4636.0,Pillowcases
44,2020-05-09,6246.0,Pillowcases
45,2020-05-10,6246.0,Pillowcases
46,2020-05-11,6932.0,Pillowcases
47,2020-05-12,7109.0,Pillowcases
48,2020-05-13,9304.0,Pillowcases
49,2020-05-14,7682.0,Pillowcases
50,2020-05-15,6767.0,Pillowcases
51,2020-05-16,6767.0,Pillowcases
52,2020-05-17,9438.0,Pillowcases
53,2020-05-18,9438.0,Pillowcases
54,2020-05-19,10079.0,Pillowcases
55,2020-05-20,10464.0,Pillowcases
56,2020-05-21,4782.0,Pillowcases
57,2020-05-22,4782.0,Pillowcases
58,2020-05-23,5446.0,Pillowcases
59,2020-05-24,5606.0,Pillowcases
60,2020-05-25,5541.0,Pillowcases
61,2020-05-26,6090.0,Pillowcases
62,2020-05-27,5581.0,Pillowcases
63,2020-05-28,5798.0,Pillowcases
64,2020-05-29,5798.0,Pillowcases
65,2020-05-30,4782.0,Pillowcases
66,2020-05-31,5983.0,Pillowcases
67,2020-06-01,7669.0,Pillowcases
68,2020-06-02,5645.0,Pillowcases
69,2020-06-03,6112.0,Pillowcases
70,2020-06-04,6116.0,Pillowcases
71,2020-06-05,6437.0,Pillowcases
72,2020-06-06,4773.0,Pillowcases
73,2020-06-07,5849.0,Pillowcases
74,2020-06-08,5849.0,Pillowcases
75,2020-06-09,4770.0,Pillowcases
76,2020-06-10,5803.0,Pillowcases
77,2020-06-11,5803.0,Pillowcases
78,2020-06-12,6648.0,Pillowcases
79,2020-06-13,6648.0,Pillowcases
80,2020-06-14,5019.0,Pillowcases
81,2020-06-15,5804.0,Pillowcases
82,2020-06-16,5279.0,Pillowcases
83,2020-06-17,5430.0,Pillowcases
84,2020-06-18,5579.0,Pillowcases
85,2020-06-19,4689.0,Pillowcases
86,2020-06-20,4208.0,Pillowcases
87,2020-06-21,4208.0,Pillowcases
88,2020-06-22,4557.0,Pillowcases
89,2020-06-23,5060.0,Pillowcases
90,2020-06-24,5140.0,Pillowcases
91,2020-06-25,4305.0,Pillowcases
92,2020-06-26,4305.0,Pillowcases
93,2020-06-27,4305.0,Pillowcases
94,2020-06-28,4669.0,Pillowcases
95,2020-06-29,4715.0,Pillowcases
96,2020-06-30,5000.0,Pillowcases
97,2020-07-01,5000.0,Pillowcases
98,2020-07-02,4293.0,Pillowcases
99,2020-07-03,5247.0,Pillowcases
100,2020-07-04,4896.0,Pillowcases
101,2020-07-05,4896.0,Pillowcases
102,2020-07-06,4896.0,Pillowcases
103,2020-07-07,4431.0,Pillowcases
104,2020-07-08,3879.0,Pillowcases
105,2020-07-09,3875.0,Pillowcases
106,2020-07-10,4094.0,Pillowcases
107,2020-07-11,3167.0,Pillowcases
108,2020-07-12,3827.0,Pillowcases
109,2020-07-13,4126.0,Pillowcases
110,2020-07-14,3966.0,Pillowcases
111,2020-07-15,3962.0,Pillowcases
112,2020-07-16,4600.0,Pillowcases
113,2020-07-17,3548.0,Pillowcases
114,2020-07-18,3548.0,Pillowcases
115,2020-07-19,3239.0,Pillowcases
116,2020-07-20,3612.0,Pillowcases
117,2020-07-21,3946.0,Pillowcases
118,2020-07-22,4345.0,Pillowcases
119,2020-07-23,4345.0,Pillowcases
120,2020-07-24,4451.0,Pillowcases
121,2020-07-25,3929.0,Pillowcases
122,2020-07-26,4209.0,Pillowcases
