,date,value,name_B089M7V98H
0,2020-06-08,5787.0,Role Playing Dice
1,2020-06-09,5879.0,Role Playing Dice
2,2020-06-10,5879.0,Role Playing Dice
3,2020-06-11,5879.0,Role Playing Dice
4,2020-06-12,6028.0,Role Playing Dice
5,2020-06-13,5334.0,Role Playing Dice
6,2020-06-14,5334.0,Role Playing Dice
7,2020-06-15,3131.0,Role Playing Dice
8,2020-06-16,4580.0,Role Playing Dice
9,2020-06-17,4580.0,Role Playing Dice
10,2020-06-18,4580.0,Role Playing Dice
11,2020-06-19,4056.0,Role Playing Dice
12,2020-06-20,4056.0,Role Playing Dice
13,2020-06-21,2259.0,Role Playing Dice
14,2020-06-22,2456.0,Role Playing Dice
15,2020-06-23,3528.0,Role Playing Dice
16,2020-06-24,3899.0,Role Playing Dice
17,2020-06-25,3899.0,Role Playing Dice
18,2020-06-26,2916.0,Role Playing Dice
19,2020-06-27,2916.0,Role Playing Dice
20,2020-06-28,3597.0,Role Playing Dice
21,2020-06-29,3169.0,Role Playing Dice
22,2020-06-30,3169.0,Role Playing Dice
23,2020-07-01,3169.0,Role Playing Dice
24,2020-07-02,4875.0,Role Playing Dice
25,2020-07-03,4875.0,Role Playing Dice
26,2020-07-04,4875.0,Role Playing Dice
27,2020-07-05,5331.0,Role Playing Dice
28,2020-07-06,5331.0,Role Playing Dice
29,2020-07-07,5331.0,Role Playing Dice
30,2020-07-08,4110.0,Role Playing Dice
31,2020-07-09,4422.0,Role Playing Dice
32,2020-07-10,4422.0,Role Playing Dice
33,2020-07-11,4422.0,Role Playing Dice
34,2020-07-12,3474.0,Role Playing Dice
35,2020-07-13,3120.0,Role Playing Dice
36,2020-07-14,3120.0,Role Playing Dice
37,2020-07-15,3378.0,Role Playing Dice
38,2020-07-16,3378.0,Role Playing Dice
39,2020-07-17,3378.0,Role Playing Dice
40,2020-07-18,4421.0,Role Playing Dice
41,2020-07-19,4390.0,Role Playing Dice
42,2020-07-20,3605.0,Role Playing Dice
43,2020-07-21,3605.0,Role Playing Dice
44,2020-07-22,4453.0,Role Playing Dice
45,2020-07-23,4453.0,Role Playing Dice
46,2020-07-24,4453.0,Role Playing Dice
47,2020-07-25,3604.0,Role Playing Dice
48,2020-07-26,3604.0,Role Playing Dice
49,2020-07-27,3183.0,Role Playing Dice
50,2020-07-28,3646.0,Role Playing Dice
51,2020-07-29,3646.0,Role Playing Dice
52,2020-07-30,3646.0,Role Playing Dice
53,2020-07-31,4322.0,Role Playing Dice
54,2020-08-01,4322.0,Role Playing Dice
55,2020-08-02,4322.0,Role Playing Dice
56,2020-08-03,3285.0,Role Playing Dice
57,2020-08-04,3285.0,Role Playing Dice
58,2020-08-05,3285.0,Role Playing Dice
59,2020-08-06,4669.0,Role Playing Dice
60,2020-08-07,4669.0,Role Playing Dice
61,2020-08-08,4669.0,Role Playing Dice
62,2020-08-09,3031.0,Role Playing Dice
63,2020-08-10,3031.0,Role Playing Dice
64,2020-08-11,3031.0,Role Playing Dice
65,2020-08-12,3533.0,Role Playing Dice
66,2020-08-13,3533.0,Role Playing Dice
67,2020-08-14,3533.0,Role Playing Dice
68,2020-08-15,3029.0,Role Playing Dice
69,2020-08-16,3029.0,Role Playing Dice
70,2020-08-17,3029.0,Role Playing Dice
71,2020-08-18,3161.0,Role Playing Dice
72,2020-08-19,3161.0,Role Playing Dice
73,2020-08-20,3659.0,Role Playing Dice
74,2020-08-21,3305.0,Role Playing Dice
75,2020-08-22,3305.0,Role Playing Dice
76,2020-08-23,2926.0,Role Playing Dice
77,2020-08-24,2926.0,Role Playing Dice
78,2020-08-25,2926.0,Role Playing Dice
79,2020-08-26,2926.0,Role Playing Dice
80,2020-08-27,4693.0,Role Playing Dice
81,2020-08-28,4022.0,Role Playing Dice
82,2020-08-29,3960.0,Role Playing Dice
83,2020-08-30,3960.0,Role Playing Dice
84,2020-08-31,3884.0,Role Playing Dice
85,2020-09-01,3884.0,Role Playing Dice
86,2020-09-02,5659.0,Role Playing Dice
87,2020-09-03,5659.0,Role Playing Dice
88,2020-09-04,5659.0,Role Playing Dice
89,2020-09-05,4670.0,Role Playing Dice
90,2020-09-06,4670.0,Role Playing Dice
91,2020-09-07,4432.0,Role Playing Dice
92,2020-09-08,4432.0,Role Playing Dice
93,2020-09-09,4424.0,Role Playing Dice
94,2020-09-10,4424.0,Role Playing Dice
95,2020-09-11,4424.0,Role Playing Dice
96,2020-09-12,4746.0,Role Playing Dice
97,2020-09-13,4746.0,Role Playing Dice
98,2020-09-14,4664.0,Role Playing Dice
99,2020-09-15,4458.0,Role Playing Dice
100,2020-09-16,6497.0,Role Playing Dice
101,2020-09-17,4385.0,Role Playing Dice
102,2020-09-18,4385.0,Role Playing Dice
103,2020-09-19,4385.0,Role Playing Dice
104,2020-09-20,5831.0,Role Playing Dice
105,2020-09-21,5831.0,Role Playing Dice
106,2020-09-22,5914.0,Role Playing Dice
107,2020-09-23,5914.0,Role Playing Dice
108,2020-09-24,5914.0,Role Playing Dice
109,2020-09-25,5914.0,Role Playing Dice
110,2020-09-26,6120.0,Role Playing Dice
111,2020-09-27,6120.0,Role Playing Dice
112,2020-09-28,6120.0,Role Playing Dice
113,2020-09-29,7127.0,Role Playing Dice
114,2020-09-30,9564.0,Role Playing Dice
115,2020-10-01,8357.0,Role Playing Dice
116,2020-10-02,8357.0,Role Playing Dice
117,2020-10-03,8357.0,Role Playing Dice
118,2020-10-04,8119.0,Role Playing Dice
119,2020-10-05,8119.0,Role Playing Dice
120,2020-10-06,12601.0,Role Playing Dice
121,2020-10-07,12601.0,Role Playing Dice
122,2020-10-08,11190.0,Role Playing Dice
123,2020-10-09,11190.0,Role Playing Dice
124,2020-10-10,11190.0,Role Playing Dice
125,2020-10-11,11190.0,Role Playing Dice
126,2020-10-12,9634.0,Role Playing Dice
127,2020-10-13,9634.0,Role Playing Dice
128,2020-10-14,16743.0,Role Playing Dice
129,2020-10-15,16743.0,Role Playing Dice
130,2020-10-16,16743.0,Role Playing Dice
131,2020-10-17,12993.0,Role Playing Dice
132,2020-10-18,12993.0,Role Playing Dice
133,2020-10-19,11580.0,Role Playing Dice
134,2020-10-20,11580.0,Role Playing Dice
135,2020-10-21,13826.0,Role Playing Dice
136,2020-10-22,13826.0,Role Playing Dice
137,2020-10-23,13826.0,Role Playing Dice
138,2020-10-24,9509.0,Role Playing Dice
139,2020-10-25,9509.0,Role Playing Dice
140,2020-10-26,9509.0,Role Playing Dice
141,2020-10-27,10781.0,Role Playing Dice
142,2020-10-28,10781.0,Role Playing Dice
143,2020-10-29,10781.0,Role Playing Dice
144,2020-10-30,10781.0,Role Playing Dice
145,2020-10-31,7801.0,Role Playing Dice
146,2020-11-01,7801.0,Role Playing Dice
147,2020-11-02,10241.0,Role Playing Dice
148,2020-11-03,10241.0,Role Playing Dice
149,2020-11-04,10241.0,Role Playing Dice
150,2020-11-05,11189.0,Role Playing Dice
151,2020-11-06,9114.0,Role Playing Dice
152,2020-11-07,9114.0,Role Playing Dice
153,2020-11-08,7760.0,Role Playing Dice
154,2020-11-09,7760.0,Role Playing Dice
155,2020-11-10,7760.0,Role Playing Dice
156,2020-11-11,10187.0,Role Playing Dice
157,2020-11-12,9988.0,Role Playing Dice
158,2020-11-13,9988.0,Role Playing Dice
159,2020-11-14,9988.0,Role Playing Dice
160,2020-11-15,8944.0,Role Playing Dice
161,2020-11-16,10708.0,Role Playing Dice
162,2020-11-17,10708.0,Role Playing Dice
163,2020-11-18,10708.0,Role Playing Dice
164,2020-11-19,10858.0,Role Playing Dice
165,2020-11-20,10893.0,Role Playing Dice
166,2020-11-21,10893.0,Role Playing Dice
167,2020-11-22,10893.0,Role Playing Dice
168,2020-11-23,10838.0,Role Playing Dice
169,2020-11-24,10838.0,Role Playing Dice
170,2020-11-25,9546.0,Role Playing Dice
171,2020-11-26,9546.0,Role Playing Dice
172,2020-11-27,9546.0,Role Playing Dice
