,date,value,name_B08FT1CJCP
117,2020-12-11,48336.0,Free Standing Shoe Racks
118,2020-12-12,63487.0,Free Standing Shoe Racks
119,2020-12-13,63487.0,Free Standing Shoe Racks
120,2020-12-14,63487.0,Free Standing Shoe Racks
121,2020-12-15,63487.0,Free Standing Shoe Racks
122,2020-12-16,81112.0,Free Standing Shoe Racks
123,2020-12-17,81112.0,Free Standing Shoe Racks
124,2020-12-18,81112.0,Free Standing Shoe Racks
125,2020-12-19,81112.0,Free Standing Shoe Racks
126,2020-12-20,81112.0,Free Standing Shoe Racks
127,2020-12-21,84524.0,Free Standing Shoe Racks
128,2020-12-22,84524.0,Free Standing Shoe Racks
129,2020-12-23,84524.0,Free Standing Shoe Racks
130,2020-12-24,84524.0,Free Standing Shoe Racks
131,2020-12-25,84524.0,Free Standing Shoe Racks
132,2020-12-26,73063.0,Free Standing Shoe Racks
133,2020-12-27,73063.0,Free Standing Shoe Racks
134,2020-12-28,67224.0,Free Standing Shoe Racks
135,2020-12-29,67224.0,Free Standing Shoe Racks
136,2020-12-30,62408.0,Free Standing Shoe Racks
137,2020-12-31,62408.0,Free Standing Shoe Racks
138,2021-01-01,62408.0,Free Standing Shoe Racks
139,2021-01-02,62408.0,Free Standing Shoe Racks
140,2021-01-03,62408.0,Free Standing Shoe Racks
141,2021-01-04,40700.0,Free Standing Shoe Racks
142,2021-01-05,34896.0,Free Standing Shoe Racks
143,2021-01-06,34896.0,Free Standing Shoe Racks
144,2021-01-07,34896.0,Free Standing Shoe Racks
145,2021-01-08,25248.0,Free Standing Shoe Racks
146,2021-01-09,25248.0,Free Standing Shoe Racks
147,2021-01-10,25248.0,Free Standing Shoe Racks
148,2021-01-11,25248.0,Free Standing Shoe Racks
149,2021-01-12,14340.0,Free Standing Shoe Racks
150,2021-01-13,14340.0,Free Standing Shoe Racks
151,2021-01-14,13646.0,Free Standing Shoe Racks
152,2021-01-15,13646.0,Free Standing Shoe Racks
153,2021-01-16,13364.0,Free Standing Shoe Racks
