,date,value,name_B092245B3S
0,2021-04-09,700.0,Iron-on Transfers
1,2021-04-10,700.0,Iron-on Transfers
2,2021-04-11,744.0,Iron-on Transfers
3,2021-04-12,640.0,Iron-on Transfers
4,2021-04-13,236.0,Iron-on Transfers
5,2021-04-14,249.0,Iron-on Transfers
6,2021-04-15,165.0,Iron-on Transfers
7,2021-04-16,170.0,Iron-on Transfers
8,2021-04-17,170.0,Iron-on Transfers
9,2021-04-18,170.0,Iron-on Transfers
10,2021-04-19,225.0,Iron-on Transfers
11,2021-04-20,225.0,Iron-on Transfers
12,2021-04-21,451.0,Iron-on Transfers
13,2021-04-22,451.0,Iron-on Transfers
14,2021-04-23,616.0,Iron-on Transfers
15,2021-04-24,616.0,Iron-on Transfers
16,2021-04-25,645.0,Iron-on Transfers
17,2021-04-26,734.0,Iron-on Transfers
18,2021-04-27,734.0,Iron-on Transfers
19,2021-04-28,764.0,Iron-on Transfers
20,2021-04-29,764.0,Iron-on Transfers
21,2021-04-30,849.0,Iron-on Transfers
22,2021-05-01,849.0,Iron-on Transfers
23,2021-05-02,764.0,Iron-on Transfers
24,2021-05-03,764.0,Iron-on Transfers
25,2021-05-04,817.0,Iron-on Transfers
26,2021-05-05,817.0,Iron-on Transfers
27,2021-05-06,817.0,Iron-on Transfers
28,2021-05-07,814.0,Iron-on Transfers
29,2021-05-08,814.0,Iron-on Transfers
30,2021-05-09,866.0,Iron-on Transfers
31,2021-05-10,866.0,Iron-on Transfers
32,2021-05-11,737.0,Iron-on Transfers
33,2021-05-12,737.0,Iron-on Transfers
34,2021-05-13,665.0,Iron-on Transfers
35,2021-05-14,665.0,Iron-on Transfers
36,2021-05-15,925.0,Iron-on Transfers
37,2021-05-16,925.0,Iron-on Transfers
38,2021-05-17,705.0,Iron-on Transfers
39,2021-05-18,390.0,Iron-on Transfers
40,2021-05-19,390.0,Iron-on Transfers
41,2021-05-20,390.0,Iron-on Transfers
42,2021-05-21,257.0,Iron-on Transfers
43,2021-05-22,257.0,Iron-on Transfers
44,2021-05-23,247.0,Iron-on Transfers
45,2021-05-24,241.0,Iron-on Transfers
46,2021-05-25,316.0,Iron-on Transfers
47,2021-05-26,316.0,Iron-on Transfers
48,2021-05-27,464.0,Iron-on Transfers
49,2021-05-28,795.0,Iron-on Transfers
50,2021-05-29,795.0,Iron-on Transfers
51,2021-05-30,795.0,Iron-on Transfers
52,2021-05-31,754.0,Iron-on Transfers
53,2021-06-01,835.0,Iron-on Transfers
54,2021-06-02,726.0,Iron-on Transfers
55,2021-06-03,672.0,Iron-on Transfers
56,2021-06-04,672.0,Iron-on Transfers
57,2021-06-05,1054.0,Iron-on Transfers
58,2021-06-06,939.0,Iron-on Transfers
59,2021-06-07,939.0,Iron-on Transfers
60,2021-06-08,910.0,Iron-on Transfers
61,2021-06-09,910.0,Iron-on Transfers
62,2021-06-10,687.0,Iron-on Transfers
63,2021-06-11,687.0,Iron-on Transfers
64,2021-06-12,687.0,Iron-on Transfers
65,2021-06-13,1008.0,Iron-on Transfers
66,2021-06-14,1008.0,Iron-on Transfers
67,2021-06-15,1008.0,Iron-on Transfers
68,2021-06-16,509.0,Iron-on Transfers
69,2021-06-17,509.0,Iron-on Transfers
70,2021-06-18,391.0,Iron-on Transfers
71,2021-06-19,391.0,Iron-on Transfers
72,2021-06-20,428.0,Iron-on Transfers
73,2021-06-21,534.0,Iron-on Transfers
74,2021-06-22,534.0,Iron-on Transfers
75,2021-06-23,1478.0,Iron-on Transfers
76,2021-06-24,1478.0,Iron-on Transfers
77,2021-06-25,1041.0,Iron-on Transfers
78,2021-06-26,1041.0,Iron-on Transfers
79,2021-06-27,1041.0,Iron-on Transfers
80,2021-06-28,1439.0,Iron-on Transfers
81,2021-06-29,1229.0,Iron-on Transfers
82,2021-06-30,1117.0,Iron-on Transfers
83,2021-07-01,1117.0,Iron-on Transfers
84,2021-07-02,1296.0,Iron-on Transfers
85,2021-07-03,1296.0,Iron-on Transfers
86,2021-07-04,1027.0,Iron-on Transfers
87,2021-07-05,1027.0,Iron-on Transfers
88,2021-07-06,1027.0,Iron-on Transfers
89,2021-07-07,1368.0,Iron-on Transfers
90,2021-07-08,1352.0,Iron-on Transfers
91,2021-07-09,1583.0,Iron-on Transfers
92,2021-07-10,1583.0,Iron-on Transfers
93,2021-07-11,1323.0,Iron-on Transfers
