,date,value,name_B07WG6DVFW
0,2020-05-26,16777.0,Activity Cubes
1,2020-05-27,16118.0,Activity Cubes
2,2020-05-28,16118.0,Activity Cubes
3,2020-05-29,16118.0,Activity Cubes
4,2020-05-30,16118.0,Activity Cubes
5,2020-05-31,16118.0,Activity Cubes
6,2020-06-01,15124.0,Activity Cubes
7,2020-06-02,15124.0,Activity Cubes
8,2020-06-03,15124.0,Activity Cubes
9,2020-06-04,14765.0,Activity Cubes
10,2020-06-05,14765.0,Activity Cubes
11,2020-06-06,13788.0,Activity Cubes
12,2020-06-07,14591.0,Activity Cubes
13,2020-06-08,14591.0,Activity Cubes
14,2020-06-09,17706.0,Activity Cubes
15,2020-06-10,10261.0,Activity Cubes
16,2020-06-11,10261.0,Activity Cubes
17,2020-06-12,10999.0,Activity Cubes
18,2020-06-13,10999.0,Activity Cubes
19,2020-06-14,10999.0,Activity Cubes
20,2020-06-15,13445.0,Activity Cubes
21,2020-06-16,13445.0,Activity Cubes
22,2020-06-17,15359.0,Activity Cubes
23,2020-06-18,15359.0,Activity Cubes
24,2020-06-19,15359.0,Activity Cubes
25,2020-06-20,10194.0,Activity Cubes
26,2020-06-21,10194.0,Activity Cubes
27,2020-06-22,10194.0,Activity Cubes
28,2020-06-23,10194.0,Activity Cubes
29,2020-06-24,18530.0,Activity Cubes
30,2020-06-25,18530.0,Activity Cubes
31,2020-06-26,17280.0,Activity Cubes
32,2020-06-27,17280.0,Activity Cubes
33,2020-06-28,17280.0,Activity Cubes
34,2020-06-29,13173.0,Activity Cubes
35,2020-06-30,13173.0,Activity Cubes
36,2020-07-01,13173.0,Activity Cubes
37,2020-07-02,13173.0,Activity Cubes
38,2020-07-03,13173.0,Activity Cubes
39,2020-07-04,13173.0,Activity Cubes
40,2020-07-05,13173.0,Activity Cubes
41,2020-07-06,13173.0,Activity Cubes
42,2020-07-07,13173.0,Activity Cubes
43,2020-07-08,14219.0,Activity Cubes
44,2020-07-09,14219.0,Activity Cubes
45,2020-07-10,14219.0,Activity Cubes
46,2020-07-11,14219.0,Activity Cubes
47,2020-07-12,14219.0,Activity Cubes
48,2020-07-13,14219.0,Activity Cubes
49,2020-07-14,11136.0,Activity Cubes
50,2020-07-15,11136.0,Activity Cubes
51,2020-07-16,11136.0,Activity Cubes
52,2020-07-17,11136.0,Activity Cubes
53,2020-07-18,11136.0,Activity Cubes
54,2020-07-19,11136.0,Activity Cubes
55,2020-07-20,14235.0,Activity Cubes
56,2020-07-21,14235.0,Activity Cubes
57,2020-07-22,354712.0,Activity Cubes
58,2020-07-23,354712.0,Activity Cubes
59,2020-07-24,354712.0,Activity Cubes
60,2020-07-25,354712.0,Activity Cubes
61,2020-07-26,354712.0,Activity Cubes
62,2020-07-27,354712.0,Activity Cubes
63,2020-07-28,354712.0,Activity Cubes
64,2020-07-29,12165.0,Activity Cubes
65,2020-07-30,12165.0,Activity Cubes
66,2020-07-31,12165.0,Activity Cubes
67,2020-08-01,12165.0,Activity Cubes
68,2020-08-02,12165.0,Activity Cubes
69,2020-08-03,12891.0,Activity Cubes
70,2020-08-04,12891.0,Activity Cubes
71,2020-08-05,14755.0,Activity Cubes
72,2020-08-06,14755.0,Activity Cubes
73,2020-08-07,14755.0,Activity Cubes
74,2020-08-08,14755.0,Activity Cubes
75,2020-08-09,14755.0,Activity Cubes
76,2020-08-10,14755.0,Activity Cubes
77,2020-08-11,14376.0,Activity Cubes
78,2020-08-12,14376.0,Activity Cubes
79,2020-08-13,14376.0,Activity Cubes
80,2020-08-14,14890.0,Activity Cubes
81,2020-08-15,14890.0,Activity Cubes
82,2020-08-16,14890.0,Activity Cubes
83,2020-08-17,14526.0,Activity Cubes
84,2020-08-18,14526.0,Activity Cubes
85,2020-08-19,14526.0,Activity Cubes
86,2020-08-20,14526.0,Activity Cubes
87,2020-08-21,14526.0,Activity Cubes
88,2020-08-22,16773.0,Activity Cubes
89,2020-08-23,16773.0,Activity Cubes
90,2020-08-24,16773.0,Activity Cubes
91,2020-08-25,16773.0,Activity Cubes
92,2020-08-26,13925.0,Activity Cubes
93,2020-08-27,13925.0,Activity Cubes
94,2020-08-28,13925.0,Activity Cubes
95,2020-08-29,11475.0,Activity Cubes
96,2020-08-30,11475.0,Activity Cubes
97,2020-08-31,11475.0,Activity Cubes
98,2020-09-01,13652.0,Activity Cubes
99,2020-09-02,13652.0,Activity Cubes
100,2020-09-03,13652.0,Activity Cubes
101,2020-09-04,13652.0,Activity Cubes
102,2020-09-05,13652.0,Activity Cubes
103,2020-09-06,15734.0,Activity Cubes
104,2020-09-07,15734.0,Activity Cubes
105,2020-09-08,15734.0,Activity Cubes
106,2020-09-09,10646.0,Activity Cubes
107,2020-09-10,10646.0,Activity Cubes
108,2020-09-11,10646.0,Activity Cubes
109,2020-09-12,10646.0,Activity Cubes
110,2020-09-13,10646.0,Activity Cubes
111,2020-09-14,25009.0,Activity Cubes
112,2020-09-15,25009.0,Activity Cubes
113,2020-09-16,377658.0,Activity Cubes
114,2020-09-17,377658.0,Activity Cubes
115,2020-09-18,16240.0,Activity Cubes
116,2020-09-19,16240.0,Activity Cubes
117,2020-09-20,12552.0,Activity Cubes
118,2020-09-21,12552.0,Activity Cubes
119,2020-09-22,12552.0,Activity Cubes
120,2020-09-23,12552.0,Activity Cubes
121,2020-09-24,19252.0,Activity Cubes
122,2020-09-25,19252.0,Activity Cubes
123,2020-09-26,19252.0,Activity Cubes
124,2020-09-27,19252.0,Activity Cubes
125,2020-09-28,17799.0,Activity Cubes
126,2020-09-29,17799.0,Activity Cubes
127,2020-09-30,17799.0,Activity Cubes
128,2020-10-01,18223.0,Activity Cubes
129,2020-10-02,18223.0,Activity Cubes
130,2020-10-03,18223.0,Activity Cubes
131,2020-10-04,18223.0,Activity Cubes
132,2020-10-05,14058.0,Activity Cubes
133,2020-10-06,14058.0,Activity Cubes
134,2020-10-07,14058.0,Activity Cubes
135,2020-10-08,18370.0,Activity Cubes
136,2020-10-09,18370.0,Activity Cubes
137,2020-10-10,18370.0,Activity Cubes
138,2020-10-11,19501.0,Activity Cubes
139,2020-10-12,19501.0,Activity Cubes
140,2020-10-13,19501.0,Activity Cubes
141,2020-10-14,20901.0,Activity Cubes
142,2020-10-15,20901.0,Activity Cubes
143,2020-10-16,20901.0,Activity Cubes
144,2020-10-17,20901.0,Activity Cubes
145,2020-10-18,26030.0,Activity Cubes
146,2020-10-19,26030.0,Activity Cubes
147,2020-10-20,26030.0,Activity Cubes
148,2020-10-21,24646.0,Activity Cubes
149,2020-10-22,24646.0,Activity Cubes
150,2020-10-23,18683.0,Activity Cubes
151,2020-10-24,18683.0,Activity Cubes
152,2020-10-25,18683.0,Activity Cubes
153,2020-10-26,21172.0,Activity Cubes
154,2020-10-27,21172.0,Activity Cubes
155,2020-10-28,21172.0,Activity Cubes
156,2020-10-29,19321.0,Activity Cubes
157,2020-10-30,19321.0,Activity Cubes
158,2020-10-31,19321.0,Activity Cubes
159,2020-11-01,19321.0,Activity Cubes
160,2020-11-02,13903.0,Activity Cubes
161,2020-11-03,13903.0,Activity Cubes
162,2020-11-04,13903.0,Activity Cubes
163,2020-11-05,13903.0,Activity Cubes
164,2020-11-06,13240.0,Activity Cubes
165,2020-11-07,13240.0,Activity Cubes
166,2020-11-08,13240.0,Activity Cubes
167,2020-11-09,14833.0,Activity Cubes
168,2020-11-10,14833.0,Activity Cubes
169,2020-11-11,14833.0,Activity Cubes
170,2020-11-12,14833.0,Activity Cubes
171,2020-11-13,14112.0,Activity Cubes
172,2020-11-14,14112.0,Activity Cubes
173,2020-11-15,14112.0,Activity Cubes
174,2020-11-16,14112.0,Activity Cubes
175,2020-11-17,14956.0,Activity Cubes
176,2020-11-18,14956.0,Activity Cubes
177,2020-11-19,14956.0,Activity Cubes
178,2020-11-20,16985.0,Activity Cubes
179,2020-11-21,16985.0,Activity Cubes
180,2020-11-22,16985.0,Activity Cubes
181,2020-11-23,13761.0,Activity Cubes
182,2020-11-24,13761.0,Activity Cubes
183,2020-11-25,15580.0,Activity Cubes
184,2020-11-26,15580.0,Activity Cubes
185,2020-11-27,10753.0,Activity Cubes
186,2020-11-28,10753.0,Activity Cubes
187,2020-11-29,8269.0,Activity Cubes
188,2020-11-30,8269.0,Activity Cubes
189,2020-12-01,5734.0,Activity Cubes
190,2020-12-02,5734.0,Activity Cubes
