,date,value,name_B07ZZ7PRHD
0,2020-05-26,8876.0,LED Bulbs
1,2020-05-27,8876.0,LED Bulbs
2,2020-05-28,10458.0,LED Bulbs
3,2020-05-29,10458.0,LED Bulbs
4,2020-05-30,10458.0,LED Bulbs
5,2020-05-31,10458.0,LED Bulbs
6,2020-06-01,10789.0,LED Bulbs
7,2020-06-02,10789.0,LED Bulbs
8,2020-06-03,10186.0,LED Bulbs
9,2020-06-04,10071.0,LED Bulbs
10,2020-06-05,10071.0,LED Bulbs
11,2020-06-06,11414.0,LED Bulbs
12,2020-06-07,11414.0,LED Bulbs
13,2020-06-08,11013.0,LED Bulbs
14,2020-06-09,11013.0,LED Bulbs
15,2020-06-10,13249.0,LED Bulbs
16,2020-06-11,13249.0,LED Bulbs
17,2020-06-12,13249.0,LED Bulbs
18,2020-06-13,13249.0,LED Bulbs
19,2020-06-14,13249.0,LED Bulbs
20,2020-06-15,12032.0,LED Bulbs
21,2020-06-16,12032.0,LED Bulbs
22,2020-06-17,12032.0,LED Bulbs
23,2020-06-18,12032.0,LED Bulbs
24,2020-06-19,12032.0,LED Bulbs
25,2020-06-20,12032.0,LED Bulbs
26,2020-06-21,13642.0,LED Bulbs
27,2020-06-22,13642.0,LED Bulbs
28,2020-06-23,12065.0,LED Bulbs
29,2020-06-24,12065.0,LED Bulbs
30,2020-06-25,12065.0,LED Bulbs
31,2020-06-26,12065.0,LED Bulbs
32,2020-06-27,13725.0,LED Bulbs
33,2020-06-28,12226.0,LED Bulbs
34,2020-06-29,12970.0,LED Bulbs
35,2020-06-30,15244.0,LED Bulbs
36,2020-07-01,15244.0,LED Bulbs
37,2020-07-02,15244.0,LED Bulbs
38,2020-07-03,15244.0,LED Bulbs
39,2020-07-04,15244.0,LED Bulbs
40,2020-07-05,15244.0,LED Bulbs
41,2020-07-06,12285.0,LED Bulbs
42,2020-07-07,12285.0,LED Bulbs
43,2020-07-08,11244.0,LED Bulbs
44,2020-07-09,11244.0,LED Bulbs
45,2020-07-10,11244.0,LED Bulbs
46,2020-07-11,14395.0,LED Bulbs
47,2020-07-12,14395.0,LED Bulbs
48,2020-07-13,12285.0,LED Bulbs
49,2020-07-14,12285.0,LED Bulbs
50,2020-07-15,10257.0,LED Bulbs
51,2020-07-16,11300.0,LED Bulbs
52,2020-07-17,11300.0,LED Bulbs
53,2020-07-18,13349.0,LED Bulbs
54,2020-07-19,13349.0,LED Bulbs
55,2020-07-20,13349.0,LED Bulbs
56,2020-07-21,13349.0,LED Bulbs
57,2020-07-22,12522.0,LED Bulbs
58,2020-07-23,12522.0,LED Bulbs
59,2020-07-24,12522.0,LED Bulbs
60,2020-07-25,11933.0,LED Bulbs
61,2020-07-26,11933.0,LED Bulbs
62,2020-07-27,11933.0,LED Bulbs
63,2020-07-28,11933.0,LED Bulbs
64,2020-07-29,12199.0,LED Bulbs
65,2020-07-30,12199.0,LED Bulbs
66,2020-07-31,12199.0,LED Bulbs
67,2020-08-01,12199.0,LED Bulbs
68,2020-08-02,12199.0,LED Bulbs
69,2020-08-03,12199.0,LED Bulbs
70,2020-08-04,12630.0,LED Bulbs
71,2020-08-05,12630.0,LED Bulbs
72,2020-08-06,12630.0,LED Bulbs
73,2020-08-07,12630.0,LED Bulbs
74,2020-08-08,12630.0,LED Bulbs
75,2020-08-09,13607.0,LED Bulbs
76,2020-08-10,13607.0,LED Bulbs
77,2020-08-11,13607.0,LED Bulbs
78,2020-08-12,13607.0,LED Bulbs
79,2020-08-13,13607.0,LED Bulbs
80,2020-08-14,16439.0,LED Bulbs
81,2020-08-15,16439.0,LED Bulbs
82,2020-08-16,16569.0,LED Bulbs
83,2020-08-17,16569.0,LED Bulbs
84,2020-08-18,16569.0,LED Bulbs
85,2020-08-19,16569.0,LED Bulbs
86,2020-08-20,16569.0,LED Bulbs
87,2020-08-21,16569.0,LED Bulbs
88,2020-08-22,19625.0,LED Bulbs
89,2020-08-23,19625.0,LED Bulbs
90,2020-08-24,19625.0,LED Bulbs
91,2020-08-25,19625.0,LED Bulbs
92,2020-08-26,19625.0,LED Bulbs
93,2020-08-27,19538.0,LED Bulbs
94,2020-08-28,19538.0,LED Bulbs
95,2020-08-29,20529.0,LED Bulbs
96,2020-08-30,20529.0,LED Bulbs
97,2020-08-31,20529.0,LED Bulbs
98,2020-09-01,20529.0,LED Bulbs
99,2020-09-02,15291.0,LED Bulbs
100,2020-09-03,15291.0,LED Bulbs
101,2020-09-04,15291.0,LED Bulbs
102,2020-09-05,15291.0,LED Bulbs
103,2020-09-06,13080.0,LED Bulbs
104,2020-09-07,13488.0,LED Bulbs
105,2020-09-08,14556.0,LED Bulbs
106,2020-09-09,14556.0,LED Bulbs
107,2020-09-10,14556.0,LED Bulbs
108,2020-09-11,14556.0,LED Bulbs
109,2020-09-12,14556.0,LED Bulbs
110,2020-09-13,12154.0,LED Bulbs
111,2020-09-14,12154.0,LED Bulbs
112,2020-09-15,12154.0,LED Bulbs
113,2020-09-16,14910.0,LED Bulbs
114,2020-09-17,14297.0,LED Bulbs
115,2020-09-18,14297.0,LED Bulbs
116,2020-09-19,14297.0,LED Bulbs
117,2020-09-20,14297.0,LED Bulbs
118,2020-09-21,14297.0,LED Bulbs
119,2020-09-22,11928.0,LED Bulbs
120,2020-09-23,11928.0,LED Bulbs
121,2020-09-24,11928.0,LED Bulbs
122,2020-09-25,11693.0,LED Bulbs
