,date,value,name_B0886BKFWG
0,2020-08-03,126757.0,Pillow Inserts
1,2020-08-04,249528.0,Pillow Inserts
2,2020-08-05,249528.0,Pillow Inserts
3,2020-08-06,249528.0,Pillow Inserts
4,2020-08-07,166162.0,Pillow Inserts
5,2020-08-08,166162.0,Pillow Inserts
6,2020-08-09,166162.0,Pillow Inserts
7,2020-08-10,166162.0,Pillow Inserts
8,2020-08-11,166162.0,Pillow Inserts
9,2020-08-12,166162.0,Pillow Inserts
10,2020-08-13,166162.0,Pillow Inserts
11,2020-08-14,66546.0,Pillow Inserts
12,2020-08-15,66546.0,Pillow Inserts
13,2020-08-16,66546.0,Pillow Inserts
14,2020-08-17,66546.0,Pillow Inserts
15,2020-08-18,36286.0,Pillow Inserts
16,2020-08-19,34302.0,Pillow Inserts
17,2020-08-20,23389.0,Pillow Inserts
18,2020-08-21,23389.0,Pillow Inserts
19,2020-08-22,23389.0,Pillow Inserts
20,2020-08-23,23389.0,Pillow Inserts
21,2020-08-24,26653.0,Pillow Inserts
22,2020-08-25,26653.0,Pillow Inserts
23,2020-08-26,25301.0,Pillow Inserts
24,2020-08-27,16736.0,Pillow Inserts
25,2020-08-28,16736.0,Pillow Inserts
26,2020-08-29,16736.0,Pillow Inserts
27,2020-08-30,16736.0,Pillow Inserts
28,2020-08-31,8405.0,Pillow Inserts
29,2020-09-01,8405.0,Pillow Inserts
30,2020-09-02,8405.0,Pillow Inserts
31,2020-09-03,8405.0,Pillow Inserts
32,2020-09-04,8034.0,Pillow Inserts
33,2020-09-05,8034.0,Pillow Inserts
34,2020-09-06,10126.0,Pillow Inserts
35,2020-09-07,10126.0,Pillow Inserts
36,2020-09-08,10126.0,Pillow Inserts
37,2020-09-09,6806.0,Pillow Inserts
38,2020-09-10,6229.0,Pillow Inserts
39,2020-09-11,6229.0,Pillow Inserts
40,2020-09-12,6229.0,Pillow Inserts
41,2020-09-13,7820.0,Pillow Inserts
42,2020-09-14,7820.0,Pillow Inserts
43,2020-09-15,7820.0,Pillow Inserts
44,2020-09-16,7820.0,Pillow Inserts
45,2020-09-17,7820.0,Pillow Inserts
46,2020-09-18,19857.0,Pillow Inserts
47,2020-09-19,19857.0,Pillow Inserts
48,2020-09-20,19857.0,Pillow Inserts
49,2020-09-21,19857.0,Pillow Inserts
50,2020-09-22,19857.0,Pillow Inserts
51,2020-09-23,16261.0,Pillow Inserts
52,2020-09-24,16261.0,Pillow Inserts
53,2020-09-25,31994.0,Pillow Inserts
54,2020-09-26,31994.0,Pillow Inserts
55,2020-09-27,31994.0,Pillow Inserts
56,2020-09-28,31994.0,Pillow Inserts
57,2020-09-29,19203.0,Pillow Inserts
58,2020-09-30,19203.0,Pillow Inserts
59,2020-10-01,19203.0,Pillow Inserts
60,2020-10-02,19203.0,Pillow Inserts
61,2020-10-03,19392.0,Pillow Inserts
62,2020-10-04,19392.0,Pillow Inserts
63,2020-10-05,19392.0,Pillow Inserts
64,2020-10-06,51725.0,Pillow Inserts
65,2020-10-07,51725.0,Pillow Inserts
66,2020-10-08,51725.0,Pillow Inserts
67,2020-10-09,51725.0,Pillow Inserts
68,2020-10-10,71412.0,Pillow Inserts
69,2020-10-11,71412.0,Pillow Inserts
70,2020-10-12,71412.0,Pillow Inserts
71,2020-10-13,71412.0,Pillow Inserts
72,2020-10-14,76396.0,Pillow Inserts
73,2020-10-15,76396.0,Pillow Inserts
74,2020-10-16,76396.0,Pillow Inserts
75,2020-10-17,76396.0,Pillow Inserts
76,2020-10-18,76396.0,Pillow Inserts
77,2020-10-19,76396.0,Pillow Inserts
78,2020-10-20,76396.0,Pillow Inserts
79,2020-10-21,26991.0,Pillow Inserts
80,2020-10-22,26991.0,Pillow Inserts
81,2020-10-23,51058.0,Pillow Inserts
82,2020-10-24,51058.0,Pillow Inserts
83,2020-10-25,51058.0,Pillow Inserts
84,2020-10-26,51058.0,Pillow Inserts
85,2020-10-27,51058.0,Pillow Inserts
86,2020-10-28,51058.0,Pillow Inserts
87,2020-10-29,51058.0,Pillow Inserts
88,2020-10-30,51058.0,Pillow Inserts
89,2020-10-31,17380.0,Pillow Inserts
90,2020-11-01,17380.0,Pillow Inserts
91,2020-11-02,17380.0,Pillow Inserts
92,2020-11-03,18151.0,Pillow Inserts
93,2020-11-04,18151.0,Pillow Inserts
94,2020-11-05,13156.0,Pillow Inserts
95,2020-11-06,13156.0,Pillow Inserts
96,2020-11-07,13156.0,Pillow Inserts
97,2020-11-08,13156.0,Pillow Inserts
98,2020-11-09,16472.0,Pillow Inserts
99,2020-11-10,15725.0,Pillow Inserts
100,2020-11-11,8731.0,Pillow Inserts
101,2020-11-12,8731.0,Pillow Inserts
102,2020-11-13,8731.0,Pillow Inserts
103,2020-11-14,11486.0,Pillow Inserts
104,2020-11-15,11486.0,Pillow Inserts
105,2020-11-16,7520.0,Pillow Inserts
106,2020-11-17,11849.0,Pillow Inserts
107,2020-11-18,11849.0,Pillow Inserts
108,2020-11-19,13567.0,Pillow Inserts
109,2020-11-20,13567.0,Pillow Inserts
110,2020-11-21,13567.0,Pillow Inserts
111,2020-11-22,13374.0,Pillow Inserts
112,2020-11-23,15166.0,Pillow Inserts
113,2020-11-24,12212.0,Pillow Inserts
114,2020-11-25,12212.0,Pillow Inserts
115,2020-11-26,12212.0,Pillow Inserts
116,2020-11-27,10735.0,Pillow Inserts
117,2020-11-28,10735.0,Pillow Inserts
118,2020-11-29,10735.0,Pillow Inserts
119,2020-11-30,10735.0,Pillow Inserts
120,2020-12-01,25895.0,Pillow Inserts
121,2020-12-02,17240.0,Pillow Inserts
122,2020-12-03,17240.0,Pillow Inserts
123,2020-12-04,17240.0,Pillow Inserts
124,2020-12-05,17240.0,Pillow Inserts
125,2020-12-06,17461.0,Pillow Inserts
126,2020-12-07,21992.0,Pillow Inserts
127,2020-12-08,24456.0,Pillow Inserts
128,2020-12-09,24456.0,Pillow Inserts
129,2020-12-10,24456.0,Pillow Inserts
130,2020-12-11,29417.0,Pillow Inserts
131,2020-12-12,29417.0,Pillow Inserts
132,2020-12-13,29417.0,Pillow Inserts
133,2020-12-14,29417.0,Pillow Inserts
134,2020-12-15,29417.0,Pillow Inserts
135,2020-12-16,29417.0,Pillow Inserts
136,2020-12-17,21489.0,Pillow Inserts
137,2020-12-18,21489.0,Pillow Inserts
138,2020-12-19,18104.0,Pillow Inserts
139,2020-12-20,18104.0,Pillow Inserts
140,2020-12-21,18104.0,Pillow Inserts
141,2020-12-22,23321.0,Pillow Inserts
142,2020-12-23,23269.0,Pillow Inserts
143,2020-12-24,28754.0,Pillow Inserts
144,2020-12-25,28754.0,Pillow Inserts
145,2020-12-26,28754.0,Pillow Inserts
146,2020-12-27,28754.0,Pillow Inserts
147,2020-12-28,28754.0,Pillow Inserts
148,2020-12-29,28754.0,Pillow Inserts
149,2020-12-30,28754.0,Pillow Inserts
150,2020-12-31,28754.0,Pillow Inserts
151,2021-01-01,18323.0,Pillow Inserts
152,2021-01-02,11720.0,Pillow Inserts
153,2021-01-03,16934.0,Pillow Inserts
154,2021-01-04,16934.0,Pillow Inserts
155,2021-01-05,16934.0,Pillow Inserts
156,2021-01-06,13203.0,Pillow Inserts
157,2021-01-07,13203.0,Pillow Inserts
158,2021-01-08,13203.0,Pillow Inserts
159,2021-01-09,13203.0,Pillow Inserts
160,2021-01-10,13203.0,Pillow Inserts
161,2021-01-11,18970.0,Pillow Inserts
162,2021-01-12,10082.0,Pillow Inserts
163,2021-01-13,9055.0,Pillow Inserts
164,2021-01-14,9055.0,Pillow Inserts
165,2021-01-15,11624.0,Pillow Inserts
166,2021-01-16,11624.0,Pillow Inserts
167,2021-01-17,11624.0,Pillow Inserts
168,2021-01-18,5361.0,Pillow Inserts
169,2021-01-19,7634.0,Pillow Inserts
170,2021-01-20,7634.0,Pillow Inserts
171,2021-01-21,6246.0,Pillow Inserts
172,2021-01-22,6246.0,Pillow Inserts
173,2021-01-23,6632.0,Pillow Inserts
174,2021-01-24,6632.0,Pillow Inserts
175,2021-01-25,6632.0,Pillow Inserts
176,2021-01-26,7865.0,Pillow Inserts
177,2021-01-27,7865.0,Pillow Inserts
178,2021-01-28,7865.0,Pillow Inserts
179,2021-01-29,12089.0,Pillow Inserts
180,2021-01-30,12089.0,Pillow Inserts
181,2021-01-31,12089.0,Pillow Inserts
182,2021-02-01,10489.0,Pillow Inserts
183,2021-02-02,10489.0,Pillow Inserts
184,2021-02-03,13497.0,Pillow Inserts
185,2021-02-04,13497.0,Pillow Inserts
186,2021-02-05,13497.0,Pillow Inserts
187,2021-02-06,8860.0,Pillow Inserts
188,2021-02-07,8860.0,Pillow Inserts
189,2021-02-08,8860.0,Pillow Inserts
190,2021-02-09,8860.0,Pillow Inserts
191,2021-02-10,8860.0,Pillow Inserts
192,2021-02-11,9261.0,Pillow Inserts
193,2021-02-12,9261.0,Pillow Inserts
194,2021-02-13,12874.0,Pillow Inserts
195,2021-02-14,12874.0,Pillow Inserts
196,2021-02-15,12874.0,Pillow Inserts
197,2021-02-16,10034.0,Pillow Inserts
198,2021-02-17,8409.0,Pillow Inserts
199,2021-02-18,8409.0,Pillow Inserts
200,2021-02-19,8409.0,Pillow Inserts
201,2021-02-20,10139.0,Pillow Inserts
202,2021-02-21,10139.0,Pillow Inserts
203,2021-02-22,11400.0,Pillow Inserts
204,2021-02-23,11400.0,Pillow Inserts
205,2021-02-24,11400.0,Pillow Inserts
206,2021-02-25,11400.0,Pillow Inserts
207,2021-02-26,11400.0,Pillow Inserts
208,2021-02-27,10648.0,Pillow Inserts
209,2021-02-28,10648.0,Pillow Inserts
210,2021-03-01,11768.0,Pillow Inserts
211,2021-03-02,11768.0,Pillow Inserts
212,2021-03-03,11768.0,Pillow Inserts
213,2021-03-04,9460.0,Pillow Inserts
214,2021-03-05,9460.0,Pillow Inserts
215,2021-03-06,9460.0,Pillow Inserts
216,2021-03-07,14508.0,Pillow Inserts
217,2021-03-08,14074.0,Pillow Inserts
218,2021-03-09,14074.0,Pillow Inserts
219,2021-03-10,14074.0,Pillow Inserts
220,2021-03-11,14074.0,Pillow Inserts
221,2021-03-12,23194.0,Pillow Inserts
222,2021-03-13,17385.0,Pillow Inserts
223,2021-03-14,17385.0,Pillow Inserts
224,2021-03-15,23177.0,Pillow Inserts
225,2021-03-16,29804.0,Pillow Inserts
226,2021-03-17,29804.0,Pillow Inserts
227,2021-03-18,29804.0,Pillow Inserts
228,2021-03-19,29804.0,Pillow Inserts
229,2021-03-20,64369.0,Pillow Inserts
230,2021-03-21,64369.0,Pillow Inserts
231,2021-03-22,69671.0,Pillow Inserts
232,2021-03-23,69671.0,Pillow Inserts
233,2021-03-24,69671.0,Pillow Inserts
234,2021-03-25,69671.0,Pillow Inserts
235,2021-03-26,165156.0,Pillow Inserts
236,2021-03-27,165156.0,Pillow Inserts
237,2021-03-28,165156.0,Pillow Inserts
238,2021-03-29,165156.0,Pillow Inserts
239,2021-03-30,216555.0,Pillow Inserts
