,date,value,name_B08VDLYB68
0,2021-02-10,269761.0,Miniatures
1,2021-02-11,335115.0,Miniatures
2,2021-02-12,410397.0,Miniatures
3,2021-02-13,54053.0,Miniatures
4,2021-02-14,28392.0,Miniatures
5,2021-02-15,11643.0,Miniatures
6,2021-02-16,34309.0,Miniatures
7,2021-02-17,56639.0,Miniatures
8,2021-02-18,48753.0,Miniatures
9,2021-02-19,58966.0,Miniatures
10,2021-02-20,69501.0,Miniatures
11,2021-02-21,44270.0,Miniatures
12,2021-02-22,31768.0,Miniatures
13,2021-02-23,39849.0,Miniatures
14,2021-02-24,38041.0,Miniatures
15,2021-02-25,48866.0,Miniatures
16,2021-02-26,23962.0,Miniatures
17,2021-02-27,9591.0,Miniatures
18,2021-02-28,19018.0,Miniatures
19,2021-03-01,13252.0,Miniatures
20,2021-03-02,18398.0,Miniatures
21,2021-03-03,13989.0,Miniatures
22,2021-03-04,10928.0,Miniatures
23,2021-03-05,10801.0,Miniatures
24,2021-03-06,10801.0,Miniatures
25,2021-03-07,9362.0,Miniatures
26,2021-03-08,6974.0,Miniatures
27,2021-03-09,11477.0,Miniatures
28,2021-03-10,7576.0,Miniatures
29,2021-03-11,7285.0,Miniatures
30,2021-03-12,10725.0,Miniatures
31,2021-03-13,14685.0,Miniatures
32,2021-03-14,13816.0,Miniatures
33,2021-03-15,13816.0,Miniatures
34,2021-03-16,111550.0,Miniatures
35,2021-03-17,111550.0,Miniatures
36,2021-03-18,63098.0,Miniatures
37,2021-03-19,76770.0,Miniatures
38,2021-03-20,76770.0,Miniatures
39,2021-03-21,34823.0,Miniatures
40,2021-03-22,76685.0,Miniatures
41,2021-03-23,100447.0,Miniatures
42,2021-03-24,83100.0,Miniatures
43,2021-03-25,68883.0,Miniatures
44,2021-03-26,100319.0,Miniatures
45,2021-03-27,29961.0,Miniatures
46,2021-03-28,17622.0,Miniatures
47,2021-03-29,14142.0,Miniatures
48,2021-03-30,10236.0,Miniatures
49,2021-03-31,6069.0,Miniatures
50,2021-04-01,4754.0,Miniatures
51,2021-04-02,3698.0,Miniatures
52,2021-04-03,4589.0,Miniatures
53,2021-04-04,6575.0,Miniatures
54,2021-04-05,5069.0,Miniatures
55,2021-04-06,6457.0,Miniatures
56,2021-04-07,6573.0,Miniatures
57,2021-04-08,6476.0,Miniatures
58,2021-04-09,5929.0,Miniatures
59,2021-04-10,5929.0,Miniatures
60,2021-04-11,4872.0,Miniatures
61,2021-04-12,5627.0,Miniatures
62,2021-04-13,10587.0,Miniatures
63,2021-04-14,11676.0,Miniatures
64,2021-04-15,12222.0,Miniatures
65,2021-04-16,7218.0,Miniatures
66,2021-04-17,7218.0,Miniatures
67,2021-04-18,7218.0,Miniatures
68,2021-04-19,7218.0,Miniatures
69,2021-04-20,7218.0,Miniatures
70,2021-04-21,7218.0,Miniatures
71,2021-04-22,7218.0,Miniatures
72,2021-04-23,7218.0,Miniatures
73,2021-04-24,7218.0,Miniatures
