,date,value,name_B08LVDPTW7
0,2020-11-14,54743.0,Body Pillows
1,2020-11-15,54743.0,Body Pillows
2,2020-11-16,54743.0,Body Pillows
3,2020-11-17,54082.0,Body Pillows
4,2020-11-18,54082.0,Body Pillows
5,2020-11-19,54082.0,Body Pillows
6,2020-11-20,78588.0,Body Pillows
7,2020-11-21,78588.0,Body Pillows
8,2020-11-22,78588.0,Body Pillows
9,2020-11-23,181186.0,Body Pillows
10,2020-11-24,211509.0,Body Pillows
11,2020-11-25,211509.0,Body Pillows
12,2020-11-26,235491.0,Body Pillows
13,2020-11-27,235491.0,Body Pillows
14,2020-11-28,235491.0,Body Pillows
15,2020-11-29,235491.0,Body Pillows
16,2020-11-30,194749.0,Body Pillows
17,2020-12-01,194749.0,Body Pillows
18,2020-12-02,194749.0,Body Pillows
19,2020-12-03,193637.0,Body Pillows
20,2020-12-04,193637.0,Body Pillows
21,2020-12-05,193637.0,Body Pillows
22,2020-12-06,193637.0,Body Pillows
23,2020-12-07,193637.0,Body Pillows
24,2020-12-08,193637.0,Body Pillows
25,2020-12-09,328683.0,Body Pillows
26,2020-12-10,328683.0,Body Pillows
27,2020-12-11,402946.0,Body Pillows
28,2020-12-12,402946.0,Body Pillows
29,2020-12-13,402946.0,Body Pillows
30,2020-12-14,402946.0,Body Pillows
31,2020-12-15,402946.0,Body Pillows
32,2020-12-16,402946.0,Body Pillows
33,2020-12-17,402946.0,Body Pillows
34,2020-12-18,402946.0,Body Pillows
35,2020-12-19,788675.0,Body Pillows
36,2020-12-20,788675.0,Body Pillows
37,2020-12-21,788675.0,Body Pillows
38,2020-12-22,816900.0,Body Pillows
39,2020-12-23,816900.0,Body Pillows
40,2020-12-24,816900.0,Body Pillows
41,2020-12-25,761099.0,Body Pillows
42,2020-12-26,761099.0,Body Pillows
43,2020-12-27,761099.0,Body Pillows
44,2020-12-28,761099.0,Body Pillows
45,2020-12-29,761099.0,Body Pillows
46,2020-12-30,761099.0,Body Pillows
47,2020-12-31,761099.0,Body Pillows
48,2021-01-01,179264.0,Body Pillows
49,2021-01-02,179264.0,Body Pillows
50,2021-01-03,179264.0,Body Pillows
51,2021-01-04,101445.0,Body Pillows
52,2021-01-05,101445.0,Body Pillows
53,2021-01-06,101445.0,Body Pillows
54,2021-01-07,101445.0,Body Pillows
55,2021-01-08,61057.0,Body Pillows
56,2021-01-09,61057.0,Body Pillows
57,2021-01-10,61057.0,Body Pillows
58,2021-01-11,61057.0,Body Pillows
59,2021-01-12,52814.0,Body Pillows
60,2021-01-13,52814.0,Body Pillows
61,2021-01-14,52814.0,Body Pillows
62,2021-01-15,52814.0,Body Pillows
63,2021-01-16,52814.0,Body Pillows
64,2021-01-17,52814.0,Body Pillows
65,2021-01-18,75397.0,Body Pillows
66,2021-01-19,75397.0,Body Pillows
67,2021-01-20,75397.0,Body Pillows
68,2021-01-21,75397.0,Body Pillows
69,2021-01-22,75397.0,Body Pillows
70,2021-01-23,75397.0,Body Pillows
71,2021-01-24,89200.0,Body Pillows
72,2021-01-25,89200.0,Body Pillows
73,2021-01-26,89200.0,Body Pillows
74,2021-01-27,89200.0,Body Pillows
75,2021-01-28,89200.0,Body Pillows
76,2021-01-29,61639.0,Body Pillows
77,2021-01-30,61639.0,Body Pillows
78,2021-01-31,61639.0,Body Pillows
79,2021-02-01,57738.0,Body Pillows
80,2021-02-02,53221.0,Body Pillows
81,2021-02-03,85250.0,Body Pillows
82,2021-02-04,72800.0,Body Pillows
83,2021-02-05,57627.0,Body Pillows
