,date,value,name_B07JYQQRSQ
0,2020-05-28,20146.0,B3 (Niacin)
1,2020-05-29,20146.0,B3 (Niacin)
2,2020-05-30,20146.0,B3 (Niacin)
3,2020-05-31,20146.0,B3 (Niacin)
4,2020-06-01,20146.0,B3 (Niacin)
5,2020-06-02,20146.0,B3 (Niacin)
6,2020-06-03,20146.0,B3 (Niacin)
7,2020-06-04,20146.0,B3 (Niacin)
8,2020-06-05,20146.0,B3 (Niacin)
9,2020-06-06,20146.0,B3 (Niacin)
10,2020-06-07,20146.0,B3 (Niacin)
11,2020-06-08,20146.0,B3 (Niacin)
12,2020-06-09,20146.0,B3 (Niacin)
13,2020-06-10,20146.0,B3 (Niacin)
14,2020-06-11,18535.0,B3 (Niacin)
15,2020-06-12,18535.0,B3 (Niacin)
16,2020-06-13,18535.0,B3 (Niacin)
17,2020-06-14,18535.0,B3 (Niacin)
18,2020-06-15,18535.0,B3 (Niacin)
19,2020-06-16,18535.0,B3 (Niacin)
20,2020-06-17,18535.0,B3 (Niacin)
21,2020-06-18,18535.0,B3 (Niacin)
22,2020-06-19,18535.0,B3 (Niacin)
23,2020-06-20,18535.0,B3 (Niacin)
24,2020-06-21,22804.0,B3 (Niacin)
25,2020-06-22,22804.0,B3 (Niacin)
26,2020-06-23,20642.0,B3 (Niacin)
27,2020-06-24,20642.0,B3 (Niacin)
28,2020-06-25,20642.0,B3 (Niacin)
29,2020-06-26,20642.0,B3 (Niacin)
30,2020-06-27,22341.0,B3 (Niacin)
31,2020-06-28,22341.0,B3 (Niacin)
32,2020-06-29,22341.0,B3 (Niacin)
33,2020-06-30,22341.0,B3 (Niacin)
34,2020-07-01,22341.0,B3 (Niacin)
35,2020-07-02,22341.0,B3 (Niacin)
36,2020-07-03,33614.0,B3 (Niacin)
37,2020-07-04,29491.0,B3 (Niacin)
38,2020-07-05,29491.0,B3 (Niacin)
39,2020-07-06,29491.0,B3 (Niacin)
40,2020-07-07,29491.0,B3 (Niacin)
41,2020-07-08,29491.0,B3 (Niacin)
42,2020-07-09,29491.0,B3 (Niacin)
43,2020-07-10,29491.0,B3 (Niacin)
44,2020-07-11,52330.0,B3 (Niacin)
45,2020-07-12,52330.0,B3 (Niacin)
46,2020-07-13,52330.0,B3 (Niacin)
47,2020-07-14,52330.0,B3 (Niacin)
48,2020-07-15,52330.0,B3 (Niacin)
49,2020-07-16,52330.0,B3 (Niacin)
50,2020-07-17,23395.0,B3 (Niacin)
51,2020-07-18,23395.0,B3 (Niacin)
52,2020-07-19,23395.0,B3 (Niacin)
53,2020-07-20,18287.0,B3 (Niacin)
54,2020-07-21,18287.0,B3 (Niacin)
55,2020-07-22,18287.0,B3 (Niacin)
56,2020-07-23,18287.0,B3 (Niacin)
57,2020-07-24,18287.0,B3 (Niacin)
58,2020-07-25,18287.0,B3 (Niacin)
59,2020-07-26,18287.0,B3 (Niacin)
60,2020-07-27,18287.0,B3 (Niacin)
61,2020-07-28,18287.0,B3 (Niacin)
62,2020-07-29,18287.0,B3 (Niacin)
63,2020-07-30,17343.0,B3 (Niacin)
64,2020-07-31,17343.0,B3 (Niacin)
65,2020-08-01,17343.0,B3 (Niacin)
66,2020-08-02,17343.0,B3 (Niacin)
67,2020-08-03,24529.0,B3 (Niacin)
68,2020-08-04,24529.0,B3 (Niacin)
69,2020-08-05,18788.0,B3 (Niacin)
