,date,value,name_B087B8W7NK
0,2020-04-27,8145.0,Bath Rugs
1,2020-04-28,7644.0,Bath Rugs
2,2020-04-29,7644.0,Bath Rugs
3,2020-04-30,7644.0,Bath Rugs
4,2020-05-01,7347.0,Bath Rugs
5,2020-05-02,7347.0,Bath Rugs
6,2020-05-03,10571.0,Bath Rugs
7,2020-05-04,10571.0,Bath Rugs
8,2020-05-05,10571.0,Bath Rugs
9,2020-05-06,8884.0,Bath Rugs
10,2020-05-07,8884.0,Bath Rugs
11,2020-05-08,11008.0,Bath Rugs
12,2020-05-09,11008.0,Bath Rugs
13,2020-05-10,11008.0,Bath Rugs
14,2020-05-11,11070.0,Bath Rugs
15,2020-05-12,11070.0,Bath Rugs
16,2020-05-13,7266.0,Bath Rugs
17,2020-05-14,7266.0,Bath Rugs
18,2020-05-15,9776.0,Bath Rugs
19,2020-05-16,9776.0,Bath Rugs
20,2020-05-17,9776.0,Bath Rugs
21,2020-05-18,9378.0,Bath Rugs
22,2020-05-19,9313.0,Bath Rugs
23,2020-05-20,9845.0,Bath Rugs
24,2020-05-21,10174.0,Bath Rugs
25,2020-05-22,10174.0,Bath Rugs
26,2020-05-23,10174.0,Bath Rugs
27,2020-05-24,11167.0,Bath Rugs
28,2020-05-25,12909.0,Bath Rugs
29,2020-05-26,13338.0,Bath Rugs
30,2020-05-27,13338.0,Bath Rugs
31,2020-05-28,12239.0,Bath Rugs
32,2020-05-29,12239.0,Bath Rugs
33,2020-05-30,12239.0,Bath Rugs
34,2020-05-31,12239.0,Bath Rugs
35,2020-06-01,12367.0,Bath Rugs
36,2020-06-02,12367.0,Bath Rugs
37,2020-06-03,12367.0,Bath Rugs
38,2020-06-04,12422.0,Bath Rugs
39,2020-06-05,12422.0,Bath Rugs
40,2020-06-06,12422.0,Bath Rugs
41,2020-06-07,12422.0,Bath Rugs
42,2020-06-08,9773.0,Bath Rugs
43,2020-06-09,9773.0,Bath Rugs
44,2020-06-10,9773.0,Bath Rugs
45,2020-06-11,13480.0,Bath Rugs
46,2020-06-12,11650.0,Bath Rugs
47,2020-06-13,11650.0,Bath Rugs
48,2020-06-14,11650.0,Bath Rugs
49,2020-06-15,12250.0,Bath Rugs
50,2020-06-16,12250.0,Bath Rugs
51,2020-06-17,12250.0,Bath Rugs
52,2020-06-18,8830.0,Bath Rugs
53,2020-06-19,9387.0,Bath Rugs
54,2020-06-20,9387.0,Bath Rugs
55,2020-06-21,9387.0,Bath Rugs
56,2020-06-22,8516.0,Bath Rugs
57,2020-06-23,8516.0,Bath Rugs
58,2020-06-24,8516.0,Bath Rugs
59,2020-06-25,8553.0,Bath Rugs
60,2020-06-26,8553.0,Bath Rugs
61,2020-06-27,8553.0,Bath Rugs
62,2020-06-28,6208.0,Bath Rugs
63,2020-06-29,6208.0,Bath Rugs
64,2020-06-30,6524.0,Bath Rugs
65,2020-07-01,7047.0,Bath Rugs
66,2020-07-02,8059.0,Bath Rugs
67,2020-07-03,8326.0,Bath Rugs
