,date,value,name_B086L1RH6R
0,2020-04-02,10386.0,Floating Shelves
1,2020-04-03,8947.0,Floating Shelves
2,2020-04-04,12279.0,Floating Shelves
3,2020-04-05,11501.0,Floating Shelves
4,2020-04-06,11501.0,Floating Shelves
5,2020-04-07,14409.0,Floating Shelves
6,2020-04-08,10435.0,Floating Shelves
7,2020-04-09,14526.0,Floating Shelves
8,2020-04-10,12283.0,Floating Shelves
9,2020-04-11,12283.0,Floating Shelves
10,2020-04-12,12283.0,Floating Shelves
11,2020-04-13,12283.0,Floating Shelves
12,2020-04-14,12283.0,Floating Shelves
13,2020-04-15,12283.0,Floating Shelves
14,2020-04-16,12283.0,Floating Shelves
15,2020-04-17,-1.0,Floating Shelves
16,2020-04-18,-1.0,Floating Shelves
17,2020-04-19,-1.0,Floating Shelves
18,2020-04-20,-1.0,Floating Shelves
19,2020-04-21,-1.0,Floating Shelves
20,2020-04-22,-1.0,Floating Shelves
21,2020-04-23,-1.0,Floating Shelves
22,2020-04-24,-1.0,Floating Shelves
23,2020-04-25,-1.0,Floating Shelves
24,2020-04-26,-1.0,Floating Shelves
25,2020-04-27,-1.0,Floating Shelves
26,2020-04-28,-1.0,Floating Shelves
27,2020-04-29,-1.0,Floating Shelves
28,2020-04-30,-1.0,Floating Shelves
29,2020-05-01,-1.0,Floating Shelves
30,2020-05-02,-1.0,Floating Shelves
31,2020-05-03,-1.0,Floating Shelves
32,2020-05-04,-1.0,Floating Shelves
33,2020-05-05,-1.0,Floating Shelves
34,2020-05-06,-1.0,Floating Shelves
35,2020-05-07,9442.0,Floating Shelves
36,2020-05-08,8036.0,Floating Shelves
37,2020-05-09,8036.0,Floating Shelves
38,2020-05-10,6282.0,Floating Shelves
39,2020-05-11,8365.0,Floating Shelves
40,2020-05-12,6559.0,Floating Shelves
41,2020-05-13,6559.0,Floating Shelves
42,2020-05-14,6559.0,Floating Shelves
43,2020-05-15,3781.0,Floating Shelves
44,2020-05-16,3781.0,Floating Shelves
45,2020-05-17,5255.0,Floating Shelves
46,2020-05-18,5255.0,Floating Shelves
47,2020-05-19,6361.0,Floating Shelves
48,2020-05-20,6361.0,Floating Shelves
49,2020-05-21,6361.0,Floating Shelves
50,2020-05-22,5018.0,Floating Shelves
51,2020-05-23,5018.0,Floating Shelves
52,2020-05-24,5018.0,Floating Shelves
53,2020-05-25,5155.0,Floating Shelves
54,2020-05-26,5155.0,Floating Shelves
55,2020-05-27,6107.0,Floating Shelves
56,2020-05-28,5907.0,Floating Shelves
57,2020-05-29,3734.0,Floating Shelves
58,2020-05-30,5173.0,Floating Shelves
59,2020-05-31,5173.0,Floating Shelves
60,2020-06-01,4613.0,Floating Shelves
