,date,value,name_B07L19HJLC
0,2020-05-24,18782.0,Rinse-Free Wipes
1,2020-05-25,18782.0,Rinse-Free Wipes
2,2020-05-26,21801.0,Rinse-Free Wipes
3,2020-05-27,18238.0,Rinse-Free Wipes
4,2020-05-28,18238.0,Rinse-Free Wipes
5,2020-05-29,16032.0,Rinse-Free Wipes
6,2020-05-30,16032.0,Rinse-Free Wipes
7,2020-05-31,17918.0,Rinse-Free Wipes
8,2020-06-01,17918.0,Rinse-Free Wipes
9,2020-06-02,17951.0,Rinse-Free Wipes
10,2020-06-03,17951.0,Rinse-Free Wipes
11,2020-06-04,18035.0,Rinse-Free Wipes
12,2020-06-05,18035.0,Rinse-Free Wipes
13,2020-06-06,17463.0,Rinse-Free Wipes
14,2020-06-07,17463.0,Rinse-Free Wipes
15,2020-06-08,16141.0,Rinse-Free Wipes
16,2020-06-09,17732.0,Rinse-Free Wipes
17,2020-06-10,17191.0,Rinse-Free Wipes
18,2020-06-11,17191.0,Rinse-Free Wipes
19,2020-06-12,17885.0,Rinse-Free Wipes
20,2020-06-13,14070.0,Rinse-Free Wipes
21,2020-06-14,14070.0,Rinse-Free Wipes
22,2020-06-15,13175.0,Rinse-Free Wipes
23,2020-06-16,13175.0,Rinse-Free Wipes
24,2020-06-17,15592.0,Rinse-Free Wipes
25,2020-06-18,15592.0,Rinse-Free Wipes
26,2020-06-19,14581.0,Rinse-Free Wipes
27,2020-06-20,14581.0,Rinse-Free Wipes
28,2020-06-21,12321.0,Rinse-Free Wipes
29,2020-06-22,11834.0,Rinse-Free Wipes
30,2020-06-23,11834.0,Rinse-Free Wipes
31,2020-06-24,13317.0,Rinse-Free Wipes
32,2020-06-25,12461.0,Rinse-Free Wipes
33,2020-06-26,12461.0,Rinse-Free Wipes
34,2020-06-27,14005.0,Rinse-Free Wipes
35,2020-06-28,14005.0,Rinse-Free Wipes
36,2020-06-29,9797.0,Rinse-Free Wipes
37,2020-06-30,10693.0,Rinse-Free Wipes
38,2020-07-01,10270.0,Rinse-Free Wipes
39,2020-07-02,10270.0,Rinse-Free Wipes
40,2020-07-03,12801.0,Rinse-Free Wipes
41,2020-07-04,11968.0,Rinse-Free Wipes
42,2020-07-05,11968.0,Rinse-Free Wipes
43,2020-07-06,11053.0,Rinse-Free Wipes
44,2020-07-07,11053.0,Rinse-Free Wipes
45,2020-07-08,13764.0,Rinse-Free Wipes
46,2020-07-09,9881.0,Rinse-Free Wipes
47,2020-07-10,11073.0,Rinse-Free Wipes
48,2020-07-11,12453.0,Rinse-Free Wipes
49,2020-07-12,13789.0,Rinse-Free Wipes
50,2020-07-13,10101.0,Rinse-Free Wipes
51,2020-07-14,14347.0,Rinse-Free Wipes
52,2020-07-15,14347.0,Rinse-Free Wipes
53,2020-07-16,12508.0,Rinse-Free Wipes
54,2020-07-17,13029.0,Rinse-Free Wipes
55,2020-07-18,13029.0,Rinse-Free Wipes
56,2020-07-19,13802.0,Rinse-Free Wipes
57,2020-07-20,13910.0,Rinse-Free Wipes
58,2020-07-21,13910.0,Rinse-Free Wipes
59,2020-07-22,15470.0,Rinse-Free Wipes
60,2020-07-23,13305.0,Rinse-Free Wipes
61,2020-07-24,13305.0,Rinse-Free Wipes
62,2020-07-25,10774.0,Rinse-Free Wipes
63,2020-07-26,10774.0,Rinse-Free Wipes
64,2020-07-27,10426.0,Rinse-Free Wipes
65,2020-07-28,10426.0,Rinse-Free Wipes
66,2020-07-29,11011.0,Rinse-Free Wipes
67,2020-07-30,11011.0,Rinse-Free Wipes
68,2020-07-31,11794.0,Rinse-Free Wipes
69,2020-08-01,11794.0,Rinse-Free Wipes
70,2020-08-02,11600.0,Rinse-Free Wipes
71,2020-08-03,11600.0,Rinse-Free Wipes
72,2020-08-04,11643.0,Rinse-Free Wipes
73,2020-08-05,11643.0,Rinse-Free Wipes
74,2020-08-06,21478.0,Rinse-Free Wipes
75,2020-08-07,21478.0,Rinse-Free Wipes
76,2020-08-08,42122.0,Rinse-Free Wipes
77,2020-08-09,42122.0,Rinse-Free Wipes
78,2020-08-10,58594.0,Rinse-Free Wipes
79,2020-08-11,54657.0,Rinse-Free Wipes
80,2020-08-12,54657.0,Rinse-Free Wipes
81,2020-08-13,34958.0,Rinse-Free Wipes
82,2020-08-14,34958.0,Rinse-Free Wipes
83,2020-08-15,28208.0,Rinse-Free Wipes
84,2020-08-16,28208.0,Rinse-Free Wipes
85,2020-08-17,24805.0,Rinse-Free Wipes
86,2020-08-18,31410.0,Rinse-Free Wipes
87,2020-08-19,33725.0,Rinse-Free Wipes
88,2020-08-20,33725.0,Rinse-Free Wipes
89,2020-08-21,36453.0,Rinse-Free Wipes
90,2020-08-22,36453.0,Rinse-Free Wipes
91,2020-08-23,24253.0,Rinse-Free Wipes
92,2020-08-24,22577.0,Rinse-Free Wipes
93,2020-08-25,32222.0,Rinse-Free Wipes
94,2020-08-26,40682.0,Rinse-Free Wipes
95,2020-08-27,40682.0,Rinse-Free Wipes
96,2020-08-28,33861.0,Rinse-Free Wipes
97,2020-08-29,33861.0,Rinse-Free Wipes
98,2020-08-30,36893.0,Rinse-Free Wipes
99,2020-08-31,58191.0,Rinse-Free Wipes
100,2020-09-01,58191.0,Rinse-Free Wipes
101,2020-09-02,26955.0,Rinse-Free Wipes
102,2020-09-03,44655.0,Rinse-Free Wipes
103,2020-09-04,44655.0,Rinse-Free Wipes
104,2020-09-05,34302.0,Rinse-Free Wipes
105,2020-09-06,34302.0,Rinse-Free Wipes
106,2020-09-07,43052.0,Rinse-Free Wipes
107,2020-09-08,29861.0,Rinse-Free Wipes
108,2020-09-09,29861.0,Rinse-Free Wipes
109,2020-09-10,33647.0,Rinse-Free Wipes
110,2020-09-11,27545.0,Rinse-Free Wipes
111,2020-09-12,27545.0,Rinse-Free Wipes
112,2020-09-13,30322.0,Rinse-Free Wipes
113,2020-09-14,44539.0,Rinse-Free Wipes
114,2020-09-15,44539.0,Rinse-Free Wipes
115,2020-09-16,36859.0,Rinse-Free Wipes
116,2020-09-17,36859.0,Rinse-Free Wipes
117,2020-09-18,29086.0,Rinse-Free Wipes
118,2020-09-19,26620.0,Rinse-Free Wipes
119,2020-09-20,22224.0,Rinse-Free Wipes
120,2020-09-21,22224.0,Rinse-Free Wipes
121,2020-09-22,29289.0,Rinse-Free Wipes
122,2020-09-23,28659.0,Rinse-Free Wipes
123,2020-09-24,35125.0,Rinse-Free Wipes
124,2020-09-25,35125.0,Rinse-Free Wipes
125,2020-09-26,24947.0,Rinse-Free Wipes
126,2020-09-27,24947.0,Rinse-Free Wipes
127,2020-09-28,23223.0,Rinse-Free Wipes
128,2020-09-29,23223.0,Rinse-Free Wipes
129,2020-09-30,22991.0,Rinse-Free Wipes
130,2020-10-01,22991.0,Rinse-Free Wipes
131,2020-10-02,26215.0,Rinse-Free Wipes
132,2020-10-03,23043.0,Rinse-Free Wipes
133,2020-10-04,23043.0,Rinse-Free Wipes
134,2020-10-05,22135.0,Rinse-Free Wipes
135,2020-10-06,19780.0,Rinse-Free Wipes
136,2020-10-07,19481.0,Rinse-Free Wipes
137,2020-10-08,19481.0,Rinse-Free Wipes
138,2020-10-09,23797.0,Rinse-Free Wipes
139,2020-10-10,24641.0,Rinse-Free Wipes
140,2020-10-11,22856.0,Rinse-Free Wipes
141,2020-10-12,22856.0,Rinse-Free Wipes
142,2020-10-13,27071.0,Rinse-Free Wipes
143,2020-10-14,26918.0,Rinse-Free Wipes
144,2020-10-15,25713.0,Rinse-Free Wipes
145,2020-10-16,25713.0,Rinse-Free Wipes
146,2020-10-17,20727.0,Rinse-Free Wipes
147,2020-10-18,20727.0,Rinse-Free Wipes
148,2020-10-19,21335.0,Rinse-Free Wipes
149,2020-10-20,24252.0,Rinse-Free Wipes
150,2020-10-21,24020.0,Rinse-Free Wipes
151,2020-10-22,23365.0,Rinse-Free Wipes
152,2020-10-23,23365.0,Rinse-Free Wipes
153,2020-10-24,23857.0,Rinse-Free Wipes
154,2020-10-25,23857.0,Rinse-Free Wipes
155,2020-10-26,25208.0,Rinse-Free Wipes
156,2020-10-27,25208.0,Rinse-Free Wipes
157,2020-10-28,28712.0,Rinse-Free Wipes
158,2020-10-29,28712.0,Rinse-Free Wipes
159,2020-10-30,24493.0,Rinse-Free Wipes
160,2020-10-31,24493.0,Rinse-Free Wipes
161,2020-11-01,21934.0,Rinse-Free Wipes
162,2020-11-02,21934.0,Rinse-Free Wipes
163,2020-11-03,23712.0,Rinse-Free Wipes
164,2020-11-04,23712.0,Rinse-Free Wipes
165,2020-11-05,24280.0,Rinse-Free Wipes
166,2020-11-06,24280.0,Rinse-Free Wipes
167,2020-11-07,27230.0,Rinse-Free Wipes
168,2020-11-08,27230.0,Rinse-Free Wipes
169,2020-11-09,29328.0,Rinse-Free Wipes
170,2020-11-10,29328.0,Rinse-Free Wipes
171,2020-11-11,28698.0,Rinse-Free Wipes
172,2020-11-12,31836.0,Rinse-Free Wipes
173,2020-11-13,31836.0,Rinse-Free Wipes
174,2020-11-14,31669.0,Rinse-Free Wipes
175,2020-11-15,36975.0,Rinse-Free Wipes
176,2020-11-16,36975.0,Rinse-Free Wipes
177,2020-11-17,37463.0,Rinse-Free Wipes
178,2020-11-18,37463.0,Rinse-Free Wipes
179,2020-11-19,32902.0,Rinse-Free Wipes
180,2020-11-20,32902.0,Rinse-Free Wipes
181,2020-11-21,40917.0,Rinse-Free Wipes
182,2020-11-22,40917.0,Rinse-Free Wipes
183,2020-11-23,48747.0,Rinse-Free Wipes
184,2020-11-24,48747.0,Rinse-Free Wipes
185,2020-11-25,44002.0,Rinse-Free Wipes
186,2020-11-26,44002.0,Rinse-Free Wipes
187,2020-11-27,70500.0,Rinse-Free Wipes
188,2020-11-28,70500.0,Rinse-Free Wipes
189,2020-11-29,69892.0,Rinse-Free Wipes
190,2020-11-30,97191.0,Rinse-Free Wipes
