,date,value,name_B08877S3Q9
0,2020-06-24,7076.0,Highlighters
1,2020-06-25,7076.0,Highlighters
2,2020-06-26,7076.0,Highlighters
3,2020-06-27,6447.0,Highlighters
4,2020-06-28,6447.0,Highlighters
5,2020-06-29,6447.0,Highlighters
6,2020-06-30,6447.0,Highlighters
7,2020-07-01,6447.0,Highlighters
8,2020-07-02,7537.0,Highlighters
9,2020-07-03,7537.0,Highlighters
10,2020-07-04,7537.0,Highlighters
11,2020-07-05,7537.0,Highlighters
12,2020-07-06,8542.0,Highlighters
13,2020-07-07,6612.0,Highlighters
14,2020-07-08,6071.0,Highlighters
15,2020-07-09,6071.0,Highlighters
16,2020-07-10,6071.0,Highlighters
17,2020-07-11,6071.0,Highlighters
18,2020-07-12,6428.0,Highlighters
19,2020-07-13,6428.0,Highlighters
20,2020-07-14,6428.0,Highlighters
21,2020-07-15,4645.0,Highlighters
22,2020-07-16,4645.0,Highlighters
23,2020-07-17,5138.0,Highlighters
24,2020-07-18,5370.0,Highlighters
25,2020-07-19,5651.0,Highlighters
26,2020-07-20,5651.0,Highlighters
27,2020-07-21,5651.0,Highlighters
28,2020-07-22,4298.0,Highlighters
29,2020-07-23,4298.0,Highlighters
30,2020-07-24,4985.0,Highlighters
31,2020-07-25,4985.0,Highlighters
32,2020-07-26,4985.0,Highlighters
33,2020-07-27,6247.0,Highlighters
34,2020-07-28,6247.0,Highlighters
35,2020-07-29,6247.0,Highlighters
36,2020-07-30,5537.0,Highlighters
37,2020-07-31,5537.0,Highlighters
38,2020-08-01,5537.0,Highlighters
39,2020-08-02,5537.0,Highlighters
40,2020-08-03,4903.0,Highlighters
41,2020-08-04,4456.0,Highlighters
42,2020-08-05,3914.0,Highlighters
43,2020-08-06,4002.0,Highlighters
44,2020-08-07,3576.0,Highlighters
45,2020-08-08,3576.0,Highlighters
46,2020-08-09,3576.0,Highlighters
47,2020-08-10,6491.0,Highlighters
48,2020-08-11,6491.0,Highlighters
49,2020-08-12,5117.0,Highlighters
50,2020-08-13,4465.0,Highlighters
51,2020-08-14,4465.0,Highlighters
52,2020-08-15,4465.0,Highlighters
53,2020-08-16,4465.0,Highlighters
54,2020-08-17,5578.0,Highlighters
55,2020-08-18,5652.0,Highlighters
56,2020-08-19,5652.0,Highlighters
57,2020-08-20,5652.0,Highlighters
58,2020-08-21,3871.0,Highlighters
59,2020-08-22,3871.0,Highlighters
60,2020-08-23,3871.0,Highlighters
61,2020-08-24,3871.0,Highlighters
62,2020-08-25,5339.0,Highlighters
63,2020-08-26,5339.0,Highlighters
64,2020-08-27,5339.0,Highlighters
65,2020-08-28,5339.0,Highlighters
66,2020-08-29,4273.0,Highlighters
67,2020-08-30,6101.0,Highlighters
68,2020-08-31,6101.0,Highlighters
69,2020-09-01,5705.0,Highlighters
70,2020-09-02,6775.0,Highlighters
71,2020-09-03,6775.0,Highlighters
72,2020-09-04,6713.0,Highlighters
73,2020-09-05,6713.0,Highlighters
74,2020-09-06,6713.0,Highlighters
75,2020-09-07,11876.0,Highlighters
76,2020-09-08,11876.0,Highlighters
77,2020-09-09,11876.0,Highlighters
78,2020-09-10,8522.0,Highlighters
79,2020-09-11,8522.0,Highlighters
80,2020-09-12,8522.0,Highlighters
81,2020-09-13,12988.0,Highlighters
