,date,value,name_B076ZPQPTV
0,2020-05-26,216.0,Shredders
1,2020-05-27,216.0,Shredders
2,2020-05-28,258.0,Shredders
3,2020-05-29,267.0,Shredders
4,2020-05-30,267.0,Shredders
5,2020-05-31,241.0,Shredders
6,2020-06-01,251.0,Shredders
7,2020-06-02,278.0,Shredders
8,2020-06-03,278.0,Shredders
9,2020-06-04,278.0,Shredders
10,2020-06-05,291.0,Shredders
11,2020-06-06,291.0,Shredders
12,2020-06-07,265.0,Shredders
13,2020-06-08,265.0,Shredders
14,2020-06-09,265.0,Shredders
15,2020-06-10,314.0,Shredders
16,2020-06-11,298.0,Shredders
17,2020-06-12,298.0,Shredders
18,2020-06-13,296.0,Shredders
19,2020-06-14,289.0,Shredders
20,2020-06-15,273.0,Shredders
21,2020-06-16,300.0,Shredders
22,2020-06-17,295.0,Shredders
23,2020-06-18,335.0,Shredders
24,2020-06-19,344.0,Shredders
25,2020-06-20,344.0,Shredders
26,2020-06-21,344.0,Shredders
27,2020-06-22,256.0,Shredders
28,2020-06-23,256.0,Shredders
29,2020-06-24,320.0,Shredders
30,2020-06-25,320.0,Shredders
31,2020-06-26,278.0,Shredders
32,2020-06-27,278.0,Shredders
33,2020-06-28,278.0,Shredders
34,2020-06-29,266.0,Shredders
35,2020-06-30,266.0,Shredders
36,2020-07-01,301.0,Shredders
37,2020-07-02,282.0,Shredders
38,2020-07-03,286.0,Shredders
39,2020-07-04,271.0,Shredders
40,2020-07-05,256.0,Shredders
41,2020-07-06,276.0,Shredders
42,2020-07-07,276.0,Shredders
43,2020-07-08,276.0,Shredders
44,2020-07-09,372.0,Shredders
45,2020-07-10,372.0,Shredders
46,2020-07-11,310.0,Shredders
47,2020-07-12,319.0,Shredders
48,2020-07-13,319.0,Shredders
49,2020-07-14,341.0,Shredders
50,2020-07-15,341.0,Shredders
51,2020-07-16,364.0,Shredders
52,2020-07-17,326.0,Shredders
53,2020-07-18,326.0,Shredders
54,2020-07-19,326.0,Shredders
55,2020-07-20,297.0,Shredders
56,2020-07-21,297.0,Shredders
57,2020-07-22,370.0,Shredders
58,2020-07-23,394.0,Shredders
59,2020-07-24,394.0,Shredders
60,2020-07-25,394.0,Shredders
61,2020-07-26,358.0,Shredders
62,2020-07-27,369.0,Shredders
63,2020-07-28,424.0,Shredders
64,2020-07-29,388.0,Shredders
65,2020-07-30,388.0,Shredders
66,2020-07-31,388.0,Shredders
67,2020-08-01,498.0,Shredders
68,2020-08-02,498.0,Shredders
69,2020-08-03,436.0,Shredders
70,2020-08-04,470.0,Shredders
71,2020-08-05,506.0,Shredders
72,2020-08-06,509.0,Shredders
73,2020-08-07,494.0,Shredders
74,2020-08-08,510.0,Shredders
75,2020-08-09,510.0,Shredders
76,2020-08-10,511.0,Shredders
77,2020-08-11,604.0,Shredders
78,2020-08-12,604.0,Shredders
79,2020-08-13,635.0,Shredders
80,2020-08-14,681.0,Shredders
81,2020-08-15,659.0,Shredders
82,2020-08-16,659.0,Shredders
83,2020-08-17,659.0,Shredders
84,2020-08-18,752.0,Shredders
85,2020-08-19,739.0,Shredders
86,2020-08-20,742.0,Shredders
87,2020-08-21,742.0,Shredders
88,2020-08-22,742.0,Shredders
89,2020-08-23,660.0,Shredders
90,2020-08-24,544.0,Shredders
91,2020-08-25,696.0,Shredders
92,2020-08-26,758.0,Shredders
93,2020-08-27,777.0,Shredders
94,2020-08-28,648.0,Shredders
95,2020-08-29,760.0,Shredders
96,2020-08-30,760.0,Shredders
97,2020-08-31,564.0,Shredders
98,2020-09-01,616.0,Shredders
99,2020-09-02,688.0,Shredders
100,2020-09-03,595.0,Shredders
101,2020-09-04,523.0,Shredders
102,2020-09-05,616.0,Shredders
103,2020-09-06,442.0,Shredders
104,2020-09-07,442.0,Shredders
105,2020-09-08,479.0,Shredders
106,2020-09-09,511.0,Shredders
107,2020-09-10,511.0,Shredders
108,2020-09-11,633.0,Shredders
109,2020-09-12,633.0,Shredders
110,2020-09-13,401.0,Shredders
111,2020-09-14,422.0,Shredders
112,2020-09-15,422.0,Shredders
113,2020-09-16,387.0,Shredders
114,2020-09-17,473.0,Shredders
115,2020-09-18,473.0,Shredders
116,2020-09-19,425.0,Shredders
117,2020-09-20,324.0,Shredders
118,2020-09-21,291.0,Shredders
119,2020-09-22,397.0,Shredders
120,2020-09-23,427.0,Shredders
121,2020-09-24,404.0,Shredders
122,2020-09-25,401.0,Shredders
123,2020-09-26,384.0,Shredders
124,2020-09-27,287.0,Shredders
125,2020-09-28,363.0,Shredders
126,2020-09-29,401.0,Shredders
127,2020-09-30,416.0,Shredders
128,2020-10-01,439.0,Shredders
129,2020-10-02,439.0,Shredders
130,2020-10-03,408.0,Shredders
131,2020-10-04,369.0,Shredders
132,2020-10-05,361.0,Shredders
133,2020-10-06,431.0,Shredders
134,2020-10-07,431.0,Shredders
135,2020-10-08,431.0,Shredders
136,2020-10-09,423.0,Shredders
137,2020-10-10,423.0,Shredders
138,2020-10-11,341.0,Shredders
139,2020-10-12,330.0,Shredders
140,2020-10-13,390.0,Shredders
141,2020-10-14,390.0,Shredders
142,2020-10-15,390.0,Shredders
143,2020-10-16,439.0,Shredders
144,2020-10-17,379.0,Shredders
145,2020-10-18,340.0,Shredders
146,2020-10-19,340.0,Shredders
147,2020-10-20,388.0,Shredders
148,2020-10-21,411.0,Shredders
149,2020-10-22,371.0,Shredders
150,2020-10-23,447.0,Shredders
151,2020-10-24,447.0,Shredders
152,2020-10-25,260.0,Shredders
153,2020-10-26,260.0,Shredders
154,2020-10-27,349.0,Shredders
155,2020-10-28,378.0,Shredders
156,2020-10-29,368.0,Shredders
157,2020-10-30,368.0,Shredders
158,2020-10-31,308.0,Shredders
159,2020-11-01,268.0,Shredders
160,2020-11-02,298.0,Shredders
161,2020-11-03,411.0,Shredders
162,2020-11-04,361.0,Shredders
163,2020-11-05,361.0,Shredders
164,2020-11-06,414.0,Shredders
165,2020-11-07,426.0,Shredders
166,2020-11-08,332.0,Shredders
167,2020-11-09,360.0,Shredders
168,2020-11-10,341.0,Shredders
169,2020-11-11,357.0,Shredders
170,2020-11-12,350.0,Shredders
171,2020-11-13,324.0,Shredders
172,2020-11-14,307.0,Shredders
173,2020-11-15,307.0,Shredders
174,2020-11-16,235.0,Shredders
175,2020-11-17,260.0,Shredders
176,2020-11-18,260.0,Shredders
177,2020-11-19,272.0,Shredders
178,2020-11-20,272.0,Shredders
179,2020-11-21,340.0,Shredders
180,2020-11-22,340.0,Shredders
181,2020-11-23,319.0,Shredders
182,2020-11-24,319.0,Shredders
183,2020-11-25,331.0,Shredders
184,2020-11-26,331.0,Shredders
185,2020-11-27,373.0,Shredders
186,2020-11-28,343.0,Shredders
187,2020-11-29,333.0,Shredders
188,2020-11-30,370.0,Shredders
