,date,value,name_B07YD1PFXF
0,2019-09-26,76046.0,Tiers
1,2019-09-27,56806.0,Tiers
2,2019-09-28,65214.0,Tiers
3,2019-09-29,83152.0,Tiers
4,2019-09-30,84170.0,Tiers
5,2019-10-01,81334.0,Tiers
6,2019-10-02,82622.0,Tiers
7,2019-10-03,68887.0,Tiers
8,2019-10-04,78498.0,Tiers
9,2019-10-05,83511.0,Tiers
10,2019-10-06,52160.0,Tiers
11,2019-10-07,62940.0,Tiers
12,2019-10-08,50572.0,Tiers
13,2019-10-09,60636.0,Tiers
14,2019-10-10,61408.0,Tiers
15,2019-10-11,75054.0,Tiers
16,2019-10-12,70620.0,Tiers
17,2019-10-13,63787.0,Tiers
18,2019-10-14,73749.0,Tiers
19,2019-10-15,90540.0,Tiers
20,2019-10-16,96236.0,Tiers
21,2019-10-17,79786.0,Tiers
22,2019-10-18,55161.0,Tiers
23,2019-10-19,46867.0,Tiers
24,2019-10-20,72642.0,Tiers
25,2019-10-21,73651.0,Tiers
26,2019-10-22,73286.0,Tiers
27,2019-10-23,100391.0,Tiers
28,2019-10-24,63407.0,Tiers
29,2019-10-25,48126.0,Tiers
30,2019-10-26,49872.0,Tiers
31,2019-10-27,58152.0,Tiers
32,2019-10-28,45257.0,Tiers
33,2019-10-29,44341.0,Tiers
34,2019-10-30,39670.0,Tiers
35,2019-10-31,58708.0,Tiers
36,2019-11-01,52491.0,Tiers
37,2019-11-02,57360.0,Tiers
38,2019-11-03,55760.0,Tiers
39,2019-11-04,47408.0,Tiers
40,2019-11-05,45689.0,Tiers
41,2019-11-06,54818.0,Tiers
42,2019-11-07,51556.0,Tiers
43,2019-11-08,51556.0,Tiers
44,2019-11-09,51556.0,Tiers
45,2019-11-10,51556.0,Tiers
46,2019-11-11,51556.0,Tiers
47,2019-11-12,51556.0,Tiers
48,2019-11-13,51556.0,Tiers
49,2019-11-14,41494.0,Tiers
50,2019-11-15,41494.0,Tiers
51,2019-11-16,41494.0,Tiers
52,2019-11-17,80028.0,Tiers
53,2019-11-18,80028.0,Tiers
54,2019-11-19,80028.0,Tiers
55,2019-11-20,80028.0,Tiers
56,2019-11-21,62238.0,Tiers
57,2019-11-22,62238.0,Tiers
58,2019-11-23,62238.0,Tiers
59,2019-11-24,62238.0,Tiers
60,2019-11-25,62238.0,Tiers
61,2019-11-26,62238.0,Tiers
62,2019-11-27,52283.0,Tiers
63,2019-11-28,52283.0,Tiers
64,2019-11-29,52283.0,Tiers
65,2019-11-30,72904.0,Tiers
66,2019-12-01,72904.0,Tiers
67,2019-12-02,72904.0,Tiers
68,2019-12-03,72904.0,Tiers
69,2019-12-04,72904.0,Tiers
70,2019-12-05,72904.0,Tiers
71,2019-12-06,129221.0,Tiers
72,2019-12-07,129221.0,Tiers
73,2019-12-08,129221.0,Tiers
74,2019-12-09,129221.0,Tiers
75,2019-12-10,129221.0,Tiers
76,2019-12-11,132480.0,Tiers
77,2019-12-12,110784.0,Tiers
78,2019-12-13,110784.0,Tiers
79,2019-12-14,110784.0,Tiers
80,2019-12-15,110784.0,Tiers
81,2019-12-16,113324.0,Tiers
82,2019-12-17,113324.0,Tiers
83,2019-12-18,113324.0,Tiers
84,2019-12-19,113324.0,Tiers
85,2019-12-20,113324.0,Tiers
86,2019-12-21,113324.0,Tiers
87,2019-12-22,113324.0,Tiers
88,2019-12-23,113324.0,Tiers
89,2019-12-24,113324.0,Tiers
90,2019-12-25,72524.0,Tiers
91,2019-12-26,72524.0,Tiers
92,2019-12-27,72524.0,Tiers
93,2019-12-28,72524.0,Tiers
94,2019-12-29,72524.0,Tiers
95,2019-12-30,36158.0,Tiers
96,2019-12-31,36158.0,Tiers
97,2020-01-01,36158.0,Tiers
98,2020-01-02,36158.0,Tiers
99,2020-01-03,36158.0,Tiers
100,2020-01-04,29339.0,Tiers
101,2020-01-05,29339.0,Tiers
102,2020-01-06,29339.0,Tiers
103,2020-01-07,29339.0,Tiers
104,2020-01-08,29339.0,Tiers
105,2020-01-09,40949.0,Tiers
106,2020-01-10,40949.0,Tiers
107,2020-01-11,40949.0,Tiers
108,2020-01-12,40949.0,Tiers
109,2020-01-13,40949.0,Tiers
110,2020-01-14,40949.0,Tiers
111,2020-01-15,38235.0,Tiers
112,2020-01-16,38235.0,Tiers
113,2020-01-17,38235.0,Tiers
114,2020-01-18,38235.0,Tiers
115,2020-01-19,25999.0,Tiers
116,2020-01-20,25999.0,Tiers
117,2020-01-21,25999.0,Tiers
118,2020-01-22,25999.0,Tiers
119,2020-01-23,40228.0,Tiers
120,2020-01-24,28839.0,Tiers
