,date,value,name_B07M9QDVPY
0,2019-05-28,83191.0,Open Storage Bins
1,2019-05-29,83191.0,Open Storage Bins
2,2019-05-30,83191.0,Open Storage Bins
3,2019-05-31,83191.0,Open Storage Bins
4,2019-06-01,128847.0,Open Storage Bins
5,2019-06-02,128847.0,Open Storage Bins
6,2019-06-03,305146.0,Open Storage Bins
7,2019-06-04,305146.0,Open Storage Bins
8,2019-06-05,419991.0,Open Storage Bins
9,2019-06-06,479459.0,Open Storage Bins
10,2019-06-07,479459.0,Open Storage Bins
11,2019-06-08,531956.0,Open Storage Bins
12,2019-06-09,531956.0,Open Storage Bins
13,2019-06-10,531956.0,Open Storage Bins
14,2019-06-11,531956.0,Open Storage Bins
15,2019-06-12,531956.0,Open Storage Bins
16,2019-06-13,531956.0,Open Storage Bins
17,2019-06-14,531956.0,Open Storage Bins
18,2019-06-15,531956.0,Open Storage Bins
19,2019-06-16,531956.0,Open Storage Bins
20,2019-06-17,145003.0,Open Storage Bins
21,2019-06-18,321012.0,Open Storage Bins
22,2019-06-19,244076.0,Open Storage Bins
23,2019-06-20,244076.0,Open Storage Bins
24,2019-06-21,244076.0,Open Storage Bins
25,2019-06-22,244076.0,Open Storage Bins
26,2019-06-23,110965.0,Open Storage Bins
27,2019-06-24,110965.0,Open Storage Bins
28,2019-06-25,110965.0,Open Storage Bins
29,2019-06-26,110965.0,Open Storage Bins
30,2019-06-27,110965.0,Open Storage Bins
31,2019-06-28,174264.0,Open Storage Bins
32,2019-06-29,174264.0,Open Storage Bins
33,2019-06-30,174264.0,Open Storage Bins
34,2019-07-01,174264.0,Open Storage Bins
35,2019-07-02,109595.0,Open Storage Bins
36,2019-07-03,111156.0,Open Storage Bins
37,2019-07-04,111156.0,Open Storage Bins
38,2019-07-05,101494.0,Open Storage Bins
39,2019-07-06,9569.0,Open Storage Bins
40,2019-07-07,9569.0,Open Storage Bins
41,2019-07-08,9183.0,Open Storage Bins
42,2019-07-09,10426.0,Open Storage Bins
43,2019-07-10,8478.0,Open Storage Bins
44,2019-07-11,8417.0,Open Storage Bins
45,2019-07-12,7579.0,Open Storage Bins
46,2019-07-13,6485.0,Open Storage Bins
47,2019-07-14,4413.0,Open Storage Bins
48,2019-07-15,4710.0,Open Storage Bins
49,2019-07-16,7618.0,Open Storage Bins
50,2019-07-17,10031.0,Open Storage Bins
51,2019-07-18,10031.0,Open Storage Bins
52,2019-07-19,6294.0,Open Storage Bins
53,2019-07-20,6294.0,Open Storage Bins
54,2019-07-21,8888.0,Open Storage Bins
55,2019-07-22,7765.0,Open Storage Bins
56,2019-07-23,7765.0,Open Storage Bins
57,2019-07-24,9689.0,Open Storage Bins
58,2019-07-25,8028.0,Open Storage Bins
59,2019-07-26,9182.0,Open Storage Bins
60,2019-07-27,9182.0,Open Storage Bins
61,2019-07-28,9182.0,Open Storage Bins
62,2019-07-29,7104.0,Open Storage Bins
63,2019-07-30,7104.0,Open Storage Bins
64,2019-07-31,7120.0,Open Storage Bins
65,2019-08-01,8665.0,Open Storage Bins
66,2019-08-02,8665.0,Open Storage Bins
67,2019-08-03,8665.0,Open Storage Bins
68,2019-08-04,11351.0,Open Storage Bins
69,2019-08-05,11351.0,Open Storage Bins
70,2019-08-06,17108.0,Open Storage Bins
71,2019-08-07,17108.0,Open Storage Bins
72,2019-08-08,26189.0,Open Storage Bins
73,2019-08-09,26189.0,Open Storage Bins
74,2019-08-10,26189.0,Open Storage Bins
75,2019-08-11,17692.0,Open Storage Bins
76,2019-08-12,17692.0,Open Storage Bins
77,2019-08-13,10129.0,Open Storage Bins
78,2019-08-14,10129.0,Open Storage Bins
79,2019-08-15,8981.0,Open Storage Bins
80,2019-08-16,8877.0,Open Storage Bins
81,2019-08-17,11062.0,Open Storage Bins
82,2019-08-18,11068.0,Open Storage Bins
83,2019-08-19,11106.0,Open Storage Bins
84,2019-08-20,11106.0,Open Storage Bins
85,2019-08-21,11106.0,Open Storage Bins
86,2019-08-22,11320.0,Open Storage Bins
87,2019-08-23,11320.0,Open Storage Bins
88,2019-08-24,10879.0,Open Storage Bins
89,2019-08-25,11531.0,Open Storage Bins
90,2019-08-26,9292.0,Open Storage Bins
91,2019-08-27,9292.0,Open Storage Bins
92,2019-08-28,31363.0,Open Storage Bins
93,2019-08-29,45844.0,Open Storage Bins
94,2019-08-30,54994.0,Open Storage Bins
95,2019-08-31,54994.0,Open Storage Bins
96,2019-09-01,54994.0,Open Storage Bins
97,2019-09-02,55272.0,Open Storage Bins
98,2019-09-03,55272.0,Open Storage Bins
99,2019-09-04,39061.0,Open Storage Bins
100,2019-09-05,15841.0,Open Storage Bins
101,2019-09-06,16924.0,Open Storage Bins
102,2019-09-07,11666.0,Open Storage Bins
103,2019-09-08,12587.0,Open Storage Bins
104,2019-09-09,15865.0,Open Storage Bins
105,2019-09-10,16765.0,Open Storage Bins
106,2019-09-11,12410.0,Open Storage Bins
107,2019-09-12,15679.0,Open Storage Bins
108,2019-09-13,14012.0,Open Storage Bins
109,2019-09-14,13255.0,Open Storage Bins
110,2019-09-15,11610.0,Open Storage Bins
111,2019-09-16,8383.0,Open Storage Bins
112,2019-09-17,8383.0,Open Storage Bins
113,2019-09-18,9793.0,Open Storage Bins
114,2019-09-19,9540.0,Open Storage Bins
115,2019-09-20,11088.0,Open Storage Bins
116,2019-09-21,7657.0,Open Storage Bins
117,2019-09-22,7068.0,Open Storage Bins
118,2019-09-23,2027.0,Open Storage Bins
119,2019-09-24,4154.0,Open Storage Bins
120,2019-09-25,5178.0,Open Storage Bins
121,2019-09-26,4547.0,Open Storage Bins
122,2019-09-27,5398.0,Open Storage Bins
123,2019-09-28,5340.0,Open Storage Bins
124,2019-09-29,5789.0,Open Storage Bins
125,2019-09-30,5789.0,Open Storage Bins
126,2019-10-01,4373.0,Open Storage Bins
127,2019-10-02,3023.0,Open Storage Bins
128,2019-10-03,4666.0,Open Storage Bins
129,2019-10-04,4462.0,Open Storage Bins
130,2019-10-05,4387.0,Open Storage Bins
131,2019-10-06,4387.0,Open Storage Bins
132,2019-10-07,3124.0,Open Storage Bins
133,2019-10-08,3124.0,Open Storage Bins
134,2019-10-09,3124.0,Open Storage Bins
135,2019-10-10,3633.0,Open Storage Bins
136,2019-10-11,3796.0,Open Storage Bins
137,2019-10-12,4557.0,Open Storage Bins
138,2019-10-13,4557.0,Open Storage Bins
139,2019-10-14,4058.0,Open Storage Bins
140,2019-10-15,4390.0,Open Storage Bins
141,2019-10-16,3747.0,Open Storage Bins
142,2019-10-17,4037.0,Open Storage Bins
143,2019-10-18,4946.0,Open Storage Bins
144,2019-10-19,5075.0,Open Storage Bins
145,2019-10-20,4413.0,Open Storage Bins
146,2019-10-21,2725.0,Open Storage Bins
147,2019-10-22,3359.0,Open Storage Bins
148,2019-10-23,3574.0,Open Storage Bins
149,2019-10-24,3510.0,Open Storage Bins
150,2019-10-25,4428.0,Open Storage Bins
151,2019-10-26,4428.0,Open Storage Bins
152,2019-10-27,4477.0,Open Storage Bins
153,2019-10-28,4786.0,Open Storage Bins
154,2019-10-29,3108.0,Open Storage Bins
155,2019-10-30,3264.0,Open Storage Bins
156,2019-10-31,3264.0,Open Storage Bins
157,2019-11-01,4613.0,Open Storage Bins
158,2019-11-02,4613.0,Open Storage Bins
159,2019-11-03,3436.0,Open Storage Bins
160,2019-11-04,3703.0,Open Storage Bins
161,2019-11-05,3703.0,Open Storage Bins
162,2019-11-06,4204.0,Open Storage Bins
163,2019-11-07,4313.0,Open Storage Bins
164,2019-11-08,4313.0,Open Storage Bins
165,2019-11-09,4313.0,Open Storage Bins
166,2019-11-10,4313.0,Open Storage Bins
167,2019-11-11,5093.0,Open Storage Bins
168,2019-11-12,5732.0,Open Storage Bins
169,2019-11-13,5462.0,Open Storage Bins
170,2019-11-14,5462.0,Open Storage Bins
171,2019-11-15,5836.0,Open Storage Bins
172,2019-11-16,5435.0,Open Storage Bins
173,2019-11-17,6820.0,Open Storage Bins
174,2019-11-18,6816.0,Open Storage Bins
175,2019-11-19,5327.0,Open Storage Bins
176,2019-11-20,5327.0,Open Storage Bins
177,2019-11-21,6714.0,Open Storage Bins
178,2019-11-22,7198.0,Open Storage Bins
179,2019-11-23,8807.0,Open Storage Bins
180,2019-11-24,6714.0,Open Storage Bins
181,2019-11-25,2406.0,Open Storage Bins
182,2019-11-26,5183.0,Open Storage Bins
183,2019-11-27,5183.0,Open Storage Bins
184,2019-11-28,5183.0,Open Storage Bins
185,2019-11-29,5183.0,Open Storage Bins
186,2019-11-30,10976.0,Open Storage Bins
187,2019-12-01,10976.0,Open Storage Bins
188,2019-12-02,3244.0,Open Storage Bins
189,2019-12-03,6854.0,Open Storage Bins
190,2019-12-04,6788.0,Open Storage Bins
191,2019-12-05,7527.0,Open Storage Bins
192,2019-12-06,7769.0,Open Storage Bins
193,2019-12-07,9543.0,Open Storage Bins
194,2019-12-08,9543.0,Open Storage Bins
195,2019-12-09,7853.0,Open Storage Bins
196,2019-12-10,8422.0,Open Storage Bins
197,2019-12-11,9412.0,Open Storage Bins
198,2019-12-12,11113.0,Open Storage Bins
199,2019-12-13,11113.0,Open Storage Bins
200,2019-12-14,11113.0,Open Storage Bins
201,2019-12-15,9001.0,Open Storage Bins
202,2019-12-16,9734.0,Open Storage Bins
203,2019-12-17,8214.0,Open Storage Bins
204,2019-12-18,8214.0,Open Storage Bins
205,2019-12-19,9542.0,Open Storage Bins
206,2019-12-20,9434.0,Open Storage Bins
207,2019-12-21,7936.0,Open Storage Bins
208,2019-12-22,8542.0,Open Storage Bins
209,2019-12-23,7731.0,Open Storage Bins
210,2019-12-24,6997.0,Open Storage Bins
211,2019-12-25,6997.0,Open Storage Bins
212,2019-12-26,6997.0,Open Storage Bins
213,2019-12-27,6997.0,Open Storage Bins
214,2019-12-28,4230.0,Open Storage Bins
215,2019-12-29,4230.0,Open Storage Bins
216,2019-12-30,3463.0,Open Storage Bins
217,2019-12-31,3693.0,Open Storage Bins
218,2020-01-01,3693.0,Open Storage Bins
219,2020-01-02,3340.0,Open Storage Bins
220,2020-01-03,3340.0,Open Storage Bins
221,2020-01-04,3340.0,Open Storage Bins
222,2020-01-05,3340.0,Open Storage Bins
223,2020-01-06,8704.0,Open Storage Bins
224,2020-01-07,12596.0,Open Storage Bins
225,2020-01-08,12742.0,Open Storage Bins
226,2020-01-09,14172.0,Open Storage Bins
227,2020-01-10,14172.0,Open Storage Bins
228,2020-01-11,14172.0,Open Storage Bins
229,2020-01-12,14172.0,Open Storage Bins
230,2020-01-13,18157.0,Open Storage Bins
231,2020-01-14,22350.0,Open Storage Bins
232,2020-01-15,31610.0,Open Storage Bins
233,2020-01-16,31610.0,Open Storage Bins
234,2020-01-17,31610.0,Open Storage Bins
235,2020-01-18,27821.0,Open Storage Bins
236,2020-01-19,31764.0,Open Storage Bins
237,2020-01-20,31764.0,Open Storage Bins
238,2020-01-21,31764.0,Open Storage Bins
239,2020-01-22,31764.0,Open Storage Bins
240,2020-01-23,66225.0,Open Storage Bins
241,2020-01-24,66225.0,Open Storage Bins
242,2020-01-25,66225.0,Open Storage Bins
243,2020-01-26,10452.0,Open Storage Bins
244,2020-01-27,10452.0,Open Storage Bins
245,2020-01-28,10452.0,Open Storage Bins
246,2020-01-29,10452.0,Open Storage Bins
247,2020-01-30,10452.0,Open Storage Bins
248,2020-01-31,45184.0,Open Storage Bins
249,2020-02-01,28904.0,Open Storage Bins
250,2020-02-02,20791.0,Open Storage Bins
251,2020-02-03,16650.0,Open Storage Bins
252,2020-02-04,16650.0,Open Storage Bins
253,2020-02-05,16650.0,Open Storage Bins
254,2020-02-06,16650.0,Open Storage Bins
255,2020-02-07,13322.0,Open Storage Bins
256,2020-02-08,11298.0,Open Storage Bins
257,2020-02-09,11298.0,Open Storage Bins
258,2020-02-10,11298.0,Open Storage Bins
259,2020-02-11,11298.0,Open Storage Bins
260,2020-02-12,11298.0,Open Storage Bins
261,2020-02-13,8642.0,Open Storage Bins
262,2020-02-14,8642.0,Open Storage Bins
263,2020-02-15,8642.0,Open Storage Bins
264,2020-02-16,8642.0,Open Storage Bins
265,2020-02-17,3559.0,Open Storage Bins
266,2020-02-18,3559.0,Open Storage Bins
267,2020-02-19,3559.0,Open Storage Bins
268,2020-02-20,5752.0,Open Storage Bins
269,2020-02-21,5752.0,Open Storage Bins
270,2020-02-22,5752.0,Open Storage Bins
271,2020-02-23,1426.0,Open Storage Bins
272,2020-02-24,1140.0,Open Storage Bins
273,2020-02-25,4413.0,Open Storage Bins
274,2020-02-26,4413.0,Open Storage Bins
275,2020-02-27,2494.0,Open Storage Bins
276,2020-02-28,4528.0,Open Storage Bins
277,2020-02-29,4528.0,Open Storage Bins
278,2020-03-01,4816.0,Open Storage Bins
279,2020-03-02,5569.0,Open Storage Bins
280,2020-03-03,4110.0,Open Storage Bins
281,2020-03-04,1174.0,Open Storage Bins
282,2020-03-05,1950.0,Open Storage Bins
283,2020-03-06,3563.0,Open Storage Bins
284,2020-03-07,4472.0,Open Storage Bins
285,2020-03-08,4472.0,Open Storage Bins
286,2020-03-09,5735.0,Open Storage Bins
287,2020-03-10,-1.0,Open Storage Bins
288,2020-03-11,-1.0,Open Storage Bins
289,2020-03-12,-1.0,Open Storage Bins
290,2020-03-13,-1.0,Open Storage Bins
291,2020-03-14,-1.0,Open Storage Bins
292,2020-03-15,-1.0,Open Storage Bins
293,2020-03-16,-1.0,Open Storage Bins
294,2020-03-17,-1.0,Open Storage Bins
295,2020-03-18,-1.0,Open Storage Bins
296,2020-03-19,-1.0,Open Storage Bins
297,2020-03-20,-1.0,Open Storage Bins
298,2020-03-21,-1.0,Open Storage Bins
299,2020-03-22,-1.0,Open Storage Bins
300,2020-03-23,-1.0,Open Storage Bins
301,2020-03-24,-1.0,Open Storage Bins
302,2020-03-25,-1.0,Open Storage Bins
303,2020-03-26,-1.0,Open Storage Bins
304,2020-03-27,-1.0,Open Storage Bins
305,2020-03-28,-1.0,Open Storage Bins
306,2020-03-29,-1.0,Open Storage Bins
307,2020-03-30,-1.0,Open Storage Bins
308,2020-03-31,-1.0,Open Storage Bins
309,2020-04-01,-1.0,Open Storage Bins
310,2020-04-02,2414.0,Open Storage Bins
311,2020-04-03,3175.0,Open Storage Bins
312,2020-04-04,3175.0,Open Storage Bins
313,2020-04-05,3175.0,Open Storage Bins
314,2020-04-06,2714.0,Open Storage Bins
315,2020-04-07,3559.0,Open Storage Bins
316,2020-04-08,3626.0,Open Storage Bins
317,2020-04-09,3626.0,Open Storage Bins
318,2020-04-10,5453.0,Open Storage Bins
319,2020-04-11,5010.0,Open Storage Bins
320,2020-04-12,6117.0,Open Storage Bins
321,2020-04-13,6117.0,Open Storage Bins
322,2020-04-14,6435.0,Open Storage Bins
323,2020-04-15,6435.0,Open Storage Bins
324,2020-04-16,6435.0,Open Storage Bins
