,date,value,name_B095NVCCVM
0,2021-05-28,4211,Reading Glasses
1,2021-05-29,4497,Reading Glasses
2,2021-05-30,4760,Reading Glasses
3,2021-05-31,4009,Reading Glasses
4,2021-06-01,4931,Reading Glasses
5,2021-06-02,4611,Reading Glasses
6,2021-06-03,5058,Reading Glasses
7,2021-06-04,4283,Reading Glasses
8,2021-06-05,4531,Reading Glasses
9,2021-06-06,5097,Reading Glasses
10,2021-06-07,4954,Reading Glasses
11,2021-06-08,5026,Reading Glasses
12,2021-06-09,4865,Reading Glasses
13,2021-06-10,4288,Reading Glasses
14,2021-06-11,5074,Reading Glasses
15,2021-06-12,5846,Reading Glasses
16,2021-06-13,5444,Reading Glasses
17,2021-06-14,5910,Reading Glasses
18,2021-06-15,5240,Reading Glasses
19,2021-06-16,5436,Reading Glasses
20,2021-06-17,6208,Reading Glasses
21,2021-06-18,5151,Reading Glasses
22,2021-06-19,4964,Reading Glasses
23,2021-06-20,4818,Reading Glasses
24,2021-06-21,5006,Reading Glasses
25,2021-06-22,4898,Reading Glasses
26,2021-06-23,4644,Reading Glasses
27,2021-06-24,4600,Reading Glasses
28,2021-06-25,5034,Reading Glasses
29,2021-06-26,5466,Reading Glasses
30,2021-06-27,5230,Reading Glasses
31,2021-06-28,5466,Reading Glasses
32,2021-06-29,4823,Reading Glasses
33,2021-06-30,4667,Reading Glasses
34,2021-07-01,4518,Reading Glasses
35,2021-07-02,4081,Reading Glasses
36,2021-07-03,3497,Reading Glasses
37,2021-07-04,4473,Reading Glasses
38,2021-07-05,4874,Reading Glasses
39,2021-07-06,5042,Reading Glasses
40,2021-07-07,5517,Reading Glasses
41,2021-07-08,5198,Reading Glasses
42,2021-07-09,5622,Reading Glasses
43,2021-07-10,5603,Reading Glasses
