,date,value,name_B08F76BFY8
0,2020-08-06,4618.0,Dry Erase Boards
1,2020-08-07,4618.0,Dry Erase Boards
2,2020-08-08,4618.0,Dry Erase Boards
3,2020-08-09,4618.0,Dry Erase Boards
4,2020-08-10,7039.0,Dry Erase Boards
5,2020-08-11,7039.0,Dry Erase Boards
6,2020-08-12,6544.0,Dry Erase Boards
7,2020-08-13,6082.0,Dry Erase Boards
8,2020-08-14,5717.0,Dry Erase Boards
9,2020-08-15,5717.0,Dry Erase Boards
10,2020-08-16,5717.0,Dry Erase Boards
11,2020-08-17,7109.0,Dry Erase Boards
12,2020-08-18,7109.0,Dry Erase Boards
13,2020-08-19,7109.0,Dry Erase Boards
14,2020-08-20,5521.0,Dry Erase Boards
15,2020-08-21,5830.0,Dry Erase Boards
16,2020-08-22,6782.0,Dry Erase Boards
17,2020-08-23,6782.0,Dry Erase Boards
18,2020-08-24,7256.0,Dry Erase Boards
19,2020-08-25,5810.0,Dry Erase Boards
20,2020-08-26,5527.0,Dry Erase Boards
21,2020-08-27,5527.0,Dry Erase Boards
22,2020-08-28,5527.0,Dry Erase Boards
23,2020-08-29,5527.0,Dry Erase Boards
24,2020-08-30,4354.0,Dry Erase Boards
25,2020-08-31,5002.0,Dry Erase Boards
26,2020-09-01,5002.0,Dry Erase Boards
27,2020-09-02,4769.0,Dry Erase Boards
28,2020-09-03,4769.0,Dry Erase Boards
29,2020-09-04,4769.0,Dry Erase Boards
30,2020-09-05,4769.0,Dry Erase Boards
31,2020-09-06,3921.0,Dry Erase Boards
32,2020-09-07,3921.0,Dry Erase Boards
33,2020-09-08,4022.0,Dry Erase Boards
34,2020-09-09,3410.0,Dry Erase Boards
35,2020-09-10,2968.0,Dry Erase Boards
36,2020-09-11,3097.0,Dry Erase Boards
37,2020-09-12,3097.0,Dry Erase Boards
38,2020-09-13,3097.0,Dry Erase Boards
39,2020-09-14,3432.0,Dry Erase Boards
40,2020-09-15,3116.0,Dry Erase Boards
41,2020-09-16,3116.0,Dry Erase Boards
42,2020-09-17,3116.0,Dry Erase Boards
43,2020-09-18,2599.0,Dry Erase Boards
44,2020-09-19,2599.0,Dry Erase Boards
45,2020-09-20,2599.0,Dry Erase Boards
46,2020-09-21,3807.0,Dry Erase Boards
47,2020-09-22,3807.0,Dry Erase Boards
48,2020-09-23,3807.0,Dry Erase Boards
49,2020-09-24,3430.0,Dry Erase Boards
50,2020-09-25,3430.0,Dry Erase Boards
51,2020-09-26,3430.0,Dry Erase Boards
52,2020-09-27,2637.0,Dry Erase Boards
53,2020-09-28,2637.0,Dry Erase Boards
54,2020-09-29,2637.0,Dry Erase Boards
55,2020-09-30,2627.0,Dry Erase Boards
56,2020-10-01,2627.0,Dry Erase Boards
57,2020-10-02,2164.0,Dry Erase Boards
