,date,value,name_B094FHS13K
0,2021-05-11,3727.0,Paintbrush Sets
1,2021-05-12,3727.0,Paintbrush Sets
2,2021-05-13,2748.0,Paintbrush Sets
3,2021-05-14,4313.0,Paintbrush Sets
4,2021-05-15,4313.0,Paintbrush Sets
5,2021-05-16,4313.0,Paintbrush Sets
6,2021-05-17,4789.0,Paintbrush Sets
7,2021-05-18,2613.0,Paintbrush Sets
8,2021-05-19,2613.0,Paintbrush Sets
9,2021-05-20,1990.0,Paintbrush Sets
10,2021-05-21,2592.0,Paintbrush Sets
11,2021-05-22,2100.0,Paintbrush Sets
12,2021-05-23,2100.0,Paintbrush Sets
13,2021-05-24,5394.0,Paintbrush Sets
14,2021-05-25,5394.0,Paintbrush Sets
15,2021-05-26,2558.0,Paintbrush Sets
16,2021-05-27,2558.0,Paintbrush Sets
17,2021-05-28,2167.0,Paintbrush Sets
18,2021-05-29,2843.0,Paintbrush Sets
19,2021-05-30,2843.0,Paintbrush Sets
20,2021-05-31,2843.0,Paintbrush Sets
21,2021-06-01,4174.0,Paintbrush Sets
22,2021-06-02,2288.0,Paintbrush Sets
23,2021-06-03,2288.0,Paintbrush Sets
24,2021-06-04,2425.0,Paintbrush Sets
25,2021-06-05,2425.0,Paintbrush Sets
26,2021-06-06,3208.0,Paintbrush Sets
27,2021-06-07,3208.0,Paintbrush Sets
28,2021-06-08,3208.0,Paintbrush Sets
29,2021-06-09,2879.0,Paintbrush Sets
30,2021-06-10,2879.0,Paintbrush Sets
31,2021-06-11,2378.0,Paintbrush Sets
32,2021-06-12,2378.0,Paintbrush Sets
33,2021-06-13,3914.0,Paintbrush Sets
34,2021-06-14,3914.0,Paintbrush Sets
35,2021-06-15,3914.0,Paintbrush Sets
36,2021-06-16,3914.0,Paintbrush Sets
37,2021-06-17,2881.0,Paintbrush Sets
38,2021-06-18,2881.0,Paintbrush Sets
39,2021-06-19,2881.0,Paintbrush Sets
40,2021-06-20,3943.0,Paintbrush Sets
41,2021-06-21,3943.0,Paintbrush Sets
42,2021-06-22,4117.0,Paintbrush Sets
43,2021-06-23,3849.0,Paintbrush Sets
44,2021-06-24,3452.0,Paintbrush Sets
45,2021-06-25,3452.0,Paintbrush Sets
46,2021-06-26,3380.0,Paintbrush Sets
47,2021-06-27,3380.0,Paintbrush Sets
48,2021-06-28,3380.0,Paintbrush Sets
49,2021-06-29,3537.0,Paintbrush Sets
50,2021-06-30,3537.0,Paintbrush Sets
51,2021-07-01,3285.0,Paintbrush Sets
52,2021-07-02,3285.0,Paintbrush Sets
53,2021-07-03,3285.0,Paintbrush Sets
54,2021-07-04,4995.0,Paintbrush Sets
55,2021-07-05,4995.0,Paintbrush Sets
56,2021-07-06,4995.0,Paintbrush Sets
57,2021-07-07,1938.0,Paintbrush Sets
58,2021-07-08,2552.0,Paintbrush Sets
59,2021-07-09,2858.0,Paintbrush Sets
60,2021-07-10,3825.0,Paintbrush Sets
