,date,value,name_B08XPRCG48
0,2021-05-01,29785,Automatic Feeders
1,2021-05-02,28332,Automatic Feeders
2,2021-05-03,15869,Automatic Feeders
3,2021-05-04,21805,Automatic Feeders
4,2021-05-05,21674,Automatic Feeders
5,2021-05-06,17689,Automatic Feeders
6,2021-05-07,18210,Automatic Feeders
7,2021-05-08,13071,Automatic Feeders
8,2021-05-09,12896,Automatic Feeders
9,2021-05-10,10737,Automatic Feeders
10,2021-05-11,11950,Automatic Feeders
11,2021-05-12,17057,Automatic Feeders
12,2021-05-13,17206,Automatic Feeders
13,2021-05-14,18712,Automatic Feeders
14,2021-05-15,15292,Automatic Feeders
15,2021-05-16,19152,Automatic Feeders
16,2021-05-17,14440,Automatic Feeders
17,2021-05-18,16376,Automatic Feeders
18,2021-05-19,21487,Automatic Feeders
19,2021-05-20,24347,Automatic Feeders
20,2021-05-21,26544,Automatic Feeders
21,2021-05-22,24484,Automatic Feeders
