,date,value,name_B07YB6HSB7
117,2020-01-21,19328.0,Wall & Tabletop Frames
118,2020-01-22,19328.0,Wall & Tabletop Frames
119,2020-01-23,19328.0,Wall & Tabletop Frames
120,2020-01-24,18387.0,Wall & Tabletop Frames
121,2020-01-25,18387.0,Wall & Tabletop Frames
122,2020-01-26,18387.0,Wall & Tabletop Frames
123,2020-01-27,18387.0,Wall & Tabletop Frames
124,2020-01-28,18387.0,Wall & Tabletop Frames
125,2020-01-29,18387.0,Wall & Tabletop Frames
126,2020-01-30,18387.0,Wall & Tabletop Frames
127,2020-01-31,14251.0,Wall & Tabletop Frames
128,2020-02-01,14251.0,Wall & Tabletop Frames
129,2020-02-02,14251.0,Wall & Tabletop Frames
130,2020-02-03,14251.0,Wall & Tabletop Frames
131,2020-02-04,11980.0,Wall & Tabletop Frames
132,2020-02-05,11980.0,Wall & Tabletop Frames
133,2020-02-06,11980.0,Wall & Tabletop Frames
134,2020-02-07,11980.0,Wall & Tabletop Frames
135,2020-02-08,11980.0,Wall & Tabletop Frames
136,2020-02-09,11980.0,Wall & Tabletop Frames
137,2020-02-10,11980.0,Wall & Tabletop Frames
138,2020-02-11,11980.0,Wall & Tabletop Frames
139,2020-02-12,11980.0,Wall & Tabletop Frames
140,2020-02-13,10803.0,Wall & Tabletop Frames
141,2020-02-14,10803.0,Wall & Tabletop Frames
142,2020-02-15,10803.0,Wall & Tabletop Frames
143,2020-02-16,16693.0,Wall & Tabletop Frames
144,2020-02-17,16693.0,Wall & Tabletop Frames
145,2020-02-18,16693.0,Wall & Tabletop Frames
146,2020-02-19,16693.0,Wall & Tabletop Frames
147,2020-02-20,16693.0,Wall & Tabletop Frames
148,2020-02-21,16299.0,Wall & Tabletop Frames
149,2020-02-22,16299.0,Wall & Tabletop Frames
150,2020-02-23,17453.0,Wall & Tabletop Frames
151,2020-02-24,17453.0,Wall & Tabletop Frames
152,2020-02-25,17453.0,Wall & Tabletop Frames
153,2020-02-26,9416.0,Wall & Tabletop Frames
154,2020-02-27,9416.0,Wall & Tabletop Frames
155,2020-02-28,9416.0,Wall & Tabletop Frames
156,2020-02-29,14735.0,Wall & Tabletop Frames
157,2020-03-01,13988.0,Wall & Tabletop Frames
158,2020-03-02,13988.0,Wall & Tabletop Frames
159,2020-03-03,13988.0,Wall & Tabletop Frames
160,2020-03-04,13988.0,Wall & Tabletop Frames
161,2020-03-05,13988.0,Wall & Tabletop Frames
162,2020-03-06,13988.0,Wall & Tabletop Frames
