,date,value,name_B08S2WKB25
0,2021-03-27,156635,Pumps
1,2021-03-28,34891,Pumps
2,2021-03-29,26572,Pumps
3,2021-03-30,20856,Pumps
4,2021-03-31,14348,Pumps
5,2021-04-01,11483,Pumps
6,2021-04-02,6529,Pumps
7,2021-04-03,8658,Pumps
8,2021-04-04,8018,Pumps
9,2021-04-05,6807,Pumps
10,2021-04-06,4894,Pumps
11,2021-04-07,4673,Pumps
12,2021-04-08,4067,Pumps
13,2021-04-09,3148,Pumps
14,2021-04-10,3941,Pumps
15,2021-04-11,3710,Pumps
16,2021-04-12,4273,Pumps
17,2021-04-13,3939,Pumps
18,2021-04-14,3506,Pumps
19,2021-04-15,5740,Pumps
20,2021-04-16,9008,Pumps
21,2021-04-17,11181,Pumps
22,2021-04-18,10120,Pumps
23,2021-04-19,12331,Pumps
24,2021-04-20,13773,Pumps
25,2021-04-21,12247,Pumps
26,2021-04-22,12680,Pumps
27,2021-04-23,7320,Pumps
28,2021-04-24,6961,Pumps
29,2021-04-25,4653,Pumps
30,2021-04-26,6157,Pumps
31,2021-04-27,4568,Pumps
32,2021-04-28,4568,Pumps
33,2021-04-29,2733,Pumps
34,2021-04-30,2515,Pumps
35,2021-05-01,2650,Pumps
36,2021-05-02,3078,Pumps
37,2021-05-03,3566,Pumps
38,2021-05-04,3492,Pumps
39,2021-05-05,3607,Pumps
40,2021-05-06,4743,Pumps
41,2021-05-07,3943,Pumps
42,2021-05-08,4715,Pumps
43,2021-05-09,4043,Pumps
44,2021-05-10,3182,Pumps
45,2021-05-11,4323,Pumps
46,2021-05-12,3665,Pumps
47,2021-05-13,4201,Pumps
48,2021-05-14,2590,Pumps
49,2021-05-15,2226,Pumps
50,2021-05-16,3552,Pumps
51,2021-05-17,2456,Pumps
52,2021-05-18,1902,Pumps
53,2021-05-19,2056,Pumps
54,2021-05-20,1908,Pumps
55,2021-05-21,2168,Pumps
56,2021-05-22,2400,Pumps
57,2021-05-23,2405,Pumps
58,2021-05-24,2405,Pumps
59,2021-05-25,2728,Pumps
60,2021-05-26,2891,Pumps
61,2021-05-27,2511,Pumps
62,2021-05-28,1840,Pumps
63,2021-05-29,1953,Pumps
64,2021-05-30,2169,Pumps
65,2021-05-31,2164,Pumps
66,2021-06-01,1663,Pumps
67,2021-06-02,1844,Pumps
68,2021-06-03,1443,Pumps
69,2021-06-04,1577,Pumps
70,2021-06-05,1531,Pumps
71,2021-06-06,1593,Pumps
72,2021-06-07,1627,Pumps
73,2021-06-08,827,Pumps
74,2021-06-09,542,Pumps
75,2021-06-10,788,Pumps
76,2021-06-11,731,Pumps
77,2021-06-12,834,Pumps
78,2021-06-13,1291,Pumps
79,2021-06-14,1321,Pumps
80,2021-06-15,1577,Pumps
81,2021-06-16,1595,Pumps
82,2021-06-17,1517,Pumps
83,2021-06-18,1606,Pumps
84,2021-06-19,1571,Pumps
85,2021-06-20,1971,Pumps
86,2021-06-21,1806,Pumps
87,2021-06-22,1433,Pumps
88,2021-06-23,1333,Pumps
89,2021-06-24,1494,Pumps
90,2021-06-25,1599,Pumps
91,2021-06-26,1642,Pumps
92,2021-06-27,1401,Pumps
93,2021-06-28,1597,Pumps
94,2021-06-29,1748,Pumps
95,2021-06-30,2004,Pumps
96,2021-07-01,2234,Pumps
97,2021-07-02,2305,Pumps
98,2021-07-03,2378,Pumps
99,2021-07-04,2134,Pumps
100,2021-07-05,2338,Pumps
101,2021-07-06,2513,Pumps
102,2021-07-07,2635,Pumps
103,2021-07-08,2223,Pumps
104,2021-07-09,2346,Pumps
105,2021-07-10,2467,Pumps
