,date,value,name_B08PF14WRG
0,2020-12-11,103692.0,Hydration
1,2020-12-12,103692.0,Hydration
2,2020-12-13,103692.0,Hydration
3,2020-12-14,103692.0,Hydration
4,2020-12-15,103692.0,Hydration
5,2020-12-16,103692.0,Hydration
6,2020-12-17,62243.0,Hydration
7,2020-12-18,71003.0,Hydration
8,2020-12-19,48621.0,Hydration
9,2020-12-20,48621.0,Hydration
10,2020-12-21,48621.0,Hydration
11,2020-12-22,48621.0,Hydration
12,2020-12-23,48621.0,Hydration
13,2020-12-24,48451.0,Hydration
14,2020-12-25,46103.0,Hydration
15,2020-12-26,27300.0,Hydration
16,2020-12-27,27300.0,Hydration
17,2020-12-28,27300.0,Hydration
18,2020-12-29,27300.0,Hydration
19,2020-12-30,34093.0,Hydration
20,2020-12-31,34093.0,Hydration
21,2021-01-01,34093.0,Hydration
22,2021-01-02,34093.0,Hydration
23,2021-01-03,55760.0,Hydration
24,2021-01-04,55760.0,Hydration
25,2021-01-05,55760.0,Hydration
26,2021-01-06,55760.0,Hydration
27,2021-01-07,35970.0,Hydration
28,2021-01-08,35970.0,Hydration
29,2021-01-09,35970.0,Hydration
30,2021-01-10,27282.0,Hydration
31,2021-01-11,27282.0,Hydration
32,2021-01-12,28089.0,Hydration
33,2021-01-13,28089.0,Hydration
34,2021-01-14,28089.0,Hydration
35,2021-01-15,38334.0,Hydration
36,2021-01-16,38334.0,Hydration
37,2021-01-17,38334.0,Hydration
38,2021-01-18,34351.0,Hydration
39,2021-01-19,25722.0,Hydration
40,2021-01-20,25722.0,Hydration
41,2021-01-21,33758.0,Hydration
42,2021-01-22,33758.0,Hydration
43,2021-01-23,33758.0,Hydration
44,2021-01-24,33758.0,Hydration
45,2021-01-25,50788.0,Hydration
46,2021-01-26,50788.0,Hydration
47,2021-01-27,25937.0,Hydration
48,2021-01-28,25937.0,Hydration
49,2021-01-29,25937.0,Hydration
50,2021-01-30,32788.0,Hydration
51,2021-01-31,32788.0,Hydration
52,2021-02-01,32788.0,Hydration
53,2021-02-02,32788.0,Hydration
54,2021-02-03,53570.0,Hydration
55,2021-02-04,53570.0,Hydration
56,2021-02-05,53570.0,Hydration
57,2021-02-06,53570.0,Hydration
58,2021-02-07,35211.0,Hydration
59,2021-02-08,35211.0,Hydration
60,2021-02-09,35211.0,Hydration
61,2021-02-10,28059.0,Hydration
62,2021-02-11,28059.0,Hydration
63,2021-02-12,31300.0,Hydration
64,2021-02-13,31300.0,Hydration
