,date,value,name_B08R3S3ST9
0,2021-03-22,43818.0,Bug Zappers
1,2021-03-23,49909.0,Bug Zappers
2,2021-03-24,26823.0,Bug Zappers
3,2021-03-25,33785.0,Bug Zappers
4,2021-03-26,36599.0,Bug Zappers
5,2021-03-27,34413.0,Bug Zappers
6,2021-03-28,27217.0,Bug Zappers
7,2021-03-29,35185.0,Bug Zappers
8,2021-03-30,25271.0,Bug Zappers
9,2021-03-31,18780.0,Bug Zappers
10,2021-04-01,13930.0,Bug Zappers
11,2021-04-02,13334.0,Bug Zappers
12,2021-04-03,16389.0,Bug Zappers
13,2021-04-04,16659.0,Bug Zappers
14,2021-04-05,16216.0,Bug Zappers
15,2021-04-06,13767.0,Bug Zappers
16,2021-04-07,8880.0,Bug Zappers
17,2021-04-08,10268.0,Bug Zappers
18,2021-04-09,11810.0,Bug Zappers
19,2021-04-10,7289.0,Bug Zappers
20,2021-04-11,11946.0,Bug Zappers
21,2021-04-12,14146.0,Bug Zappers
22,2021-04-13,15837.0,Bug Zappers
23,2021-04-14,12620.0,Bug Zappers
24,2021-04-15,10952.0,Bug Zappers
25,2021-04-16,9351.0,Bug Zappers
26,2021-04-17,11821.0,Bug Zappers
27,2021-04-18,14736.0,Bug Zappers
28,2021-04-19,15654.0,Bug Zappers
29,2021-04-20,9487.0,Bug Zappers
30,2021-04-21,8985.0,Bug Zappers
31,2021-04-22,8062.0,Bug Zappers
32,2021-04-23,9638.0,Bug Zappers
33,2021-04-24,11128.0,Bug Zappers
34,2021-04-25,13066.0,Bug Zappers
35,2021-04-26,13957.0,Bug Zappers
36,2021-04-27,15334.0,Bug Zappers
37,2021-04-28,16138.0,Bug Zappers
38,2021-04-29,14317.0,Bug Zappers
39,2021-04-30,10836.0,Bug Zappers
40,2021-05-01,10517.0,Bug Zappers
41,2021-05-02,11665.0,Bug Zappers
42,2021-05-03,13181.0,Bug Zappers
43,2021-05-04,11551.0,Bug Zappers
44,2021-05-05,12312.0,Bug Zappers
45,2021-05-06,12496.0,Bug Zappers
46,2021-05-07,14060.0,Bug Zappers
47,2021-05-08,12561.0,Bug Zappers
48,2021-05-09,13504.0,Bug Zappers
49,2021-05-10,16441.0,Bug Zappers
50,2021-05-11,11150.0,Bug Zappers
51,2021-05-12,14095.0,Bug Zappers
52,2021-05-13,15271.0,Bug Zappers
53,2021-05-14,14390.0,Bug Zappers
54,2021-05-15,14992.0,Bug Zappers
55,2021-05-16,10111.0,Bug Zappers
56,2021-05-17,16288.0,Bug Zappers
57,2021-05-18,35833.0,Bug Zappers
58,2021-05-19,27680.0,Bug Zappers
59,2021-05-20,15426.0,Bug Zappers
60,2021-05-21,13045.0,Bug Zappers
61,2021-05-22,10741.0,Bug Zappers
62,2021-05-23,12127.0,Bug Zappers
63,2021-05-24,12205.0,Bug Zappers
64,2021-05-25,13126.0,Bug Zappers
65,2021-05-26,14496.0,Bug Zappers
66,2021-05-27,10864.0,Bug Zappers
67,2021-05-28,10994.0,Bug Zappers
68,2021-05-29,15230.0,Bug Zappers
69,2021-05-30,20263.0,Bug Zappers
70,2021-05-31,22247.0,Bug Zappers
71,2021-06-01,20389.0,Bug Zappers
72,2021-06-02,17099.0,Bug Zappers
73,2021-06-03,17146.0,Bug Zappers
74,2021-06-04,17023.0,Bug Zappers
75,2021-06-05,15483.0,Bug Zappers
76,2021-06-06,18726.0,Bug Zappers
77,2021-06-07,16174.0,Bug Zappers
78,2021-06-08,14893.0,Bug Zappers
79,2021-06-09,18257.0,Bug Zappers
80,2021-06-10,13302.0,Bug Zappers
81,2021-06-11,12163.0,Bug Zappers
82,2021-06-12,10094.0,Bug Zappers
83,2021-06-13,9427.0,Bug Zappers
84,2021-06-14,9015.0,Bug Zappers
85,2021-06-15,9015.0,Bug Zappers
86,2021-06-16,4551.0,Bug Zappers
87,2021-06-17,4884.0,Bug Zappers
88,2021-06-18,4867.0,Bug Zappers
89,2021-06-19,5651.0,Bug Zappers
90,2021-06-20,6899.0,Bug Zappers
91,2021-06-21,8687.0,Bug Zappers
92,2021-06-22,9389.0,Bug Zappers
93,2021-06-23,9971.0,Bug Zappers
94,2021-06-24,7201.0,Bug Zappers
95,2021-06-25,8900.0,Bug Zappers
96,2021-06-26,7309.0,Bug Zappers
97,2021-06-27,9036.0,Bug Zappers
98,2021-06-28,7956.0,Bug Zappers
99,2021-06-29,8037.0,Bug Zappers
100,2021-06-30,8037.0,Bug Zappers
101,2021-07-01,4547.0,Bug Zappers
102,2021-07-02,4547.0,Bug Zappers
103,2021-07-03,5316.0,Bug Zappers
104,2021-07-04,5316.0,Bug Zappers
105,2021-07-05,5741.0,Bug Zappers
106,2021-07-06,5741.0,Bug Zappers
107,2021-07-07,281803.0,Bug Zappers
108,2021-07-08,159383.0,Bug Zappers
109,2021-07-09,73269.0,Bug Zappers
