,date,value,name_B088D8X937
0,2020-05-25,9368.0,Party Favors
1,2020-05-26,10599.0,Party Favors
2,2020-05-27,10599.0,Party Favors
3,2020-05-28,12667.0,Party Favors
4,2020-05-29,12667.0,Party Favors
5,2020-05-30,12667.0,Party Favors
6,2020-05-31,12667.0,Party Favors
7,2020-06-01,12667.0,Party Favors
8,2020-06-02,7874.0,Party Favors
9,2020-06-03,7874.0,Party Favors
10,2020-06-04,9537.0,Party Favors
11,2020-06-05,9537.0,Party Favors
12,2020-06-06,9537.0,Party Favors
13,2020-06-07,10600.0,Party Favors
14,2020-06-08,10600.0,Party Favors
15,2020-06-09,12631.0,Party Favors
16,2020-06-10,12631.0,Party Favors
17,2020-06-11,12631.0,Party Favors
18,2020-06-12,6194.0,Party Favors
19,2020-06-13,6572.0,Party Favors
20,2020-06-14,6572.0,Party Favors
21,2020-06-15,5039.0,Party Favors
22,2020-06-16,3883.0,Party Favors
23,2020-06-17,3883.0,Party Favors
24,2020-06-18,4300.0,Party Favors
25,2020-06-19,4300.0,Party Favors
26,2020-06-20,4300.0,Party Favors
27,2020-06-21,3087.0,Party Favors
28,2020-06-22,3087.0,Party Favors
29,2020-06-23,3087.0,Party Favors
30,2020-06-24,3219.0,Party Favors
31,2020-06-25,3219.0,Party Favors
32,2020-06-26,2793.0,Party Favors
33,2020-06-27,2530.0,Party Favors
34,2020-06-28,2530.0,Party Favors
35,2020-06-29,2530.0,Party Favors
36,2020-06-30,2109.0,Party Favors
37,2020-07-01,2109.0,Party Favors
38,2020-07-02,2109.0,Party Favors
39,2020-07-03,1928.0,Party Favors
40,2020-07-04,1928.0,Party Favors
41,2020-07-05,1928.0,Party Favors
42,2020-07-06,3621.0,Party Favors
43,2020-07-07,3621.0,Party Favors
44,2020-07-08,3621.0,Party Favors
45,2020-07-09,5568.0,Party Favors
46,2020-07-10,5568.0,Party Favors
47,2020-07-11,5568.0,Party Favors
48,2020-07-12,6858.0,Party Favors
49,2020-07-13,5608.0,Party Favors
50,2020-07-14,5608.0,Party Favors
51,2020-07-15,5608.0,Party Favors
52,2020-07-16,5608.0,Party Favors
53,2020-07-17,7308.0,Party Favors
54,2020-07-18,7308.0,Party Favors
55,2020-07-19,7308.0,Party Favors
56,2020-07-20,6641.0,Party Favors
57,2020-07-21,6641.0,Party Favors
58,2020-07-22,6641.0,Party Favors
59,2020-07-23,6081.0,Party Favors
60,2020-07-24,6081.0,Party Favors
61,2020-07-25,9752.0,Party Favors
62,2020-07-26,9752.0,Party Favors
63,2020-07-27,9752.0,Party Favors
64,2020-07-28,7687.0,Party Favors
