,date,value,name_B08SC15C7R
0,2021-02-25,120077.0,Mouse Pads
1,2021-02-26,120077.0,Mouse Pads
2,2021-02-27,50890.0,Mouse Pads
3,2021-02-28,73715.0,Mouse Pads
4,2021-03-01,53244.0,Mouse Pads
5,2021-03-02,92830.0,Mouse Pads
6,2021-03-03,83202.0,Mouse Pads
7,2021-03-04,127217.0,Mouse Pads
8,2021-03-05,127217.0,Mouse Pads
9,2021-03-06,127217.0,Mouse Pads
10,2021-03-07,127217.0,Mouse Pads
11,2021-03-08,127217.0,Mouse Pads
12,2021-03-09,127217.0,Mouse Pads
13,2021-03-10,360977.0,Mouse Pads
14,2021-03-11,360977.0,Mouse Pads
15,2021-03-12,389261.0,Mouse Pads
16,2021-03-13,389261.0,Mouse Pads
17,2021-03-14,41748.0,Mouse Pads
18,2021-03-15,74402.0,Mouse Pads
19,2021-03-16,87743.0,Mouse Pads
20,2021-03-17,87743.0,Mouse Pads
21,2021-03-18,110887.0,Mouse Pads
22,2021-03-19,110887.0,Mouse Pads
23,2021-03-20,110887.0,Mouse Pads
24,2021-03-21,51568.0,Mouse Pads
25,2021-03-22,51568.0,Mouse Pads
26,2021-03-23,89269.0,Mouse Pads
27,2021-03-24,89269.0,Mouse Pads
28,2021-03-25,56940.0,Mouse Pads
29,2021-03-26,248165.0,Mouse Pads
30,2021-03-27,270862.0,Mouse Pads
31,2021-03-28,285674.0,Mouse Pads
32,2021-03-29,151080.0,Mouse Pads
33,2021-03-30,156643.0,Mouse Pads
34,2021-03-31,103679.0,Mouse Pads
35,2021-04-01,81523.0,Mouse Pads
36,2021-04-02,76776.0,Mouse Pads
37,2021-04-03,76776.0,Mouse Pads
38,2021-04-04,101960.0,Mouse Pads
39,2021-04-05,46350.0,Mouse Pads
40,2021-04-06,82137.0,Mouse Pads
41,2021-04-07,86169.0,Mouse Pads
42,2021-04-08,86169.0,Mouse Pads
43,2021-04-09,55055.0,Mouse Pads
44,2021-04-10,51131.0,Mouse Pads
45,2021-04-11,51131.0,Mouse Pads
46,2021-04-12,38284.0,Mouse Pads
47,2021-04-13,26711.0,Mouse Pads
