,date,value,name_B07NCMFV4W
0,2019-03-03,73047.0,Bath Rugs
1,2019-03-04,73047.0,Bath Rugs
2,2019-03-05,73047.0,Bath Rugs
3,2019-03-06,73047.0,Bath Rugs
4,2019-03-07,34800.0,Bath Rugs
5,2019-03-08,34800.0,Bath Rugs
6,2019-03-09,90581.0,Bath Rugs
7,2019-03-10,90581.0,Bath Rugs
8,2019-03-11,90581.0,Bath Rugs
9,2019-03-12,90581.0,Bath Rugs
10,2019-03-13,90581.0,Bath Rugs
11,2019-03-14,71428.0,Bath Rugs
12,2019-03-15,71428.0,Bath Rugs
13,2019-03-16,71428.0,Bath Rugs
14,2019-03-17,71428.0,Bath Rugs
15,2019-03-18,142097.0,Bath Rugs
16,2019-03-19,142097.0,Bath Rugs
17,2019-03-20,142097.0,Bath Rugs
18,2019-03-21,142097.0,Bath Rugs
19,2019-03-22,192985.0,Bath Rugs
20,2019-03-23,192985.0,Bath Rugs
21,2019-03-24,192985.0,Bath Rugs
22,2019-03-25,192985.0,Bath Rugs
23,2019-03-26,74418.0,Bath Rugs
24,2019-03-27,74418.0,Bath Rugs
25,2019-03-28,74418.0,Bath Rugs
26,2019-03-29,74418.0,Bath Rugs
27,2019-03-30,46135.0,Bath Rugs
28,2019-03-31,46135.0,Bath Rugs
29,2019-04-01,46135.0,Bath Rugs
30,2019-04-02,37141.0,Bath Rugs
31,2019-04-03,37141.0,Bath Rugs
32,2019-04-04,37141.0,Bath Rugs
33,2019-04-05,37141.0,Bath Rugs
34,2019-04-06,37141.0,Bath Rugs
35,2019-04-07,37141.0,Bath Rugs
36,2019-04-08,37141.0,Bath Rugs
37,2019-04-09,37141.0,Bath Rugs
38,2019-04-10,33955.0,Bath Rugs
39,2019-04-11,59702.0,Bath Rugs
40,2019-04-12,59702.0,Bath Rugs
41,2019-04-13,59702.0,Bath Rugs
42,2019-04-14,59702.0,Bath Rugs
43,2019-04-15,59702.0,Bath Rugs
44,2019-04-16,98593.0,Bath Rugs
45,2019-04-17,81822.0,Bath Rugs
46,2019-04-18,99220.0,Bath Rugs
47,2019-04-19,99220.0,Bath Rugs
48,2019-04-20,35409.0,Bath Rugs
49,2019-04-21,81095.0,Bath Rugs
50,2019-04-22,81095.0,Bath Rugs
51,2019-04-23,32957.0,Bath Rugs
52,2019-04-24,32957.0,Bath Rugs
53,2019-04-25,32957.0,Bath Rugs
54,2019-04-26,32957.0,Bath Rugs
55,2019-04-27,32957.0,Bath Rugs
56,2019-04-28,32957.0,Bath Rugs
57,2019-04-29,32957.0,Bath Rugs
58,2019-04-30,32957.0,Bath Rugs
59,2019-05-01,32957.0,Bath Rugs
60,2019-05-02,32957.0,Bath Rugs
61,2019-05-03,31405.0,Bath Rugs
62,2019-05-04,31405.0,Bath Rugs
63,2019-05-05,29217.0,Bath Rugs
64,2019-05-06,29217.0,Bath Rugs
65,2019-05-07,46908.0,Bath Rugs
66,2019-05-08,54591.0,Bath Rugs
67,2019-05-09,54591.0,Bath Rugs
68,2019-05-10,74647.0,Bath Rugs
69,2019-05-11,44539.0,Bath Rugs
70,2019-05-12,22455.0,Bath Rugs
71,2019-05-13,60942.0,Bath Rugs
72,2019-05-14,60942.0,Bath Rugs
73,2019-05-15,60942.0,Bath Rugs
74,2019-05-16,60942.0,Bath Rugs
75,2019-05-17,60942.0,Bath Rugs
76,2019-05-18,60942.0,Bath Rugs
77,2019-05-19,53775.0,Bath Rugs
78,2019-05-20,30094.0,Bath Rugs
79,2019-05-21,41084.0,Bath Rugs
80,2019-05-22,52224.0,Bath Rugs
81,2019-05-23,52224.0,Bath Rugs
82,2019-05-24,60678.0,Bath Rugs
83,2019-05-25,60678.0,Bath Rugs
84,2019-05-26,55626.0,Bath Rugs
85,2019-05-27,55626.0,Bath Rugs
86,2019-05-28,67657.0,Bath Rugs
87,2019-05-29,67657.0,Bath Rugs
88,2019-05-30,92968.0,Bath Rugs
89,2019-05-31,92968.0,Bath Rugs
90,2019-06-01,100014.0,Bath Rugs
91,2019-06-02,100014.0,Bath Rugs
92,2019-06-03,100014.0,Bath Rugs
93,2019-06-04,47458.0,Bath Rugs
94,2019-06-05,29325.0,Bath Rugs
95,2019-06-06,36725.0,Bath Rugs
96,2019-06-07,66958.0,Bath Rugs
97,2019-06-08,66958.0,Bath Rugs
98,2019-06-09,66958.0,Bath Rugs
99,2019-06-10,66958.0,Bath Rugs
100,2019-06-11,40925.0,Bath Rugs
101,2019-06-12,37063.0,Bath Rugs
102,2019-06-13,23653.0,Bath Rugs
103,2019-06-14,24115.0,Bath Rugs
104,2019-06-15,24115.0,Bath Rugs
