,date,value,name_B08RDQH5MX
0,2021-01-01,1827.0,Carts & Stands
1,2021-01-02,1827.0,Carts & Stands
2,2021-01-03,1827.0,Carts & Stands
3,2021-01-04,3038.0,Carts & Stands
4,2021-01-05,3038.0,Carts & Stands
5,2021-01-06,3038.0,Carts & Stands
6,2021-01-07,3038.0,Carts & Stands
7,2021-01-08,3363.0,Carts & Stands
8,2021-01-09,3604.0,Carts & Stands
9,2021-01-10,3604.0,Carts & Stands
10,2021-01-11,3025.0,Carts & Stands
11,2021-01-12,3025.0,Carts & Stands
12,2021-01-13,4498.0,Carts & Stands
13,2021-01-14,4498.0,Carts & Stands
14,2021-01-15,4498.0,Carts & Stands
15,2021-01-16,5697.0,Carts & Stands
16,2021-01-17,6025.0,Carts & Stands
17,2021-01-18,1701.0,Carts & Stands
18,2021-01-19,1701.0,Carts & Stands
19,2021-01-20,804.0,Carts & Stands
20,2021-01-21,825.0,Carts & Stands
21,2021-01-22,825.0,Carts & Stands
22,2021-01-23,438.0,Carts & Stands
23,2021-01-24,438.0,Carts & Stands
24,2021-01-25,438.0,Carts & Stands
25,2021-01-26,875.0,Carts & Stands
26,2021-01-27,1356.0,Carts & Stands
27,2021-01-28,1695.0,Carts & Stands
28,2021-01-29,1695.0,Carts & Stands
29,2021-01-30,1695.0,Carts & Stands
30,2021-01-31,1695.0,Carts & Stands
31,2021-02-01,1880.0,Carts & Stands
32,2021-02-02,1880.0,Carts & Stands
33,2021-02-03,1471.0,Carts & Stands
34,2021-02-04,1449.0,Carts & Stands
35,2021-02-05,1449.0,Carts & Stands
36,2021-02-06,1449.0,Carts & Stands
37,2021-02-07,1449.0,Carts & Stands
38,2021-02-08,1524.0,Carts & Stands
39,2021-02-09,1524.0,Carts & Stands
40,2021-02-10,1389.0,Carts & Stands
41,2021-02-11,1389.0,Carts & Stands
42,2021-02-12,1389.0,Carts & Stands
43,2021-02-13,1289.0,Carts & Stands
44,2021-02-14,1289.0,Carts & Stands
45,2021-02-15,1289.0,Carts & Stands
46,2021-02-16,1754.0,Carts & Stands
47,2021-02-17,2356.0,Carts & Stands
48,2021-02-18,2356.0,Carts & Stands
49,2021-02-19,2095.0,Carts & Stands
50,2021-02-20,2354.0,Carts & Stands
51,2021-02-21,2354.0,Carts & Stands
52,2021-02-22,1731.0,Carts & Stands
53,2021-02-23,1388.0,Carts & Stands
54,2021-02-24,853.0,Carts & Stands
55,2021-02-25,853.0,Carts & Stands
56,2021-02-26,564.0,Carts & Stands
57,2021-02-27,520.0,Carts & Stands
58,2021-02-28,457.0,Carts & Stands
59,2021-03-01,457.0,Carts & Stands
60,2021-03-02,1283.0,Carts & Stands
61,2021-03-03,1283.0,Carts & Stands
62,2021-03-04,2995.0,Carts & Stands
63,2021-03-05,2881.0,Carts & Stands
64,2021-03-06,2881.0,Carts & Stands
65,2021-03-07,3814.0,Carts & Stands
66,2021-03-08,4033.0,Carts & Stands
67,2021-03-09,4033.0,Carts & Stands
68,2021-03-10,4033.0,Carts & Stands
69,2021-03-11,8731.0,Carts & Stands
70,2021-03-12,8731.0,Carts & Stands
71,2021-03-13,8731.0,Carts & Stands
72,2021-03-14,12914.0,Carts & Stands
73,2021-03-15,12914.0,Carts & Stands
74,2021-03-16,12914.0,Carts & Stands
75,2021-03-17,16959.0,Carts & Stands
76,2021-03-18,16959.0,Carts & Stands
77,2021-03-19,16959.0,Carts & Stands
78,2021-03-20,24938.0,Carts & Stands
79,2021-03-21,24938.0,Carts & Stands
80,2021-03-22,24938.0,Carts & Stands
81,2021-03-23,24938.0,Carts & Stands
82,2021-03-24,24938.0,Carts & Stands
83,2021-03-25,12078.0,Carts & Stands
84,2021-03-26,16396.0,Carts & Stands
85,2021-03-27,11847.0,Carts & Stands
86,2021-03-28,11292.0,Carts & Stands
87,2021-03-29,11292.0,Carts & Stands
88,2021-03-30,6695.0,Carts & Stands
89,2021-03-31,6695.0,Carts & Stands
90,2021-04-01,2546.0,Carts & Stands
91,2021-04-02,2905.0,Carts & Stands
92,2021-04-03,2905.0,Carts & Stands
93,2021-04-04,2905.0,Carts & Stands
94,2021-04-05,2691.0,Carts & Stands
95,2021-04-06,5288.0,Carts & Stands
96,2021-04-07,5288.0,Carts & Stands
97,2021-04-08,5717.0,Carts & Stands
98,2021-04-09,7310.0,Carts & Stands
99,2021-04-10,5802.0,Carts & Stands
100,2021-04-11,5802.0,Carts & Stands
101,2021-04-12,5406.0,Carts & Stands
102,2021-04-13,5406.0,Carts & Stands
103,2021-04-14,2819.0,Carts & Stands
104,2021-04-15,2819.0,Carts & Stands
105,2021-04-16,2819.0,Carts & Stands
106,2021-04-17,3046.0,Carts & Stands
107,2021-04-18,3046.0,Carts & Stands
108,2021-04-19,3046.0,Carts & Stands
109,2021-04-20,4401.0,Carts & Stands
110,2021-04-21,4432.0,Carts & Stands
111,2021-04-22,4432.0,Carts & Stands
112,2021-04-23,4432.0,Carts & Stands
113,2021-04-24,4432.0,Carts & Stands
114,2021-04-25,6503.0,Carts & Stands
115,2021-04-26,6503.0,Carts & Stands
116,2021-04-27,6503.0,Carts & Stands
117,2021-04-28,8252.0,Carts & Stands
118,2021-04-29,8252.0,Carts & Stands
119,2021-04-30,9586.0,Carts & Stands
120,2021-05-01,9586.0,Carts & Stands
121,2021-05-02,9586.0,Carts & Stands
122,2021-05-03,10327.0,Carts & Stands
