,date,value,name_B08X9WG98Y
0,2021-03-11,17646.0,Garden Hoses
1,2021-03-12,12338.0,Garden Hoses
2,2021-03-13,12338.0,Garden Hoses
3,2021-03-14,12338.0,Garden Hoses
4,2021-03-15,29779.0,Garden Hoses
5,2021-03-16,29779.0,Garden Hoses
6,2021-03-17,32777.0,Garden Hoses
7,2021-03-18,32777.0,Garden Hoses
8,2021-03-19,32777.0,Garden Hoses
9,2021-03-20,32777.0,Garden Hoses
10,2021-03-21,24158.0,Garden Hoses
11,2021-03-22,24158.0,Garden Hoses
12,2021-03-23,24158.0,Garden Hoses
13,2021-03-24,26446.0,Garden Hoses
14,2021-03-25,26446.0,Garden Hoses
15,2021-03-26,18184.0,Garden Hoses
16,2021-03-27,18184.0,Garden Hoses
17,2021-03-28,18184.0,Garden Hoses
18,2021-03-29,18184.0,Garden Hoses
19,2021-03-30,18184.0,Garden Hoses
20,2021-03-31,13279.0,Garden Hoses
21,2021-04-01,13279.0,Garden Hoses
22,2021-04-02,13279.0,Garden Hoses
23,2021-04-03,13279.0,Garden Hoses
24,2021-04-04,13279.0,Garden Hoses
25,2021-04-05,16103.0,Garden Hoses
26,2021-04-06,16103.0,Garden Hoses
27,2021-04-07,16103.0,Garden Hoses
28,2021-04-08,16084.0,Garden Hoses
29,2021-04-09,16084.0,Garden Hoses
30,2021-04-10,10366.0,Garden Hoses
31,2021-04-11,10366.0,Garden Hoses
32,2021-04-12,10366.0,Garden Hoses
33,2021-04-13,10366.0,Garden Hoses
34,2021-04-14,8881.0,Garden Hoses
35,2021-04-15,8881.0,Garden Hoses
36,2021-04-16,8881.0,Garden Hoses
37,2021-04-17,8881.0,Garden Hoses
38,2021-04-18,11252.0,Garden Hoses
39,2021-04-19,11252.0,Garden Hoses
40,2021-04-20,11252.0,Garden Hoses
41,2021-04-21,11879.0,Garden Hoses
42,2021-04-22,11879.0,Garden Hoses
43,2021-04-23,11879.0,Garden Hoses
44,2021-04-24,12656.0,Garden Hoses
45,2021-04-25,12656.0,Garden Hoses
46,2021-04-26,12656.0,Garden Hoses
47,2021-04-27,8273.0,Garden Hoses
48,2021-04-28,7907.0,Garden Hoses
49,2021-04-29,7907.0,Garden Hoses
50,2021-04-30,7907.0,Garden Hoses
51,2021-05-01,7907.0,Garden Hoses
52,2021-05-02,7907.0,Garden Hoses
53,2021-05-03,7907.0,Garden Hoses
54,2021-05-04,11488.0,Garden Hoses
55,2021-05-05,11488.0,Garden Hoses
56,2021-05-06,11488.0,Garden Hoses
57,2021-05-07,11488.0,Garden Hoses
58,2021-05-08,9627.0,Garden Hoses
59,2021-05-09,9627.0,Garden Hoses
60,2021-05-10,9627.0,Garden Hoses
61,2021-05-11,13069.0,Garden Hoses
62,2021-05-12,13069.0,Garden Hoses
63,2021-05-13,8216.0,Garden Hoses
64,2021-05-14,8216.0,Garden Hoses
65,2021-05-15,4609.0,Garden Hoses
66,2021-05-16,4609.0,Garden Hoses
67,2021-05-17,4609.0,Garden Hoses
68,2021-05-18,7315.0,Garden Hoses
69,2021-05-19,6725.0,Garden Hoses
70,2021-05-20,6725.0,Garden Hoses
71,2021-05-21,6725.0,Garden Hoses
72,2021-05-22,6725.0,Garden Hoses
73,2021-05-23,6725.0,Garden Hoses
74,2021-05-24,6725.0,Garden Hoses
75,2021-05-25,6725.0,Garden Hoses
76,2021-05-26,6725.0,Garden Hoses
77,2021-05-27,9325.0,Garden Hoses
78,2021-05-28,8670.0,Garden Hoses
79,2021-05-29,8670.0,Garden Hoses
80,2021-05-30,8670.0,Garden Hoses
81,2021-05-31,10807.0,Garden Hoses
82,2021-06-01,10807.0,Garden Hoses
83,2021-06-02,7466.0,Garden Hoses
84,2021-06-03,7466.0,Garden Hoses
85,2021-06-04,12344.0,Garden Hoses
86,2021-06-05,12344.0,Garden Hoses
87,2021-06-06,12344.0,Garden Hoses
88,2021-06-07,4058.0,Garden Hoses
89,2021-06-08,4058.0,Garden Hoses
90,2021-06-09,5822.0,Garden Hoses
91,2021-06-10,6059.0,Garden Hoses
92,2021-06-11,6059.0,Garden Hoses
93,2021-06-12,6059.0,Garden Hoses
94,2021-06-13,3552.0,Garden Hoses
95,2021-06-14,3552.0,Garden Hoses
96,2021-06-15,3552.0,Garden Hoses
97,2021-06-16,2440.0,Garden Hoses
98,2021-06-17,2440.0,Garden Hoses
99,2021-06-18,1422.0,Garden Hoses
100,2021-06-19,1422.0,Garden Hoses
101,2021-06-20,1888.0,Garden Hoses
102,2021-06-21,2034.0,Garden Hoses
103,2021-06-22,1992.0,Garden Hoses
104,2021-06-23,1992.0,Garden Hoses
105,2021-06-24,3146.0,Garden Hoses
106,2021-06-25,3146.0,Garden Hoses
107,2021-06-26,3477.0,Garden Hoses
108,2021-06-27,3477.0,Garden Hoses
109,2021-06-28,3477.0,Garden Hoses
110,2021-06-29,4045.0,Garden Hoses
111,2021-06-30,4045.0,Garden Hoses
112,2021-07-01,4417.0,Garden Hoses
113,2021-07-02,4417.0,Garden Hoses
114,2021-07-03,4417.0,Garden Hoses
115,2021-07-04,4417.0,Garden Hoses
116,2021-07-05,5125.0,Garden Hoses
117,2021-07-06,5125.0,Garden Hoses
118,2021-07-07,5975.0,Garden Hoses
119,2021-07-08,5975.0,Garden Hoses
120,2021-07-09,5975.0,Garden Hoses
121,2021-07-10,6586.0,Garden Hoses
