,date,value,name_B08Q3TLHF4
0,2021-01-06,103379.0,Chef's Knives
1,2021-01-07,100151.0,Chef's Knives
2,2021-01-08,108690.0,Chef's Knives
3,2021-01-09,95483.0,Chef's Knives
4,2021-01-10,116096.0,Chef's Knives
5,2021-01-11,113147.0,Chef's Knives
6,2021-01-12,138642.0,Chef's Knives
7,2021-01-13,135856.0,Chef's Knives
8,2021-01-14,135856.0,Chef's Knives
9,2021-01-15,82728.0,Chef's Knives
10,2021-01-16,74011.0,Chef's Knives
11,2021-01-17,121197.0,Chef's Knives
12,2021-01-18,90499.0,Chef's Knives
13,2021-01-19,113364.0,Chef's Knives
14,2021-01-20,162698.0,Chef's Knives
15,2021-01-21,89682.0,Chef's Knives
16,2021-01-22,122420.0,Chef's Knives
17,2021-01-23,122420.0,Chef's Knives
18,2021-01-24,122420.0,Chef's Knives
19,2021-01-25,200173.0,Chef's Knives
20,2021-01-26,117500.0,Chef's Knives
21,2021-01-27,117500.0,Chef's Knives
22,2021-01-28,86000.0,Chef's Knives
23,2021-01-29,102380.0,Chef's Knives
24,2021-01-30,112740.0,Chef's Knives
25,2021-01-31,148773.0,Chef's Knives
26,2021-02-01,76264.0,Chef's Knives
27,2021-02-02,145768.0,Chef's Knives
28,2021-02-03,145768.0,Chef's Knives
29,2021-02-04,197774.0,Chef's Knives
30,2021-02-05,197774.0,Chef's Knives
31,2021-02-06,197774.0,Chef's Knives
32,2021-02-07,197774.0,Chef's Knives
33,2021-02-08,197774.0,Chef's Knives
34,2021-02-09,197774.0,Chef's Knives
35,2021-02-10,197774.0,Chef's Knives
36,2021-02-11,282501.0,Chef's Knives
37,2021-02-12,282501.0,Chef's Knives
38,2021-02-13,282501.0,Chef's Knives
39,2021-02-14,282501.0,Chef's Knives
40,2021-02-15,282501.0,Chef's Knives
41,2021-02-16,282501.0,Chef's Knives
42,2021-02-17,312053.0,Chef's Knives
43,2021-02-18,321233.0,Chef's Knives
44,2021-02-19,329013.0,Chef's Knives
45,2021-02-20,329013.0,Chef's Knives
46,2021-02-21,329013.0,Chef's Knives
47,2021-02-22,353743.0,Chef's Knives
48,2021-02-23,361201.0,Chef's Knives
49,2021-02-24,361201.0,Chef's Knives
50,2021-02-25,224867.0,Chef's Knives
51,2021-02-26,236740.0,Chef's Knives
52,2021-02-27,275617.0,Chef's Knives
53,2021-02-28,290450.0,Chef's Knives
54,2021-03-01,341011.0,Chef's Knives
55,2021-03-02,341011.0,Chef's Knives
56,2021-03-03,366389.0,Chef's Knives
57,2021-03-04,366389.0,Chef's Knives
58,2021-03-05,392332.0,Chef's Knives
59,2021-03-06,392332.0,Chef's Knives
60,2021-03-07,139383.0,Chef's Knives
61,2021-03-08,148841.0,Chef's Knives
62,2021-03-09,183026.0,Chef's Knives
63,2021-03-10,112802.0,Chef's Knives
64,2021-03-11,165355.0,Chef's Knives
65,2021-03-12,124277.0,Chef's Knives
66,2021-03-13,119006.0,Chef's Knives
67,2021-03-14,190516.0,Chef's Knives
68,2021-03-15,209317.0,Chef's Knives
69,2021-03-16,92067.0,Chef's Knives
70,2021-03-17,155775.0,Chef's Knives
71,2021-03-18,197531.0,Chef's Knives
72,2021-03-19,197531.0,Chef's Knives
73,2021-03-20,197531.0,Chef's Knives
74,2021-03-21,111393.0,Chef's Knives
75,2021-03-22,187422.0,Chef's Knives
76,2021-03-23,217461.0,Chef's Knives
77,2021-03-24,106960.0,Chef's Knives
78,2021-03-25,143459.0,Chef's Knives
79,2021-03-26,143669.0,Chef's Knives
80,2021-03-27,19358.0,Chef's Knives
81,2021-03-28,10407.0,Chef's Knives
82,2021-03-29,12635.0,Chef's Knives
83,2021-03-30,12748.0,Chef's Knives
84,2021-03-31,10748.0,Chef's Knives
85,2021-04-01,11354.0,Chef's Knives
86,2021-04-02,147786.0,Chef's Knives
87,2021-04-03,12531.0,Chef's Knives
88,2021-04-04,12531.0,Chef's Knives
89,2021-04-05,12114.0,Chef's Knives
90,2021-04-06,16054.0,Chef's Knives
91,2021-04-07,12504.0,Chef's Knives
92,2021-04-08,13089.0,Chef's Knives
93,2021-04-09,11586.0,Chef's Knives
94,2021-04-10,13154.0,Chef's Knives
95,2021-04-11,11322.0,Chef's Knives
96,2021-04-12,18060.0,Chef's Knives
97,2021-04-13,13738.0,Chef's Knives
98,2021-04-14,16502.0,Chef's Knives
99,2021-04-15,17783.0,Chef's Knives
100,2021-04-16,12243.0,Chef's Knives
101,2021-04-17,15460.0,Chef's Knives
102,2021-04-18,11721.0,Chef's Knives
103,2021-04-19,15463.0,Chef's Knives
104,2021-04-20,14868.0,Chef's Knives
105,2021-04-21,14868.0,Chef's Knives
106,2021-04-22,14885.0,Chef's Knives
107,2021-04-23,12546.0,Chef's Knives
108,2021-04-24,9593.0,Chef's Knives
109,2021-04-25,11014.0,Chef's Knives
110,2021-04-26,12905.0,Chef's Knives
111,2021-04-27,12059.0,Chef's Knives
