,date,value,name_B091SQ5HBX
0,2021-04-10,4799.0,Makeup
1,2021-04-11,5170.0,Makeup
2,2021-04-12,5896.0,Makeup
3,2021-04-13,5896.0,Makeup
4,2021-04-14,6426.0,Makeup
5,2021-04-15,8841.0,Makeup
6,2021-04-16,5615.0,Makeup
7,2021-04-17,4660.0,Makeup
8,2021-04-18,6203.0,Makeup
9,2021-04-19,6203.0,Makeup
10,2021-04-20,5486.0,Makeup
11,2021-04-21,4128.0,Makeup
12,2021-04-22,5536.0,Makeup
13,2021-04-23,5536.0,Makeup
14,2021-04-24,5536.0,Makeup
15,2021-04-25,5360.0,Makeup
16,2021-04-26,5360.0,Makeup
17,2021-04-27,6843.0,Makeup
18,2021-04-28,6388.0,Makeup
19,2021-04-29,6388.0,Makeup
20,2021-04-30,3903.0,Makeup
21,2021-05-01,4203.0,Makeup
22,2021-05-02,4203.0,Makeup
23,2021-05-03,6129.0,Makeup
24,2021-05-04,6129.0,Makeup
25,2021-05-05,6129.0,Makeup
26,2021-05-06,4997.0,Makeup
27,2021-05-07,4997.0,Makeup
28,2021-05-08,4011.0,Makeup
29,2021-05-09,4281.0,Makeup
30,2021-05-10,4281.0,Makeup
31,2021-05-11,5494.0,Makeup
32,2021-05-12,4553.0,Makeup
33,2021-05-13,4618.0,Makeup
34,2021-05-14,4618.0,Makeup
35,2021-05-15,3932.0,Makeup
36,2021-05-16,3932.0,Makeup
37,2021-05-17,7082.0,Makeup
38,2021-05-18,5510.0,Makeup
39,2021-05-19,6954.0,Makeup
40,2021-05-20,5461.0,Makeup
41,2021-05-21,5300.0,Makeup
42,2021-05-22,7394.0,Makeup
43,2021-05-23,4677.0,Makeup
44,2021-05-24,4677.0,Makeup
45,2021-05-25,4677.0,Makeup
46,2021-05-26,5014.0,Makeup
47,2021-05-27,6637.0,Makeup
48,2021-05-28,6637.0,Makeup
49,2021-05-29,5240.0,Makeup
50,2021-05-30,6061.0,Makeup
51,2021-05-31,5141.0,Makeup
52,2021-06-01,5141.0,Makeup
53,2021-06-02,5830.0,Makeup
54,2021-06-03,5830.0,Makeup
55,2021-06-04,5830.0,Makeup
56,2021-06-05,5858.0,Makeup
57,2021-06-06,5858.0,Makeup
58,2021-06-07,6103.0,Makeup
59,2021-06-08,6103.0,Makeup
60,2021-06-09,6516.0,Makeup
61,2021-06-10,6516.0,Makeup
62,2021-06-11,6412.0,Makeup
63,2021-06-12,6412.0,Makeup
64,2021-06-13,6412.0,Makeup
65,2021-06-14,6971.0,Makeup
66,2021-06-15,6135.0,Makeup
67,2021-06-16,6135.0,Makeup
68,2021-06-17,6184.0,Makeup
69,2021-06-18,6184.0,Makeup
70,2021-06-19,5498.0,Makeup
71,2021-06-20,5498.0,Makeup
72,2021-06-21,6299.0,Makeup
73,2021-06-22,4708.0,Makeup
74,2021-06-23,4456.0,Makeup
75,2021-06-24,4456.0,Makeup
76,2021-06-25,4456.0,Makeup
77,2021-06-26,4004.0,Makeup
78,2021-06-27,4083.0,Makeup
79,2021-06-28,3703.0,Makeup
80,2021-06-29,4431.0,Makeup
81,2021-06-30,4240.0,Makeup
82,2021-07-01,3795.0,Makeup
83,2021-07-02,3795.0,Makeup
84,2021-07-03,4085.0,Makeup
85,2021-07-04,4085.0,Makeup
86,2021-07-05,4903.0,Makeup
87,2021-07-06,4903.0,Makeup
88,2021-07-07,2731.0,Makeup
89,2021-07-08,2731.0,Makeup
90,2021-07-09,2195.0,Makeup
91,2021-07-10,2135.0,Makeup
92,2021-07-11,2342.0,Makeup
