,date,value,name_B07X21MGYZ
0,2019-09-02,17981.0,Cups
1,2019-09-03,21150.0,Cups
2,2019-09-04,14604.0,Cups
3,2019-09-05,13211.0,Cups
4,2019-09-06,15028.0,Cups
5,2019-09-07,18041.0,Cups
6,2019-09-08,17339.0,Cups
7,2019-09-09,16514.0,Cups
8,2019-09-10,14088.0,Cups
9,2019-09-11,13866.0,Cups
10,2019-09-12,12604.0,Cups
11,2019-09-13,12604.0,Cups
12,2019-09-14,12604.0,Cups
13,2019-09-15,12604.0,Cups
14,2019-09-16,12604.0,Cups
15,2019-09-17,12604.0,Cups
16,2019-09-18,12604.0,Cups
17,2019-09-19,12604.0,Cups
18,2019-09-20,12604.0,Cups
19,2019-09-21,12604.0,Cups
20,2019-09-22,12604.0,Cups
21,2019-09-23,12604.0,Cups
22,2019-09-24,12604.0,Cups
23,2019-09-25,12604.0,Cups
24,2019-09-26,12604.0,Cups
25,2019-09-27,12604.0,Cups
26,2019-09-28,12604.0,Cups
27,2019-09-29,12604.0,Cups
28,2019-09-30,12604.0,Cups
29,2019-10-01,12604.0,Cups
30,2019-10-02,12604.0,Cups
31,2019-10-03,12604.0,Cups
32,2019-10-04,12604.0,Cups
33,2019-10-05,12604.0,Cups
34,2019-10-06,12604.0,Cups
35,2019-10-07,12604.0,Cups
36,2019-10-08,12604.0,Cups
37,2019-10-09,12604.0,Cups
38,2019-10-10,12604.0,Cups
39,2019-10-11,12604.0,Cups
40,2019-10-12,12604.0,Cups
41,2019-10-13,12604.0,Cups
42,2019-10-14,12604.0,Cups
43,2019-10-15,12604.0,Cups
44,2019-10-16,12604.0,Cups
45,2019-10-17,12604.0,Cups
46,2019-10-18,12604.0,Cups
47,2019-10-19,12604.0,Cups
48,2019-10-20,12604.0,Cups
49,2019-10-21,12604.0,Cups
50,2019-10-22,12604.0,Cups
51,2019-10-23,12604.0,Cups
52,2019-10-24,12604.0,Cups
53,2019-10-25,12604.0,Cups
54,2019-10-26,12604.0,Cups
55,2019-10-27,12604.0,Cups
56,2019-10-28,12604.0,Cups
57,2019-10-29,12604.0,Cups
58,2019-10-30,12604.0,Cups
59,2019-10-31,12604.0,Cups
60,2019-11-01,12604.0,Cups
61,2019-11-02,12604.0,Cups
62,2019-11-03,12604.0,Cups
63,2019-11-04,12604.0,Cups
64,2019-11-05,12604.0,Cups
65,2019-11-06,12604.0,Cups
66,2019-11-07,12604.0,Cups
67,2019-11-08,12604.0,Cups
68,2019-11-09,12604.0,Cups
69,2019-11-10,12604.0,Cups
70,2019-11-11,12604.0,Cups
71,2019-11-12,12604.0,Cups
72,2019-11-13,12604.0,Cups
73,2019-11-14,12604.0,Cups
74,2019-11-15,12604.0,Cups
75,2019-11-16,12604.0,Cups
76,2019-11-17,12604.0,Cups
77,2019-11-18,12604.0,Cups
78,2019-11-19,12604.0,Cups
79,2019-11-20,12604.0,Cups
80,2019-11-21,12604.0,Cups
81,2019-11-22,12604.0,Cups
82,2019-11-23,12604.0,Cups
83,2019-11-24,12604.0,Cups
84,2019-11-25,12604.0,Cups
85,2019-11-26,12604.0,Cups
86,2019-11-27,12604.0,Cups
87,2019-11-28,12604.0,Cups
88,2019-11-29,12604.0,Cups
89,2019-11-30,12604.0,Cups
90,2019-12-01,12604.0,Cups
91,2019-12-02,12604.0,Cups
92,2019-12-03,12604.0,Cups
93,2019-12-04,12604.0,Cups
94,2019-12-05,12604.0,Cups
95,2019-12-06,12604.0,Cups
96,2019-12-07,12604.0,Cups
97,2019-12-08,12604.0,Cups
98,2019-12-09,12604.0,Cups
99,2019-12-10,12604.0,Cups
100,2019-12-11,12604.0,Cups
101,2019-12-12,12604.0,Cups
102,2019-12-13,12604.0,Cups
103,2019-12-14,12604.0,Cups
104,2019-12-15,12604.0,Cups
105,2019-12-16,12604.0,Cups
106,2019-12-17,12604.0,Cups
107,2019-12-18,12604.0,Cups
108,2019-12-19,12604.0,Cups
109,2019-12-20,12604.0,Cups
110,2019-12-21,12604.0,Cups
111,2019-12-22,12604.0,Cups
112,2019-12-23,12604.0,Cups
113,2019-12-24,12604.0,Cups
