,date,value,name_B08TWR142R
0,2021-01-30,19048.0,Sofa Slipcovers
1,2021-01-31,19048.0,Sofa Slipcovers
2,2021-02-01,19651.0,Sofa Slipcovers
3,2021-02-02,19651.0,Sofa Slipcovers
4,2021-02-03,23495.0,Sofa Slipcovers
5,2021-02-04,23495.0,Sofa Slipcovers
6,2021-02-05,23343.0,Sofa Slipcovers
7,2021-02-06,23343.0,Sofa Slipcovers
8,2021-02-07,23343.0,Sofa Slipcovers
9,2021-02-08,32322.0,Sofa Slipcovers
10,2021-02-09,32322.0,Sofa Slipcovers
11,2021-02-10,32322.0,Sofa Slipcovers
12,2021-02-11,32322.0,Sofa Slipcovers
13,2021-02-12,32322.0,Sofa Slipcovers
14,2021-02-13,32322.0,Sofa Slipcovers
15,2021-02-14,32114.0,Sofa Slipcovers
16,2021-02-15,32124.0,Sofa Slipcovers
17,2021-02-16,32124.0,Sofa Slipcovers
18,2021-02-17,32124.0,Sofa Slipcovers
19,2021-02-18,32124.0,Sofa Slipcovers
20,2021-02-19,32124.0,Sofa Slipcovers
21,2021-02-20,32124.0,Sofa Slipcovers
22,2021-02-21,32124.0,Sofa Slipcovers
23,2021-02-22,32124.0,Sofa Slipcovers
24,2021-02-23,33784.0,Sofa Slipcovers
25,2021-02-24,33784.0,Sofa Slipcovers
26,2021-02-25,33784.0,Sofa Slipcovers
27,2021-02-26,33784.0,Sofa Slipcovers
28,2021-02-27,33784.0,Sofa Slipcovers
29,2021-02-28,33784.0,Sofa Slipcovers
30,2021-03-01,33784.0,Sofa Slipcovers
31,2021-03-02,33322.0,Sofa Slipcovers
32,2021-03-03,33322.0,Sofa Slipcovers
33,2021-03-04,33322.0,Sofa Slipcovers
34,2021-03-05,33322.0,Sofa Slipcovers
35,2021-03-06,38662.0,Sofa Slipcovers
36,2021-03-07,38662.0,Sofa Slipcovers
37,2021-03-08,38662.0,Sofa Slipcovers
38,2021-03-09,38662.0,Sofa Slipcovers
39,2021-03-10,38662.0,Sofa Slipcovers
40,2021-03-11,32248.0,Sofa Slipcovers
41,2021-03-12,32248.0,Sofa Slipcovers
42,2021-03-13,32248.0,Sofa Slipcovers
43,2021-03-14,32248.0,Sofa Slipcovers
44,2021-03-15,34523.0,Sofa Slipcovers
45,2021-03-16,26601.0,Sofa Slipcovers
46,2021-03-17,26601.0,Sofa Slipcovers
47,2021-03-18,26601.0,Sofa Slipcovers
48,2021-03-19,25132.0,Sofa Slipcovers
49,2021-03-20,25132.0,Sofa Slipcovers
50,2021-03-21,25132.0,Sofa Slipcovers
51,2021-03-22,25132.0,Sofa Slipcovers
52,2021-03-23,25132.0,Sofa Slipcovers
53,2021-03-24,30784.0,Sofa Slipcovers
54,2021-03-25,30784.0,Sofa Slipcovers
55,2021-03-26,21233.0,Sofa Slipcovers
56,2021-03-27,21233.0,Sofa Slipcovers
57,2021-03-28,21233.0,Sofa Slipcovers
58,2021-03-29,25435.0,Sofa Slipcovers
59,2021-03-30,31880.0,Sofa Slipcovers
60,2021-03-31,31880.0,Sofa Slipcovers
61,2021-04-01,31880.0,Sofa Slipcovers
62,2021-04-02,24598.0,Sofa Slipcovers
63,2021-04-03,24598.0,Sofa Slipcovers
64,2021-04-04,24598.0,Sofa Slipcovers
65,2021-04-05,24598.0,Sofa Slipcovers
66,2021-04-06,35704.0,Sofa Slipcovers
67,2021-04-07,35704.0,Sofa Slipcovers
68,2021-04-08,35704.0,Sofa Slipcovers
69,2021-04-09,35704.0,Sofa Slipcovers
70,2021-04-10,35704.0,Sofa Slipcovers
71,2021-04-11,35704.0,Sofa Slipcovers
72,2021-04-12,13898.0,Sofa Slipcovers
73,2021-04-13,13898.0,Sofa Slipcovers
74,2021-04-14,13898.0,Sofa Slipcovers
75,2021-04-15,13898.0,Sofa Slipcovers
76,2021-04-16,19342.0,Sofa Slipcovers
77,2021-04-17,19342.0,Sofa Slipcovers
78,2021-04-18,19342.0,Sofa Slipcovers
79,2021-04-19,19342.0,Sofa Slipcovers
80,2021-04-20,14268.0,Sofa Slipcovers
81,2021-04-21,14268.0,Sofa Slipcovers
82,2021-04-22,14268.0,Sofa Slipcovers
83,2021-04-23,12244.0,Sofa Slipcovers
84,2021-04-24,12244.0,Sofa Slipcovers
85,2021-04-25,9886.0,Sofa Slipcovers
86,2021-04-26,9886.0,Sofa Slipcovers
87,2021-04-27,10076.0,Sofa Slipcovers
88,2021-04-28,10076.0,Sofa Slipcovers
89,2021-04-29,8925.0,Sofa Slipcovers
90,2021-04-30,8925.0,Sofa Slipcovers
91,2021-05-01,9346.0,Sofa Slipcovers
92,2021-05-02,9346.0,Sofa Slipcovers
93,2021-05-03,9346.0,Sofa Slipcovers
94,2021-05-04,13790.0,Sofa Slipcovers
95,2021-05-05,13790.0,Sofa Slipcovers
96,2021-05-06,9745.0,Sofa Slipcovers
97,2021-05-07,12185.0,Sofa Slipcovers
98,2021-05-08,14099.0,Sofa Slipcovers
99,2021-05-09,14099.0,Sofa Slipcovers
100,2021-05-10,13347.0,Sofa Slipcovers
101,2021-05-11,13347.0,Sofa Slipcovers
102,2021-05-12,15007.0,Sofa Slipcovers
103,2021-05-13,14653.0,Sofa Slipcovers
104,2021-05-14,14653.0,Sofa Slipcovers
105,2021-05-15,14653.0,Sofa Slipcovers
106,2021-05-16,20964.0,Sofa Slipcovers
107,2021-05-17,20964.0,Sofa Slipcovers
108,2021-05-18,20964.0,Sofa Slipcovers
109,2021-05-19,17816.0,Sofa Slipcovers
110,2021-05-20,15019.0,Sofa Slipcovers
111,2021-05-21,15019.0,Sofa Slipcovers
112,2021-05-22,13803.0,Sofa Slipcovers
113,2021-05-23,13241.0,Sofa Slipcovers
114,2021-05-24,13241.0,Sofa Slipcovers
115,2021-05-25,13241.0,Sofa Slipcovers
116,2021-05-26,11833.0,Sofa Slipcovers
117,2021-05-27,11833.0,Sofa Slipcovers
118,2021-05-28,11765.0,Sofa Slipcovers
119,2021-05-29,11861.0,Sofa Slipcovers
120,2021-05-30,11079.0,Sofa Slipcovers
121,2021-05-31,11592.0,Sofa Slipcovers
122,2021-06-01,12238.0,Sofa Slipcovers
123,2021-06-02,12238.0,Sofa Slipcovers
124,2021-06-03,12238.0,Sofa Slipcovers
125,2021-06-04,16455.0,Sofa Slipcovers
126,2021-06-05,16455.0,Sofa Slipcovers
127,2021-06-06,18147.0,Sofa Slipcovers
128,2021-06-07,18147.0,Sofa Slipcovers
129,2021-06-08,16458.0,Sofa Slipcovers
130,2021-06-09,16458.0,Sofa Slipcovers
131,2021-06-10,16458.0,Sofa Slipcovers
132,2021-06-11,12503.0,Sofa Slipcovers
133,2021-06-12,12503.0,Sofa Slipcovers
