,date,value,name_B0882P2J3Z
0,2020-07-08,1096.0,Full-Sized Inflatable Pools
1,2020-07-09,241.0,Full-Sized Inflatable Pools
2,2020-07-10,585.0,Full-Sized Inflatable Pools
3,2020-07-11,581.0,Full-Sized Inflatable Pools
4,2020-07-12,1166.0,Full-Sized Inflatable Pools
5,2020-07-13,1874.0,Full-Sized Inflatable Pools
6,2020-07-14,5951.0,Full-Sized Inflatable Pools
7,2020-07-15,5951.0,Full-Sized Inflatable Pools
8,2020-07-16,17433.0,Full-Sized Inflatable Pools
9,2020-07-17,17433.0,Full-Sized Inflatable Pools
10,2020-07-18,17433.0,Full-Sized Inflatable Pools
11,2020-07-19,17433.0,Full-Sized Inflatable Pools
12,2020-07-20,28869.0,Full-Sized Inflatable Pools
13,2020-07-21,28869.0,Full-Sized Inflatable Pools
14,2020-07-22,6003.0,Full-Sized Inflatable Pools
15,2020-07-23,6003.0,Full-Sized Inflatable Pools
16,2020-07-24,1142.0,Full-Sized Inflatable Pools
17,2020-07-25,1611.0,Full-Sized Inflatable Pools
18,2020-07-26,1266.0,Full-Sized Inflatable Pools
19,2020-07-27,1266.0,Full-Sized Inflatable Pools
20,2020-07-28,455.0,Full-Sized Inflatable Pools
21,2020-07-29,455.0,Full-Sized Inflatable Pools
22,2020-07-30,966.0,Full-Sized Inflatable Pools
23,2020-07-31,1085.0,Full-Sized Inflatable Pools
24,2020-08-01,1085.0,Full-Sized Inflatable Pools
25,2020-08-02,1552.0,Full-Sized Inflatable Pools
26,2020-08-03,1552.0,Full-Sized Inflatable Pools
27,2020-08-04,1341.0,Full-Sized Inflatable Pools
28,2020-08-05,1554.0,Full-Sized Inflatable Pools
29,2020-08-06,1554.0,Full-Sized Inflatable Pools
30,2020-08-07,1554.0,Full-Sized Inflatable Pools
31,2020-08-08,2007.0,Full-Sized Inflatable Pools
32,2020-08-09,3145.0,Full-Sized Inflatable Pools
33,2020-08-10,2002.0,Full-Sized Inflatable Pools
34,2020-08-11,2002.0,Full-Sized Inflatable Pools
35,2020-08-12,1665.0,Full-Sized Inflatable Pools
36,2020-08-13,1665.0,Full-Sized Inflatable Pools
37,2020-08-14,1665.0,Full-Sized Inflatable Pools
38,2020-08-15,2630.0,Full-Sized Inflatable Pools
39,2020-08-16,2630.0,Full-Sized Inflatable Pools
40,2020-08-17,1478.0,Full-Sized Inflatable Pools
41,2020-08-18,1478.0,Full-Sized Inflatable Pools
42,2020-08-19,1478.0,Full-Sized Inflatable Pools
43,2020-08-20,2916.0,Full-Sized Inflatable Pools
44,2020-08-21,2916.0,Full-Sized Inflatable Pools
45,2020-08-22,4398.0,Full-Sized Inflatable Pools
46,2020-08-23,4398.0,Full-Sized Inflatable Pools
47,2020-08-24,4398.0,Full-Sized Inflatable Pools
48,2020-08-25,1997.0,Full-Sized Inflatable Pools
49,2020-08-26,1997.0,Full-Sized Inflatable Pools
50,2020-08-27,1997.0,Full-Sized Inflatable Pools
51,2020-08-28,1153.0,Full-Sized Inflatable Pools
52,2020-08-29,1153.0,Full-Sized Inflatable Pools
53,2020-08-30,860.0,Full-Sized Inflatable Pools
54,2020-08-31,860.0,Full-Sized Inflatable Pools
55,2020-09-01,860.0,Full-Sized Inflatable Pools
56,2020-09-02,2064.0,Full-Sized Inflatable Pools
57,2020-09-03,2064.0,Full-Sized Inflatable Pools
58,2020-09-04,3579.0,Full-Sized Inflatable Pools
59,2020-09-05,4758.0,Full-Sized Inflatable Pools
60,2020-09-06,4758.0,Full-Sized Inflatable Pools
61,2020-09-07,2617.0,Full-Sized Inflatable Pools
62,2020-09-08,2617.0,Full-Sized Inflatable Pools
63,2020-09-09,2952.0,Full-Sized Inflatable Pools
64,2020-09-10,6204.0,Full-Sized Inflatable Pools
65,2020-09-11,6204.0,Full-Sized Inflatable Pools
66,2020-09-12,10792.0,Full-Sized Inflatable Pools
67,2020-09-13,10792.0,Full-Sized Inflatable Pools
68,2020-09-14,12653.0,Full-Sized Inflatable Pools
69,2020-09-15,12653.0,Full-Sized Inflatable Pools
70,2020-09-16,12653.0,Full-Sized Inflatable Pools
71,2020-09-17,23634.0,Full-Sized Inflatable Pools
72,2020-09-18,23634.0,Full-Sized Inflatable Pools
73,2020-09-19,23634.0,Full-Sized Inflatable Pools
74,2020-09-20,23634.0,Full-Sized Inflatable Pools
75,2020-09-21,14944.0,Full-Sized Inflatable Pools
76,2020-09-22,14944.0,Full-Sized Inflatable Pools
77,2020-09-23,14944.0,Full-Sized Inflatable Pools
78,2020-09-24,13997.0,Full-Sized Inflatable Pools
79,2020-09-25,13997.0,Full-Sized Inflatable Pools
80,2020-09-26,13997.0,Full-Sized Inflatable Pools
81,2020-09-27,22827.0,Full-Sized Inflatable Pools
82,2020-09-28,18989.0,Full-Sized Inflatable Pools
83,2020-09-29,18989.0,Full-Sized Inflatable Pools
84,2020-09-30,23723.0,Full-Sized Inflatable Pools
85,2020-10-01,23723.0,Full-Sized Inflatable Pools
86,2020-10-02,23723.0,Full-Sized Inflatable Pools
87,2020-10-03,28840.0,Full-Sized Inflatable Pools
88,2020-10-04,28840.0,Full-Sized Inflatable Pools
89,2020-10-05,28840.0,Full-Sized Inflatable Pools
90,2020-10-06,28840.0,Full-Sized Inflatable Pools
91,2020-10-07,22739.0,Full-Sized Inflatable Pools
92,2020-10-08,22739.0,Full-Sized Inflatable Pools
93,2020-10-09,22739.0,Full-Sized Inflatable Pools
94,2020-10-10,22739.0,Full-Sized Inflatable Pools
95,2020-10-11,22739.0,Full-Sized Inflatable Pools
96,2020-10-12,36317.0,Full-Sized Inflatable Pools
97,2020-10-13,36317.0,Full-Sized Inflatable Pools
98,2020-10-14,36317.0,Full-Sized Inflatable Pools
99,2020-10-15,36317.0,Full-Sized Inflatable Pools
100,2020-10-16,33199.0,Full-Sized Inflatable Pools
101,2020-10-17,33199.0,Full-Sized Inflatable Pools
102,2020-10-18,33199.0,Full-Sized Inflatable Pools
103,2020-10-19,28569.0,Full-Sized Inflatable Pools
104,2020-10-20,28569.0,Full-Sized Inflatable Pools
105,2020-10-21,28569.0,Full-Sized Inflatable Pools
106,2020-10-22,44104.0,Full-Sized Inflatable Pools
107,2020-10-23,44104.0,Full-Sized Inflatable Pools
108,2020-10-24,44104.0,Full-Sized Inflatable Pools
109,2020-10-25,44104.0,Full-Sized Inflatable Pools
110,2020-10-26,24682.0,Full-Sized Inflatable Pools
111,2020-10-27,24834.0,Full-Sized Inflatable Pools
112,2020-10-28,25622.0,Full-Sized Inflatable Pools
113,2020-10-29,25622.0,Full-Sized Inflatable Pools
114,2020-10-30,25622.0,Full-Sized Inflatable Pools
115,2020-10-31,31132.0,Full-Sized Inflatable Pools
116,2020-11-01,31132.0,Full-Sized Inflatable Pools
117,2020-11-02,31132.0,Full-Sized Inflatable Pools
118,2020-11-03,41688.0,Full-Sized Inflatable Pools
119,2020-11-04,41688.0,Full-Sized Inflatable Pools
120,2020-11-05,41688.0,Full-Sized Inflatable Pools
121,2020-11-06,52870.0,Full-Sized Inflatable Pools
122,2020-11-07,52870.0,Full-Sized Inflatable Pools
123,2020-11-08,52870.0,Full-Sized Inflatable Pools
124,2020-11-09,28805.0,Full-Sized Inflatable Pools
125,2020-11-10,28805.0,Full-Sized Inflatable Pools
126,2020-11-11,28805.0,Full-Sized Inflatable Pools
127,2020-11-12,28805.0,Full-Sized Inflatable Pools
128,2020-11-13,23673.0,Full-Sized Inflatable Pools
129,2020-11-14,23673.0,Full-Sized Inflatable Pools
130,2020-11-15,23673.0,Full-Sized Inflatable Pools
131,2020-11-16,29799.0,Full-Sized Inflatable Pools
132,2020-11-17,22723.0,Full-Sized Inflatable Pools
133,2020-11-18,12958.0,Full-Sized Inflatable Pools
134,2020-11-19,12958.0,Full-Sized Inflatable Pools
135,2020-11-20,10793.0,Full-Sized Inflatable Pools
136,2020-11-21,10793.0,Full-Sized Inflatable Pools
