,date,value,name_B07C2589YK
0,2020-05-26,2530.0,Rolls
1,2020-05-27,2530.0,Rolls
2,2020-05-28,3164.0,Rolls
3,2020-05-29,2874.0,Rolls
4,2020-05-30,2874.0,Rolls
5,2020-05-31,2874.0,Rolls
6,2020-06-01,2874.0,Rolls
7,2020-06-02,3926.0,Rolls
8,2020-06-03,3926.0,Rolls
9,2020-06-04,3926.0,Rolls
10,2020-06-05,3468.0,Rolls
11,2020-06-06,3468.0,Rolls
12,2020-06-07,3964.0,Rolls
13,2020-06-08,3964.0,Rolls
14,2020-06-09,3964.0,Rolls
15,2020-06-10,3802.0,Rolls
16,2020-06-11,3802.0,Rolls
17,2020-06-12,3802.0,Rolls
18,2020-06-13,3558.0,Rolls
19,2020-06-14,3558.0,Rolls
20,2020-06-15,3537.0,Rolls
21,2020-06-16,3281.0,Rolls
22,2020-06-17,3281.0,Rolls
23,2020-06-18,3075.0,Rolls
24,2020-06-19,3075.0,Rolls
25,2020-06-20,3075.0,Rolls
26,2020-06-21,3427.0,Rolls
27,2020-06-22,3427.0,Rolls
28,2020-06-23,3427.0,Rolls
29,2020-06-24,3705.0,Rolls
30,2020-06-25,2695.0,Rolls
31,2020-06-26,2695.0,Rolls
32,2020-06-27,2695.0,Rolls
33,2020-06-28,2695.0,Rolls
34,2020-06-29,3165.0,Rolls
35,2020-06-30,3165.0,Rolls
36,2020-07-01,2865.0,Rolls
37,2020-07-02,3143.0,Rolls
38,2020-07-03,3143.0,Rolls
39,2020-07-04,3031.0,Rolls
40,2020-07-05,3031.0,Rolls
41,2020-07-06,3031.0,Rolls
42,2020-07-07,3544.0,Rolls
43,2020-07-08,3591.0,Rolls
44,2020-07-09,3591.0,Rolls
45,2020-07-10,3591.0,Rolls
46,2020-07-11,3689.0,Rolls
47,2020-07-12,4024.0,Rolls
48,2020-07-13,4024.0,Rolls
49,2020-07-14,4024.0,Rolls
50,2020-07-15,3793.0,Rolls
51,2020-07-16,3793.0,Rolls
52,2020-07-17,3793.0,Rolls
53,2020-07-18,3330.0,Rolls
54,2020-07-19,3330.0,Rolls
55,2020-07-20,3098.0,Rolls
56,2020-07-21,3098.0,Rolls
57,2020-07-22,3098.0,Rolls
58,2020-07-23,3098.0,Rolls
59,2020-07-24,3834.0,Rolls
60,2020-07-25,3834.0,Rolls
61,2020-07-26,3834.0,Rolls
62,2020-07-27,3537.0,Rolls
63,2020-07-28,3537.0,Rolls
64,2020-07-29,3687.0,Rolls
65,2020-07-30,3687.0,Rolls
66,2020-07-31,3687.0,Rolls
67,2020-08-01,3637.0,Rolls
68,2020-08-02,3637.0,Rolls
69,2020-08-03,3778.0,Rolls
70,2020-08-04,3778.0,Rolls
71,2020-08-05,3778.0,Rolls
72,2020-08-06,3037.0,Rolls
73,2020-08-07,3037.0,Rolls
74,2020-08-08,3777.0,Rolls
75,2020-08-09,3777.0,Rolls
76,2020-08-10,3777.0,Rolls
77,2020-08-11,3687.0,Rolls
78,2020-08-12,3687.0,Rolls
79,2020-08-13,3687.0,Rolls
80,2020-08-14,3679.0,Rolls
81,2020-08-15,3679.0,Rolls
82,2020-08-16,3679.0,Rolls
83,2020-08-17,3352.0,Rolls
84,2020-08-18,2945.0,Rolls
85,2020-08-19,2945.0,Rolls
86,2020-08-20,2945.0,Rolls
87,2020-08-21,2945.0,Rolls
88,2020-08-22,2902.0,Rolls
89,2020-08-23,2902.0,Rolls
90,2020-08-24,2902.0,Rolls
91,2020-08-25,3481.0,Rolls
92,2020-08-26,3481.0,Rolls
93,2020-08-27,3481.0,Rolls
94,2020-08-28,3793.0,Rolls
95,2020-08-29,3793.0,Rolls
96,2020-08-30,3793.0,Rolls
97,2020-08-31,3549.0,Rolls
98,2020-09-01,3549.0,Rolls
99,2020-09-02,3549.0,Rolls
100,2020-09-03,4379.0,Rolls
101,2020-09-04,4379.0,Rolls
102,2020-09-05,4379.0,Rolls
103,2020-09-06,3589.0,Rolls
104,2020-09-07,3589.0,Rolls
105,2020-09-08,3589.0,Rolls
106,2020-09-09,3869.0,Rolls
107,2020-09-10,3869.0,Rolls
108,2020-09-11,3869.0,Rolls
109,2020-09-12,4060.0,Rolls
110,2020-09-13,4060.0,Rolls
111,2020-09-14,4060.0,Rolls
112,2020-09-15,4136.0,Rolls
113,2020-09-16,3198.0,Rolls
114,2020-09-17,3400.0,Rolls
115,2020-09-18,3400.0,Rolls
116,2020-09-19,3400.0,Rolls
117,2020-09-20,3400.0,Rolls
118,2020-09-21,3945.0,Rolls
119,2020-09-22,3945.0,Rolls
120,2020-09-23,3945.0,Rolls
121,2020-09-24,3998.0,Rolls
122,2020-09-25,3998.0,Rolls
123,2020-09-26,3998.0,Rolls
124,2020-09-27,3869.0,Rolls
125,2020-09-28,3604.0,Rolls
126,2020-09-29,3604.0,Rolls
127,2020-09-30,3604.0,Rolls
128,2020-10-01,3901.0,Rolls
129,2020-10-02,3901.0,Rolls
130,2020-10-03,3901.0,Rolls
131,2020-10-04,3955.0,Rolls
132,2020-10-05,3955.0,Rolls
133,2020-10-06,3955.0,Rolls
134,2020-10-07,3786.0,Rolls
135,2020-10-08,3786.0,Rolls
136,2020-10-09,3786.0,Rolls
137,2020-10-10,3786.0,Rolls
138,2020-10-11,3262.0,Rolls
139,2020-10-12,3262.0,Rolls
140,2020-10-13,3262.0,Rolls
141,2020-10-14,4094.0,Rolls
142,2020-10-15,4491.0,Rolls
143,2020-10-16,4491.0,Rolls
144,2020-10-17,4491.0,Rolls
145,2020-10-18,4491.0,Rolls
146,2020-10-19,3713.0,Rolls
147,2020-10-20,3713.0,Rolls
148,2020-10-21,3591.0,Rolls
149,2020-10-22,3567.0,Rolls
150,2020-10-23,4063.0,Rolls
151,2020-10-24,4063.0,Rolls
152,2020-10-25,4063.0,Rolls
153,2020-10-26,4063.0,Rolls
154,2020-10-27,4063.0,Rolls
155,2020-10-28,3355.0,Rolls
156,2020-10-29,3355.0,Rolls
157,2020-10-30,3355.0,Rolls
158,2020-10-31,3614.0,Rolls
159,2020-11-01,3614.0,Rolls
160,2020-11-02,3763.0,Rolls
161,2020-11-03,3763.0,Rolls
162,2020-11-04,3763.0,Rolls
163,2020-11-05,3763.0,Rolls
164,2020-11-06,3376.0,Rolls
