,date,value,name_B01BV3FICE
0,2020-05-25,143388.0,Combination Deodorants & Antiperspirants
1,2020-05-26,143388.0,Combination Deodorants & Antiperspirants
2,2020-05-27,143388.0,Combination Deodorants & Antiperspirants
3,2020-05-28,92670.0,Combination Deodorants & Antiperspirants
4,2020-05-29,92670.0,Combination Deodorants & Antiperspirants
5,2020-05-30,92670.0,Combination Deodorants & Antiperspirants
6,2020-05-31,106720.0,Combination Deodorants & Antiperspirants
7,2020-06-01,106720.0,Combination Deodorants & Antiperspirants
8,2020-06-02,106720.0,Combination Deodorants & Antiperspirants
9,2020-06-03,175543.0,Combination Deodorants & Antiperspirants
10,2020-06-04,175543.0,Combination Deodorants & Antiperspirants
11,2020-06-05,175543.0,Combination Deodorants & Antiperspirants
12,2020-06-06,85390.0,Combination Deodorants & Antiperspirants
13,2020-06-07,85390.0,Combination Deodorants & Antiperspirants
14,2020-06-08,85390.0,Combination Deodorants & Antiperspirants
15,2020-06-09,137873.0,Combination Deodorants & Antiperspirants
16,2020-06-10,137873.0,Combination Deodorants & Antiperspirants
17,2020-06-11,137873.0,Combination Deodorants & Antiperspirants
18,2020-06-12,163808.0,Combination Deodorants & Antiperspirants
19,2020-06-13,163808.0,Combination Deodorants & Antiperspirants
20,2020-06-14,163808.0,Combination Deodorants & Antiperspirants
21,2020-06-15,84825.0,Combination Deodorants & Antiperspirants
22,2020-06-16,84825.0,Combination Deodorants & Antiperspirants
23,2020-06-17,165705.0,Combination Deodorants & Antiperspirants
24,2020-06-18,114601.0,Combination Deodorants & Antiperspirants
25,2020-06-19,114601.0,Combination Deodorants & Antiperspirants
26,2020-06-20,114601.0,Combination Deodorants & Antiperspirants
27,2020-06-21,143937.0,Combination Deodorants & Antiperspirants
28,2020-06-22,176924.0,Combination Deodorants & Antiperspirants
29,2020-06-23,176924.0,Combination Deodorants & Antiperspirants
30,2020-06-24,176924.0,Combination Deodorants & Antiperspirants
31,2020-06-25,139679.0,Combination Deodorants & Antiperspirants
32,2020-06-26,139679.0,Combination Deodorants & Antiperspirants
33,2020-06-27,139679.0,Combination Deodorants & Antiperspirants
34,2020-06-28,128310.0,Combination Deodorants & Antiperspirants
35,2020-06-29,128310.0,Combination Deodorants & Antiperspirants
36,2020-06-30,128310.0,Combination Deodorants & Antiperspirants
37,2020-07-01,93415.0,Combination Deodorants & Antiperspirants
38,2020-07-02,111279.0,Combination Deodorants & Antiperspirants
39,2020-07-03,111279.0,Combination Deodorants & Antiperspirants
40,2020-07-04,111279.0,Combination Deodorants & Antiperspirants
41,2020-07-05,111279.0,Combination Deodorants & Antiperspirants
42,2020-07-06,227802.0,Combination Deodorants & Antiperspirants
43,2020-07-07,227802.0,Combination Deodorants & Antiperspirants
44,2020-07-08,119636.0,Combination Deodorants & Antiperspirants
45,2020-07-09,119636.0,Combination Deodorants & Antiperspirants
46,2020-07-10,119636.0,Combination Deodorants & Antiperspirants
47,2020-07-11,199888.0,Combination Deodorants & Antiperspirants
48,2020-07-12,199888.0,Combination Deodorants & Antiperspirants
49,2020-07-13,199888.0,Combination Deodorants & Antiperspirants
50,2020-07-14,171114.0,Combination Deodorants & Antiperspirants
51,2020-07-15,171114.0,Combination Deodorants & Antiperspirants
52,2020-07-16,171114.0,Combination Deodorants & Antiperspirants
53,2020-07-17,152195.0,Combination Deodorants & Antiperspirants
54,2020-07-18,152195.0,Combination Deodorants & Antiperspirants
55,2020-07-19,152195.0,Combination Deodorants & Antiperspirants
56,2020-07-20,249175.0,Combination Deodorants & Antiperspirants
57,2020-07-21,249175.0,Combination Deodorants & Antiperspirants
58,2020-07-22,249175.0,Combination Deodorants & Antiperspirants
59,2020-07-23,286503.0,Combination Deodorants & Antiperspirants
60,2020-07-24,286503.0,Combination Deodorants & Antiperspirants
61,2020-07-25,286503.0,Combination Deodorants & Antiperspirants
62,2020-07-26,286503.0,Combination Deodorants & Antiperspirants
63,2020-07-27,291675.0,Combination Deodorants & Antiperspirants
64,2020-07-28,291675.0,Combination Deodorants & Antiperspirants
65,2020-07-29,291675.0,Combination Deodorants & Antiperspirants
66,2020-07-30,302511.0,Combination Deodorants & Antiperspirants
67,2020-07-31,303397.0,Combination Deodorants & Antiperspirants
68,2020-08-01,303397.0,Combination Deodorants & Antiperspirants
69,2020-08-02,303397.0,Combination Deodorants & Antiperspirants
70,2020-08-03,182190.0,Combination Deodorants & Antiperspirants
71,2020-08-04,182190.0,Combination Deodorants & Antiperspirants
72,2020-08-05,182190.0,Combination Deodorants & Antiperspirants
73,2020-08-06,112812.0,Combination Deodorants & Antiperspirants
