,date,value,name_B08CVBRGZT
0,2020-07-28,516274.0,Wall-Mounted Mirrors
1,2020-07-29,516274.0,Wall-Mounted Mirrors
2,2020-07-30,516274.0,Wall-Mounted Mirrors
3,2020-07-31,516274.0,Wall-Mounted Mirrors
4,2020-08-01,516274.0,Wall-Mounted Mirrors
5,2020-08-02,516274.0,Wall-Mounted Mirrors
6,2020-08-03,516274.0,Wall-Mounted Mirrors
7,2020-08-04,516274.0,Wall-Mounted Mirrors
8,2020-08-05,516274.0,Wall-Mounted Mirrors
9,2020-08-06,516274.0,Wall-Mounted Mirrors
10,2020-08-07,516274.0,Wall-Mounted Mirrors
11,2020-08-08,163609.0,Wall-Mounted Mirrors
12,2020-08-09,163609.0,Wall-Mounted Mirrors
13,2020-08-10,163609.0,Wall-Mounted Mirrors
14,2020-08-11,163609.0,Wall-Mounted Mirrors
15,2020-08-12,163609.0,Wall-Mounted Mirrors
16,2020-08-13,163609.0,Wall-Mounted Mirrors
17,2020-08-14,163609.0,Wall-Mounted Mirrors
18,2020-08-15,59704.0,Wall-Mounted Mirrors
19,2020-08-16,59704.0,Wall-Mounted Mirrors
20,2020-08-17,59704.0,Wall-Mounted Mirrors
21,2020-08-18,54480.0,Wall-Mounted Mirrors
22,2020-08-19,54480.0,Wall-Mounted Mirrors
23,2020-08-20,54480.0,Wall-Mounted Mirrors
24,2020-08-21,54480.0,Wall-Mounted Mirrors
25,2020-08-22,42743.0,Wall-Mounted Mirrors
26,2020-08-23,42743.0,Wall-Mounted Mirrors
27,2020-08-24,42743.0,Wall-Mounted Mirrors
28,2020-08-25,35801.0,Wall-Mounted Mirrors
29,2020-08-26,35801.0,Wall-Mounted Mirrors
30,2020-08-27,31052.0,Wall-Mounted Mirrors
31,2020-08-28,31052.0,Wall-Mounted Mirrors
32,2020-08-29,31052.0,Wall-Mounted Mirrors
33,2020-08-30,31052.0,Wall-Mounted Mirrors
34,2020-08-31,13774.0,Wall-Mounted Mirrors
35,2020-09-01,16010.0,Wall-Mounted Mirrors
36,2020-09-02,16010.0,Wall-Mounted Mirrors
37,2020-09-03,14973.0,Wall-Mounted Mirrors
38,2020-09-04,14973.0,Wall-Mounted Mirrors
39,2020-09-05,14973.0,Wall-Mounted Mirrors
40,2020-09-06,12506.0,Wall-Mounted Mirrors
41,2020-09-07,12506.0,Wall-Mounted Mirrors
42,2020-09-08,12506.0,Wall-Mounted Mirrors
43,2020-09-09,11462.0,Wall-Mounted Mirrors
44,2020-09-10,10395.0,Wall-Mounted Mirrors
45,2020-09-11,10395.0,Wall-Mounted Mirrors
