,date,value,name_B08GQW6GH5
0,2020-08-30,19530.0,Can Liners
1,2020-08-31,26686.0,Can Liners
2,2020-09-01,26686.0,Can Liners
3,2020-09-02,11070.0,Can Liners
4,2020-09-03,10592.0,Can Liners
5,2020-09-04,10592.0,Can Liners
6,2020-09-05,10592.0,Can Liners
7,2020-09-06,18204.0,Can Liners
8,2020-09-07,20651.0,Can Liners
9,2020-09-08,20977.0,Can Liners
10,2020-09-09,10871.0,Can Liners
11,2020-09-10,10871.0,Can Liners
12,2020-09-11,6484.0,Can Liners
13,2020-09-12,6484.0,Can Liners
14,2020-09-13,12747.0,Can Liners
15,2020-09-14,12747.0,Can Liners
16,2020-09-15,10233.0,Can Liners
17,2020-09-16,12091.0,Can Liners
18,2020-09-17,11619.0,Can Liners
19,2020-09-18,9929.0,Can Liners
20,2020-09-19,14318.0,Can Liners
21,2020-09-20,18652.0,Can Liners
22,2020-09-21,22401.0,Can Liners
23,2020-09-22,13135.0,Can Liners
24,2020-09-23,13135.0,Can Liners
25,2020-09-24,13678.0,Can Liners
26,2020-09-25,13022.0,Can Liners
27,2020-09-26,17181.0,Can Liners
28,2020-09-27,21126.0,Can Liners
29,2020-09-28,23179.0,Can Liners
30,2020-09-29,15996.0,Can Liners
31,2020-09-30,16288.0,Can Liners
32,2020-10-01,13458.0,Can Liners
33,2020-10-02,13096.0,Can Liners
34,2020-10-03,16079.0,Can Liners
35,2020-10-04,19951.0,Can Liners
36,2020-10-05,26703.0,Can Liners
37,2020-10-06,17271.0,Can Liners
38,2020-10-07,17271.0,Can Liners
39,2020-10-08,11512.0,Can Liners
40,2020-10-09,17476.0,Can Liners
41,2020-10-10,12923.0,Can Liners
42,2020-10-11,12923.0,Can Liners
43,2020-10-12,12923.0,Can Liners
44,2020-10-13,15343.0,Can Liners
45,2020-10-14,11866.0,Can Liners
46,2020-10-15,14536.0,Can Liners
47,2020-10-16,16092.0,Can Liners
48,2020-10-17,12335.0,Can Liners
49,2020-10-18,19034.0,Can Liners
50,2020-10-19,12135.0,Can Liners
51,2020-10-20,13464.0,Can Liners
52,2020-10-21,12925.0,Can Liners
53,2020-10-22,13020.0,Can Liners
54,2020-10-23,11442.0,Can Liners
55,2020-10-24,11320.0,Can Liners
56,2020-10-25,16904.0,Can Liners
57,2020-10-26,22628.0,Can Liners
58,2020-10-27,22628.0,Can Liners
59,2020-10-28,12042.0,Can Liners
60,2020-10-29,12042.0,Can Liners
61,2020-10-30,13997.0,Can Liners
62,2020-10-31,12362.0,Can Liners
63,2020-11-01,19912.0,Can Liners
64,2020-11-02,20874.0,Can Liners
65,2020-11-03,20874.0,Can Liners
66,2020-11-04,20874.0,Can Liners
67,2020-11-05,15106.0,Can Liners
68,2020-11-06,14060.0,Can Liners
69,2020-11-07,14060.0,Can Liners
70,2020-11-08,20358.0,Can Liners
71,2020-11-09,17029.0,Can Liners
72,2020-11-10,14724.0,Can Liners
73,2020-11-11,12731.0,Can Liners
74,2020-11-12,16157.0,Can Liners
75,2020-11-13,16388.0,Can Liners
76,2020-11-14,16388.0,Can Liners
77,2020-11-15,20662.0,Can Liners
78,2020-11-16,20662.0,Can Liners
79,2020-11-17,22819.0,Can Liners
80,2020-11-18,22819.0,Can Liners
81,2020-11-19,11946.0,Can Liners
82,2020-11-20,11109.0,Can Liners
83,2020-11-21,12604.0,Can Liners
84,2020-11-22,12604.0,Can Liners
85,2020-11-23,13547.0,Can Liners
86,2020-11-24,17156.0,Can Liners
87,2020-11-25,17156.0,Can Liners
88,2020-11-26,17156.0,Can Liners
89,2020-11-27,18056.0,Can Liners
90,2020-11-28,20890.0,Can Liners
91,2020-11-29,28690.0,Can Liners
92,2020-11-30,28690.0,Can Liners
93,2020-12-01,28690.0,Can Liners
94,2020-12-02,14682.0,Can Liners
95,2020-12-03,14944.0,Can Liners
96,2020-12-04,14944.0,Can Liners
97,2020-12-05,17503.0,Can Liners
98,2020-12-06,17925.0,Can Liners
99,2020-12-07,17925.0,Can Liners
100,2020-12-08,15307.0,Can Liners
101,2020-12-09,11701.0,Can Liners
102,2020-12-10,12012.0,Can Liners
103,2020-12-11,12012.0,Can Liners
104,2020-12-12,14004.0,Can Liners
105,2020-12-13,14004.0,Can Liners
