,date,value,name_B0876DKY8C
0,2020-05-25,2967.0,Women's Health
1,2020-05-26,2967.0,Women's Health
2,2020-05-27,2967.0,Women's Health
3,2020-05-28,2568.0,Women's Health
4,2020-05-29,2568.0,Women's Health
5,2020-05-30,2568.0,Women's Health
6,2020-05-31,2568.0,Women's Health
7,2020-06-01,2499.0,Women's Health
8,2020-06-02,2499.0,Women's Health
9,2020-06-03,2422.0,Women's Health
10,2020-06-04,2422.0,Women's Health
11,2020-06-05,2559.0,Women's Health
12,2020-06-06,2467.0,Women's Health
13,2020-06-07,2467.0,Women's Health
14,2020-06-08,2467.0,Women's Health
15,2020-06-09,2488.0,Women's Health
16,2020-06-10,2488.0,Women's Health
17,2020-06-11,2383.0,Women's Health
18,2020-06-12,2567.0,Women's Health
19,2020-06-13,2567.0,Women's Health
20,2020-06-14,2567.0,Women's Health
21,2020-06-15,1839.0,Women's Health
22,2020-06-16,1839.0,Women's Health
23,2020-06-17,1839.0,Women's Health
24,2020-06-18,2145.0,Women's Health
25,2020-06-19,2145.0,Women's Health
26,2020-06-20,2145.0,Women's Health
27,2020-06-21,2258.0,Women's Health
28,2020-06-22,2258.0,Women's Health
29,2020-06-23,2258.0,Women's Health
30,2020-06-24,2139.0,Women's Health
31,2020-06-25,2139.0,Women's Health
32,2020-06-26,2139.0,Women's Health
33,2020-06-27,2139.0,Women's Health
34,2020-06-28,1969.0,Women's Health
35,2020-06-29,2113.0,Women's Health
36,2020-06-30,2244.0,Women's Health
37,2020-07-01,2244.0,Women's Health
38,2020-07-02,2473.0,Women's Health
39,2020-07-03,2473.0,Women's Health
40,2020-07-04,2473.0,Women's Health
41,2020-07-05,2473.0,Women's Health
42,2020-07-06,2916.0,Women's Health
43,2020-07-07,2916.0,Women's Health
44,2020-07-08,2916.0,Women's Health
45,2020-07-09,2352.0,Women's Health
46,2020-07-10,2352.0,Women's Health
47,2020-07-11,2352.0,Women's Health
48,2020-07-12,2176.0,Women's Health
49,2020-07-13,2176.0,Women's Health
50,2020-07-14,2401.0,Women's Health
51,2020-07-15,2401.0,Women's Health
52,2020-07-16,2401.0,Women's Health
53,2020-07-17,2282.0,Women's Health
54,2020-07-18,2282.0,Women's Health
55,2020-07-19,2210.0,Women's Health
56,2020-07-20,2118.0,Women's Health
57,2020-07-21,1928.0,Women's Health
58,2020-07-22,1928.0,Women's Health
59,2020-07-23,1928.0,Women's Health
60,2020-07-24,2325.0,Women's Health
61,2020-07-25,2325.0,Women's Health
62,2020-07-26,2325.0,Women's Health
63,2020-07-27,2370.0,Women's Health
64,2020-07-28,2370.0,Women's Health
65,2020-07-29,2370.0,Women's Health
66,2020-07-30,2582.0,Women's Health
67,2020-07-31,2275.0,Women's Health
68,2020-08-01,2275.0,Women's Health
69,2020-08-02,2275.0,Women's Health
70,2020-08-03,2597.0,Women's Health
71,2020-08-04,2597.0,Women's Health
72,2020-08-05,2564.0,Women's Health
73,2020-08-06,2564.0,Women's Health
74,2020-08-07,2534.0,Women's Health
75,2020-08-08,2534.0,Women's Health
76,2020-08-09,2534.0,Women's Health
77,2020-08-10,2090.0,Women's Health
78,2020-08-11,2090.0,Women's Health
79,2020-08-12,2111.0,Women's Health
80,2020-08-13,2111.0,Women's Health
81,2020-08-14,2111.0,Women's Health
82,2020-08-15,1967.0,Women's Health
83,2020-08-16,1967.0,Women's Health
84,2020-08-17,1967.0,Women's Health
85,2020-08-18,2510.0,Women's Health
86,2020-08-19,2510.0,Women's Health
87,2020-08-20,2510.0,Women's Health
88,2020-08-21,2510.0,Women's Health
89,2020-08-22,2414.0,Women's Health
90,2020-08-23,2414.0,Women's Health
91,2020-08-24,2185.0,Women's Health
92,2020-08-25,2185.0,Women's Health
93,2020-08-26,2185.0,Women's Health
94,2020-08-27,2033.0,Women's Health
95,2020-08-28,2033.0,Women's Health
96,2020-08-29,2033.0,Women's Health
97,2020-08-30,2033.0,Women's Health
98,2020-08-31,2181.0,Women's Health
99,2020-09-01,2181.0,Women's Health
100,2020-09-02,1942.0,Women's Health
101,2020-09-03,1997.0,Women's Health
102,2020-09-04,1997.0,Women's Health
103,2020-09-05,1997.0,Women's Health
104,2020-09-06,2118.0,Women's Health
105,2020-09-07,2118.0,Women's Health
106,2020-09-08,2077.0,Women's Health
107,2020-09-09,2165.0,Women's Health
108,2020-09-10,2165.0,Women's Health
109,2020-09-11,2165.0,Women's Health
110,2020-09-12,2182.0,Women's Health
111,2020-09-13,2182.0,Women's Health
112,2020-09-14,2182.0,Women's Health
113,2020-09-15,2019.0,Women's Health
114,2020-09-16,2019.0,Women's Health
115,2020-09-17,1611.0,Women's Health
116,2020-09-18,1611.0,Women's Health
117,2020-09-19,1611.0,Women's Health
118,2020-09-20,1828.0,Women's Health
119,2020-09-21,1828.0,Women's Health
120,2020-09-22,2003.0,Women's Health
121,2020-09-23,2003.0,Women's Health
122,2020-09-24,2003.0,Women's Health
123,2020-09-25,2003.0,Women's Health
