,date,value,name_B081DP3JL7
0,2020-06-06,61384.0,Insoles
1,2020-06-07,61384.0,Insoles
2,2020-06-08,61384.0,Insoles
3,2020-06-09,61384.0,Insoles
4,2020-06-10,61384.0,Insoles
5,2020-06-11,61384.0,Insoles
6,2020-06-12,61384.0,Insoles
7,2020-06-13,61384.0,Insoles
8,2020-06-14,61384.0,Insoles
9,2020-06-15,61384.0,Insoles
10,2020-06-16,43492.0,Insoles
11,2020-06-17,43492.0,Insoles
12,2020-06-18,43492.0,Insoles
13,2020-06-19,43492.0,Insoles
14,2020-06-20,43492.0,Insoles
15,2020-06-21,43492.0,Insoles
16,2020-06-22,43492.0,Insoles
17,2020-06-23,43492.0,Insoles
18,2020-06-24,43492.0,Insoles
19,2020-06-25,43492.0,Insoles
20,2020-06-26,43492.0,Insoles
21,2020-06-27,43492.0,Insoles
22,2020-06-28,43492.0,Insoles
23,2020-06-29,43492.0,Insoles
24,2020-06-30,43492.0,Insoles
25,2020-07-01,43492.0,Insoles
26,2020-07-02,43492.0,Insoles
27,2020-07-03,43492.0,Insoles
28,2020-07-04,43492.0,Insoles
29,2020-07-05,43492.0,Insoles
30,2020-07-06,43492.0,Insoles
31,2020-07-07,43492.0,Insoles
32,2020-07-08,49181.0,Insoles
33,2020-07-09,49181.0,Insoles
34,2020-07-10,49181.0,Insoles
35,2020-07-11,49181.0,Insoles
36,2020-07-12,49181.0,Insoles
37,2020-07-13,49181.0,Insoles
38,2020-07-14,49181.0,Insoles
39,2020-07-15,49181.0,Insoles
40,2020-07-16,49181.0,Insoles
41,2020-07-17,49181.0,Insoles
42,2020-07-18,49181.0,Insoles
43,2020-07-19,49181.0,Insoles
44,2020-07-20,49181.0,Insoles
45,2020-07-21,49181.0,Insoles
46,2020-07-22,49530.0,Insoles
47,2020-07-23,49530.0,Insoles
48,2020-07-24,49530.0,Insoles
49,2020-07-25,49530.0,Insoles
50,2020-07-26,49530.0,Insoles
51,2020-07-27,49530.0,Insoles
52,2020-07-28,49530.0,Insoles
53,2020-07-29,39983.0,Insoles
54,2020-07-30,39983.0,Insoles
55,2020-07-31,39983.0,Insoles
56,2020-08-01,39983.0,Insoles
57,2020-08-02,39983.0,Insoles
58,2020-08-03,39983.0,Insoles
59,2020-08-04,39983.0,Insoles
60,2020-08-05,39983.0,Insoles
61,2020-08-06,40788.0,Insoles
62,2020-08-07,40788.0,Insoles
63,2020-08-08,40788.0,Insoles
64,2020-08-09,40788.0,Insoles
65,2020-08-10,40788.0,Insoles
66,2020-08-11,40788.0,Insoles
67,2020-08-12,40788.0,Insoles
68,2020-08-13,40788.0,Insoles
69,2020-08-14,40788.0,Insoles
70,2020-08-15,62777.0,Insoles
71,2020-08-16,62777.0,Insoles
72,2020-08-17,62777.0,Insoles
73,2020-08-18,99270.0,Insoles
74,2020-08-19,99270.0,Insoles
75,2020-08-20,99270.0,Insoles
76,2020-08-21,99270.0,Insoles
77,2020-08-22,99270.0,Insoles
78,2020-08-23,99270.0,Insoles
79,2020-08-24,64743.0,Insoles
80,2020-08-25,64743.0,Insoles
81,2020-08-26,64743.0,Insoles
82,2020-08-27,64743.0,Insoles
83,2020-08-28,64743.0,Insoles
84,2020-08-29,64743.0,Insoles
85,2020-08-30,64743.0,Insoles
86,2020-08-31,64743.0,Insoles
87,2020-09-01,45550.0,Insoles
88,2020-09-02,45550.0,Insoles
89,2020-09-03,45550.0,Insoles
90,2020-09-04,45550.0,Insoles
91,2020-09-05,45550.0,Insoles
92,2020-09-06,45550.0,Insoles
93,2020-09-07,40714.0,Insoles
94,2020-09-08,40714.0,Insoles
95,2020-09-09,40714.0,Insoles
96,2020-09-10,40714.0,Insoles
97,2020-09-11,40714.0,Insoles
98,2020-09-12,40714.0,Insoles
99,2020-09-13,40714.0,Insoles
100,2020-09-14,40714.0,Insoles
101,2020-09-15,40714.0,Insoles
102,2020-09-16,40714.0,Insoles
103,2020-09-17,45558.0,Insoles
104,2020-09-18,45558.0,Insoles
105,2020-09-19,45558.0,Insoles
106,2020-09-20,45558.0,Insoles
107,2020-09-21,45558.0,Insoles
108,2020-09-22,45558.0,Insoles
109,2020-09-23,45558.0,Insoles
110,2020-09-24,45558.0,Insoles
111,2020-09-25,45558.0,Insoles
112,2020-09-26,45558.0,Insoles
113,2020-09-27,53549.0,Insoles
114,2020-09-28,53549.0,Insoles
115,2020-09-29,53549.0,Insoles
116,2020-09-30,53549.0,Insoles
117,2020-10-01,53549.0,Insoles
118,2020-10-02,53549.0,Insoles
119,2020-10-03,61128.0,Insoles
120,2020-10-04,61128.0,Insoles
121,2020-10-05,61128.0,Insoles
122,2020-10-06,61128.0,Insoles
123,2020-10-07,61128.0,Insoles
124,2020-10-08,61128.0,Insoles
125,2020-10-09,61128.0,Insoles
126,2020-10-10,61128.0,Insoles
127,2020-10-11,83190.0,Insoles
128,2020-10-12,83190.0,Insoles
129,2020-10-13,83190.0,Insoles
130,2020-10-14,56106.0,Insoles
131,2020-10-15,56106.0,Insoles
132,2020-10-16,56106.0,Insoles
133,2020-10-17,56106.0,Insoles
134,2020-10-18,56106.0,Insoles
135,2020-10-19,56106.0,Insoles
136,2020-10-20,44572.0,Insoles
137,2020-10-21,44572.0,Insoles
138,2020-10-22,44572.0,Insoles
139,2020-10-23,44572.0,Insoles
140,2020-10-24,44572.0,Insoles
141,2020-10-25,44572.0,Insoles
142,2020-10-26,44572.0,Insoles
143,2020-10-27,48004.0,Insoles
144,2020-10-28,48004.0,Insoles
145,2020-10-29,48004.0,Insoles
146,2020-10-30,48004.0,Insoles
147,2020-10-31,48004.0,Insoles
148,2020-11-01,48004.0,Insoles
149,2020-11-02,48004.0,Insoles
150,2020-11-03,48004.0,Insoles
151,2020-11-04,48004.0,Insoles
152,2020-11-05,48004.0,Insoles
153,2020-11-06,48004.0,Insoles
154,2020-11-07,48004.0,Insoles
155,2020-11-08,41025.0,Insoles
156,2020-11-09,41025.0,Insoles
157,2020-11-10,41025.0,Insoles
158,2020-11-11,41025.0,Insoles
159,2020-11-12,60007.0,Insoles
160,2020-11-13,60007.0,Insoles
161,2020-11-14,60007.0,Insoles
162,2020-11-15,50400.0,Insoles
163,2020-11-16,50400.0,Insoles
164,2020-11-17,50400.0,Insoles
165,2020-11-18,50400.0,Insoles
166,2020-11-19,50400.0,Insoles
167,2020-11-20,50400.0,Insoles
168,2020-11-21,50400.0,Insoles
169,2020-11-22,50400.0,Insoles
170,2020-11-23,54549.0,Insoles
171,2020-11-24,54549.0,Insoles
172,2020-11-25,54549.0,Insoles
173,2020-11-26,54549.0,Insoles
174,2020-11-27,54549.0,Insoles
175,2020-11-28,54549.0,Insoles
176,2020-11-29,54549.0,Insoles
177,2020-11-30,54549.0,Insoles
178,2020-12-01,76280.0,Insoles
179,2020-12-02,76280.0,Insoles
180,2020-12-03,76280.0,Insoles
181,2020-12-04,76280.0,Insoles
182,2020-12-05,64468.0,Insoles
183,2020-12-06,64468.0,Insoles
184,2020-12-07,64468.0,Insoles
185,2020-12-08,64468.0,Insoles
186,2020-12-09,64468.0,Insoles
187,2020-12-10,64468.0,Insoles
188,2020-12-11,75778.0,Insoles
189,2020-12-12,75778.0,Insoles
190,2020-12-13,75778.0,Insoles
191,2020-12-14,75778.0,Insoles
192,2020-12-15,75778.0,Insoles
193,2020-12-16,75778.0,Insoles
194,2020-12-17,75778.0,Insoles
195,2020-12-18,75778.0,Insoles
196,2020-12-19,75778.0,Insoles
197,2020-12-20,72897.0,Insoles
198,2020-12-21,71903.0,Insoles
199,2020-12-22,71903.0,Insoles
200,2020-12-23,71903.0,Insoles
201,2020-12-24,71903.0,Insoles
202,2020-12-25,71903.0,Insoles
203,2020-12-26,71903.0,Insoles
204,2020-12-27,71903.0,Insoles
205,2020-12-28,71903.0,Insoles
206,2020-12-29,71903.0,Insoles
207,2020-12-30,71903.0,Insoles
