,date,value,name_B09469Z3Z8
0,2021-05-27,20776.0,Ride-On Accessories
1,2021-05-28,20776.0,Ride-On Accessories
2,2021-05-29,20776.0,Ride-On Accessories
3,2021-05-30,20776.0,Ride-On Accessories
4,2021-05-31,19905.0,Ride-On Accessories
5,2021-06-01,25161.0,Ride-On Accessories
6,2021-06-02,24875.0,Ride-On Accessories
7,2021-06-03,24875.0,Ride-On Accessories
8,2021-06-04,19731.0,Ride-On Accessories
9,2021-06-05,19731.0,Ride-On Accessories
10,2021-06-06,19731.0,Ride-On Accessories
11,2021-06-07,17989.0,Ride-On Accessories
12,2021-06-08,22052.0,Ride-On Accessories
13,2021-06-09,22052.0,Ride-On Accessories
14,2021-06-10,22052.0,Ride-On Accessories
15,2021-06-11,15735.0,Ride-On Accessories
16,2021-06-12,15735.0,Ride-On Accessories
17,2021-06-13,17430.0,Ride-On Accessories
18,2021-06-14,17430.0,Ride-On Accessories
19,2021-06-15,22579.0,Ride-On Accessories
20,2021-06-16,17146.0,Ride-On Accessories
21,2021-06-17,17146.0,Ride-On Accessories
22,2021-06-18,18111.0,Ride-On Accessories
23,2021-06-19,18111.0,Ride-On Accessories
24,2021-06-20,19548.0,Ride-On Accessories
25,2021-06-21,18072.0,Ride-On Accessories
26,2021-06-22,5741.0,Ride-On Accessories
27,2021-06-23,6826.0,Ride-On Accessories
28,2021-06-24,8658.0,Ride-On Accessories
29,2021-06-25,8658.0,Ride-On Accessories
30,2021-06-26,13501.0,Ride-On Accessories
31,2021-06-27,13501.0,Ride-On Accessories
32,2021-06-28,14913.0,Ride-On Accessories
33,2021-06-29,20097.0,Ride-On Accessories
34,2021-06-30,17114.0,Ride-On Accessories
35,2021-07-01,14416.0,Ride-On Accessories
36,2021-07-02,14416.0,Ride-On Accessories
37,2021-07-03,14416.0,Ride-On Accessories
38,2021-07-04,77269.0,Ride-On Accessories
39,2021-07-05,77269.0,Ride-On Accessories
40,2021-07-06,69918.0,Ride-On Accessories
41,2021-07-07,105262.0,Ride-On Accessories
42,2021-07-08,105262.0,Ride-On Accessories
43,2021-07-09,117567.0,Ride-On Accessories
