,date,value,name_B081K5P55S
0,2019-11-21,13199.0,Recliner Slipcovers
1,2019-11-22,15068.0,Recliner Slipcovers
2,2019-11-23,10944.0,Recliner Slipcovers
3,2019-11-24,10944.0,Recliner Slipcovers
4,2019-11-25,13028.0,Recliner Slipcovers
5,2019-11-26,13028.0,Recliner Slipcovers
6,2019-11-27,13952.0,Recliner Slipcovers
7,2019-11-28,11103.0,Recliner Slipcovers
8,2019-11-29,17463.0,Recliner Slipcovers
9,2019-11-30,17463.0,Recliner Slipcovers
10,2019-12-01,13245.0,Recliner Slipcovers
11,2019-12-02,15899.0,Recliner Slipcovers
12,2019-12-03,18524.0,Recliner Slipcovers
13,2019-12-04,19548.0,Recliner Slipcovers
14,2019-12-05,21232.0,Recliner Slipcovers
15,2019-12-06,17535.0,Recliner Slipcovers
16,2019-12-07,17098.0,Recliner Slipcovers
17,2019-12-08,19067.0,Recliner Slipcovers
18,2019-12-09,18718.0,Recliner Slipcovers
19,2019-12-10,19735.0,Recliner Slipcovers
20,2019-12-11,23837.0,Recliner Slipcovers
21,2019-12-12,23837.0,Recliner Slipcovers
22,2019-12-13,19165.0,Recliner Slipcovers
23,2019-12-14,23907.0,Recliner Slipcovers
24,2019-12-15,23907.0,Recliner Slipcovers
25,2019-12-16,23406.0,Recliner Slipcovers
26,2019-12-17,23406.0,Recliner Slipcovers
27,2019-12-18,23406.0,Recliner Slipcovers
28,2019-12-19,23406.0,Recliner Slipcovers
29,2019-12-20,21639.0,Recliner Slipcovers
30,2019-12-21,21209.0,Recliner Slipcovers
31,2019-12-22,21209.0,Recliner Slipcovers
32,2019-12-23,21209.0,Recliner Slipcovers
33,2019-12-24,21209.0,Recliner Slipcovers
34,2019-12-25,21209.0,Recliner Slipcovers
35,2019-12-26,11523.0,Recliner Slipcovers
36,2019-12-27,11523.0,Recliner Slipcovers
37,2019-12-28,11523.0,Recliner Slipcovers
38,2019-12-29,8308.0,Recliner Slipcovers
39,2019-12-30,7498.0,Recliner Slipcovers
40,2019-12-31,7498.0,Recliner Slipcovers
41,2020-01-01,7498.0,Recliner Slipcovers
42,2020-01-02,7498.0,Recliner Slipcovers
43,2020-01-03,6211.0,Recliner Slipcovers
