,date,value,name_B07MG9KKW7
109,2019-06-08,597682.0,Sheet & Pillowcase Sets
110,2019-06-09,737115.0,Sheet & Pillowcase Sets
111,2019-06-10,737115.0,Sheet & Pillowcase Sets
112,2019-06-11,385640.0,Sheet & Pillowcase Sets
113,2019-06-12,204367.0,Sheet & Pillowcase Sets
114,2019-06-13,426970.0,Sheet & Pillowcase Sets
115,2019-06-14,508635.0,Sheet & Pillowcase Sets
116,2019-06-15,606654.0,Sheet & Pillowcase Sets
117,2019-06-16,87083.0,Sheet & Pillowcase Sets
118,2019-06-17,170451.0,Sheet & Pillowcase Sets
119,2019-06-18,194723.0,Sheet & Pillowcase Sets
120,2019-06-19,175253.0,Sheet & Pillowcase Sets
121,2019-06-20,236319.0,Sheet & Pillowcase Sets
122,2019-06-21,365795.0,Sheet & Pillowcase Sets
123,2019-06-22,185967.0,Sheet & Pillowcase Sets
124,2019-06-23,108714.0,Sheet & Pillowcase Sets
125,2019-06-24,175169.0,Sheet & Pillowcase Sets
126,2019-06-25,197893.0,Sheet & Pillowcase Sets
127,2019-06-26,213855.0,Sheet & Pillowcase Sets
128,2019-06-27,100154.0,Sheet & Pillowcase Sets
129,2019-06-28,80441.0,Sheet & Pillowcase Sets
130,2019-06-29,91767.0,Sheet & Pillowcase Sets
131,2019-06-30,84204.0,Sheet & Pillowcase Sets
132,2019-07-01,61631.0,Sheet & Pillowcase Sets
133,2019-07-02,88683.0,Sheet & Pillowcase Sets
134,2019-07-03,97885.0,Sheet & Pillowcase Sets
135,2019-07-04,97885.0,Sheet & Pillowcase Sets
136,2019-07-05,183204.0,Sheet & Pillowcase Sets
137,2019-07-06,131978.0,Sheet & Pillowcase Sets
138,2019-07-07,89821.0,Sheet & Pillowcase Sets
139,2019-07-08,37604.0,Sheet & Pillowcase Sets
140,2019-07-09,50682.0,Sheet & Pillowcase Sets
141,2019-07-10,106495.0,Sheet & Pillowcase Sets
142,2019-07-11,94483.0,Sheet & Pillowcase Sets
143,2019-07-12,80733.0,Sheet & Pillowcase Sets
144,2019-07-13,110613.0,Sheet & Pillowcase Sets
145,2019-07-14,49538.0,Sheet & Pillowcase Sets
146,2019-07-15,44110.0,Sheet & Pillowcase Sets
147,2019-07-16,40990.0,Sheet & Pillowcase Sets
148,2019-07-17,53424.0,Sheet & Pillowcase Sets
149,2019-07-18,35228.0,Sheet & Pillowcase Sets
150,2019-07-19,57459.0,Sheet & Pillowcase Sets
151,2019-07-20,52814.0,Sheet & Pillowcase Sets
152,2019-07-21,64767.0,Sheet & Pillowcase Sets
153,2019-07-22,54652.0,Sheet & Pillowcase Sets
154,2019-07-23,50501.0,Sheet & Pillowcase Sets
155,2019-07-24,41890.0,Sheet & Pillowcase Sets
156,2019-07-25,56091.0,Sheet & Pillowcase Sets
157,2019-07-26,67636.0,Sheet & Pillowcase Sets
158,2019-07-27,75326.0,Sheet & Pillowcase Sets
159,2019-07-28,66630.0,Sheet & Pillowcase Sets
160,2019-07-29,62145.0,Sheet & Pillowcase Sets
161,2019-07-30,50719.0,Sheet & Pillowcase Sets
162,2019-07-31,70196.0,Sheet & Pillowcase Sets
163,2019-08-01,58566.0,Sheet & Pillowcase Sets
164,2019-08-02,114076.0,Sheet & Pillowcase Sets
165,2019-08-03,101534.0,Sheet & Pillowcase Sets
166,2019-08-04,83467.0,Sheet & Pillowcase Sets
167,2019-08-05,50478.0,Sheet & Pillowcase Sets
168,2019-08-06,1481455.0,Sheet & Pillowcase Sets
169,2019-08-07,1481455.0,Sheet & Pillowcase Sets
170,2019-08-08,1481455.0,Sheet & Pillowcase Sets
171,2019-08-09,-1.0,Sheet & Pillowcase Sets
172,2019-08-10,-1.0,Sheet & Pillowcase Sets
173,2019-08-11,-1.0,Sheet & Pillowcase Sets
174,2019-08-12,-1.0,Sheet & Pillowcase Sets
175,2019-08-13,-1.0,Sheet & Pillowcase Sets
176,2019-08-14,-1.0,Sheet & Pillowcase Sets
177,2019-08-15,-1.0,Sheet & Pillowcase Sets
178,2019-08-16,-1.0,Sheet & Pillowcase Sets
179,2019-08-17,-1.0,Sheet & Pillowcase Sets
180,2019-08-18,-1.0,Sheet & Pillowcase Sets
181,2019-08-19,-1.0,Sheet & Pillowcase Sets
182,2019-08-20,-1.0,Sheet & Pillowcase Sets
183,2019-08-21,-1.0,Sheet & Pillowcase Sets
184,2019-08-22,-1.0,Sheet & Pillowcase Sets
185,2019-08-23,-1.0,Sheet & Pillowcase Sets
186,2019-08-24,-1.0,Sheet & Pillowcase Sets
187,2019-08-25,-1.0,Sheet & Pillowcase Sets
188,2019-08-26,-1.0,Sheet & Pillowcase Sets
189,2019-08-27,-1.0,Sheet & Pillowcase Sets
190,2019-08-28,-1.0,Sheet & Pillowcase Sets
191,2019-08-29,-1.0,Sheet & Pillowcase Sets
192,2019-08-30,-1.0,Sheet & Pillowcase Sets
193,2019-08-31,-1.0,Sheet & Pillowcase Sets
194,2019-09-01,-1.0,Sheet & Pillowcase Sets
195,2019-09-02,-1.0,Sheet & Pillowcase Sets
196,2019-09-03,-1.0,Sheet & Pillowcase Sets
197,2019-09-04,-1.0,Sheet & Pillowcase Sets
198,2019-09-05,-1.0,Sheet & Pillowcase Sets
199,2019-09-06,-1.0,Sheet & Pillowcase Sets
200,2019-09-07,-1.0,Sheet & Pillowcase Sets
201,2019-09-08,664558.0,Sheet & Pillowcase Sets
202,2019-09-09,292032.0,Sheet & Pillowcase Sets
203,2019-09-10,292032.0,Sheet & Pillowcase Sets
204,2019-09-11,292032.0,Sheet & Pillowcase Sets
205,2019-09-12,292032.0,Sheet & Pillowcase Sets
206,2019-09-13,292032.0,Sheet & Pillowcase Sets
207,2019-09-14,292032.0,Sheet & Pillowcase Sets
208,2019-09-15,292032.0,Sheet & Pillowcase Sets
209,2019-09-16,292032.0,Sheet & Pillowcase Sets
210,2019-09-17,292032.0,Sheet & Pillowcase Sets
211,2019-09-18,292032.0,Sheet & Pillowcase Sets
212,2019-09-19,292032.0,Sheet & Pillowcase Sets
213,2019-09-20,292032.0,Sheet & Pillowcase Sets
214,2019-09-21,292032.0,Sheet & Pillowcase Sets
215,2019-09-22,292032.0,Sheet & Pillowcase Sets
216,2019-09-23,292032.0,Sheet & Pillowcase Sets
217,2019-09-24,292032.0,Sheet & Pillowcase Sets
218,2019-09-25,292032.0,Sheet & Pillowcase Sets
219,2019-09-26,292032.0,Sheet & Pillowcase Sets
220,2019-09-27,202888.0,Sheet & Pillowcase Sets
221,2019-09-28,345474.0,Sheet & Pillowcase Sets
222,2019-09-29,435217.0,Sheet & Pillowcase Sets
223,2019-09-30,248062.0,Sheet & Pillowcase Sets
