,date,value,name_B01MZF20L5
0,2020-05-26,2851.0,Arts & Crafts Tape
1,2020-05-27,2851.0,Arts & Crafts Tape
2,2020-05-28,2022.0,Arts & Crafts Tape
3,2020-05-29,2022.0,Arts & Crafts Tape
4,2020-05-30,2022.0,Arts & Crafts Tape
5,2020-05-31,2022.0,Arts & Crafts Tape
6,2020-06-01,2051.0,Arts & Crafts Tape
7,2020-06-02,2051.0,Arts & Crafts Tape
8,2020-06-03,2261.0,Arts & Crafts Tape
9,2020-06-04,2261.0,Arts & Crafts Tape
10,2020-06-05,2261.0,Arts & Crafts Tape
11,2020-06-06,2261.0,Arts & Crafts Tape
12,2020-06-07,2330.0,Arts & Crafts Tape
13,2020-06-08,2330.0,Arts & Crafts Tape
14,2020-06-09,2330.0,Arts & Crafts Tape
15,2020-06-10,1960.0,Arts & Crafts Tape
16,2020-06-11,1587.0,Arts & Crafts Tape
17,2020-06-12,1587.0,Arts & Crafts Tape
18,2020-06-13,1587.0,Arts & Crafts Tape
19,2020-06-14,1587.0,Arts & Crafts Tape
20,2020-06-15,1977.0,Arts & Crafts Tape
21,2020-06-16,2603.0,Arts & Crafts Tape
22,2020-06-17,2200.0,Arts & Crafts Tape
23,2020-06-18,2200.0,Arts & Crafts Tape
24,2020-06-19,2200.0,Arts & Crafts Tape
25,2020-06-20,2200.0,Arts & Crafts Tape
26,2020-06-21,1794.0,Arts & Crafts Tape
27,2020-06-22,1794.0,Arts & Crafts Tape
28,2020-06-23,2165.0,Arts & Crafts Tape
29,2020-06-24,2165.0,Arts & Crafts Tape
30,2020-06-25,2165.0,Arts & Crafts Tape
31,2020-06-26,2165.0,Arts & Crafts Tape
32,2020-06-27,1990.0,Arts & Crafts Tape
33,2020-06-28,1990.0,Arts & Crafts Tape
34,2020-06-29,2077.0,Arts & Crafts Tape
35,2020-06-30,2203.0,Arts & Crafts Tape
36,2020-07-01,2557.0,Arts & Crafts Tape
37,2020-07-02,2060.0,Arts & Crafts Tape
38,2020-07-03,1946.0,Arts & Crafts Tape
39,2020-07-04,1946.0,Arts & Crafts Tape
40,2020-07-05,1946.0,Arts & Crafts Tape
41,2020-07-06,2211.0,Arts & Crafts Tape
42,2020-07-07,2211.0,Arts & Crafts Tape
43,2020-07-08,2385.0,Arts & Crafts Tape
44,2020-07-09,2385.0,Arts & Crafts Tape
45,2020-07-10,1683.0,Arts & Crafts Tape
46,2020-07-11,1683.0,Arts & Crafts Tape
47,2020-07-12,1683.0,Arts & Crafts Tape
48,2020-07-13,1945.0,Arts & Crafts Tape
