,date,value,name_B07TRP7FJ3
0,2020-05-24,5680.0,Multi-Enzymes
1,2020-05-25,5680.0,Multi-Enzymes
2,2020-05-26,5745.0,Multi-Enzymes
3,2020-05-27,5745.0,Multi-Enzymes
4,2020-05-28,4951.0,Multi-Enzymes
5,2020-05-29,7008.0,Multi-Enzymes
6,2020-05-30,6143.0,Multi-Enzymes
7,2020-05-31,5599.0,Multi-Enzymes
8,2020-06-01,5599.0,Multi-Enzymes
9,2020-06-02,5599.0,Multi-Enzymes
10,2020-06-03,7047.0,Multi-Enzymes
11,2020-06-04,7047.0,Multi-Enzymes
12,2020-06-05,7047.0,Multi-Enzymes
13,2020-06-06,5746.0,Multi-Enzymes
14,2020-06-07,5746.0,Multi-Enzymes
15,2020-06-08,4681.0,Multi-Enzymes
16,2020-06-09,4681.0,Multi-Enzymes
17,2020-06-10,4985.0,Multi-Enzymes
18,2020-06-11,4668.0,Multi-Enzymes
19,2020-06-12,4668.0,Multi-Enzymes
20,2020-06-13,4417.0,Multi-Enzymes
21,2020-06-14,4417.0,Multi-Enzymes
22,2020-06-15,4417.0,Multi-Enzymes
23,2020-06-16,3800.0,Multi-Enzymes
24,2020-06-17,3800.0,Multi-Enzymes
25,2020-06-18,4408.0,Multi-Enzymes
26,2020-06-19,4151.0,Multi-Enzymes
27,2020-06-20,4839.0,Multi-Enzymes
28,2020-06-21,4839.0,Multi-Enzymes
29,2020-06-22,3830.0,Multi-Enzymes
30,2020-06-23,3830.0,Multi-Enzymes
31,2020-06-24,3622.0,Multi-Enzymes
32,2020-06-25,5255.0,Multi-Enzymes
33,2020-06-26,5255.0,Multi-Enzymes
34,2020-06-27,5255.0,Multi-Enzymes
35,2020-06-28,5255.0,Multi-Enzymes
36,2020-06-29,6917.0,Multi-Enzymes
37,2020-06-30,6917.0,Multi-Enzymes
38,2020-07-01,7468.0,Multi-Enzymes
39,2020-07-02,7468.0,Multi-Enzymes
40,2020-07-03,8331.0,Multi-Enzymes
41,2020-07-04,7125.0,Multi-Enzymes
42,2020-07-05,6307.0,Multi-Enzymes
43,2020-07-06,6323.0,Multi-Enzymes
44,2020-07-07,6323.0,Multi-Enzymes
45,2020-07-08,6323.0,Multi-Enzymes
46,2020-07-09,7458.0,Multi-Enzymes
47,2020-07-10,7458.0,Multi-Enzymes
48,2020-07-11,7383.0,Multi-Enzymes
49,2020-07-12,6676.0,Multi-Enzymes
50,2020-07-13,6676.0,Multi-Enzymes
51,2020-07-14,7733.0,Multi-Enzymes
52,2020-07-15,7733.0,Multi-Enzymes
53,2020-07-16,6385.0,Multi-Enzymes
54,2020-07-17,6385.0,Multi-Enzymes
55,2020-07-18,6385.0,Multi-Enzymes
56,2020-07-19,6385.0,Multi-Enzymes
57,2020-07-20,6937.0,Multi-Enzymes
58,2020-07-21,6644.0,Multi-Enzymes
