,date,value,name_B08Y626RB1
0,2021-03-14,1963.0,Floor Cleaners
1,2021-03-15,1963.0,Floor Cleaners
2,2021-03-16,1758.0,Floor Cleaners
3,2021-03-17,1891.0,Floor Cleaners
4,2021-03-18,1891.0,Floor Cleaners
5,2021-03-19,1891.0,Floor Cleaners
6,2021-03-20,1952.0,Floor Cleaners
7,2021-03-21,1896.0,Floor Cleaners
8,2021-03-22,1896.0,Floor Cleaners
9,2021-03-23,1847.0,Floor Cleaners
10,2021-03-24,1868.0,Floor Cleaners
11,2021-03-25,1868.0,Floor Cleaners
12,2021-03-26,1923.0,Floor Cleaners
13,2021-03-27,1923.0,Floor Cleaners
14,2021-03-28,1923.0,Floor Cleaners
15,2021-03-29,1593.0,Floor Cleaners
16,2021-03-30,1738.0,Floor Cleaners
17,2021-03-31,1859.0,Floor Cleaners
18,2021-04-01,1859.0,Floor Cleaners
19,2021-04-02,1816.0,Floor Cleaners
20,2021-04-03,1841.0,Floor Cleaners
21,2021-04-04,1841.0,Floor Cleaners
22,2021-04-05,2117.0,Floor Cleaners
23,2021-04-06,2117.0,Floor Cleaners
24,2021-04-07,2117.0,Floor Cleaners
25,2021-04-08,1818.0,Floor Cleaners
26,2021-04-09,1818.0,Floor Cleaners
27,2021-04-10,1758.0,Floor Cleaners
28,2021-04-11,1758.0,Floor Cleaners
29,2021-04-12,1762.0,Floor Cleaners
30,2021-04-13,1744.0,Floor Cleaners
31,2021-04-14,1744.0,Floor Cleaners
32,2021-04-15,1744.0,Floor Cleaners
33,2021-04-16,1749.0,Floor Cleaners
34,2021-04-17,1749.0,Floor Cleaners
35,2021-04-18,1833.0,Floor Cleaners
36,2021-04-19,1833.0,Floor Cleaners
37,2021-04-20,2180.0,Floor Cleaners
38,2021-04-21,1909.0,Floor Cleaners
39,2021-04-22,2210.0,Floor Cleaners
40,2021-04-23,2001.0,Floor Cleaners
41,2021-04-24,2001.0,Floor Cleaners
42,2021-04-25,2001.0,Floor Cleaners
43,2021-04-26,1995.0,Floor Cleaners
44,2021-04-27,2163.0,Floor Cleaners
45,2021-04-28,1928.0,Floor Cleaners
46,2021-04-29,1928.0,Floor Cleaners
47,2021-04-30,1928.0,Floor Cleaners
48,2021-05-01,1967.0,Floor Cleaners
49,2021-05-02,1967.0,Floor Cleaners
50,2021-05-03,2061.0,Floor Cleaners
51,2021-05-04,2061.0,Floor Cleaners
52,2021-05-05,2145.0,Floor Cleaners
53,2021-05-06,2145.0,Floor Cleaners
54,2021-05-07,2012.0,Floor Cleaners
55,2021-05-08,2012.0,Floor Cleaners
56,2021-05-09,2012.0,Floor Cleaners
57,2021-05-10,2181.0,Floor Cleaners
58,2021-05-11,2181.0,Floor Cleaners
59,2021-05-12,1787.0,Floor Cleaners
60,2021-05-13,1787.0,Floor Cleaners
61,2021-05-14,1930.0,Floor Cleaners
62,2021-05-15,1930.0,Floor Cleaners
63,2021-05-16,1671.0,Floor Cleaners
64,2021-05-17,2033.0,Floor Cleaners
65,2021-05-18,1781.0,Floor Cleaners
66,2021-05-19,1781.0,Floor Cleaners
67,2021-05-20,1807.0,Floor Cleaners
68,2021-05-21,1618.0,Floor Cleaners
69,2021-05-22,1618.0,Floor Cleaners
70,2021-05-23,1438.0,Floor Cleaners
71,2021-05-24,1377.0,Floor Cleaners
72,2021-05-25,1443.0,Floor Cleaners
73,2021-05-26,1443.0,Floor Cleaners
74,2021-05-27,1691.0,Floor Cleaners
75,2021-05-28,1691.0,Floor Cleaners
76,2021-05-29,1936.0,Floor Cleaners
77,2021-05-30,1936.0,Floor Cleaners
78,2021-05-31,1968.0,Floor Cleaners
79,2021-06-01,2012.0,Floor Cleaners
80,2021-06-02,2121.0,Floor Cleaners
81,2021-06-03,2121.0,Floor Cleaners
82,2021-06-04,2235.0,Floor Cleaners
83,2021-06-05,2235.0,Floor Cleaners
84,2021-06-06,1782.0,Floor Cleaners
85,2021-06-07,1782.0,Floor Cleaners
86,2021-06-08,1782.0,Floor Cleaners
87,2021-06-09,1926.0,Floor Cleaners
88,2021-06-10,1926.0,Floor Cleaners
89,2021-06-11,1878.0,Floor Cleaners
90,2021-06-12,1878.0,Floor Cleaners
91,2021-06-13,1811.0,Floor Cleaners
92,2021-06-14,1811.0,Floor Cleaners
93,2021-06-15,1811.0,Floor Cleaners
94,2021-06-16,1793.0,Floor Cleaners
95,2021-06-17,2015.0,Floor Cleaners
96,2021-06-18,2021.0,Floor Cleaners
97,2021-06-19,2021.0,Floor Cleaners
98,2021-06-20,2094.0,Floor Cleaners
99,2021-06-21,1990.0,Floor Cleaners
100,2021-06-22,2191.0,Floor Cleaners
101,2021-06-23,2191.0,Floor Cleaners
102,2021-06-24,1973.0,Floor Cleaners
103,2021-06-25,1973.0,Floor Cleaners
104,2021-06-26,1973.0,Floor Cleaners
105,2021-06-27,1791.0,Floor Cleaners
106,2021-06-28,1793.0,Floor Cleaners
107,2021-06-29,1811.0,Floor Cleaners
108,2021-06-30,1811.0,Floor Cleaners
109,2021-07-01,1811.0,Floor Cleaners
110,2021-07-02,1674.0,Floor Cleaners
111,2021-07-03,1674.0,Floor Cleaners
112,2021-07-04,2004.0,Floor Cleaners
113,2021-07-05,2004.0,Floor Cleaners
114,2021-07-06,2004.0,Floor Cleaners
115,2021-07-07,2011.0,Floor Cleaners
116,2021-07-08,2011.0,Floor Cleaners
117,2021-07-09,1914.0,Floor Cleaners
118,2021-07-10,1991.0,Floor Cleaners
