,date,value,name_B07Z4N383M
0,2019-10-19,69973.0,Bed Risers
1,2019-10-20,72150.0,Bed Risers
2,2019-10-21,90448.0,Bed Risers
3,2019-10-22,83412.0,Bed Risers
4,2019-10-23,58399.0,Bed Risers
5,2019-10-24,78209.0,Bed Risers
6,2019-10-25,42970.0,Bed Risers
7,2019-10-26,62075.0,Bed Risers
8,2019-10-27,77914.0,Bed Risers
9,2019-10-28,91264.0,Bed Risers
10,2019-10-29,79013.0,Bed Risers
11,2019-10-30,45381.0,Bed Risers
12,2019-10-31,44825.0,Bed Risers
13,2019-11-01,34165.0,Bed Risers
14,2019-11-02,37204.0,Bed Risers
15,2019-11-03,46129.0,Bed Risers
16,2019-11-04,33869.0,Bed Risers
17,2019-11-05,41426.0,Bed Risers
18,2019-11-06,47680.0,Bed Risers
19,2019-11-07,48535.0,Bed Risers
20,2019-11-08,48535.0,Bed Risers
21,2019-11-09,42074.0,Bed Risers
22,2019-11-10,47576.0,Bed Risers
23,2019-11-11,42778.0,Bed Risers
24,2019-11-12,44607.0,Bed Risers
25,2019-11-13,50857.0,Bed Risers
26,2019-11-14,50857.0,Bed Risers
27,2019-11-15,50857.0,Bed Risers
28,2019-11-16,37832.0,Bed Risers
29,2019-11-17,37832.0,Bed Risers
30,2019-11-18,37832.0,Bed Risers
31,2019-11-19,30582.0,Bed Risers
32,2019-11-20,23428.0,Bed Risers
33,2019-11-21,23428.0,Bed Risers
34,2019-11-22,40242.0,Bed Risers
35,2019-11-23,40242.0,Bed Risers
36,2019-11-24,39519.0,Bed Risers
37,2019-11-25,37490.0,Bed Risers
38,2019-11-26,45406.0,Bed Risers
39,2019-11-27,45406.0,Bed Risers
40,2019-11-28,28921.0,Bed Risers
41,2019-11-29,49463.0,Bed Risers
42,2019-11-30,49463.0,Bed Risers
43,2019-12-01,49463.0,Bed Risers
44,2019-12-02,49463.0,Bed Risers
45,2019-12-03,49463.0,Bed Risers
46,2019-12-04,59432.0,Bed Risers
47,2019-12-05,59432.0,Bed Risers
48,2019-12-06,59432.0,Bed Risers
49,2019-12-07,59432.0,Bed Risers
50,2019-12-08,59432.0,Bed Risers
51,2019-12-09,62813.0,Bed Risers
52,2019-12-10,62813.0,Bed Risers
53,2019-12-11,62813.0,Bed Risers
54,2019-12-12,62813.0,Bed Risers
55,2019-12-13,62813.0,Bed Risers
56,2019-12-14,62813.0,Bed Risers
57,2019-12-15,152672.0,Bed Risers
58,2019-12-16,152672.0,Bed Risers
59,2019-12-17,152672.0,Bed Risers
60,2019-12-18,152672.0,Bed Risers
61,2019-12-19,115890.0,Bed Risers
62,2019-12-20,115890.0,Bed Risers
63,2019-12-21,115890.0,Bed Risers
64,2019-12-22,115890.0,Bed Risers
65,2019-12-23,115890.0,Bed Risers
66,2019-12-24,115890.0,Bed Risers
67,2019-12-25,57965.0,Bed Risers
68,2019-12-26,57965.0,Bed Risers
69,2019-12-27,57965.0,Bed Risers
70,2019-12-28,57965.0,Bed Risers
71,2019-12-29,57965.0,Bed Risers
72,2019-12-30,57965.0,Bed Risers
73,2019-12-31,44867.0,Bed Risers
74,2020-01-01,44867.0,Bed Risers
75,2020-01-02,44867.0,Bed Risers
76,2020-01-03,44867.0,Bed Risers
77,2020-01-04,44867.0,Bed Risers
78,2020-01-05,44867.0,Bed Risers
79,2020-01-06,38242.0,Bed Risers
80,2020-01-07,38242.0,Bed Risers
81,2020-01-08,38242.0,Bed Risers
82,2020-01-09,38242.0,Bed Risers
83,2020-01-10,38242.0,Bed Risers
84,2020-01-11,38242.0,Bed Risers
85,2020-01-12,38242.0,Bed Risers
86,2020-01-13,30656.0,Bed Risers
87,2020-01-14,28713.0,Bed Risers
88,2020-01-15,28713.0,Bed Risers
89,2020-01-16,28713.0,Bed Risers
90,2020-01-17,28713.0,Bed Risers
91,2020-01-18,37887.0,Bed Risers
92,2020-01-19,37887.0,Bed Risers
93,2020-01-20,37887.0,Bed Risers
94,2020-01-21,33035.0,Bed Risers
95,2020-01-22,33035.0,Bed Risers
96,2020-01-23,33035.0,Bed Risers
97,2020-01-24,24852.0,Bed Risers
98,2020-01-25,24852.0,Bed Risers
99,2020-01-26,24852.0,Bed Risers
100,2020-01-27,28586.0,Bed Risers
101,2020-01-28,28586.0,Bed Risers
102,2020-01-29,28586.0,Bed Risers
103,2020-01-30,34065.0,Bed Risers
104,2020-01-31,34065.0,Bed Risers
105,2020-02-01,34065.0,Bed Risers
106,2020-02-02,34065.0,Bed Risers
107,2020-02-03,23815.0,Bed Risers
108,2020-02-04,23815.0,Bed Risers
109,2020-02-05,23815.0,Bed Risers
110,2020-02-06,23815.0,Bed Risers
111,2020-02-07,23815.0,Bed Risers
112,2020-02-08,23815.0,Bed Risers
113,2020-02-09,23815.0,Bed Risers
114,2020-02-10,50614.0,Bed Risers
115,2020-02-11,50614.0,Bed Risers
116,2020-02-12,50614.0,Bed Risers
117,2020-02-13,50614.0,Bed Risers
118,2020-02-14,50614.0,Bed Risers
119,2020-02-15,50614.0,Bed Risers
120,2020-02-16,50614.0,Bed Risers
121,2020-02-17,32582.0,Bed Risers
122,2020-02-18,32582.0,Bed Risers
123,2020-02-19,32582.0,Bed Risers
124,2020-02-20,32582.0,Bed Risers
125,2020-02-21,49242.0,Bed Risers
126,2020-02-22,49242.0,Bed Risers
127,2020-02-23,49242.0,Bed Risers
128,2020-02-24,49242.0,Bed Risers
129,2020-02-25,49242.0,Bed Risers
130,2020-02-26,49242.0,Bed Risers
131,2020-02-27,53164.0,Bed Risers
132,2020-02-28,53164.0,Bed Risers
133,2020-02-29,53164.0,Bed Risers
134,2020-03-01,53164.0,Bed Risers
135,2020-03-02,53235.0,Bed Risers
136,2020-03-03,53235.0,Bed Risers
