,date,value,name_B075K3Q1T1
0,2020-05-25,10715.0,Mice & Animal Toys
1,2020-05-26,10715.0,Mice & Animal Toys
2,2020-05-27,10715.0,Mice & Animal Toys
3,2020-05-28,10715.0,Mice & Animal Toys
4,2020-05-29,10715.0,Mice & Animal Toys
5,2020-05-30,10715.0,Mice & Animal Toys
6,2020-05-31,10715.0,Mice & Animal Toys
7,2020-06-01,33505.0,Mice & Animal Toys
8,2020-06-02,33505.0,Mice & Animal Toys
9,2020-06-03,33505.0,Mice & Animal Toys
10,2020-06-04,33505.0,Mice & Animal Toys
11,2020-06-05,33505.0,Mice & Animal Toys
12,2020-06-06,30287.0,Mice & Animal Toys
13,2020-06-07,30287.0,Mice & Animal Toys
14,2020-06-08,30287.0,Mice & Animal Toys
15,2020-06-09,44637.0,Mice & Animal Toys
16,2020-06-10,44637.0,Mice & Animal Toys
17,2020-06-11,44637.0,Mice & Animal Toys
18,2020-06-12,36035.0,Mice & Animal Toys
19,2020-06-13,36035.0,Mice & Animal Toys
20,2020-06-14,36035.0,Mice & Animal Toys
21,2020-06-15,36035.0,Mice & Animal Toys
22,2020-06-16,36035.0,Mice & Animal Toys
23,2020-06-17,31393.0,Mice & Animal Toys
24,2020-06-18,31393.0,Mice & Animal Toys
25,2020-06-19,31393.0,Mice & Animal Toys
26,2020-06-20,17961.0,Mice & Animal Toys
27,2020-06-21,17961.0,Mice & Animal Toys
28,2020-06-22,17961.0,Mice & Animal Toys
29,2020-06-23,24459.0,Mice & Animal Toys
30,2020-06-24,24459.0,Mice & Animal Toys
31,2020-06-25,24459.0,Mice & Animal Toys
32,2020-06-26,24459.0,Mice & Animal Toys
33,2020-06-27,23356.0,Mice & Animal Toys
34,2020-06-28,23356.0,Mice & Animal Toys
35,2020-06-29,23356.0,Mice & Animal Toys
36,2020-06-30,23356.0,Mice & Animal Toys
37,2020-07-01,23356.0,Mice & Animal Toys
38,2020-07-02,23356.0,Mice & Animal Toys
39,2020-07-03,23356.0,Mice & Animal Toys
40,2020-07-04,23356.0,Mice & Animal Toys
41,2020-07-05,23356.0,Mice & Animal Toys
42,2020-07-06,19644.0,Mice & Animal Toys
43,2020-07-07,19644.0,Mice & Animal Toys
44,2020-07-08,19644.0,Mice & Animal Toys
45,2020-07-09,19644.0,Mice & Animal Toys
46,2020-07-10,19644.0,Mice & Animal Toys
47,2020-07-11,19644.0,Mice & Animal Toys
48,2020-07-12,19644.0,Mice & Animal Toys
49,2020-07-13,12056.0,Mice & Animal Toys
50,2020-07-14,21523.0,Mice & Animal Toys
51,2020-07-15,21523.0,Mice & Animal Toys
52,2020-07-16,21523.0,Mice & Animal Toys
53,2020-07-17,21523.0,Mice & Animal Toys
54,2020-07-18,21523.0,Mice & Animal Toys
55,2020-07-19,8924.0,Mice & Animal Toys
56,2020-07-20,8924.0,Mice & Animal Toys
57,2020-07-21,8924.0,Mice & Animal Toys
58,2020-07-22,8924.0,Mice & Animal Toys
59,2020-07-23,8924.0,Mice & Animal Toys
60,2020-07-24,8924.0,Mice & Animal Toys
61,2020-07-25,8924.0,Mice & Animal Toys
62,2020-07-26,6310.0,Mice & Animal Toys
63,2020-07-27,6621.0,Mice & Animal Toys
64,2020-07-28,6621.0,Mice & Animal Toys
65,2020-07-29,6621.0,Mice & Animal Toys
66,2020-07-30,6621.0,Mice & Animal Toys
67,2020-07-31,6840.0,Mice & Animal Toys
68,2020-08-01,6840.0,Mice & Animal Toys
69,2020-08-02,6840.0,Mice & Animal Toys
70,2020-08-03,6859.0,Mice & Animal Toys
71,2020-08-04,6859.0,Mice & Animal Toys
72,2020-08-05,6859.0,Mice & Animal Toys
73,2020-08-06,6490.0,Mice & Animal Toys
74,2020-08-07,6490.0,Mice & Animal Toys
75,2020-08-08,6490.0,Mice & Animal Toys
76,2020-08-09,6490.0,Mice & Animal Toys
77,2020-08-10,6490.0,Mice & Animal Toys
78,2020-08-11,7520.0,Mice & Animal Toys
79,2020-08-12,6948.0,Mice & Animal Toys
80,2020-08-13,6948.0,Mice & Animal Toys
81,2020-08-14,5807.0,Mice & Animal Toys
82,2020-08-15,5807.0,Mice & Animal Toys
83,2020-08-16,5807.0,Mice & Animal Toys
84,2020-08-17,7887.0,Mice & Animal Toys
85,2020-08-18,7887.0,Mice & Animal Toys
86,2020-08-19,7887.0,Mice & Animal Toys
87,2020-08-20,7887.0,Mice & Animal Toys
88,2020-08-21,6564.0,Mice & Animal Toys
89,2020-08-22,6564.0,Mice & Animal Toys
90,2020-08-23,9553.0,Mice & Animal Toys
91,2020-08-24,9553.0,Mice & Animal Toys
92,2020-08-25,9553.0,Mice & Animal Toys
93,2020-08-26,7233.0,Mice & Animal Toys
94,2020-08-27,7233.0,Mice & Animal Toys
95,2020-08-28,7233.0,Mice & Animal Toys
96,2020-08-29,7233.0,Mice & Animal Toys
97,2020-08-30,7233.0,Mice & Animal Toys
98,2020-08-31,7233.0,Mice & Animal Toys
99,2020-09-01,7258.0,Mice & Animal Toys
100,2020-09-02,7258.0,Mice & Animal Toys
101,2020-09-03,7258.0,Mice & Animal Toys
102,2020-09-04,7258.0,Mice & Animal Toys
103,2020-09-05,6943.0,Mice & Animal Toys
104,2020-09-06,6943.0,Mice & Animal Toys
105,2020-09-07,8828.0,Mice & Animal Toys
106,2020-09-08,8828.0,Mice & Animal Toys
107,2020-09-09,12933.0,Mice & Animal Toys
108,2020-09-10,12933.0,Mice & Animal Toys
109,2020-09-11,12933.0,Mice & Animal Toys
110,2020-09-12,13723.0,Mice & Animal Toys
111,2020-09-13,13723.0,Mice & Animal Toys
112,2020-09-14,13723.0,Mice & Animal Toys
113,2020-09-15,9204.0,Mice & Animal Toys
114,2020-09-16,9204.0,Mice & Animal Toys
115,2020-09-17,23803.0,Mice & Animal Toys
116,2020-09-18,23803.0,Mice & Animal Toys
117,2020-09-19,23803.0,Mice & Animal Toys
118,2020-09-20,23803.0,Mice & Animal Toys
119,2020-09-21,23803.0,Mice & Animal Toys
120,2020-09-22,23803.0,Mice & Animal Toys
121,2020-09-23,23803.0,Mice & Animal Toys
122,2020-09-24,24603.0,Mice & Animal Toys
123,2020-09-25,24603.0,Mice & Animal Toys
124,2020-09-26,24603.0,Mice & Animal Toys
125,2020-09-27,24603.0,Mice & Animal Toys
126,2020-09-28,10255.0,Mice & Animal Toys
127,2020-09-29,10255.0,Mice & Animal Toys
128,2020-09-30,10255.0,Mice & Animal Toys
129,2020-10-01,9583.0,Mice & Animal Toys
130,2020-10-02,9583.0,Mice & Animal Toys
131,2020-10-03,9583.0,Mice & Animal Toys
132,2020-10-04,9706.0,Mice & Animal Toys
133,2020-10-05,9706.0,Mice & Animal Toys
134,2020-10-06,11238.0,Mice & Animal Toys
135,2020-10-07,11238.0,Mice & Animal Toys
136,2020-10-08,11238.0,Mice & Animal Toys
137,2020-10-09,11238.0,Mice & Animal Toys
138,2020-10-10,11238.0,Mice & Animal Toys
139,2020-10-11,11238.0,Mice & Animal Toys
140,2020-10-12,11238.0,Mice & Animal Toys
141,2020-10-13,6811.0,Mice & Animal Toys
142,2020-10-14,7256.0,Mice & Animal Toys
143,2020-10-15,7256.0,Mice & Animal Toys
144,2020-10-16,7256.0,Mice & Animal Toys
145,2020-10-17,7256.0,Mice & Animal Toys
146,2020-10-18,7256.0,Mice & Animal Toys
147,2020-10-19,7256.0,Mice & Animal Toys
148,2020-10-20,7256.0,Mice & Animal Toys
149,2020-10-21,6745.0,Mice & Animal Toys
150,2020-10-22,6745.0,Mice & Animal Toys
151,2020-10-23,6745.0,Mice & Animal Toys
152,2020-10-24,6897.0,Mice & Animal Toys
153,2020-10-25,6897.0,Mice & Animal Toys
154,2020-10-26,6897.0,Mice & Animal Toys
155,2020-10-27,5710.0,Mice & Animal Toys
156,2020-10-28,6709.0,Mice & Animal Toys
157,2020-10-29,6709.0,Mice & Animal Toys
158,2020-10-30,5895.0,Mice & Animal Toys
159,2020-10-31,5895.0,Mice & Animal Toys
160,2020-11-01,5895.0,Mice & Animal Toys
161,2020-11-02,7756.0,Mice & Animal Toys
162,2020-11-03,8649.0,Mice & Animal Toys
163,2020-11-04,8649.0,Mice & Animal Toys
164,2020-11-05,8889.0,Mice & Animal Toys
165,2020-11-06,8889.0,Mice & Animal Toys
166,2020-11-07,8889.0,Mice & Animal Toys
167,2020-11-08,8889.0,Mice & Animal Toys
168,2020-11-09,7642.0,Mice & Animal Toys
169,2020-11-10,7246.0,Mice & Animal Toys
170,2020-11-11,7246.0,Mice & Animal Toys
171,2020-11-12,7140.0,Mice & Animal Toys
172,2020-11-13,7140.0,Mice & Animal Toys
173,2020-11-14,7140.0,Mice & Animal Toys
174,2020-11-15,7140.0,Mice & Animal Toys
175,2020-11-16,5841.0,Mice & Animal Toys
176,2020-11-17,5841.0,Mice & Animal Toys
177,2020-11-18,5841.0,Mice & Animal Toys
178,2020-11-19,5841.0,Mice & Animal Toys
179,2020-11-20,5841.0,Mice & Animal Toys
180,2020-11-21,5841.0,Mice & Animal Toys
181,2020-11-22,5841.0,Mice & Animal Toys
182,2020-11-23,6350.0,Mice & Animal Toys
183,2020-11-24,6786.0,Mice & Animal Toys
184,2020-11-25,6786.0,Mice & Animal Toys
185,2020-11-26,9886.0,Mice & Animal Toys
186,2020-11-27,9886.0,Mice & Animal Toys
187,2020-11-28,9886.0,Mice & Animal Toys
188,2020-11-29,5624.0,Mice & Animal Toys
189,2020-11-30,4203.0,Mice & Animal Toys
190,2020-12-01,5098.0,Mice & Animal Toys
191,2020-12-02,5098.0,Mice & Animal Toys
192,2020-12-03,5098.0,Mice & Animal Toys
193,2020-12-04,5422.0,Mice & Animal Toys
194,2020-12-05,4973.0,Mice & Animal Toys
195,2020-12-06,4973.0,Mice & Animal Toys
196,2020-12-07,4973.0,Mice & Animal Toys
197,2020-12-08,5018.0,Mice & Animal Toys
198,2020-12-09,5018.0,Mice & Animal Toys
199,2020-12-10,5212.0,Mice & Animal Toys
200,2020-12-11,5212.0,Mice & Animal Toys
201,2020-12-12,5212.0,Mice & Animal Toys
202,2020-12-13,5212.0,Mice & Animal Toys
203,2020-12-14,5212.0,Mice & Animal Toys
204,2020-12-15,5212.0,Mice & Animal Toys
205,2020-12-16,4947.0,Mice & Animal Toys
206,2020-12-17,4947.0,Mice & Animal Toys
207,2020-12-18,4369.0,Mice & Animal Toys
208,2020-12-19,4369.0,Mice & Animal Toys
209,2020-12-20,4369.0,Mice & Animal Toys
210,2020-12-21,6643.0,Mice & Animal Toys
211,2020-12-22,8610.0,Mice & Animal Toys
212,2020-12-23,8728.0,Mice & Animal Toys
213,2020-12-24,9476.0,Mice & Animal Toys
214,2020-12-25,9476.0,Mice & Animal Toys
215,2020-12-26,9476.0,Mice & Animal Toys
216,2020-12-27,6907.0,Mice & Animal Toys
217,2020-12-28,7084.0,Mice & Animal Toys
218,2020-12-29,7084.0,Mice & Animal Toys
219,2020-12-30,7084.0,Mice & Animal Toys
220,2020-12-31,9395.0,Mice & Animal Toys
221,2021-01-01,9395.0,Mice & Animal Toys
222,2021-01-02,10093.0,Mice & Animal Toys
223,2021-01-03,10093.0,Mice & Animal Toys
224,2021-01-04,9555.0,Mice & Animal Toys
225,2021-01-05,9555.0,Mice & Animal Toys
226,2021-01-06,8690.0,Mice & Animal Toys
227,2021-01-07,8690.0,Mice & Animal Toys
228,2021-01-08,6824.0,Mice & Animal Toys
229,2021-01-09,6824.0,Mice & Animal Toys
230,2021-01-10,9892.0,Mice & Animal Toys
231,2021-01-11,11586.0,Mice & Animal Toys
232,2021-01-12,9900.0,Mice & Animal Toys
233,2021-01-13,9900.0,Mice & Animal Toys
234,2021-01-14,9900.0,Mice & Animal Toys
235,2021-01-15,9900.0,Mice & Animal Toys
236,2021-01-16,7600.0,Mice & Animal Toys
237,2021-01-17,7600.0,Mice & Animal Toys
238,2021-01-18,7600.0,Mice & Animal Toys
239,2021-01-19,7600.0,Mice & Animal Toys
240,2021-01-20,10193.0,Mice & Animal Toys
241,2021-01-21,7079.0,Mice & Animal Toys
242,2021-01-22,7079.0,Mice & Animal Toys
243,2021-01-23,7079.0,Mice & Animal Toys
244,2021-01-24,7079.0,Mice & Animal Toys
245,2021-01-25,8635.0,Mice & Animal Toys
246,2021-01-26,6829.0,Mice & Animal Toys
247,2021-01-27,7448.0,Mice & Animal Toys
248,2021-01-28,7448.0,Mice & Animal Toys
249,2021-01-29,7448.0,Mice & Animal Toys
250,2021-01-30,5832.0,Mice & Animal Toys
251,2021-01-31,5832.0,Mice & Animal Toys
252,2021-02-01,5832.0,Mice & Animal Toys
253,2021-02-02,8685.0,Mice & Animal Toys
254,2021-02-03,8685.0,Mice & Animal Toys
255,2021-02-04,8685.0,Mice & Animal Toys
256,2021-02-05,9217.0,Mice & Animal Toys
257,2021-02-06,9217.0,Mice & Animal Toys
258,2021-02-07,9217.0,Mice & Animal Toys
259,2021-02-08,9397.0,Mice & Animal Toys
260,2021-02-09,9397.0,Mice & Animal Toys
261,2021-02-10,8667.0,Mice & Animal Toys
262,2021-02-11,8667.0,Mice & Animal Toys
