,date,value,name_B00Y5QTYXE
0,2018-07-10,6155.0,Cupcake Stands
1,2018-07-11,6155.0,Cupcake Stands
2,2018-07-12,5235.0,Cupcake Stands
3,2018-07-13,7162.0,Cupcake Stands
4,2018-07-14,7470.0,Cupcake Stands
5,2018-07-15,7747.0,Cupcake Stands
6,2018-07-16,6116.0,Cupcake Stands
7,2018-07-17,6116.0,Cupcake Stands
8,2018-07-18,6261.0,Cupcake Stands
9,2018-07-19,6261.0,Cupcake Stands
10,2018-07-20,5630.0,Cupcake Stands
11,2018-07-21,5908.0,Cupcake Stands
12,2018-07-22,5908.0,Cupcake Stands
13,2018-07-23,5288.0,Cupcake Stands
14,2018-07-24,4890.0,Cupcake Stands
15,2018-07-25,5746.0,Cupcake Stands
16,2018-07-26,5508.0,Cupcake Stands
17,2018-07-27,5508.0,Cupcake Stands
18,2018-07-28,5442.0,Cupcake Stands
19,2018-07-29,7887.0,Cupcake Stands
20,2018-07-30,6090.0,Cupcake Stands
21,2018-07-31,5372.0,Cupcake Stands
22,2018-08-01,5372.0,Cupcake Stands
23,2018-08-02,3452.0,Cupcake Stands
24,2018-08-03,3829.0,Cupcake Stands
25,2018-08-04,6290.0,Cupcake Stands
26,2018-08-05,6545.0,Cupcake Stands
27,2018-08-06,6814.0,Cupcake Stands
28,2018-08-07,6814.0,Cupcake Stands
29,2018-08-08,4422.0,Cupcake Stands
30,2018-08-09,4422.0,Cupcake Stands
31,2018-08-10,4422.0,Cupcake Stands
32,2018-08-11,7543.0,Cupcake Stands
33,2018-08-12,5856.0,Cupcake Stands
34,2018-08-13,5856.0,Cupcake Stands
35,2018-08-14,5856.0,Cupcake Stands
36,2018-08-15,5856.0,Cupcake Stands
37,2018-08-16,6282.0,Cupcake Stands
38,2018-08-17,5561.0,Cupcake Stands
39,2018-08-18,5795.0,Cupcake Stands
40,2018-08-19,5795.0,Cupcake Stands
41,2018-08-20,7392.0,Cupcake Stands
42,2018-08-21,7392.0,Cupcake Stands
43,2018-08-22,7392.0,Cupcake Stands
44,2018-08-23,4977.0,Cupcake Stands
45,2018-08-24,4977.0,Cupcake Stands
46,2018-08-25,6365.0,Cupcake Stands
47,2018-08-26,6365.0,Cupcake Stands
48,2018-08-27,8921.0,Cupcake Stands
49,2018-08-28,8921.0,Cupcake Stands
50,2018-08-29,7208.0,Cupcake Stands
51,2018-08-30,8899.0,Cupcake Stands
52,2018-08-31,8899.0,Cupcake Stands
53,2018-09-01,8899.0,Cupcake Stands
54,2018-09-02,7698.0,Cupcake Stands
55,2018-09-03,7958.0,Cupcake Stands
56,2018-09-04,7067.0,Cupcake Stands
57,2018-09-05,6418.0,Cupcake Stands
58,2018-09-06,8335.0,Cupcake Stands
59,2018-09-07,6725.0,Cupcake Stands
60,2018-09-08,9523.0,Cupcake Stands
61,2018-09-09,5933.0,Cupcake Stands
62,2018-09-10,6127.0,Cupcake Stands
63,2018-09-11,7293.0,Cupcake Stands
64,2018-09-12,6499.0,Cupcake Stands
65,2018-09-13,5304.0,Cupcake Stands
66,2018-09-14,6612.0,Cupcake Stands
67,2018-09-15,5469.0,Cupcake Stands
68,2018-09-16,4608.0,Cupcake Stands
69,2018-09-17,4328.0,Cupcake Stands
70,2018-09-18,2546.0,Cupcake Stands
71,2018-09-19,3159.0,Cupcake Stands
72,2018-09-20,3941.0,Cupcake Stands
73,2018-09-21,3424.0,Cupcake Stands
74,2018-09-22,2071.0,Cupcake Stands
75,2018-09-23,2323.0,Cupcake Stands
76,2018-09-24,2423.0,Cupcake Stands
77,2018-09-25,2423.0,Cupcake Stands
78,2018-09-26,2477.0,Cupcake Stands
79,2018-09-27,2880.0,Cupcake Stands
80,2018-09-28,2880.0,Cupcake Stands
81,2018-09-29,2880.0,Cupcake Stands
82,2018-09-30,2798.0,Cupcake Stands
83,2018-10-01,2798.0,Cupcake Stands
84,2018-10-02,3314.0,Cupcake Stands
85,2018-10-03,3314.0,Cupcake Stands
86,2018-10-04,3107.0,Cupcake Stands
87,2018-10-05,4318.0,Cupcake Stands
88,2018-10-06,4318.0,Cupcake Stands
89,2018-10-07,3989.0,Cupcake Stands
90,2018-10-08,3989.0,Cupcake Stands
91,2018-10-09,3586.0,Cupcake Stands
92,2018-10-10,3586.0,Cupcake Stands
93,2018-10-11,3586.0,Cupcake Stands
94,2018-10-12,3586.0,Cupcake Stands
95,2018-10-13,4199.0,Cupcake Stands
96,2018-10-14,4682.0,Cupcake Stands
97,2018-10-15,5125.0,Cupcake Stands
98,2018-10-16,6028.0,Cupcake Stands
99,2018-10-17,5016.0,Cupcake Stands
100,2018-10-18,5016.0,Cupcake Stands
101,2018-10-19,5016.0,Cupcake Stands
102,2018-10-20,5016.0,Cupcake Stands
103,2018-10-21,5016.0,Cupcake Stands
104,2018-10-22,5612.0,Cupcake Stands
