,date,value,name_B07VXL25Y9
0,2020-05-27,63560.0,Probiotics
1,2020-05-28,63560.0,Probiotics
2,2020-05-29,63560.0,Probiotics
3,2020-05-30,63560.0,Probiotics
4,2020-05-31,63560.0,Probiotics
5,2020-06-01,57085.0,Probiotics
6,2020-06-02,57085.0,Probiotics
7,2020-06-03,68703.0,Probiotics
8,2020-06-04,71531.0,Probiotics
9,2020-06-05,71531.0,Probiotics
10,2020-06-06,71531.0,Probiotics
11,2020-06-07,71531.0,Probiotics
12,2020-06-08,47770.0,Probiotics
13,2020-06-09,47770.0,Probiotics
14,2020-06-10,47770.0,Probiotics
15,2020-06-11,58754.0,Probiotics
16,2020-06-12,58754.0,Probiotics
17,2020-06-13,69274.0,Probiotics
18,2020-06-14,69373.0,Probiotics
19,2020-06-15,69373.0,Probiotics
20,2020-06-16,75119.0,Probiotics
21,2020-06-17,75119.0,Probiotics
22,2020-06-18,75119.0,Probiotics
23,2020-06-19,75119.0,Probiotics
24,2020-06-20,75119.0,Probiotics
25,2020-06-21,75119.0,Probiotics
26,2020-06-22,75119.0,Probiotics
27,2020-06-23,54333.0,Probiotics
28,2020-06-24,54333.0,Probiotics
29,2020-06-25,64763.0,Probiotics
30,2020-06-26,64763.0,Probiotics
31,2020-06-27,64763.0,Probiotics
32,2020-06-28,64763.0,Probiotics
33,2020-06-29,64763.0,Probiotics
34,2020-06-30,64763.0,Probiotics
35,2020-07-01,69843.0,Probiotics
36,2020-07-02,81121.0,Probiotics
37,2020-07-03,64637.0,Probiotics
38,2020-07-04,53899.0,Probiotics
39,2020-07-05,53899.0,Probiotics
40,2020-07-06,53899.0,Probiotics
41,2020-07-07,70218.0,Probiotics
42,2020-07-08,70218.0,Probiotics
43,2020-07-09,54331.0,Probiotics
44,2020-07-10,54331.0,Probiotics
45,2020-07-11,54331.0,Probiotics
46,2020-07-12,54331.0,Probiotics
47,2020-07-13,69058.0,Probiotics
48,2020-07-14,69058.0,Probiotics
49,2020-07-15,59451.0,Probiotics
50,2020-07-16,59451.0,Probiotics
51,2020-07-17,56795.0,Probiotics
52,2020-07-18,56795.0,Probiotics
53,2020-07-19,56795.0,Probiotics
54,2020-07-20,56795.0,Probiotics
55,2020-07-21,53809.0,Probiotics
56,2020-07-22,53809.0,Probiotics
57,2020-07-23,53275.0,Probiotics
58,2020-07-24,53275.0,Probiotics
59,2020-07-25,53275.0,Probiotics
60,2020-07-26,53275.0,Probiotics
61,2020-07-27,59689.0,Probiotics
62,2020-07-28,59689.0,Probiotics
63,2020-07-29,56392.0,Probiotics
64,2020-07-30,60227.0,Probiotics
65,2020-07-31,60227.0,Probiotics
66,2020-08-01,60227.0,Probiotics
67,2020-08-02,60227.0,Probiotics
68,2020-08-03,69158.0,Probiotics
69,2020-08-04,69158.0,Probiotics
70,2020-08-05,58993.0,Probiotics
71,2020-08-06,53709.0,Probiotics
72,2020-08-07,53709.0,Probiotics
73,2020-08-08,54575.0,Probiotics
74,2020-08-09,54575.0,Probiotics
75,2020-08-10,54575.0,Probiotics
76,2020-08-11,54575.0,Probiotics
77,2020-08-12,59017.0,Probiotics
78,2020-08-13,59017.0,Probiotics
79,2020-08-14,59017.0,Probiotics
80,2020-08-15,42663.0,Probiotics
81,2020-08-16,42663.0,Probiotics
82,2020-08-17,52518.0,Probiotics
83,2020-08-18,52518.0,Probiotics
84,2020-08-19,42418.0,Probiotics
85,2020-08-20,58385.0,Probiotics
86,2020-08-21,58385.0,Probiotics
87,2020-08-22,76195.0,Probiotics
88,2020-08-23,76195.0,Probiotics
89,2020-08-24,76195.0,Probiotics
90,2020-08-25,76195.0,Probiotics
91,2020-08-26,47329.0,Probiotics
92,2020-08-27,41529.0,Probiotics
93,2020-08-28,41529.0,Probiotics
94,2020-08-29,41529.0,Probiotics
95,2020-08-30,44178.0,Probiotics
96,2020-08-31,44178.0,Probiotics
97,2020-09-01,44178.0,Probiotics
98,2020-09-02,57666.0,Probiotics
99,2020-09-03,57666.0,Probiotics
100,2020-09-04,32923.0,Probiotics
101,2020-09-05,32923.0,Probiotics
102,2020-09-06,32923.0,Probiotics
103,2020-09-07,42985.0,Probiotics
104,2020-09-08,42985.0,Probiotics
