,date,value,name_B083ZM8YXG
0,2020-05-25,2484.0,Beads & Bead Assortments
1,2020-05-26,2157.0,Beads & Bead Assortments
2,2020-05-27,2423.0,Beads & Bead Assortments
3,2020-05-28,1929.0,Beads & Bead Assortments
4,2020-05-29,2319.0,Beads & Bead Assortments
5,2020-05-30,1878.0,Beads & Bead Assortments
6,2020-05-31,1878.0,Beads & Bead Assortments
7,2020-06-01,2264.0,Beads & Bead Assortments
8,2020-06-02,2264.0,Beads & Bead Assortments
9,2020-06-03,1696.0,Beads & Bead Assortments
10,2020-06-04,1696.0,Beads & Bead Assortments
11,2020-06-05,1844.0,Beads & Bead Assortments
12,2020-06-06,1505.0,Beads & Bead Assortments
13,2020-06-07,1505.0,Beads & Bead Assortments
14,2020-06-08,1505.0,Beads & Bead Assortments
15,2020-06-09,1631.0,Beads & Bead Assortments
16,2020-06-10,1631.0,Beads & Bead Assortments
17,2020-06-11,1700.0,Beads & Bead Assortments
18,2020-06-12,1700.0,Beads & Bead Assortments
19,2020-06-13,1700.0,Beads & Bead Assortments
20,2020-06-14,1276.0,Beads & Bead Assortments
21,2020-06-15,1542.0,Beads & Bead Assortments
22,2020-06-16,1848.0,Beads & Bead Assortments
23,2020-06-17,1848.0,Beads & Bead Assortments
24,2020-06-18,1167.0,Beads & Bead Assortments
25,2020-06-19,1167.0,Beads & Bead Assortments
26,2020-06-20,1996.0,Beads & Bead Assortments
27,2020-06-21,1996.0,Beads & Bead Assortments
28,2020-06-22,1249.0,Beads & Bead Assortments
29,2020-06-23,1780.0,Beads & Bead Assortments
30,2020-06-24,1780.0,Beads & Bead Assortments
31,2020-06-25,1256.0,Beads & Bead Assortments
32,2020-06-26,1191.0,Beads & Bead Assortments
33,2020-06-27,1191.0,Beads & Bead Assortments
34,2020-06-28,1191.0,Beads & Bead Assortments
35,2020-06-29,1525.0,Beads & Bead Assortments
36,2020-06-30,1580.0,Beads & Bead Assortments
37,2020-07-01,903.0,Beads & Bead Assortments
38,2020-07-02,903.0,Beads & Bead Assortments
39,2020-07-03,699.0,Beads & Bead Assortments
40,2020-07-04,699.0,Beads & Bead Assortments
41,2020-07-05,1471.0,Beads & Bead Assortments
42,2020-07-06,1471.0,Beads & Bead Assortments
43,2020-07-07,1471.0,Beads & Bead Assortments
44,2020-07-08,1129.0,Beads & Bead Assortments
45,2020-07-09,1129.0,Beads & Bead Assortments
46,2020-07-10,1186.0,Beads & Bead Assortments
47,2020-07-11,1186.0,Beads & Bead Assortments
48,2020-07-12,1200.0,Beads & Bead Assortments
49,2020-07-13,1200.0,Beads & Bead Assortments
50,2020-07-14,1200.0,Beads & Bead Assortments
51,2020-07-15,1007.0,Beads & Bead Assortments
52,2020-07-16,1007.0,Beads & Bead Assortments
53,2020-07-17,814.0,Beads & Bead Assortments
54,2020-07-18,1213.0,Beads & Bead Assortments
55,2020-07-19,1213.0,Beads & Bead Assortments
56,2020-07-20,1117.0,Beads & Bead Assortments
57,2020-07-21,1244.0,Beads & Bead Assortments
58,2020-07-22,982.0,Beads & Bead Assortments
59,2020-07-23,882.0,Beads & Bead Assortments
60,2020-07-24,882.0,Beads & Bead Assortments
61,2020-07-25,605.0,Beads & Bead Assortments
62,2020-07-26,605.0,Beads & Bead Assortments
63,2020-07-27,605.0,Beads & Bead Assortments
64,2020-07-28,892.0,Beads & Bead Assortments
65,2020-07-29,695.0,Beads & Bead Assortments
66,2020-07-30,695.0,Beads & Bead Assortments
67,2020-07-31,696.0,Beads & Bead Assortments
68,2020-08-01,659.0,Beads & Bead Assortments
69,2020-08-02,659.0,Beads & Bead Assortments
70,2020-08-03,669.0,Beads & Bead Assortments
71,2020-08-04,669.0,Beads & Bead Assortments
72,2020-08-05,669.0,Beads & Bead Assortments
73,2020-08-06,797.0,Beads & Bead Assortments
74,2020-08-07,797.0,Beads & Bead Assortments
75,2020-08-08,797.0,Beads & Bead Assortments
76,2020-08-09,744.0,Beads & Bead Assortments
