,date,value,name_B08GCN3B19
0,2020-08-27,22108.0,Towel Sets
1,2020-08-28,26360.0,Towel Sets
2,2020-08-29,26360.0,Towel Sets
3,2020-08-30,26360.0,Towel Sets
4,2020-08-31,26360.0,Towel Sets
5,2020-09-01,26360.0,Towel Sets
6,2020-09-02,19944.0,Towel Sets
7,2020-09-03,19944.0,Towel Sets
8,2020-09-04,19944.0,Towel Sets
9,2020-09-05,19944.0,Towel Sets
10,2020-09-06,22800.0,Towel Sets
11,2020-09-07,23420.0,Towel Sets
12,2020-09-08,23420.0,Towel Sets
13,2020-09-09,23420.0,Towel Sets
14,2020-09-10,31808.0,Towel Sets
15,2020-09-11,31808.0,Towel Sets
16,2020-09-12,31808.0,Towel Sets
17,2020-09-13,22862.0,Towel Sets
18,2020-09-14,22862.0,Towel Sets
19,2020-09-15,22862.0,Towel Sets
20,2020-09-16,22862.0,Towel Sets
21,2020-09-17,24516.0,Towel Sets
22,2020-09-18,24516.0,Towel Sets
23,2020-09-19,24516.0,Towel Sets
24,2020-09-20,24516.0,Towel Sets
25,2020-09-21,24516.0,Towel Sets
26,2020-09-22,26957.0,Towel Sets
27,2020-09-23,26957.0,Towel Sets
28,2020-09-24,25586.0,Towel Sets
29,2020-09-25,25586.0,Towel Sets
30,2020-09-26,25586.0,Towel Sets
31,2020-09-27,25586.0,Towel Sets
32,2020-09-28,25586.0,Towel Sets
33,2020-09-29,46179.0,Towel Sets
34,2020-09-30,46179.0,Towel Sets
35,2020-10-01,46179.0,Towel Sets
36,2020-10-02,46179.0,Towel Sets
37,2020-10-03,46179.0,Towel Sets
38,2020-10-04,34980.0,Towel Sets
39,2020-10-05,34980.0,Towel Sets
40,2020-10-06,34980.0,Towel Sets
41,2020-10-07,34980.0,Towel Sets
42,2020-10-08,32453.0,Towel Sets
43,2020-10-09,32453.0,Towel Sets
44,2020-10-10,32453.0,Towel Sets
45,2020-10-11,35436.0,Towel Sets
46,2020-10-12,35436.0,Towel Sets
47,2020-10-13,35436.0,Towel Sets
48,2020-10-14,35436.0,Towel Sets
49,2020-10-15,57802.0,Towel Sets
50,2020-10-16,57802.0,Towel Sets
51,2020-10-17,57802.0,Towel Sets
52,2020-10-18,57802.0,Towel Sets
53,2020-10-19,48449.0,Towel Sets
54,2020-10-20,48449.0,Towel Sets
55,2020-10-21,48449.0,Towel Sets
56,2020-10-22,48449.0,Towel Sets
57,2020-10-23,47621.0,Towel Sets
58,2020-10-24,38415.0,Towel Sets
59,2020-10-25,38415.0,Towel Sets
60,2020-10-26,38415.0,Towel Sets
61,2020-10-27,32677.0,Towel Sets
62,2020-10-28,32677.0,Towel Sets
63,2020-10-29,32677.0,Towel Sets
64,2020-10-30,34631.0,Towel Sets
65,2020-10-31,34631.0,Towel Sets
66,2020-11-01,34631.0,Towel Sets
67,2020-11-02,34631.0,Towel Sets
68,2020-11-03,34631.0,Towel Sets
69,2020-11-04,24371.0,Towel Sets
70,2020-11-05,25558.0,Towel Sets
71,2020-11-06,25558.0,Towel Sets
72,2020-11-07,25558.0,Towel Sets
73,2020-11-08,25558.0,Towel Sets
74,2020-11-09,24605.0,Towel Sets
75,2020-11-10,21586.0,Towel Sets
76,2020-11-11,21586.0,Towel Sets
77,2020-11-12,33613.0,Towel Sets
78,2020-11-13,28732.0,Towel Sets
79,2020-11-14,28732.0,Towel Sets
80,2020-11-15,28732.0,Towel Sets
81,2020-11-16,28732.0,Towel Sets
82,2020-11-17,28732.0,Towel Sets
83,2020-11-18,24554.0,Towel Sets
84,2020-11-19,24554.0,Towel Sets
85,2020-11-20,24554.0,Towel Sets
86,2020-11-21,24554.0,Towel Sets
87,2020-11-22,24554.0,Towel Sets
88,2020-11-23,31509.0,Towel Sets
89,2020-11-24,31509.0,Towel Sets
90,2020-11-25,33582.0,Towel Sets
91,2020-11-26,33582.0,Towel Sets
92,2020-11-27,33582.0,Towel Sets
93,2020-11-28,33582.0,Towel Sets
94,2020-11-29,33582.0,Towel Sets
95,2020-11-30,33582.0,Towel Sets
96,2020-12-01,32716.0,Towel Sets
97,2020-12-02,32716.0,Towel Sets
98,2020-12-03,32716.0,Towel Sets
99,2020-12-04,38156.0,Towel Sets
100,2020-12-05,38156.0,Towel Sets
101,2020-12-06,38156.0,Towel Sets
102,2020-12-07,38156.0,Towel Sets
103,2020-12-08,38156.0,Towel Sets
104,2020-12-09,34924.0,Towel Sets
105,2020-12-10,34924.0,Towel Sets
106,2020-12-11,34924.0,Towel Sets
107,2020-12-12,24939.0,Towel Sets
108,2020-12-13,24939.0,Towel Sets
109,2020-12-14,24939.0,Towel Sets
110,2020-12-15,19605.0,Towel Sets
111,2020-12-16,19605.0,Towel Sets
112,2020-12-17,19605.0,Towel Sets
113,2020-12-18,19605.0,Towel Sets
114,2020-12-19,21425.0,Towel Sets
115,2020-12-20,21425.0,Towel Sets
116,2020-12-21,21425.0,Towel Sets
