,date,value,name_B085FWXWKT
0,2020-03-12,38697.0,Hammock Tree Straps
1,2020-03-13,38697.0,Hammock Tree Straps
2,2020-03-14,38697.0,Hammock Tree Straps
3,2020-03-15,38697.0,Hammock Tree Straps
4,2020-03-16,38697.0,Hammock Tree Straps
5,2020-03-17,38697.0,Hammock Tree Straps
6,2020-03-18,13621.0,Hammock Tree Straps
7,2020-03-19,13621.0,Hammock Tree Straps
8,2020-03-20,13621.0,Hammock Tree Straps
9,2020-03-21,13621.0,Hammock Tree Straps
10,2020-03-22,13621.0,Hammock Tree Straps
11,2020-03-23,10070.0,Hammock Tree Straps
12,2020-03-24,10070.0,Hammock Tree Straps
13,2020-03-25,10070.0,Hammock Tree Straps
14,2020-03-26,10070.0,Hammock Tree Straps
15,2020-03-27,10070.0,Hammock Tree Straps
16,2020-03-28,7438.0,Hammock Tree Straps
17,2020-03-29,7438.0,Hammock Tree Straps
18,2020-03-30,7438.0,Hammock Tree Straps
19,2020-03-31,7438.0,Hammock Tree Straps
20,2020-04-01,6375.0,Hammock Tree Straps
21,2020-04-02,6375.0,Hammock Tree Straps
22,2020-04-03,6375.0,Hammock Tree Straps
23,2020-04-04,6375.0,Hammock Tree Straps
24,2020-04-05,6241.0,Hammock Tree Straps
25,2020-04-06,6241.0,Hammock Tree Straps
26,2020-04-07,7021.0,Hammock Tree Straps
27,2020-04-08,6103.0,Hammock Tree Straps
28,2020-04-09,6103.0,Hammock Tree Straps
29,2020-04-10,6103.0,Hammock Tree Straps
30,2020-04-11,6103.0,Hammock Tree Straps
31,2020-04-12,6103.0,Hammock Tree Straps
32,2020-04-13,6103.0,Hammock Tree Straps
33,2020-04-14,5042.0,Hammock Tree Straps
34,2020-04-15,5992.0,Hammock Tree Straps
35,2020-04-16,5992.0,Hammock Tree Straps
36,2020-04-17,5992.0,Hammock Tree Straps
37,2020-04-18,10329.0,Hammock Tree Straps
38,2020-04-19,10329.0,Hammock Tree Straps
39,2020-04-20,10329.0,Hammock Tree Straps
40,2020-04-21,10329.0,Hammock Tree Straps
41,2020-04-22,10329.0,Hammock Tree Straps
42,2020-04-23,5770.0,Hammock Tree Straps
43,2020-04-24,5770.0,Hammock Tree Straps
44,2020-04-25,5770.0,Hammock Tree Straps
45,2020-04-26,3298.0,Hammock Tree Straps
46,2020-04-27,3298.0,Hammock Tree Straps
47,2020-04-28,3298.0,Hammock Tree Straps
48,2020-04-29,2924.0,Hammock Tree Straps
49,2020-04-30,2924.0,Hammock Tree Straps
50,2020-05-01,2924.0,Hammock Tree Straps
51,2020-05-02,2924.0,Hammock Tree Straps
52,2020-05-03,3996.0,Hammock Tree Straps
53,2020-05-04,3996.0,Hammock Tree Straps
54,2020-05-05,5112.0,Hammock Tree Straps
55,2020-05-06,5112.0,Hammock Tree Straps
56,2020-05-07,5112.0,Hammock Tree Straps
57,2020-05-08,5112.0,Hammock Tree Straps
58,2020-05-09,15671.0,Hammock Tree Straps
59,2020-05-10,15671.0,Hammock Tree Straps
60,2020-05-11,15671.0,Hammock Tree Straps
61,2020-05-12,14894.0,Hammock Tree Straps
62,2020-05-13,14894.0,Hammock Tree Straps
63,2020-05-14,14894.0,Hammock Tree Straps
64,2020-05-15,11115.0,Hammock Tree Straps
65,2020-05-16,11115.0,Hammock Tree Straps
66,2020-05-17,11115.0,Hammock Tree Straps
67,2020-05-18,7765.0,Hammock Tree Straps
68,2020-05-19,7765.0,Hammock Tree Straps
69,2020-05-20,7765.0,Hammock Tree Straps
70,2020-05-21,5624.0,Hammock Tree Straps
71,2020-05-22,5624.0,Hammock Tree Straps
72,2020-05-23,5624.0,Hammock Tree Straps
73,2020-05-24,5624.0,Hammock Tree Straps
74,2020-05-25,5633.0,Hammock Tree Straps
75,2020-05-26,5633.0,Hammock Tree Straps
76,2020-05-27,5633.0,Hammock Tree Straps
77,2020-05-28,5035.0,Hammock Tree Straps
78,2020-05-29,5035.0,Hammock Tree Straps
79,2020-05-30,5035.0,Hammock Tree Straps
80,2020-05-31,5035.0,Hammock Tree Straps
81,2020-06-01,3961.0,Hammock Tree Straps
82,2020-06-02,3961.0,Hammock Tree Straps
83,2020-06-03,3961.0,Hammock Tree Straps
84,2020-06-04,5616.0,Hammock Tree Straps
85,2020-06-05,5616.0,Hammock Tree Straps
86,2020-06-06,5616.0,Hammock Tree Straps
87,2020-06-07,5616.0,Hammock Tree Straps
88,2020-06-08,6697.0,Hammock Tree Straps
89,2020-06-09,6697.0,Hammock Tree Straps
90,2020-06-10,6697.0,Hammock Tree Straps
91,2020-06-11,6697.0,Hammock Tree Straps
92,2020-06-12,6697.0,Hammock Tree Straps
93,2020-06-13,7207.0,Hammock Tree Straps
94,2020-06-14,7207.0,Hammock Tree Straps
95,2020-06-15,7207.0,Hammock Tree Straps
96,2020-06-16,6067.0,Hammock Tree Straps
97,2020-06-17,6067.0,Hammock Tree Straps
98,2020-06-18,6067.0,Hammock Tree Straps
99,2020-06-19,7771.0,Hammock Tree Straps
100,2020-06-20,7771.0,Hammock Tree Straps
101,2020-06-21,7771.0,Hammock Tree Straps
102,2020-06-22,8006.0,Hammock Tree Straps
103,2020-06-23,12566.0,Hammock Tree Straps
104,2020-06-24,12566.0,Hammock Tree Straps
105,2020-06-25,12566.0,Hammock Tree Straps
106,2020-06-26,7791.0,Hammock Tree Straps
107,2020-06-27,7791.0,Hammock Tree Straps
108,2020-06-28,7791.0,Hammock Tree Straps
109,2020-06-29,7467.0,Hammock Tree Straps
110,2020-06-30,6653.0,Hammock Tree Straps
111,2020-07-01,6449.0,Hammock Tree Straps
112,2020-07-02,6449.0,Hammock Tree Straps
113,2020-07-03,6449.0,Hammock Tree Straps
114,2020-07-04,6449.0,Hammock Tree Straps
115,2020-07-05,6449.0,Hammock Tree Straps
116,2020-07-06,8465.0,Hammock Tree Straps
117,2020-07-07,8465.0,Hammock Tree Straps
118,2020-07-08,8465.0,Hammock Tree Straps
119,2020-07-09,5788.0,Hammock Tree Straps
120,2020-07-10,5788.0,Hammock Tree Straps
121,2020-07-11,7361.0,Hammock Tree Straps
122,2020-07-12,7361.0,Hammock Tree Straps
123,2020-07-13,7361.0,Hammock Tree Straps
124,2020-07-14,7746.0,Hammock Tree Straps
125,2020-07-15,7746.0,Hammock Tree Straps
126,2020-07-16,6594.0,Hammock Tree Straps
127,2020-07-17,6594.0,Hammock Tree Straps
128,2020-07-18,8313.0,Hammock Tree Straps
129,2020-07-19,8313.0,Hammock Tree Straps
130,2020-07-20,8313.0,Hammock Tree Straps
131,2020-07-21,8313.0,Hammock Tree Straps
132,2020-07-22,7114.0,Hammock Tree Straps
133,2020-07-23,7114.0,Hammock Tree Straps
134,2020-07-24,7114.0,Hammock Tree Straps
135,2020-07-25,9425.0,Hammock Tree Straps
136,2020-07-26,9425.0,Hammock Tree Straps
137,2020-07-27,9425.0,Hammock Tree Straps
138,2020-07-28,7626.0,Hammock Tree Straps
139,2020-07-29,7626.0,Hammock Tree Straps
140,2020-07-30,7626.0,Hammock Tree Straps
141,2020-07-31,7584.0,Hammock Tree Straps
142,2020-08-01,7584.0,Hammock Tree Straps
143,2020-08-02,7769.0,Hammock Tree Straps
144,2020-08-03,9375.0,Hammock Tree Straps
145,2020-08-04,19558.0,Hammock Tree Straps
146,2020-08-05,19558.0,Hammock Tree Straps
147,2020-08-06,19558.0,Hammock Tree Straps
148,2020-08-07,89264.0,Hammock Tree Straps
149,2020-08-08,89264.0,Hammock Tree Straps
150,2020-08-09,121771.0,Hammock Tree Straps
151,2020-08-10,79597.0,Hammock Tree Straps
152,2020-08-11,79597.0,Hammock Tree Straps
153,2020-08-12,79597.0,Hammock Tree Straps
154,2020-08-13,12355.0,Hammock Tree Straps
155,2020-08-14,13513.0,Hammock Tree Straps
156,2020-08-15,9283.0,Hammock Tree Straps
157,2020-08-16,9283.0,Hammock Tree Straps
158,2020-08-17,9283.0,Hammock Tree Straps
159,2020-08-18,5801.0,Hammock Tree Straps
160,2020-08-19,5801.0,Hammock Tree Straps
161,2020-08-20,5801.0,Hammock Tree Straps
162,2020-08-21,5455.0,Hammock Tree Straps
163,2020-08-22,5004.0,Hammock Tree Straps
164,2020-08-23,5004.0,Hammock Tree Straps
165,2020-08-24,5004.0,Hammock Tree Straps
166,2020-08-25,4778.0,Hammock Tree Straps
167,2020-08-26,4778.0,Hammock Tree Straps
168,2020-08-27,4778.0,Hammock Tree Straps
169,2020-08-28,5402.0,Hammock Tree Straps
