,date,value,name_B083LSRBM3
0,2020-01-11,22884.0,Fire Pit Covers
1,2020-01-12,22884.0,Fire Pit Covers
2,2020-01-13,16168.0,Fire Pit Covers
3,2020-01-14,28920.0,Fire Pit Covers
4,2020-01-15,28920.0,Fire Pit Covers
5,2020-01-16,16566.0,Fire Pit Covers
6,2020-01-17,16566.0,Fire Pit Covers
7,2020-01-18,27154.0,Fire Pit Covers
8,2020-01-19,27154.0,Fire Pit Covers
9,2020-01-20,27154.0,Fire Pit Covers
10,2020-01-21,12628.0,Fire Pit Covers
11,2020-01-22,12628.0,Fire Pit Covers
12,2020-01-23,12628.0,Fire Pit Covers
13,2020-01-24,41016.0,Fire Pit Covers
14,2020-01-25,41016.0,Fire Pit Covers
15,2020-01-26,41016.0,Fire Pit Covers
16,2020-01-27,41016.0,Fire Pit Covers
17,2020-01-28,16217.0,Fire Pit Covers
18,2020-01-29,16217.0,Fire Pit Covers
19,2020-01-30,16217.0,Fire Pit Covers
20,2020-01-31,13884.0,Fire Pit Covers
21,2020-02-01,13884.0,Fire Pit Covers
22,2020-02-02,13884.0,Fire Pit Covers
23,2020-02-03,13884.0,Fire Pit Covers
24,2020-02-04,14347.0,Fire Pit Covers
25,2020-02-05,14347.0,Fire Pit Covers
26,2020-02-06,14347.0,Fire Pit Covers
27,2020-02-07,14347.0,Fire Pit Covers
28,2020-02-08,17264.0,Fire Pit Covers
29,2020-02-09,17264.0,Fire Pit Covers
30,2020-02-10,17264.0,Fire Pit Covers
31,2020-02-11,17264.0,Fire Pit Covers
32,2020-02-12,20219.0,Fire Pit Covers
33,2020-02-13,20219.0,Fire Pit Covers
34,2020-02-14,20219.0,Fire Pit Covers
35,2020-02-15,20219.0,Fire Pit Covers
36,2020-02-16,20219.0,Fire Pit Covers
37,2020-02-17,20219.0,Fire Pit Covers
38,2020-02-18,11163.0,Fire Pit Covers
39,2020-02-19,11163.0,Fire Pit Covers
40,2020-02-20,11163.0,Fire Pit Covers
41,2020-02-21,11163.0,Fire Pit Covers
42,2020-02-22,11163.0,Fire Pit Covers
43,2020-02-23,11163.0,Fire Pit Covers
44,2020-02-24,11163.0,Fire Pit Covers
45,2020-02-25,11163.0,Fire Pit Covers
46,2020-02-26,11163.0,Fire Pit Covers
47,2020-02-27,11163.0,Fire Pit Covers
48,2020-02-28,11163.0,Fire Pit Covers
49,2020-02-29,14590.0,Fire Pit Covers
50,2020-03-01,14590.0,Fire Pit Covers
51,2020-03-02,14590.0,Fire Pit Covers
52,2020-03-03,14590.0,Fire Pit Covers
53,2020-03-04,14590.0,Fire Pit Covers
54,2020-03-05,14590.0,Fire Pit Covers
55,2020-03-06,14590.0,Fire Pit Covers
56,2020-03-07,14590.0,Fire Pit Covers
57,2020-03-08,14590.0,Fire Pit Covers
58,2020-03-09,14590.0,Fire Pit Covers
59,2020-03-10,14590.0,Fire Pit Covers
60,2020-03-11,14590.0,Fire Pit Covers
61,2020-03-12,14590.0,Fire Pit Covers
62,2020-03-13,14590.0,Fire Pit Covers
63,2020-03-14,14590.0,Fire Pit Covers
64,2020-03-15,14590.0,Fire Pit Covers
65,2020-03-16,14590.0,Fire Pit Covers
66,2020-03-17,14590.0,Fire Pit Covers
67,2020-03-18,14590.0,Fire Pit Covers
68,2020-03-19,14590.0,Fire Pit Covers
