,date,value,name_B07WC96BNZ
0,2019-10-11,175735.0,Shower Curtain Sets
1,2019-10-12,175735.0,Shower Curtain Sets
2,2019-10-13,175735.0,Shower Curtain Sets
3,2019-10-14,175735.0,Shower Curtain Sets
4,2019-10-15,175735.0,Shower Curtain Sets
5,2019-10-16,311780.0,Shower Curtain Sets
6,2019-10-17,311780.0,Shower Curtain Sets
7,2019-10-18,311780.0,Shower Curtain Sets
8,2019-10-19,123675.0,Shower Curtain Sets
9,2019-10-20,123675.0,Shower Curtain Sets
10,2019-10-21,123675.0,Shower Curtain Sets
11,2019-10-22,123675.0,Shower Curtain Sets
12,2019-10-23,123675.0,Shower Curtain Sets
13,2019-10-24,235852.0,Shower Curtain Sets
14,2019-10-25,235852.0,Shower Curtain Sets
15,2019-10-26,169943.0,Shower Curtain Sets
16,2019-10-27,169943.0,Shower Curtain Sets
17,2019-10-28,169943.0,Shower Curtain Sets
18,2019-10-29,174343.0,Shower Curtain Sets
19,2019-10-30,174343.0,Shower Curtain Sets
20,2019-10-31,174343.0,Shower Curtain Sets
21,2019-11-01,156992.0,Shower Curtain Sets
22,2019-11-02,156992.0,Shower Curtain Sets
23,2019-11-03,123097.0,Shower Curtain Sets
24,2019-11-04,123097.0,Shower Curtain Sets
25,2019-11-05,56836.0,Shower Curtain Sets
26,2019-11-06,56836.0,Shower Curtain Sets
27,2019-11-07,56836.0,Shower Curtain Sets
28,2019-11-08,73190.0,Shower Curtain Sets
29,2019-11-09,70986.0,Shower Curtain Sets
30,2019-11-10,70986.0,Shower Curtain Sets
31,2019-11-11,70986.0,Shower Curtain Sets
32,2019-11-12,61359.0,Shower Curtain Sets
33,2019-11-13,110923.0,Shower Curtain Sets
34,2019-11-14,102884.0,Shower Curtain Sets
35,2019-11-15,108892.0,Shower Curtain Sets
36,2019-11-16,108892.0,Shower Curtain Sets
37,2019-11-17,134378.0,Shower Curtain Sets
38,2019-11-18,72894.0,Shower Curtain Sets
39,2019-11-19,64499.0,Shower Curtain Sets
40,2019-11-20,112616.0,Shower Curtain Sets
41,2019-11-21,97951.0,Shower Curtain Sets
42,2019-11-22,97951.0,Shower Curtain Sets
43,2019-11-23,97323.0,Shower Curtain Sets
44,2019-11-24,115489.0,Shower Curtain Sets
45,2019-11-25,102849.0,Shower Curtain Sets
46,2019-11-26,114755.0,Shower Curtain Sets
47,2019-11-27,114755.0,Shower Curtain Sets
48,2019-11-28,109949.0,Shower Curtain Sets
49,2019-11-29,109949.0,Shower Curtain Sets
50,2019-11-30,118734.0,Shower Curtain Sets
51,2019-12-01,118066.0,Shower Curtain Sets
52,2019-12-02,104699.0,Shower Curtain Sets
53,2019-12-03,121991.0,Shower Curtain Sets
54,2019-12-04,121991.0,Shower Curtain Sets
55,2019-12-05,127306.0,Shower Curtain Sets
56,2019-12-06,149210.0,Shower Curtain Sets
57,2019-12-07,101684.0,Shower Curtain Sets
58,2019-12-08,144380.0,Shower Curtain Sets
59,2019-12-09,162382.0,Shower Curtain Sets
60,2019-12-10,148795.0,Shower Curtain Sets
61,2019-12-11,141438.0,Shower Curtain Sets
62,2019-12-12,101872.0,Shower Curtain Sets
63,2019-12-13,101872.0,Shower Curtain Sets
64,2019-12-14,101872.0,Shower Curtain Sets
65,2019-12-15,99996.0,Shower Curtain Sets
66,2019-12-16,187322.0,Shower Curtain Sets
67,2019-12-17,157180.0,Shower Curtain Sets
68,2019-12-18,157180.0,Shower Curtain Sets
69,2019-12-19,147718.0,Shower Curtain Sets
70,2019-12-20,125249.0,Shower Curtain Sets
71,2019-12-21,150091.0,Shower Curtain Sets
72,2019-12-22,150091.0,Shower Curtain Sets
73,2019-12-23,150091.0,Shower Curtain Sets
74,2019-12-24,141040.0,Shower Curtain Sets
75,2019-12-25,115396.0,Shower Curtain Sets
76,2019-12-26,105011.0,Shower Curtain Sets
77,2019-12-27,134940.0,Shower Curtain Sets
78,2019-12-28,146005.0,Shower Curtain Sets
79,2019-12-29,77461.0,Shower Curtain Sets
80,2019-12-30,149382.0,Shower Curtain Sets
81,2019-12-31,108661.0,Shower Curtain Sets
82,2020-01-01,97240.0,Shower Curtain Sets
83,2020-01-02,156464.0,Shower Curtain Sets
84,2020-01-03,120140.0,Shower Curtain Sets
85,2020-01-04,98985.0,Shower Curtain Sets
86,2020-01-05,90165.0,Shower Curtain Sets
87,2020-01-06,90165.0,Shower Curtain Sets
88,2020-01-07,114211.0,Shower Curtain Sets
