,date,value,name_B08429WG8T
0,2020-01-27,9977.0,Wall & Tabletop Frames
1,2020-01-28,9977.0,Wall & Tabletop Frames
2,2020-01-29,9977.0,Wall & Tabletop Frames
3,2020-01-30,14444.0,Wall & Tabletop Frames
4,2020-01-31,15026.0,Wall & Tabletop Frames
5,2020-02-01,15026.0,Wall & Tabletop Frames
6,2020-02-02,15026.0,Wall & Tabletop Frames
7,2020-02-03,15026.0,Wall & Tabletop Frames
8,2020-02-04,11746.0,Wall & Tabletop Frames
9,2020-02-05,14624.0,Wall & Tabletop Frames
10,2020-02-06,19146.0,Wall & Tabletop Frames
11,2020-02-07,19146.0,Wall & Tabletop Frames
12,2020-02-08,19146.0,Wall & Tabletop Frames
13,2020-02-09,19146.0,Wall & Tabletop Frames
14,2020-02-10,15930.0,Wall & Tabletop Frames
15,2020-02-11,15930.0,Wall & Tabletop Frames
16,2020-02-12,15930.0,Wall & Tabletop Frames
17,2020-02-13,14751.0,Wall & Tabletop Frames
18,2020-02-14,14751.0,Wall & Tabletop Frames
19,2020-02-15,13548.0,Wall & Tabletop Frames
20,2020-02-16,13548.0,Wall & Tabletop Frames
21,2020-02-17,13548.0,Wall & Tabletop Frames
22,2020-02-18,13548.0,Wall & Tabletop Frames
23,2020-02-19,12847.0,Wall & Tabletop Frames
24,2020-02-20,12847.0,Wall & Tabletop Frames
25,2020-02-21,12847.0,Wall & Tabletop Frames
26,2020-02-22,14917.0,Wall & Tabletop Frames
27,2020-02-23,16041.0,Wall & Tabletop Frames
28,2020-02-24,16041.0,Wall & Tabletop Frames
29,2020-02-25,16041.0,Wall & Tabletop Frames
30,2020-02-26,12431.0,Wall & Tabletop Frames
31,2020-02-27,12431.0,Wall & Tabletop Frames
32,2020-02-28,12431.0,Wall & Tabletop Frames
33,2020-02-29,12431.0,Wall & Tabletop Frames
34,2020-03-01,10009.0,Wall & Tabletop Frames
35,2020-03-02,10009.0,Wall & Tabletop Frames
36,2020-03-03,11329.0,Wall & Tabletop Frames
37,2020-03-04,11329.0,Wall & Tabletop Frames
38,2020-03-05,11329.0,Wall & Tabletop Frames
39,2020-03-06,11329.0,Wall & Tabletop Frames
40,2020-03-07,13706.0,Wall & Tabletop Frames
41,2020-03-08,13706.0,Wall & Tabletop Frames
42,2020-03-09,13706.0,Wall & Tabletop Frames
43,2020-03-10,11730.0,Wall & Tabletop Frames
44,2020-03-11,11385.0,Wall & Tabletop Frames
45,2020-03-12,15645.0,Wall & Tabletop Frames
46,2020-03-13,15645.0,Wall & Tabletop Frames
47,2020-03-14,15645.0,Wall & Tabletop Frames
48,2020-03-15,15645.0,Wall & Tabletop Frames
49,2020-03-16,13201.0,Wall & Tabletop Frames
50,2020-03-17,13201.0,Wall & Tabletop Frames
51,2020-03-18,13201.0,Wall & Tabletop Frames
52,2020-03-19,12593.0,Wall & Tabletop Frames
53,2020-03-20,11930.0,Wall & Tabletop Frames
54,2020-03-21,11930.0,Wall & Tabletop Frames
55,2020-03-22,7560.0,Wall & Tabletop Frames
56,2020-03-23,7560.0,Wall & Tabletop Frames
57,2020-03-24,7330.0,Wall & Tabletop Frames
58,2020-03-25,8617.0,Wall & Tabletop Frames
59,2020-03-26,9490.0,Wall & Tabletop Frames
60,2020-03-27,8815.0,Wall & Tabletop Frames
61,2020-03-28,8815.0,Wall & Tabletop Frames
62,2020-03-29,12107.0,Wall & Tabletop Frames
63,2020-03-30,10239.0,Wall & Tabletop Frames
64,2020-03-31,10638.0,Wall & Tabletop Frames
65,2020-04-01,12813.0,Wall & Tabletop Frames
66,2020-04-02,11348.0,Wall & Tabletop Frames
67,2020-04-03,11348.0,Wall & Tabletop Frames
68,2020-04-04,11348.0,Wall & Tabletop Frames
69,2020-04-05,10634.0,Wall & Tabletop Frames
70,2020-04-06,10634.0,Wall & Tabletop Frames
71,2020-04-07,10634.0,Wall & Tabletop Frames
72,2020-04-08,8687.0,Wall & Tabletop Frames
73,2020-04-09,8687.0,Wall & Tabletop Frames
74,2020-04-10,9932.0,Wall & Tabletop Frames
75,2020-04-11,9932.0,Wall & Tabletop Frames
76,2020-04-12,9932.0,Wall & Tabletop Frames
77,2020-04-13,9162.0,Wall & Tabletop Frames
78,2020-04-14,9162.0,Wall & Tabletop Frames
79,2020-04-15,9162.0,Wall & Tabletop Frames
80,2020-04-16,9162.0,Wall & Tabletop Frames
81,2020-04-17,9162.0,Wall & Tabletop Frames
82,2020-04-18,9740.0,Wall & Tabletop Frames
83,2020-04-19,9841.0,Wall & Tabletop Frames
84,2020-04-20,7743.0,Wall & Tabletop Frames
85,2020-04-21,8173.0,Wall & Tabletop Frames
86,2020-04-22,8173.0,Wall & Tabletop Frames
87,2020-04-23,6579.0,Wall & Tabletop Frames
88,2020-04-24,6579.0,Wall & Tabletop Frames
89,2020-04-25,8741.0,Wall & Tabletop Frames
90,2020-04-26,8741.0,Wall & Tabletop Frames
91,2020-04-27,8741.0,Wall & Tabletop Frames
92,2020-04-28,6532.0,Wall & Tabletop Frames
93,2020-04-29,7038.0,Wall & Tabletop Frames
94,2020-04-30,7038.0,Wall & Tabletop Frames
95,2020-05-01,6534.0,Wall & Tabletop Frames
96,2020-05-02,6534.0,Wall & Tabletop Frames
97,2020-05-03,6534.0,Wall & Tabletop Frames
98,2020-05-04,8663.0,Wall & Tabletop Frames
99,2020-05-05,8663.0,Wall & Tabletop Frames
100,2020-05-06,7844.0,Wall & Tabletop Frames
101,2020-05-07,7262.0,Wall & Tabletop Frames
102,2020-05-08,6957.0,Wall & Tabletop Frames
103,2020-05-09,6147.0,Wall & Tabletop Frames
104,2020-05-10,8251.0,Wall & Tabletop Frames
105,2020-05-11,8251.0,Wall & Tabletop Frames
106,2020-05-12,6821.0,Wall & Tabletop Frames
107,2020-05-13,7795.0,Wall & Tabletop Frames
108,2020-05-14,5786.0,Wall & Tabletop Frames
109,2020-05-15,6207.0,Wall & Tabletop Frames
110,2020-05-16,6207.0,Wall & Tabletop Frames
111,2020-05-17,6207.0,Wall & Tabletop Frames
112,2020-05-18,9124.0,Wall & Tabletop Frames
113,2020-05-19,9124.0,Wall & Tabletop Frames
114,2020-05-20,9124.0,Wall & Tabletop Frames
115,2020-05-21,6800.0,Wall & Tabletop Frames
116,2020-05-22,6800.0,Wall & Tabletop Frames
117,2020-05-23,6985.0,Wall & Tabletop Frames
118,2020-05-24,7212.0,Wall & Tabletop Frames
119,2020-05-25,7212.0,Wall & Tabletop Frames
120,2020-05-26,7212.0,Wall & Tabletop Frames
121,2020-05-27,8699.0,Wall & Tabletop Frames
122,2020-05-28,8699.0,Wall & Tabletop Frames
123,2020-05-29,8699.0,Wall & Tabletop Frames
124,2020-05-30,9436.0,Wall & Tabletop Frames
125,2020-05-31,9436.0,Wall & Tabletop Frames
126,2020-06-01,8135.0,Wall & Tabletop Frames
127,2020-06-02,10268.0,Wall & Tabletop Frames
128,2020-06-03,10268.0,Wall & Tabletop Frames
129,2020-06-04,11187.0,Wall & Tabletop Frames
130,2020-06-05,11187.0,Wall & Tabletop Frames
131,2020-06-06,8882.0,Wall & Tabletop Frames
132,2020-06-07,8882.0,Wall & Tabletop Frames
133,2020-06-08,7957.0,Wall & Tabletop Frames
134,2020-06-09,7904.0,Wall & Tabletop Frames
135,2020-06-10,7904.0,Wall & Tabletop Frames
136,2020-06-11,7826.0,Wall & Tabletop Frames
137,2020-06-12,7826.0,Wall & Tabletop Frames
138,2020-06-13,7826.0,Wall & Tabletop Frames
139,2020-06-14,7206.0,Wall & Tabletop Frames
140,2020-06-15,7206.0,Wall & Tabletop Frames
141,2020-06-16,8050.0,Wall & Tabletop Frames
142,2020-06-17,8050.0,Wall & Tabletop Frames
