,date,value,name_B08CH8S8WF
0,2020-07-18,4386.0,Bed Blankets
1,2020-07-19,4755.0,Bed Blankets
2,2020-07-20,4755.0,Bed Blankets
3,2020-07-21,4755.0,Bed Blankets
4,2020-07-22,4702.0,Bed Blankets
5,2020-07-23,3873.0,Bed Blankets
6,2020-07-24,4079.0,Bed Blankets
7,2020-07-25,4079.0,Bed Blankets
8,2020-07-26,4079.0,Bed Blankets
9,2020-07-27,3694.0,Bed Blankets
10,2020-07-28,3694.0,Bed Blankets
11,2020-07-29,3507.0,Bed Blankets
12,2020-07-30,3507.0,Bed Blankets
13,2020-07-31,3507.0,Bed Blankets
14,2020-08-01,3507.0,Bed Blankets
15,2020-08-02,3703.0,Bed Blankets
16,2020-08-03,4013.0,Bed Blankets
17,2020-08-04,3366.0,Bed Blankets
18,2020-08-05,3366.0,Bed Blankets
19,2020-08-06,3722.0,Bed Blankets
20,2020-08-07,3511.0,Bed Blankets
21,2020-08-08,3366.0,Bed Blankets
22,2020-08-09,3366.0,Bed Blankets
23,2020-08-10,3018.0,Bed Blankets
24,2020-08-11,3018.0,Bed Blankets
25,2020-08-12,3018.0,Bed Blankets
26,2020-08-13,3018.0,Bed Blankets
27,2020-08-14,3022.0,Bed Blankets
28,2020-08-15,2952.0,Bed Blankets
29,2020-08-16,2952.0,Bed Blankets
30,2020-08-17,3234.0,Bed Blankets
31,2020-08-18,3234.0,Bed Blankets
32,2020-08-19,3234.0,Bed Blankets
33,2020-08-20,3258.0,Bed Blankets
34,2020-08-21,3258.0,Bed Blankets
35,2020-08-22,3656.0,Bed Blankets
36,2020-08-23,3656.0,Bed Blankets
37,2020-08-24,3156.0,Bed Blankets
38,2020-08-25,3156.0,Bed Blankets
39,2020-08-26,3156.0,Bed Blankets
40,2020-08-27,3423.0,Bed Blankets
41,2020-08-28,3423.0,Bed Blankets
42,2020-08-29,2393.0,Bed Blankets
43,2020-08-30,2561.0,Bed Blankets
44,2020-08-31,3000.0,Bed Blankets
45,2020-09-01,3000.0,Bed Blankets
46,2020-09-02,3000.0,Bed Blankets
47,2020-09-03,2605.0,Bed Blankets
48,2020-09-04,3423.0,Bed Blankets
49,2020-09-05,3423.0,Bed Blankets
50,2020-09-06,3582.0,Bed Blankets
51,2020-09-07,3008.0,Bed Blankets
52,2020-09-08,3008.0,Bed Blankets
53,2020-09-09,3008.0,Bed Blankets
54,2020-09-10,4008.0,Bed Blankets
55,2020-09-11,4008.0,Bed Blankets
56,2020-09-12,4008.0,Bed Blankets
57,2020-09-13,3499.0,Bed Blankets
58,2020-09-14,4690.0,Bed Blankets
59,2020-09-15,5369.0,Bed Blankets
