,date,value,name_B08MZ8J27L
0,2020-11-22,562478.0,Laundry Hampers
1,2020-11-23,562478.0,Laundry Hampers
2,2020-11-24,655960.0,Laundry Hampers
3,2020-11-25,677190.0,Laundry Hampers
4,2020-11-26,677190.0,Laundry Hampers
5,2020-11-27,677190.0,Laundry Hampers
6,2020-11-28,677190.0,Laundry Hampers
7,2020-11-29,677190.0,Laundry Hampers
8,2020-11-30,677190.0,Laundry Hampers
9,2020-12-01,139983.0,Laundry Hampers
10,2020-12-02,139983.0,Laundry Hampers
11,2020-12-03,139983.0,Laundry Hampers
12,2020-12-04,139983.0,Laundry Hampers
13,2020-12-05,139983.0,Laundry Hampers
14,2020-12-06,139983.0,Laundry Hampers
15,2020-12-07,139983.0,Laundry Hampers
16,2020-12-08,58915.0,Laundry Hampers
17,2020-12-09,58915.0,Laundry Hampers
18,2020-12-10,58915.0,Laundry Hampers
19,2020-12-11,58915.0,Laundry Hampers
20,2020-12-12,58915.0,Laundry Hampers
21,2020-12-13,58915.0,Laundry Hampers
22,2020-12-14,131793.0,Laundry Hampers
23,2020-12-15,119585.0,Laundry Hampers
24,2020-12-16,119585.0,Laundry Hampers
25,2020-12-17,119585.0,Laundry Hampers
26,2020-12-18,119585.0,Laundry Hampers
27,2020-12-19,189045.0,Laundry Hampers
28,2020-12-20,189045.0,Laundry Hampers
29,2020-12-21,189045.0,Laundry Hampers
30,2020-12-22,255045.0,Laundry Hampers
31,2020-12-23,255045.0,Laundry Hampers
32,2020-12-24,172936.0,Laundry Hampers
33,2020-12-25,172936.0,Laundry Hampers
34,2020-12-26,172936.0,Laundry Hampers
35,2020-12-27,123745.0,Laundry Hampers
36,2020-12-28,123745.0,Laundry Hampers
37,2020-12-29,68697.0,Laundry Hampers
38,2020-12-30,68697.0,Laundry Hampers
39,2020-12-31,68697.0,Laundry Hampers
40,2021-01-01,68697.0,Laundry Hampers
41,2021-01-02,68697.0,Laundry Hampers
42,2021-01-03,68697.0,Laundry Hampers
43,2021-01-04,68697.0,Laundry Hampers
44,2021-01-05,22476.0,Laundry Hampers
45,2021-01-06,22476.0,Laundry Hampers
46,2021-01-07,22476.0,Laundry Hampers
47,2021-01-08,20455.0,Laundry Hampers
48,2021-01-09,20455.0,Laundry Hampers
49,2021-01-10,20455.0,Laundry Hampers
50,2021-01-11,20455.0,Laundry Hampers
51,2021-01-12,20455.0,Laundry Hampers
52,2021-01-13,24191.0,Laundry Hampers
53,2021-01-14,24191.0,Laundry Hampers
54,2021-01-15,24191.0,Laundry Hampers
55,2021-01-16,24191.0,Laundry Hampers
56,2021-01-17,24191.0,Laundry Hampers
57,2021-01-18,24191.0,Laundry Hampers
58,2021-01-19,21835.0,Laundry Hampers
59,2021-01-20,21835.0,Laundry Hampers
60,2021-01-21,21835.0,Laundry Hampers
61,2021-01-22,21835.0,Laundry Hampers
62,2021-01-23,21835.0,Laundry Hampers
63,2021-01-24,21835.0,Laundry Hampers
64,2021-01-25,21835.0,Laundry Hampers
65,2021-01-26,28235.0,Laundry Hampers
66,2021-01-27,25860.0,Laundry Hampers
67,2021-01-28,25860.0,Laundry Hampers
68,2021-01-29,30172.0,Laundry Hampers
69,2021-01-30,30172.0,Laundry Hampers
70,2021-01-31,30172.0,Laundry Hampers
71,2021-02-01,30172.0,Laundry Hampers
72,2021-02-02,30172.0,Laundry Hampers
73,2021-02-03,30424.0,Laundry Hampers
74,2021-02-04,30424.0,Laundry Hampers
75,2021-02-05,29273.0,Laundry Hampers
76,2021-02-06,29273.0,Laundry Hampers
77,2021-02-07,29273.0,Laundry Hampers
78,2021-02-08,29273.0,Laundry Hampers
79,2021-02-09,29273.0,Laundry Hampers
80,2021-02-10,28231.0,Laundry Hampers
81,2021-02-11,28231.0,Laundry Hampers
82,2021-02-12,19554.0,Laundry Hampers
83,2021-02-13,19554.0,Laundry Hampers
84,2021-02-14,19554.0,Laundry Hampers
85,2021-02-15,19554.0,Laundry Hampers
86,2021-02-16,19554.0,Laundry Hampers
87,2021-02-17,19554.0,Laundry Hampers
88,2021-02-18,19554.0,Laundry Hampers
89,2021-02-19,32158.0,Laundry Hampers
90,2021-02-20,29597.0,Laundry Hampers
91,2021-02-21,29597.0,Laundry Hampers
92,2021-02-22,24034.0,Laundry Hampers
93,2021-02-23,24034.0,Laundry Hampers
94,2021-02-24,24034.0,Laundry Hampers
95,2021-02-25,24034.0,Laundry Hampers
96,2021-02-26,24034.0,Laundry Hampers
97,2021-02-27,31594.0,Laundry Hampers
98,2021-02-28,31594.0,Laundry Hampers
99,2021-03-01,31594.0,Laundry Hampers
100,2021-03-02,32574.0,Laundry Hampers
101,2021-03-03,32624.0,Laundry Hampers
102,2021-03-04,32624.0,Laundry Hampers
103,2021-03-05,32624.0,Laundry Hampers
104,2021-03-06,32624.0,Laundry Hampers
105,2021-03-07,32624.0,Laundry Hampers
106,2021-03-08,32624.0,Laundry Hampers
107,2021-03-09,32624.0,Laundry Hampers
108,2021-03-10,32624.0,Laundry Hampers
109,2021-03-11,32624.0,Laundry Hampers
110,2021-03-12,32624.0,Laundry Hampers
111,2021-03-13,32624.0,Laundry Hampers
112,2021-03-14,32624.0,Laundry Hampers
113,2021-03-15,32624.0,Laundry Hampers
114,2021-03-16,32624.0,Laundry Hampers
115,2021-03-17,32624.0,Laundry Hampers
116,2021-03-18,32624.0,Laundry Hampers
117,2021-03-19,32624.0,Laundry Hampers
118,2021-03-20,32624.0,Laundry Hampers
119,2021-03-21,32624.0,Laundry Hampers
120,2021-03-22,32624.0,Laundry Hampers
121,2021-03-23,32624.0,Laundry Hampers
122,2021-03-24,32624.0,Laundry Hampers
123,2021-03-25,32624.0,Laundry Hampers
124,2021-03-26,32624.0,Laundry Hampers
125,2021-03-27,32624.0,Laundry Hampers
126,2021-03-28,32624.0,Laundry Hampers
127,2021-03-29,32624.0,Laundry Hampers
128,2021-03-30,32624.0,Laundry Hampers
129,2021-03-31,32624.0,Laundry Hampers
130,2021-04-01,32624.0,Laundry Hampers
131,2021-04-02,32624.0,Laundry Hampers
132,2021-04-03,32624.0,Laundry Hampers
133,2021-04-04,32624.0,Laundry Hampers
134,2021-04-05,32624.0,Laundry Hampers
135,2021-04-06,32624.0,Laundry Hampers
136,2021-04-07,32624.0,Laundry Hampers
137,2021-04-08,32624.0,Laundry Hampers
138,2021-04-09,32624.0,Laundry Hampers
139,2021-04-10,32624.0,Laundry Hampers
140,2021-04-11,32624.0,Laundry Hampers
141,2021-04-12,32624.0,Laundry Hampers
142,2021-04-13,14066837.0,Laundry Hampers
143,2021-04-14,14066837.0,Laundry Hampers
144,2021-04-15,14066837.0,Laundry Hampers
145,2021-04-16,14066837.0,Laundry Hampers
146,2021-04-17,14066837.0,Laundry Hampers
147,2021-04-18,416720.0,Laundry Hampers
148,2021-04-19,416720.0,Laundry Hampers
149,2021-04-20,416720.0,Laundry Hampers
150,2021-04-21,551045.0,Laundry Hampers
151,2021-04-22,551045.0,Laundry Hampers
152,2021-04-23,551045.0,Laundry Hampers
153,2021-04-24,551045.0,Laundry Hampers
154,2021-04-25,551045.0,Laundry Hampers
155,2021-04-26,551045.0,Laundry Hampers
156,2021-04-27,231648.0,Laundry Hampers
157,2021-04-28,231648.0,Laundry Hampers
158,2021-04-29,224624.0,Laundry Hampers
159,2021-04-30,224624.0,Laundry Hampers
160,2021-05-01,436851.0,Laundry Hampers
161,2021-05-02,436851.0,Laundry Hampers
162,2021-05-03,436851.0,Laundry Hampers
163,2021-05-04,625666.0,Laundry Hampers
164,2021-05-05,625666.0,Laundry Hampers
165,2021-05-06,625666.0,Laundry Hampers
166,2021-05-07,625666.0,Laundry Hampers
